Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,224
CNAG_05661L,CNAG_05661,3
CNAG_05515L,CNAG_05515,806
CNAG_05641L,CNAG_05641,770
CNAG_05387L,CNAG_05387,810
CNAG_05590L,CNAG_05590,1338
CNAG_07869L,CNAG_07869,731
CNAG_05340L,CNAG_05340,514
CNAG_05638L,CNAG_05638,634
CNAG_05639L,CNAG_05639,541
CNAG_06346L,CNAG_06346,633
CNAG_06347L,CNAG_06347,486
CNAG_06517L,CNAG_06517,787
CNAG_07939L,CNAG_07939,629
CNAG_06493L,CNAG_06493,573
CNAG_06201L,CNAG_06201,652
CNAG_06104L,CNAG_06104,480
CNAG_06081L,CNAG_06081,762
CNAG_07902L,CNAG_07902,700
CNAG_06241L,CNAG_06241,238
CNAG_06242L,CNAG_06242,215
CNAG_06186L,CNAG_06186,557
CNAG_07911L,CNAG_07911,811
CNAG_01551L,CNAG_01551,952
CNAG_01683L,CNAG_01683,590
CNAG_01983L,CNAG_01983,358
CNAG_01680L,CNAG_01680,629
CNAG_01621L,CNAG_01621,552
CNAG_01988L,CNAG_01988,522
CNAG_01989L,CNAG_01989,689
CNAG_01939L,CNAG_01939,743
CNAG_01993L,CNAG_01993,677
CNAG_01992L,CNAG_01992,586
CNAG_01965L,CNAG_01965,670
CNAG_01562L,CNAG_01562,428
CNAG_01925L,CNAG_01925,631
CNAG_04756L,CNAG_04756,677
CNAG_04807L,CNAG_04807,667
CNAG_04837L,CNAG_04837,732
CNAG_04836L,CNAG_04836,612
CNAG_04737L,CNAG_04737,949
CNAG_04875L,CNAG_04875,603
CNAG_04874L,CNAG_04874,1610
CNAG_04868L,CNAG_04868,104
CNAG_04752L,CNAG_04752,615
CNAG_04753L,CNAG_04753,1211
CNAG_04909L,CNAG_04909,601
CNAG_04908L,CNAG_04908,646
CNAG_04659L,CNAG_04659,455
CNAG_04623L,CNAG_04623,572
CNAG_04518L,CNAG_04518,482
CNAG_04517L,CNAG_04517,729
CNAG_07770L,CNAG_07770,641
CNAG_04436L,CNAG_04436,466
CNAG_04271L,CNAG_04271,570
CNAG_04270L,CNAG_04270,237
CNAG_03346L,CNAG_03346,702
CNAG_03433L,CNAG_03433,658
CNAG_03333L,CNAG_03333,847
CNAG_07742L,CNAG_07742,1574
CNAG_03438L,CNAG_03438,372
CNAG_03223L,CNAG_03223,416
CNAG_03142L,CNAG_03142,523
CNAG_03143L,CNAG_03143,554
CNAG_03545L,CNAG_03545,872
CNAG_03161L,CNAG_03161,486
CNAG_03566L,CNAG_03566,466
CNAG_05835L,CNAG_05835,532
CNAG_05864L,CNAG_05864,666
CNAG_06567L,CNAG_06567,744
CNAG_05742L,CNAG_05742,226
CNAG_05743L,CNAG_05743,160
CNAG_05867L,CNAG_05867,485
CNAG_05685L,CNAG_05685,2184
CNAG_05684L,CNAG_05684,412
CNAG_05785L,CNAG_05785,626
CNAG_05843L,CNAG_05843,22
CNAG_06554L,CNAG_06554,608
CNAG_02189L,CNAG_02189,838
CNAG_02188L,CNAG_02188,690
CNAG_02182L,CNAG_02182,554
CNAG_07631L,CNAG_07631,870
CNAG_02371L,CNAG_02371,509
CNAG_07633L,CNAG_07633,279
CNAG_01069L,CNAG_01069,663
CNAG_00896L,CNAG_00896,2109
CNAG_06719L,CNAG_06719,244
CNAG_03669L,CNAG_03669,682
CNAG_00031L,CNAG_00031,622
CNAG_07332L,CNAG_07332,495
CNAG_00285L,CNAG_00285,558
CNAG_00828L,CNAG_00828,552
CNAG_00830L,CNAG_00830,676
CNAG_00841L,CNAG_00841,658
CNAG_02774L,CNAG_02774,608
CNAG_06531L,CNAG_06531,951
CNAG_03279L,CNAG_03279,696
CNAG_03336L,CNAG_03336,949
CNAG_06339L,CNAG_06339,678
CNAG_03768L,CNAG_03768,710
CNAG_04534L,CNAG_04534,711
CNAG_01973L,CNAG_01973,60
CNAG_07867L,CNAG_07867,572
CNAG_05333L,CNAG_05333,720
CNAG_06425L,CNAG_06425,529
CNAG_03849L,CNAG_03849,1480
CNAG_02603L,CNAG_02603,631
CNAG_02555L,CNAG_02555,703
CNAG_03431L,CNAG_03431,355
CNAG_05049L,CNAG_05049,483
CNAG_05380L,CNAG_05380,669
CNAG_03914L,CNAG_03914,580
CNAG_02476L,CNAG_02476,715
CNAG_07583L,CNAG_07583,562
CNAG_02466L,CNAG_02466,518
CNAG_05112L,CNAG_05112,640
CNAG_03366L,CNAG_03366,817
CNAG_03977L,CNAG_03977,255
CNAG_04090L,CNAG_04090,1868
CNAG_00791L,CNAG_00791,438
CNAG_06751L,CNAG_06751,435
CNAG_05375L,CNAG_05375,12755
CNAG_02516L,CNAG_02516,609
CNAG_04804L,CNAG_04804,227
CNAG_00627L,CNAG_00627,612
CNAG_07725L,CNAG_07725,711
CNAG_06203L,CNAG_06203,553
CNAG_00193L,CNAG_00193,33
CNAG_00514L,CNAG_00514,4
CNAG_01883L,CNAG_01883,694
CNAG_03401L,CNAG_03401,671
CNAG_02435L,CNAG_02435,123
CNAG_05153L,CNAG_05153,18
CNAG_01708L,CNAG_01708,574
CNAG_03700L,CNAG_03700,593
CNAG_07320L,CNAG_07320,105
CNAG_05215L,CNAG_05215,850
CNAG_01438L,CNAG_01438,386
CNAG_07464L,CNAG_07464,296
CNAG_01858L,CNAG_01858,922
CNAG_04586L,CNAG_04586,473
CNAG_05093L,CNAG_05093,657
CNAG_05176L,CNAG_05176,411
CNAG_01014L,CNAG_01014,305
CNAG_00998L,CNAG_00998,418
CNAG_00039L,CNAG_00039,697
CNAG_07329L,CNAG_07329,8
CNAG_01454L,CNAG_01454,654
CNAG_02700L,CNAG_02700,20
CNAG_06327L,CNAG_06327,239
CNAG_03788L,CNAG_03788,603
CNAG_00871L,CNAG_00871,675
CNAG_00559L,CNAG_00559,26721
CNAG_07370L,CNAG_07370,763
CNAG_00732L,CNAG_00732,482
CNAG_04630L,CNAG_04630,935
CNAG_07940L,CNAG_07940,846
CNAG_02589L,CNAG_02589,712
CNAG_05067L,CNAG_05067,725
CNAG_01645L,CNAG_01645,1568
CNAG_06134L,CNAG_06134,1
CNAG_01242L,CNAG_01242,278
CNAG_02788L,CNAG_02788,295
CNAG_07435L,CNAG_07435,34
CNAG_03998L,CNAG_03998,657
CNAG_07924L,CNAG_07924,1065
CNAG_01071L,CNAG_01071,592
CNAG_00883L,CNAG_00883,561
CNAG_03741L,CNAG_03741,579
CNAG_03745L,CNAG_03745,805
CNAG_00192L,CNAG_00192,601
CNAG_00670L,CNAG_00670,720
CNAG_06871L,CNAG_06871,696
CNAG_04457L,CNAG_04457,605
CNAG_02723L,CNAG_02723,645
CNAG_04588L,CNAG_04588,184
CNAG_01977L,CNAG_01977,537
CNAG_03894L,CNAG_03894,693
CNAG_04012L,CNAG_04012,607
CNAG_03561L,CNAG_03561,526
CNAG_05170L,CNAG_05170,529
CNAG_04041L,CNAG_04041,210
CNAG_02364L,CNAG_02364,697
CNAG_04093L,CNAG_04093,693
CNAG_02322L,CNAG_02322,803
CNAG_04184L,CNAG_04184,662
CNAG_05255L,CNAG_05255,763
CNAG_05642L,CNAG_05642,388
CNAG_03059L,CNAG_03059,638
CNAG_03018L,CNAG_03018,549
CNAG_07901L,CNAG_07901,530
CNAG_03086L,CNAG_03086,641
CNAG_04916L,CNAG_04916,469
CNAG_06097L,CNAG_06097,583
CNAG_03115L,CNAG_03115,590
CNAG_03132L,CNAG_03132,664
CNAG_04841L,CNAG_04841,847
CNAG_06136L,CNAG_06136,604
CNAG_03177L,CNAG_03177,1296
CNAG_03183L,CNAG_03183,291
CNAG_06188L,CNAG_06188,649
CNAG_02877L,CNAG_02877,329
CNAG_04359L,CNAG_04359,1242
CNAG_04774L,CNAG_04774,1082
CNAG_04768L,CNAG_04768,830
CNAG_02066L,CNAG_02066,681
CNAG_07922L,CNAG_07922,598
CNAG_06276L,CNAG_06276,756
CNAG_05222L,CNAG_05222,144
CNAG_03409L,CNAG_03409,177
CNAG_05622L,CNAG_05622,1261
CNAG_04637L,CNAG_04637,440
CNAG_07680L,CNAG_07680,67
CNAG_02215L,CNAG_02215,41
CNAG_00564L,CNAG_00564,909
CNAG_02387L,CNAG_02387,652
CNAG_04086L,CNAG_04086,963
CNAG_05697L,CNAG_05697,1123
CNAG_02697L,CNAG_02697,646
CNAG_06205L,CNAG_06205,604
CNAG_05372L,CNAG_05372,532
CNAG_04507L,CNAG_04507,595
CNAG_04506L,CNAG_04506,807
CNAG_00068L,CNAG_00068,9730
CNAG_05138L,CNAG_05138,388
CNAG_00733L,CNAG_00733,661
CNAG_03910L,CNAG_03910,795
CNAG_04059L,CNAG_04059,3163
CNAG_07491L,CNAG_07491,839
CNAG_05181L,CNAG_05181,90
CNAG_03915L,CNAG_03915,613
CNAG_03772L,CNAG_03772,601
CNAG_00445L,CNAG_00445,1280
CNAG_01901L,CNAG_01901,935
CNAG_05313L,CNAG_05313,639
CNAG_05312L,CNAG_05312,595
CNAG_03012L,CNAG_03012,423
CNAG_03011L,CNAG_03011,562
CNAG_00337L,CNAG_00337,5
CNAG_06200L,CNAG_06200,836
CNAG_02682L,CNAG_02682,618
CNAG_02683L,CNAG_02683,476
CNAG_00442L,CNAG_00442,843
CNAG_00183L,CNAG_00183,146
CNAG_07548L,CNAG_07548,2578
CNAG_01277L,CNAG_01277,930
CNAG_07512L,CNAG_07512,1228
CNAG_01230L,CNAG_01230,694
CNAG_05264L,CNAG_05264,351
CNAG_05263L,CNAG_05263,539
CNAG_01681L,CNAG_01681,690
CNAG_01040L,CNAG_01040,634
CNAG_00179L,CNAG_00179,659
CNAG_00547L,CNAG_00547,536
CNAG_00598L,CNAG_00598,671
CNAG_05229L,CNAG_05229,535
CNAG_01138L,CNAG_01138,591
CNAG_00597L,CNAG_00597,601
CNAG_02797L,CNAG_02797,637
CNAG_02219L,CNAG_02219,774
CNAG_02220L,CNAG_02220,662
CNAG_00674L,CNAG_00674,621
CNAG_03013L,CNAG_03013,157
CNAG_07540L,CNAG_07540,1053
CNAG_04981L,CNAG_04981,626
CNAG_04980L,CNAG_04980,9
CNAG_00456L,CNAG_00456,653
CNAG_00455L,CNAG_00455,565
CNAG_02152L,CNAG_02152,688
CNAG_00107L,CNAG_00107,558
CNAG_00106L,CNAG_00106,1573
CNAG_01061L,CNAG_01061,771
CNAG_03847L,CNAG_03847,677
CNAG_03848L,CNAG_03848,680
CNAG_01013L,CNAG_01013,17
CNAG_02777L,CNAG_02777,679
CNAG_07523L,CNAG_07523,558
CNAG_04990L,CNAG_04990,11
CNAG_04991L,CNAG_04991,247
CNAG_00531L,CNAG_00531,573
CNAG_05159L,CNAG_05159,603
CNAG_05079L,CNAG_05079,989
CNAG_05080L,CNAG_05080,687
CNAG_04869L,CNAG_04869,681
CNAG_00164L,CNAG_00164,518
