Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,165
CNAG_05515L,CNAG_05515,447
CNAG_05641L,CNAG_05641,352
CNAG_05387L,CNAG_05387,464
CNAG_05590L,CNAG_05590,1149
CNAG_07869L,CNAG_07869,427
CNAG_05340L,CNAG_05340,311
CNAG_05638L,CNAG_05638,367
CNAG_05639L,CNAG_05639,263
CNAG_06346L,CNAG_06346,320
CNAG_06347L,CNAG_06347,332
CNAG_06517L,CNAG_06517,460
CNAG_07939L,CNAG_07939,378
CNAG_06493L,CNAG_06493,336
CNAG_06201L,CNAG_06201,338
CNAG_06104L,CNAG_06104,237
CNAG_06081L,CNAG_06081,371
CNAG_07902L,CNAG_07902,344
CNAG_06241L,CNAG_06241,16
CNAG_06242L,CNAG_06242,17
CNAG_06186L,CNAG_06186,309
CNAG_07911L,CNAG_07911,367
CNAG_01551L,CNAG_01551,451
CNAG_01683L,CNAG_01683,316
CNAG_01983L,CNAG_01983,382
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,359
CNAG_01621L,CNAG_01621,342
CNAG_01988L,CNAG_01988,273
CNAG_01989L,CNAG_01989,368
CNAG_01939L,CNAG_01939,397
CNAG_01993L,CNAG_01993,299
CNAG_01992L,CNAG_01992,327
CNAG_01965L,CNAG_01965,311
CNAG_01562L,CNAG_01562,253
CNAG_01925L,CNAG_01925,383
CNAG_04756L,CNAG_04756,368
CNAG_04807L,CNAG_04807,408
CNAG_04837L,CNAG_04837,334
CNAG_04836L,CNAG_04836,342
CNAG_04737L,CNAG_04737,484
CNAG_04875L,CNAG_04875,130
CNAG_04874L,CNAG_04874,797
CNAG_04868L,CNAG_04868,72
CNAG_04752L,CNAG_04752,332
CNAG_04753L,CNAG_04753,817
CNAG_04909L,CNAG_04909,372
CNAG_04908L,CNAG_04908,328
CNAG_04659L,CNAG_04659,244
CNAG_04623L,CNAG_04623,365
CNAG_04518L,CNAG_04518,317
CNAG_04517L,CNAG_04517,392
CNAG_07770L,CNAG_07770,277
CNAG_04436L,CNAG_04436,118
CNAG_04271L,CNAG_04271,294
CNAG_04270L,CNAG_04270,243
CNAG_03346L,CNAG_03346,368
CNAG_03433L,CNAG_03433,365
CNAG_03333L,CNAG_03333,481
CNAG_07742L,CNAG_07742,1025
CNAG_03438L,CNAG_03438,301
CNAG_03223L,CNAG_03223,430
CNAG_03142L,CNAG_03142,284
CNAG_03143L,CNAG_03143,308
CNAG_03545L,CNAG_03545,497
CNAG_03161L,CNAG_03161,318
CNAG_03566L,CNAG_03566,255
CNAG_05835L,CNAG_05835,320
CNAG_05864L,CNAG_05864,588
CNAG_06567L,CNAG_06567,423
CNAG_05742L,CNAG_05742,48
CNAG_05743L,CNAG_05743,91
CNAG_05867L,CNAG_05867,296
CNAG_05685L,CNAG_05685,1212
CNAG_05684L,CNAG_05684,154
CNAG_05785L,CNAG_05785,301
CNAG_05843L,CNAG_05843,17
CNAG_06554L,CNAG_06554,321
CNAG_02189L,CNAG_02189,421
CNAG_02188L,CNAG_02188,411
CNAG_02182L,CNAG_02182,557
CNAG_07631L,CNAG_07631,444
CNAG_02371L,CNAG_02371,270
CNAG_07633L,CNAG_07633,59
CNAG_01069L,CNAG_01069,351
CNAG_00896L,CNAG_00896,1129
CNAG_06719L,CNAG_06719,80
CNAG_03669L,CNAG_03669,289
CNAG_00031L,CNAG_00031,293
CNAG_07332L,CNAG_07332,219
CNAG_00285L,CNAG_00285,329
CNAG_00828L,CNAG_00828,293
CNAG_00830L,CNAG_00830,353
CNAG_00841L,CNAG_00841,351
CNAG_02774L,CNAG_02774,239
CNAG_06531L,CNAG_06531,522
CNAG_03279L,CNAG_03279,421
CNAG_03336L,CNAG_03336,565
CNAG_06339L,CNAG_06339,411
CNAG_03768L,CNAG_03768,377
CNAG_04534L,CNAG_04534,379
CNAG_01973L,CNAG_01973,15
CNAG_07867L,CNAG_07867,314
CNAG_05333L,CNAG_05333,343
CNAG_06425L,CNAG_06425,319
CNAG_03849L,CNAG_03849,895
CNAG_02603L,CNAG_02603,326
CNAG_02555L,CNAG_02555,311
CNAG_03431L,CNAG_03431,155
CNAG_05049L,CNAG_05049,304
CNAG_05380L,CNAG_05380,387
CNAG_03914L,CNAG_03914,319
CNAG_02476L,CNAG_02476,307
CNAG_07583L,CNAG_07583,339
CNAG_02466L,CNAG_02466,291
CNAG_05112L,CNAG_05112,375
CNAG_03366L,CNAG_03366,461
CNAG_03977L,CNAG_03977,160
CNAG_04090L,CNAG_04090,921
CNAG_00791L,CNAG_00791,299
CNAG_06751L,CNAG_06751,223
CNAG_05375L,CNAG_05375,6770
CNAG_02516L,CNAG_02516,357
CNAG_04804L,CNAG_04804,35
CNAG_00627L,CNAG_00627,326
CNAG_07725L,CNAG_07725,466
CNAG_06203L,CNAG_06203,238
CNAG_00193L,CNAG_00193,13
CNAG_01883L,CNAG_01883,289
CNAG_03401L,CNAG_03401,336
CNAG_02435L,CNAG_02435,250
CNAG_05153L,CNAG_05153,6
CNAG_01708L,CNAG_01708,306
CNAG_03700L,CNAG_03700,300
CNAG_07320L,CNAG_07320,58
CNAG_05215L,CNAG_05215,439
CNAG_01438L,CNAG_01438,193
CNAG_07464L,CNAG_07464,159
CNAG_01858L,CNAG_01858,490
CNAG_04586L,CNAG_04586,57
CNAG_05093L,CNAG_05093,368
CNAG_05176L,CNAG_05176,236
CNAG_01014L,CNAG_01014,155
CNAG_00998L,CNAG_00998,125
CNAG_00039L,CNAG_00039,286
CNAG_07329L,CNAG_07329,17
CNAG_01454L,CNAG_01454,352
CNAG_02700L,CNAG_02700,8
CNAG_06327L,CNAG_06327,164
CNAG_03788L,CNAG_03788,315
CNAG_00871L,CNAG_00871,400
CNAG_00559L,CNAG_00559,11216
CNAG_07370L,CNAG_07370,438
CNAG_00732L,CNAG_00732,453
CNAG_04630L,CNAG_04630,472
CNAG_07940L,CNAG_07940,396
CNAG_02589L,CNAG_02589,410
CNAG_05067L,CNAG_05067,387
CNAG_01645L,CNAG_01645,940
CNAG_01242L,CNAG_01242,76
CNAG_02788L,CNAG_02788,144
CNAG_07435L,CNAG_07435,24
CNAG_03998L,CNAG_03998,374
CNAG_07924L,CNAG_07924,654
CNAG_01071L,CNAG_01071,292
CNAG_00883L,CNAG_00883,222
CNAG_03741L,CNAG_03741,362
CNAG_03745L,CNAG_03745,371
CNAG_00192L,CNAG_00192,389
CNAG_00670L,CNAG_00670,391
CNAG_06871L,CNAG_06871,375
CNAG_04457L,CNAG_04457,325
CNAG_02723L,CNAG_02723,411
CNAG_04588L,CNAG_04588,172
CNAG_01977L,CNAG_01977,305
CNAG_03894L,CNAG_03894,350
CNAG_04012L,CNAG_04012,332
CNAG_03561L,CNAG_03561,454
CNAG_05170L,CNAG_05170,255
CNAG_04041L,CNAG_04041,91
CNAG_02364L,CNAG_02364,422
CNAG_04093L,CNAG_04093,379
CNAG_02322L,CNAG_02322,311
CNAG_04184L,CNAG_04184,317
CNAG_05255L,CNAG_05255,363
CNAG_05642L,CNAG_05642,94
CNAG_03059L,CNAG_03059,350
CNAG_03018L,CNAG_03018,314
CNAG_07901L,CNAG_07901,347
CNAG_03086L,CNAG_03086,338
CNAG_04916L,CNAG_04916,291
CNAG_06097L,CNAG_06097,378
CNAG_03115L,CNAG_03115,313
CNAG_03132L,CNAG_03132,368
CNAG_04841L,CNAG_04841,440
CNAG_06136L,CNAG_06136,390
CNAG_03177L,CNAG_03177,750
CNAG_03183L,CNAG_03183,174
CNAG_06188L,CNAG_06188,368
CNAG_02877L,CNAG_02877,222
CNAG_04359L,CNAG_04359,920
CNAG_04774L,CNAG_04774,392
CNAG_04768L,CNAG_04768,385
CNAG_02066L,CNAG_02066,356
CNAG_07922L,CNAG_07922,301
CNAG_06276L,CNAG_06276,387
CNAG_05222L,CNAG_05222,140
CNAG_03409L,CNAG_03409,216
CNAG_05622L,CNAG_05622,752
CNAG_04637L,CNAG_04637,267
CNAG_07680L,CNAG_07680,49
CNAG_02215L,CNAG_02215,28
CNAG_00564L,CNAG_00564,567
CNAG_02387L,CNAG_02387,434
CNAG_04086L,CNAG_04086,545
CNAG_05697L,CNAG_05697,528
CNAG_02697L,CNAG_02697,374
CNAG_06205L,CNAG_06205,338
CNAG_05372L,CNAG_05372,278
CNAG_04507L,CNAG_04507,283
CNAG_04506L,CNAG_04506,448
CNAG_00068L,CNAG_00068,4279
CNAG_05138L,CNAG_05138,236
CNAG_00733L,CNAG_00733,375
CNAG_03910L,CNAG_03910,418
CNAG_04059L,CNAG_04059,1615
CNAG_07491L,CNAG_07491,502
CNAG_05181L,CNAG_05181,249
