Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,270
CNAG_05387R,CNAG_05387,294
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,173
CNAG_05639R,CNAG_05639,171
CNAG_06346R,CNAG_06346,239
CNAG_06347R,CNAG_06347,196
CNAG_06517R,CNAG_06517,259
CNAG_06201R,CNAG_06201,160
CNAG_06104R,CNAG_06104,129
CNAG_07902R,CNAG_07902,181
CNAG_06241R,CNAG_06241,5
CNAG_06242R,CNAG_06242,14
CNAG_07911R,CNAG_07911,148
CNAG_01683R,CNAG_01683,229
CNAG_01902R,CNAG_01902,5
CNAG_01680R,CNAG_01680,139
CNAG_01989R,CNAG_01989,136
CNAG_01965R,CNAG_01965,167
CNAG_01925R,CNAG_01925,142
CNAG_04837R,CNAG_04837,197
CNAG_04836R,CNAG_04836,212
CNAG_04875R,CNAG_04875,74
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,30
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,159
CNAG_04517R,CNAG_04517,176
CNAG_07770R,CNAG_07770,152
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,255
CNAG_07742R,CNAG_07742,325
CNAG_03142R,CNAG_03142,143
CNAG_03566R,CNAG_03566,114
CNAG_05864R,CNAG_05864,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,111
CNAG_05684R,CNAG_05684,67
CNAG_02189R,CNAG_02189,272
CNAG_02371R,CNAG_02371,163
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,136
CNAG_03669R,CNAG_03669,174
CNAG_07332R,CNAG_07332,119
CNAG_00285R,CNAG_00285,171
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,188
CNAG_00841R,CNAG_00841,209
CNAG_06531R,CNAG_06531,273
CNAG_03279R,CNAG_03279,200
CNAG_03336R,CNAG_03336,304
CNAG_06339R,CNAG_06339,282
CNAG_03768R,CNAG_03768,236
CNAG_04534R,CNAG_04534,151
CNAG_01973R,CNAG_01973,120
CNAG_07867R,CNAG_07867,192
CNAG_05333R,CNAG_05333,194
CNAG_06425R,CNAG_06425,133
CNAG_03849R,CNAG_03849,203
CNAG_02603R,CNAG_02603,162
CNAG_02555R,CNAG_02555,204
CNAG_02525R,CNAG_02525,18
CNAG_03431R,CNAG_03431,78
CNAG_05049R,CNAG_05049,130
CNAG_03914R,CNAG_03914,148
CNAG_02476R,CNAG_02476,134
CNAG_07583R,CNAG_07583,154
CNAG_05112R,CNAG_05112,162
CNAG_03366R,CNAG_03366,236
CNAG_04090R,CNAG_04090,553
CNAG_00791R,CNAG_00791,157
CNAG_05375R,CNAG_05375,4039
CNAG_02516R,CNAG_02516,186
CNAG_04804R,CNAG_04804,30
CNAG_06203R,CNAG_06203,119
CNAG_00193R,CNAG_00193,7
CNAG_01883R,CNAG_01883,179
CNAG_03401R,CNAG_03401,166
CNAG_02435R,CNAG_02435,165
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,175
CNAG_03700R,CNAG_03700,167
CNAG_05215R,CNAG_05215,248
CNAG_01438R,CNAG_01438,78
CNAG_07464R,CNAG_07464,90
CNAG_01858R,CNAG_01858,294
CNAG_04586R,CNAG_04586,33
CNAG_05176R,CNAG_05176,129
CNAG_01014R,CNAG_01014,88
CNAG_01454R,CNAG_01454,217
CNAG_06327R,CNAG_06327,85
CNAG_03788R,CNAG_03788,211
CNAG_00871R,CNAG_00871,197
CNAG_00559R,CNAG_00559,5444
CNAG_07370R,CNAG_07370,209
CNAG_02589R,CNAG_02589,215
CNAG_01645R,CNAG_01645,459
CNAG_01242R,CNAG_01242,39
CNAG_02788R,CNAG_02788,61
CNAG_07435R,CNAG_07435,14
CNAG_07924R,CNAG_07924,329
CNAG_01071R,CNAG_01071,151
CNAG_00883R,CNAG_00883,103
CNAG_03741R,CNAG_03741,204
CNAG_03745R,CNAG_03745,208
CNAG_00192R,CNAG_00192,201
CNAG_00670R,CNAG_00670,234
CNAG_06871R,CNAG_06871,190
CNAG_04457R,CNAG_04457,197
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,97
CNAG_03894R,CNAG_03894,204
CNAG_04012R,CNAG_04012,202
CNAG_01487R,CNAG_01487,191
CNAG_05170R,CNAG_05170,184
CNAG_02364R,CNAG_02364,198
CNAG_04093R,CNAG_04093,227
CNAG_02322R,CNAG_02322,187
CNAG_05255R,CNAG_05255,191
CNAG_03018R,CNAG_03018,194
CNAG_07901R,CNAG_07901,155
CNAG_03086R,CNAG_03086,191
CNAG_06097R,CNAG_06097,193
CNAG_06136R,CNAG_06136,202
CNAG_03177R,CNAG_03177,214
CNAG_03183R,CNAG_03183,114
CNAG_06188R,CNAG_06188,1
CNAG_04774R,CNAG_04774,166
CNAG_04768R,CNAG_04768,221
CNAG_06276R,CNAG_06276,204
CNAG_05222R,CNAG_05222,36
CNAG_03409R,CNAG_03409,93
CNAG_05622R,CNAG_05622,190
CNAG_04637R,CNAG_04637,151
CNAG_07680R,CNAG_07680,26
CNAG_02215R,CNAG_02215,24
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,289
CNAG_04086R,CNAG_04086,256
CNAG_05697R,CNAG_05697,275
CNAG_04507R,CNAG_04507,212
CNAG_04506R,CNAG_04506,191
CNAG_00068R,CNAG_00068,356
CNAG_00733R,CNAG_00733,191
CNAG_03910R,CNAG_03910,196
CNAG_04059R,CNAG_04059,148
CNAG_07491R,CNAG_07491,258
CNAG_05181R,CNAG_05181,136
CNAG_03772R,CNAG_03772,181
CNAG_00445R,CNAG_00445,279
CNAG_01901R,CNAG_01901,305
CNAG_05313R,CNAG_05313,160
CNAG_05312R,CNAG_05312,193
CNAG_00442R,CNAG_00442,205
CNAG_01277R,CNAG_01277,278
CNAG_01230R,CNAG_01230,191
CNAG_00547R,CNAG_00547,124
CNAG_00598R,CNAG_00598,132
CNAG_05229R,CNAG_05229,1
CNAG_02219R,CNAG_02219,240
CNAG_03013R,CNAG_03013,51
CNAG_07540R,CNAG_07540,127
CNAG_04981R,CNAG_04981,1
CNAG_00456R,CNAG_00456,188
CNAG_00455R,CNAG_00455,230
CNAG_00107R,CNAG_00107,190
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,203
CNAG_01013R,CNAG_01013,4
CNAG_05080R,CNAG_05080,155
CNAG_00164R,CNAG_00164,132
CNAG_01082R,CNAG_01082,1
CNAG_04658R,CNAG_04658,1
CNAG_03677R,CNAG_03677,173
CNAG_05077R,CNAG_05077,261
CNAG_00776R,CNAG_00776,80
CNAG_04024R,CNAG_04024,198
CNAG_04025R,CNAG_04025,206
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,31
CNAG_01803R,CNAG_01803,231
CNAG_07541R,CNAG_07541,159
CNAG_07542R,CNAG_07542,199
CNAG_05915R,CNAG_05915,299
