Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,340
CNAG_05387R,CNAG_05387,387
CNAG_05638R,CNAG_05638,278
CNAG_05639R,CNAG_05639,248
CNAG_06346R,CNAG_06346,301
CNAG_06347R,CNAG_06347,225
CNAG_06517R,CNAG_06517,311
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,190
CNAG_06104R,CNAG_06104,210
CNAG_07902R,CNAG_07902,262
CNAG_06241R,CNAG_06241,3
CNAG_06242R,CNAG_06242,4
CNAG_07911R,CNAG_07911,273
CNAG_01683R,CNAG_01683,288
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,242
CNAG_01989R,CNAG_01989,179
CNAG_01965R,CNAG_01965,283
CNAG_01925R,CNAG_01925,255
CNAG_04837R,CNAG_04837,277
CNAG_04836R,CNAG_04836,288
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,200
CNAG_04868R,CNAG_04868,50
CNAG_04752R,CNAG_04752,2
CNAG_04518R,CNAG_04518,207
CNAG_04517R,CNAG_04517,269
CNAG_07770R,CNAG_07770,184
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,399
CNAG_07742R,CNAG_07742,536
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,201
CNAG_03566R,CNAG_03566,236
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,184
CNAG_05684R,CNAG_05684,166
CNAG_02189R,CNAG_02189,404
CNAG_02371R,CNAG_02371,201
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,191
CNAG_03669R,CNAG_03669,253
CNAG_07332R,CNAG_07332,197
CNAG_00285R,CNAG_00285,256
CNAG_00830R,CNAG_00830,252
CNAG_00841R,CNAG_00841,310
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,447
CNAG_03279R,CNAG_03279,283
CNAG_03336R,CNAG_03336,402
CNAG_06339R,CNAG_06339,319
CNAG_03768R,CNAG_03768,316
CNAG_04534R,CNAG_04534,244
CNAG_01973R,CNAG_01973,270
CNAG_07867R,CNAG_07867,241
CNAG_05333R,CNAG_05333,297
CNAG_06425R,CNAG_06425,192
CNAG_03849R,CNAG_03849,304
CNAG_02603R,CNAG_02603,243
CNAG_02555R,CNAG_02555,276
CNAG_02525R,CNAG_02525,45
CNAG_03431R,CNAG_03431,184
CNAG_05049R,CNAG_05049,238
CNAG_03914R,CNAG_03914,189
CNAG_02476R,CNAG_02476,266
CNAG_07583R,CNAG_07583,263
CNAG_05112R,CNAG_05112,237
CNAG_03366R,CNAG_03366,364
CNAG_04090R,CNAG_04090,496
CNAG_00791R,CNAG_00791,202
CNAG_05375R,CNAG_05375,4224
CNAG_02516R,CNAG_02516,261
CNAG_04804R,CNAG_04804,38
CNAG_06203R,CNAG_06203,174
CNAG_00193R,CNAG_00193,7
CNAG_01883R,CNAG_01883,318
CNAG_03401R,CNAG_03401,253
CNAG_02435R,CNAG_02435,89
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,259
CNAG_03700R,CNAG_03700,243
CNAG_05215R,CNAG_05215,288
CNAG_01438R,CNAG_01438,113
CNAG_07464R,CNAG_07464,143
CNAG_01858R,CNAG_01858,353
CNAG_04586R,CNAG_04586,128
CNAG_05176R,CNAG_05176,157
CNAG_01014R,CNAG_01014,107
CNAG_01454R,CNAG_01454,308
CNAG_06327R,CNAG_06327,114
CNAG_03788R,CNAG_03788,281
CNAG_00871R,CNAG_00871,287
CNAG_00559R,CNAG_00559,9925
CNAG_07370R,CNAG_07370,339
CNAG_00732R,CNAG_00732,1
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,328
CNAG_01645R,CNAG_01645,663
CNAG_01242R,CNAG_01242,61
CNAG_02788R,CNAG_02788,118
CNAG_07435R,CNAG_07435,27
CNAG_07924R,CNAG_07924,426
CNAG_01071R,CNAG_01071,202
CNAG_00883R,CNAG_00883,249
CNAG_03741R,CNAG_03741,281
CNAG_03745R,CNAG_03745,296
CNAG_00192R,CNAG_00192,251
CNAG_00670R,CNAG_00670,344
CNAG_06871R,CNAG_06871,243
CNAG_04457R,CNAG_04457,254
CNAG_04588R,CNAG_04588,136
CNAG_03894R,CNAG_03894,374
CNAG_04012R,CNAG_04012,298
CNAG_01487R,CNAG_01487,324
CNAG_05170R,CNAG_05170,211
CNAG_02364R,CNAG_02364,252
CNAG_04093R,CNAG_04093,267
CNAG_02322R,CNAG_02322,308
CNAG_05255R,CNAG_05255,295
CNAG_03018R,CNAG_03018,261
CNAG_07901R,CNAG_07901,268
CNAG_03086R,CNAG_03086,261
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,272
CNAG_06136R,CNAG_06136,284
CNAG_03177R,CNAG_03177,420
CNAG_03183R,CNAG_03183,184
CNAG_06188R,CNAG_06188,2
CNAG_04774R,CNAG_04774,301
CNAG_04768R,CNAG_04768,594
CNAG_06276R,CNAG_06276,310
CNAG_05222R,CNAG_05222,40
CNAG_03409R,CNAG_03409,63
CNAG_05622R,CNAG_05622,273
CNAG_04637R,CNAG_04637,188
CNAG_07680R,CNAG_07680,36
CNAG_02215R,CNAG_02215,21
CNAG_02387R,CNAG_02387,415
CNAG_04086R,CNAG_04086,364
CNAG_05697R,CNAG_05697,395
CNAG_04507R,CNAG_04507,230
CNAG_04506R,CNAG_04506,264
CNAG_00068R,CNAG_00068,470
CNAG_00733R,CNAG_00733,241
CNAG_03910R,CNAG_03910,275
CNAG_04059R,CNAG_04059,243
CNAG_07491R,CNAG_07491,359
CNAG_05181R,CNAG_05181,76
CNAG_03772R,CNAG_03772,269
CNAG_00445R,CNAG_00445,451
CNAG_01901R,CNAG_01901,398
CNAG_05313R,CNAG_05313,209
CNAG_05312R,CNAG_05312,305
CNAG_00442R,CNAG_00442,299
CNAG_01277R,CNAG_01277,364
CNAG_01230R,CNAG_01230,295
CNAG_00547R,CNAG_00547,176
CNAG_00598R,CNAG_00598,273
CNAG_02219R,CNAG_02219,382
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,64
CNAG_07540R,CNAG_07540,222
CNAG_04980R,CNAG_04980,2
CNAG_00456R,CNAG_00456,311
CNAG_00455R,CNAG_00455,234
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,266
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,314
CNAG_01013R,CNAG_01013,10
CNAG_05159R,CNAG_05159,2
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,233
CNAG_00164R,CNAG_00164,199
CNAG_03677R,CNAG_03677,244
CNAG_03841R,CNAG_03841,1
CNAG_05077R,CNAG_05077,296
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,108
CNAG_04024R,CNAG_04024,292
CNAG_04025R,CNAG_04025,299
CNAG_01019R,CNAG_01019,38
CNAG_01803R,CNAG_01803,340
CNAG_07541R,CNAG_07541,263
CNAG_07542R,CNAG_07542,336
CNAG_05915R,CNAG_05915,442
CNAG_00917R,CNAG_00917,942
CNAG_00919R,CNAG_00919,259
CNAG_05458R,CNAG_05458,415
CNAG_05459R,CNAG_05459,281
CNAG_01985R,CNAG_01985,175
CNAG_00740R,CNAG_00740,224
CNAG_04163R,CNAG_04163,270
CNAG_04162R,CNAG_04162,188
CNAG_04755R,CNAG_04755,114
CNAG_01777R,CNAG_01777,176
CNAG_04217R,CNAG_04217,1
CNAG_03173R,CNAG_03173,294
CNAG_03172R,CNAG_03172,365
CNAG_07388R,CNAG_07388,277
CNAG_07389R,CNAG_07389,311
CNAG_06060R,CNAG_06060,240
CNAG_00581R,CNAG_00581,155
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,423
CNAG_04950R,CNAG_04950,255
CNAG_04949R,CNAG_04949,304
CNAG_01865R,CNAG_01865,264
CNAG_00717R,CNAG_00717,60
CNAG_06896R,CNAG_06896,270
CNAG_05812R,CNAG_05812,126
CNAG_06658R,CNAG_06658,197
CNAG_05994R,CNAG_05994,287
CNAG_02517R,CNAG_02517,379
CNAG_03329R,CNAG_03329,233
CNAG_04471R,CNAG_04471,324
CNAG_03075R,CNAG_03075,1
CNAG_00699R,CNAG_00699,234
CNAG_02129R,CNAG_02129,405
CNAG_05352R,CNAG_05352,151
CNAG_05415R,CNAG_05415,1
CNAG_07486R,CNAG_07486,270
CNAG_00710R,CNAG_00710,210
CNAG_00709R,CNAG_00709,358
CNAG_03689R,CNAG_03689,213
CNAG_01704R,CNAG_01704,256
CNAG_07827R,CNAG_07827,191
CNAG_07516R,CNAG_07516,238
CNAG_00156R,CNAG_00156,1
CNAG_00157R,CNAG_00157,156
CNAG_01776R,CNAG_01776,241
CNAG_07605R,CNAG_07605,181
CNAG_01846R,CNAG_01846,275
CNAG_02540R,CNAG_02540,1
CNAG_00798R,CNAG_00798,3
CNAG_00799R,CNAG_00799,38
CNAG_04657R,CNAG_04657,268
CNAG_04385R,CNAG_04385,270
CNAG_04386R,CNAG_04386,292
CNAG_07847R,CNAG_07847,281
CNAG_02226R,CNAG_02226,224
CNAG_02225R,CNAG_02225,236
CNAG_04860R,CNAG_04860,232
CNAG_01105R,CNAG_01105,382
CNAG_03524R,CNAG_03524,234
CNAG_03733R,CNAG_03733,285
CNAG_03732R,CNAG_03732,337
CNAG_03247R,CNAG_03247,350
CNAG_03193R,CNAG_03193,218
CNAG_03194R,CNAG_03194,337
CNAG_06574R,CNAG_06574,296
CNAG_04663R,CNAG_04663,218
CNAG_02944R,CNAG_02944,285
CNAG_05872R,CNAG_05872,195
CNAG_02775R,CNAG_02775,9
CNAG_07498R,CNAG_07498,338
CNAG_00475R,CNAG_00475,5701
CNAG_06501R,CNAG_06501,177
CNAG_06502R,CNAG_06502,243
CNAG_00587R,CNAG_00587,337
CNAG_04691R,CNAG_04691,316
CNAG_05522R,CNAG_05522,376
CNAG_01930R,CNAG_01930,664
CNAG_03002R,CNAG_03002,375
CNAG_01448R,CNAG_01448,122
CNAG_07685R,CNAG_07685,248
CNAG_03902R,CNAG_03902,87
CNAG_02010R,CNAG_02010,3322
CNAG_01642R,CNAG_01642,371
CNAG_04705R,CNAG_04705,408
CNAG_01420R,CNAG_01420,233
CNAG_07519R,CNAG_07519,393
CNAG_06240R,CNAG_06240,424
CNAG_00777R,CNAG_00777,398
CNAG_01118R,CNAG_01118,341
CNAG_03866R,CNAG_03866,326
CNAG_06595R,CNAG_06595,219
CNAG_01524R,CNAG_01524,288
CNAG_04594R,CNAG_04594,258
CNAG_06993R,CNAG_06993,1
CNAG_02588R,CNAG_02588,290
CNAG_06905R,CNAG_06905,264
CNAG_06904R,CNAG_06904,266
CNAG_02288R,CNAG_02288,246
CNAG_03408R,CNAG_03408,3
CNAG_07752R,CNAG_07752,287
CNAG_04587R,CNAG_04587,259
CNAG_02692R,CNAG_02692,305
CNAG_02776R,CNAG_02776,445
CNAG_04885R,CNAG_04885,266
CNAG_06662R,CNAG_06662,313
CNAG_02165R,CNAG_02165,289
CNAG_02071R,CNAG_02071,277
CNAG_02070R,CNAG_02070,222
CNAG_02684R,CNAG_02684,424
CNAG_05420R,CNAG_05420,37
CNAG_05939R,CNAG_05939,499
CNAG_07743R,CNAG_07743,2
CNAG_00765R,CNAG_00765,182
CNAG_00745R,CNAG_00745,27
CNAG_00744R,CNAG_00744,313
CNAG_00162R,CNAG_00162,239
CNAG_02658R,CNAG_02658,144
CNAG_06401R,CNAG_06401,290
CNAG_01960R,CNAG_01960,185
CNAG_01961R,CNAG_01961,963
CNAG_02930R,CNAG_02930,120
CNAG_01238R,CNAG_01238,6
CNAG_01239R,CNAG_01239,269
CNAG_00332R,CNAG_00332,186
CNAG_00333R,CNAG_00333,201
CNAG_05663R,CNAG_05663,76
CNAG_05664R,CNAG_05664,256
CNAG_01574R,CNAG_01574,531
CNAG_01573R,CNAG_01573,197
CNAG_06963R,CNAG_06963,189
CNAG_03719R,CNAG_03719,235
CNAG_02041R,CNAG_02041,181
CNAG_06889R,CNAG_06889,267
CNAG_04141R,CNAG_04141,345
CNAG_07415R,CNAG_07415,58
CNAG_05586R,CNAG_05586,287
CNAG_05686R,CNAG_05686,186
CNAG_00400R,CNAG_00400,409
CNAG_04213R,CNAG_04213,239
CNAG_04736R,CNAG_04736,250
CNAG_04735R,CNAG_04735,225
CNAG_05392R,CNAG_05392,368
CNAG_05393R,CNAG_05393,232
CNAG_06034R,CNAG_06034,207
CNAG_05250R,CNAG_05250,193
CNAG_01773R,CNAG_01773,125
