Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,489
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,399
CNAG_05638R,CNAG_05638,249
CNAG_05639R,CNAG_05639,215
CNAG_06346R,CNAG_06346,351
CNAG_06347R,CNAG_06347,231
CNAG_06517R,CNAG_06517,401
CNAG_06201R,CNAG_06201,200
CNAG_06104R,CNAG_06104,252
CNAG_07902R,CNAG_07902,270
CNAG_06241R,CNAG_06241,102
CNAG_06242R,CNAG_06242,98
CNAG_07911R,CNAG_07911,228
CNAG_01683R,CNAG_01683,337
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,243
CNAG_01989R,CNAG_01989,183
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,289
CNAG_01925R,CNAG_01925,254
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,289
CNAG_04836R,CNAG_04836,287
CNAG_04875R,CNAG_04875,298
CNAG_04868R,CNAG_04868,58
CNAG_04518R,CNAG_04518,299
CNAG_04517R,CNAG_04517,282
CNAG_07770R,CNAG_07770,316
CNAG_03333R,CNAG_03333,342
CNAG_07742R,CNAG_07742,603
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,192
CNAG_03143R,CNAG_03143,1
CNAG_03545R,CNAG_03545,1
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,218
CNAG_05867R,CNAG_05867,201
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,185
CNAG_02189R,CNAG_02189,316
CNAG_02371R,CNAG_02371,205
CNAG_07633R,CNAG_07633,2
CNAG_06719R,CNAG_06719,192
CNAG_03669R,CNAG_03669,284
CNAG_07332R,CNAG_07332,190
CNAG_00285R,CNAG_00285,208
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,273
CNAG_00841R,CNAG_00841,305
CNAG_06531R,CNAG_06531,443
CNAG_03279R,CNAG_03279,244
CNAG_03336R,CNAG_03336,440
CNAG_06339R,CNAG_06339,434
CNAG_03768R,CNAG_03768,331
CNAG_04534R,CNAG_04534,297
CNAG_01973R,CNAG_01973,222
CNAG_07867R,CNAG_07867,255
CNAG_05333R,CNAG_05333,325
CNAG_06425R,CNAG_06425,243
CNAG_03849R,CNAG_03849,392
CNAG_02603R,CNAG_02603,269
CNAG_02555R,CNAG_02555,364
CNAG_02525R,CNAG_02525,14
CNAG_03431R,CNAG_03431,136
CNAG_05049R,CNAG_05049,213
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,338
CNAG_02476R,CNAG_02476,216
CNAG_07583R,CNAG_07583,283
CNAG_05112R,CNAG_05112,234
CNAG_03366R,CNAG_03366,388
CNAG_04090R,CNAG_04090,653
CNAG_00791R,CNAG_00791,211
CNAG_05375R,CNAG_05375,9408
CNAG_02516R,CNAG_02516,281
CNAG_04804R,CNAG_04804,19
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,311
CNAG_00193R,CNAG_00193,6
CNAG_01883R,CNAG_01883,307
CNAG_03401R,CNAG_03401,283
CNAG_02435R,CNAG_02435,221
CNAG_05153R,CNAG_05153,1
CNAG_01708R,CNAG_01708,302
CNAG_03700R,CNAG_03700,328
CNAG_05215R,CNAG_05215,299
CNAG_01438R,CNAG_01438,149
CNAG_07464R,CNAG_07464,110
CNAG_01858R,CNAG_01858,392
CNAG_04586R,CNAG_04586,290
CNAG_05176R,CNAG_05176,190
CNAG_01014R,CNAG_01014,148
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,312
CNAG_06327R,CNAG_06327,78
CNAG_03788R,CNAG_03788,248
CNAG_00871R,CNAG_00871,321
CNAG_00559R,CNAG_00559,10489
CNAG_07370R,CNAG_07370,349
CNAG_02589R,CNAG_02589,353
CNAG_01645R,CNAG_01645,723
CNAG_01242R,CNAG_01242,72
CNAG_02788R,CNAG_02788,60
CNAG_07435R,CNAG_07435,43
CNAG_07924R,CNAG_07924,494
CNAG_01071R,CNAG_01071,243
CNAG_00883R,CNAG_00883,221
CNAG_03741R,CNAG_03741,302
CNAG_03745R,CNAG_03745,319
CNAG_00192R,CNAG_00192,318
CNAG_00670R,CNAG_00670,310
CNAG_06871R,CNAG_06871,310
CNAG_04457R,CNAG_04457,297
CNAG_04588R,CNAG_04588,118
CNAG_03894R,CNAG_03894,310
CNAG_04012R,CNAG_04012,334
CNAG_01487R,CNAG_01487,320
CNAG_05170R,CNAG_05170,281
CNAG_02364R,CNAG_02364,323
CNAG_04093R,CNAG_04093,286
CNAG_02322R,CNAG_02322,256
CNAG_05255R,CNAG_05255,340
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,290
CNAG_07901R,CNAG_07901,225
CNAG_03086R,CNAG_03086,269
CNAG_06097R,CNAG_06097,210
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,258
CNAG_03177R,CNAG_03177,310
CNAG_03183R,CNAG_03183,114
CNAG_04774R,CNAG_04774,356
CNAG_04768R,CNAG_04768,242
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,304
CNAG_05222R,CNAG_05222,95
CNAG_03409R,CNAG_03409,80
CNAG_05622R,CNAG_05622,278
CNAG_04637R,CNAG_04637,182
CNAG_07680R,CNAG_07680,64
CNAG_02215R,CNAG_02215,43
CNAG_02387R,CNAG_02387,345
CNAG_04086R,CNAG_04086,408
CNAG_05697R,CNAG_05697,437
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,247
CNAG_04506R,CNAG_04506,337
CNAG_00068R,CNAG_00068,565
CNAG_00733R,CNAG_00733,265
CNAG_03910R,CNAG_03910,344
CNAG_04059R,CNAG_04059,249
CNAG_07491R,CNAG_07491,339
CNAG_05181R,CNAG_05181,250
CNAG_03772R,CNAG_03772,305
CNAG_00445R,CNAG_00445,617
CNAG_01901R,CNAG_01901,450
CNAG_05313R,CNAG_05313,117
CNAG_05312R,CNAG_05312,317
CNAG_03011R,CNAG_03011,1
CNAG_00442R,CNAG_00442,352
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,440
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,229
CNAG_01681R,CNAG_01681,1
CNAG_00547R,CNAG_00547,211
CNAG_00598R,CNAG_00598,270
CNAG_05229R,CNAG_05229,1
CNAG_01138R,CNAG_01138,1
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,397
CNAG_03013R,CNAG_03013,44
CNAG_07540R,CNAG_07540,405
CNAG_04980R,CNAG_04980,9
CNAG_00456R,CNAG_00456,292
CNAG_00455R,CNAG_00455,292
CNAG_00107R,CNAG_00107,265
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,330
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,26
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,255
CNAG_00164R,CNAG_00164,258
CNAG_03727R,CNAG_03727,1
CNAG_03677R,CNAG_03677,325
CNAG_05076R,CNAG_05076,1
CNAG_05077R,CNAG_05077,384
CNAG_00776R,CNAG_00776,84
CNAG_04024R,CNAG_04024,348
CNAG_04025R,CNAG_04025,335
CNAG_01019R,CNAG_01019,50
CNAG_01803R,CNAG_01803,330
CNAG_00654R,CNAG_00654,1
CNAG_07541R,CNAG_07541,234
CNAG_07542R,CNAG_07542,346
CNAG_05915R,CNAG_05915,308
CNAG_00917R,CNAG_00917,936
CNAG_00919R,CNAG_00919,314
CNAG_05458R,CNAG_05458,382
CNAG_05459R,CNAG_05459,326
CNAG_01985R,CNAG_01985,182
CNAG_00740R,CNAG_00740,150
CNAG_04163R,CNAG_04163,274
CNAG_04162R,CNAG_04162,133
CNAG_04755R,CNAG_04755,82
CNAG_01777R,CNAG_01777,257
CNAG_05888R,CNAG_05888,2
CNAG_03173R,CNAG_03173,373
CNAG_03172R,CNAG_03172,336
CNAG_07388R,CNAG_07388,297
CNAG_07389R,CNAG_07389,304
CNAG_06060R,CNAG_06060,257
CNAG_00581R,CNAG_00581,175
CNAG_02045R,CNAG_02045,355
CNAG_04950R,CNAG_04950,282
CNAG_04949R,CNAG_04949,278
CNAG_01865R,CNAG_01865,313
CNAG_00717R,CNAG_00717,92
CNAG_06896R,CNAG_06896,282
CNAG_05812R,CNAG_05812,302
CNAG_06658R,CNAG_06658,262
CNAG_05994R,CNAG_05994,305
CNAG_02517R,CNAG_02517,359
CNAG_03329R,CNAG_03329,140
CNAG_04471R,CNAG_04471,330
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,258
CNAG_02129R,CNAG_02129,425
CNAG_05352R,CNAG_05352,154
CNAG_02293R,CNAG_02293,3
CNAG_05415R,CNAG_05415,1
CNAG_07486R,CNAG_07486,270
CNAG_00710R,CNAG_00710,220
CNAG_00709R,CNAG_00709,351
CNAG_03689R,CNAG_03689,175
CNAG_01704R,CNAG_01704,338
CNAG_07827R,CNAG_07827,243
CNAG_07516R,CNAG_07516,263
CNAG_02849R,CNAG_02849,1
CNAG_00157R,CNAG_00157,121
CNAG_01776R,CNAG_01776,281
CNAG_07605R,CNAG_07605,230
CNAG_01846R,CNAG_01846,289
CNAG_02539R,CNAG_02539,1
CNAG_02540R,CNAG_02540,1
CNAG_00799R,CNAG_00799,22
CNAG_04657R,CNAG_04657,283
CNAG_04385R,CNAG_04385,310
CNAG_04386R,CNAG_04386,317
CNAG_07847R,CNAG_07847,293
CNAG_02226R,CNAG_02226,236
CNAG_02225R,CNAG_02225,290
CNAG_04860R,CNAG_04860,256
CNAG_01105R,CNAG_01105,388
CNAG_03524R,CNAG_03524,272
CNAG_03733R,CNAG_03733,296
CNAG_03732R,CNAG_03732,356
CNAG_03247R,CNAG_03247,289
CNAG_03193R,CNAG_03193,236
CNAG_03194R,CNAG_03194,357
CNAG_06574R,CNAG_06574,320
CNAG_04663R,CNAG_04663,174
CNAG_02944R,CNAG_02944,267
CNAG_05872R,CNAG_05872,9
CNAG_02775R,CNAG_02775,5
CNAG_07498R,CNAG_07498,379
CNAG_00475R,CNAG_00475,5522
CNAG_06501R,CNAG_06501,183
CNAG_06502R,CNAG_06502,307
CNAG_00587R,CNAG_00587,427
CNAG_04691R,CNAG_04691,275
CNAG_05522R,CNAG_05522,351
CNAG_01930R,CNAG_01930,240
CNAG_04982R,CNAG_04982,1
CNAG_03002R,CNAG_03002,397
CNAG_01448R,CNAG_01448,250
CNAG_07685R,CNAG_07685,269
CNAG_03902R,CNAG_03902,59
CNAG_02010R,CNAG_02010,3387
