Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,122
CNAG_05515L,CNAG_05515,531
CNAG_05641L,CNAG_05641,428
CNAG_05387L,CNAG_05387,451
CNAG_05590L,CNAG_05590,742
CNAG_07869L,CNAG_07869,452
CNAG_05340L,CNAG_05340,186
CNAG_05638L,CNAG_05638,346
CNAG_05639L,CNAG_05639,287
CNAG_06346L,CNAG_06346,395
CNAG_06347L,CNAG_06347,230
CNAG_06517L,CNAG_06517,563
CNAG_07939L,CNAG_07939,366
CNAG_06493L,CNAG_06493,267
CNAG_06201L,CNAG_06201,403
CNAG_06104L,CNAG_06104,257
CNAG_06081L,CNAG_06081,414
CNAG_07902L,CNAG_07902,365
CNAG_06241L,CNAG_06241,171
CNAG_06242L,CNAG_06242,201
CNAG_06186L,CNAG_06186,313
CNAG_07911L,CNAG_07911,403
CNAG_01551L,CNAG_01551,377
CNAG_01683L,CNAG_01683,344
CNAG_01983L,CNAG_01983,419
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,363
CNAG_01621L,CNAG_01621,336
CNAG_01988L,CNAG_01988,333
CNAG_01989L,CNAG_01989,375
CNAG_01939L,CNAG_01939,454
CNAG_01993L,CNAG_01993,326
CNAG_01992L,CNAG_01992,352
CNAG_01965L,CNAG_01965,409
CNAG_01562L,CNAG_01562,248
CNAG_01925L,CNAG_01925,357
CNAG_04756L,CNAG_04756,409
CNAG_04807L,CNAG_04807,518
CNAG_04837L,CNAG_04837,431
CNAG_04836L,CNAG_04836,348
CNAG_04737L,CNAG_04737,501
CNAG_04875L,CNAG_04875,381
CNAG_04874L,CNAG_04874,919
CNAG_04868L,CNAG_04868,73
CNAG_04752L,CNAG_04752,375
CNAG_04753L,CNAG_04753,604
CNAG_04909L,CNAG_04909,313
CNAG_04908L,CNAG_04908,326
CNAG_04659L,CNAG_04659,163
CNAG_04623L,CNAG_04623,294
CNAG_04518L,CNAG_04518,343
CNAG_04517L,CNAG_04517,373
CNAG_07770L,CNAG_07770,376
CNAG_04436L,CNAG_04436,105
CNAG_04271L,CNAG_04271,281
CNAG_04270L,CNAG_04270,342
CNAG_03346L,CNAG_03346,365
CNAG_03433L,CNAG_03433,331
CNAG_03333L,CNAG_03333,537
CNAG_07742L,CNAG_07742,1163
CNAG_03438L,CNAG_03438,343
CNAG_03223L,CNAG_03223,159
CNAG_03142L,CNAG_03142,291
CNAG_03143L,CNAG_03143,312
CNAG_03545L,CNAG_03545,468
CNAG_03161L,CNAG_03161,297
CNAG_03566L,CNAG_03566,296
CNAG_05835L,CNAG_05835,342
CNAG_05864L,CNAG_05864,366
CNAG_06567L,CNAG_06567,401
CNAG_05742L,CNAG_05742,30
CNAG_05743L,CNAG_05743,95
CNAG_05867L,CNAG_05867,323
CNAG_05685L,CNAG_05685,1228
CNAG_05684L,CNAG_05684,208
CNAG_05785L,CNAG_05785,325
CNAG_05843L,CNAG_05843,4
CNAG_06554L,CNAG_06554,363
CNAG_02189L,CNAG_02189,413
CNAG_02188L,CNAG_02188,363
CNAG_02182L,CNAG_02182,264
CNAG_07631L,CNAG_07631,444
CNAG_02371L,CNAG_02371,240
CNAG_07633L,CNAG_07633,124
CNAG_01069L,CNAG_01069,370
CNAG_00896L,CNAG_00896,1177
CNAG_06719L,CNAG_06719,68
CNAG_03669L,CNAG_03669,292
CNAG_00031L,CNAG_00031,443
CNAG_07332L,CNAG_07332,247
CNAG_00285L,CNAG_00285,327
CNAG_00828L,CNAG_00828,349
CNAG_00830L,CNAG_00830,408
CNAG_00841L,CNAG_00841,377
CNAG_02774L,CNAG_02774,342
CNAG_06531L,CNAG_06531,438
CNAG_03279L,CNAG_03279,342
CNAG_03336L,CNAG_03336,559
CNAG_06339L,CNAG_06339,484
CNAG_03768L,CNAG_03768,380
CNAG_04534L,CNAG_04534,391
CNAG_01973L,CNAG_01973,24
CNAG_07867L,CNAG_07867,322
CNAG_05333L,CNAG_05333,386
CNAG_06425L,CNAG_06425,360
CNAG_03849L,CNAG_03849,913
CNAG_02603L,CNAG_02603,346
CNAG_02555L,CNAG_02555,361
CNAG_03431L,CNAG_03431,81
CNAG_05049L,CNAG_05049,282
CNAG_05380L,CNAG_05380,359
CNAG_03914L,CNAG_03914,411
CNAG_02476L,CNAG_02476,379
CNAG_07583L,CNAG_07583,347
CNAG_02466L,CNAG_02466,303
CNAG_05112L,CNAG_05112,412
CNAG_03366L,CNAG_03366,460
CNAG_03977L,CNAG_03977,134
CNAG_04090L,CNAG_04090,393
CNAG_00791L,CNAG_00791,279
CNAG_06751L,CNAG_06751,234
CNAG_05375L,CNAG_05375,7776
CNAG_02516L,CNAG_02516,390
CNAG_04804L,CNAG_04804,37
CNAG_00627L,CNAG_00627,421
CNAG_07725L,CNAG_07725,404
CNAG_06203L,CNAG_06203,317
CNAG_00193L,CNAG_00193,4
CNAG_01883L,CNAG_01883,149
CNAG_03401L,CNAG_03401,362
CNAG_02435L,CNAG_02435,341
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,297
CNAG_03700L,CNAG_03700,327
CNAG_07320L,CNAG_07320,42
CNAG_05215L,CNAG_05215,540
CNAG_01438L,CNAG_01438,218
CNAG_07464L,CNAG_07464,184
CNAG_01858L,CNAG_01858,475
CNAG_04586L,CNAG_04586,300
CNAG_05093L,CNAG_05093,385
CNAG_05176L,CNAG_05176,281
CNAG_01014L,CNAG_01014,213
CNAG_00998L,CNAG_00998,165
CNAG_00039L,CNAG_00039,206
CNAG_07329L,CNAG_07329,9
CNAG_01454L,CNAG_01454,364
CNAG_02700L,CNAG_02700,13
CNAG_06327L,CNAG_06327,84
CNAG_03788L,CNAG_03788,330
CNAG_00871L,CNAG_00871,425
CNAG_00559L,CNAG_00559,14430
CNAG_07370L,CNAG_07370,431
CNAG_00732L,CNAG_00732,421
CNAG_04630L,CNAG_04630,548
CNAG_07940L,CNAG_07940,453
CNAG_02589L,CNAG_02589,413
CNAG_05067L,CNAG_05067,426
CNAG_01645L,CNAG_01645,981
CNAG_01242L,CNAG_01242,108
CNAG_02788L,CNAG_02788,84
CNAG_07435L,CNAG_07435,58
CNAG_03998L,CNAG_03998,683
CNAG_07924L,CNAG_07924,768
CNAG_01071L,CNAG_01071,312
CNAG_00883L,CNAG_00883,230
CNAG_03741L,CNAG_03741,287
CNAG_03745L,CNAG_03745,477
CNAG_00192L,CNAG_00192,412
CNAG_00670L,CNAG_00670,404
CNAG_06871L,CNAG_06871,391
CNAG_04457L,CNAG_04457,368
CNAG_02723L,CNAG_02723,423
CNAG_04588L,CNAG_04588,147
CNAG_01977L,CNAG_01977,343
CNAG_03894L,CNAG_03894,366
CNAG_04012L,CNAG_04012,336
CNAG_03561L,CNAG_03561,310
CNAG_05170L,CNAG_05170,297
CNAG_04041L,CNAG_04041,84
CNAG_02364L,CNAG_02364,447
CNAG_04093L,CNAG_04093,362
CNAG_02322L,CNAG_02322,384
CNAG_04184L,CNAG_04184,351
CNAG_05255L,CNAG_05255,385
CNAG_05642L,CNAG_05642,293
CNAG_03059L,CNAG_03059,353
CNAG_03018L,CNAG_03018,344
CNAG_07901L,CNAG_07901,326
CNAG_03086L,CNAG_03086,390
CNAG_04916L,CNAG_04916,291
CNAG_06097L,CNAG_06097,242
CNAG_03115L,CNAG_03115,256
CNAG_03132L,CNAG_03132,393
CNAG_04841L,CNAG_04841,438
CNAG_06136L,CNAG_06136,372
CNAG_03177L,CNAG_03177,706
CNAG_03183L,CNAG_03183,223
CNAG_06188L,CNAG_06188,384
CNAG_02877L,CNAG_02877,241
CNAG_04359L,CNAG_04359,748
CNAG_04774L,CNAG_04774,491
CNAG_04768L,CNAG_04768,399
CNAG_02066L,CNAG_02066,421
CNAG_07922L,CNAG_07922,374
CNAG_06276L,CNAG_06276,401
CNAG_05222L,CNAG_05222,187
CNAG_03409L,CNAG_03409,32
CNAG_05622L,CNAG_05622,717
CNAG_04637L,CNAG_04637,208
CNAG_07680L,CNAG_07680,97
CNAG_02215L,CNAG_02215,58
CNAG_00564L,CNAG_00564,655
CNAG_02387L,CNAG_02387,470
CNAG_04086L,CNAG_04086,549
CNAG_05697L,CNAG_05697,532
CNAG_02697L,CNAG_02697,372
CNAG_06205L,CNAG_06205,335
CNAG_05372L,CNAG_05372,204
CNAG_04507L,CNAG_04507,318
CNAG_04506L,CNAG_04506,386
CNAG_00068L,CNAG_00068,4923
CNAG_05138L,CNAG_05138,179
CNAG_00733L,CNAG_00733,351
CNAG_03910L,CNAG_03910,460
CNAG_04059L,CNAG_04059,1789
CNAG_07491L,CNAG_07491,480
CNAG_05181L,CNAG_05181,439
CNAG_03915L,CNAG_03915,345
CNAG_03772L,CNAG_03772,328
CNAG_00445L,CNAG_00445,1030
CNAG_01901L,CNAG_01901,602
CNAG_05313L,CNAG_05313,257
CNAG_05312L,CNAG_05312,385
CNAG_03012L,CNAG_03012,225
CNAG_03011L,CNAG_03011,339
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,744
CNAG_02682L,CNAG_02682,304
CNAG_02683L,CNAG_02683,328
CNAG_00442L,CNAG_00442,483
CNAG_00183L,CNAG_00183,162
CNAG_07548L,CNAG_07548,2023
CNAG_01277L,CNAG_01277,468
CNAG_07512L,CNAG_07512,715
CNAG_01230L,CNAG_01230,463
CNAG_05264L,CNAG_05264,238
CNAG_05263L,CNAG_05263,399
CNAG_01681L,CNAG_01681,329
CNAG_01040L,CNAG_01040,151
CNAG_00179L,CNAG_00179,368
CNAG_00547L,CNAG_00547,269
CNAG_00598L,CNAG_00598,375
CNAG_05229L,CNAG_05229,305
CNAG_01138L,CNAG_01138,394
CNAG_00597L,CNAG_00597,396
CNAG_02797L,CNAG_02797,189
CNAG_02219L,CNAG_02219,513
CNAG_02220L,CNAG_02220,337
CNAG_00674L,CNAG_00674,356
CNAG_03013L,CNAG_03013,133
CNAG_07540L,CNAG_07540,384
CNAG_04981L,CNAG_04981,383
CNAG_04980L,CNAG_04980,2
CNAG_00456L,CNAG_00456,341
CNAG_00455L,CNAG_00455,311
CNAG_02152L,CNAG_02152,395
CNAG_00107L,CNAG_00107,377
CNAG_00106L,CNAG_00106,203
CNAG_01061L,CNAG_01061,395
CNAG_03847L,CNAG_03847,368
CNAG_03848L,CNAG_03848,388
CNAG_01013L,CNAG_01013,19
CNAG_02777L,CNAG_02777,316
CNAG_07523L,CNAG_07523,360
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,242
CNAG_00531L,CNAG_00531,319
CNAG_05159L,CNAG_05159,280
CNAG_05079L,CNAG_05079,505
CNAG_05080L,CNAG_05080,346
CNAG_04869L,CNAG_04869,395
CNAG_00164L,CNAG_00164,318
CNAG_04077L,CNAG_04077,355
CNAG_01082L,CNAG_01082,358
CNAG_04658L,CNAG_04658,519
CNAG_03727L,CNAG_03727,258
CNAG_03676L,CNAG_03676,402
CNAG_03677L,CNAG_03677,401
CNAG_03841L,CNAG_03841,113
CNAG_06761L,CNAG_06761,289
CNAG_06760L,CNAG_06760,324
CNAG_05076L,CNAG_05076,221
CNAG_05077L,CNAG_05077,413
CNAG_02553L,CNAG_02553,335
CNAG_02554L,CNAG_02554,1241
CNAG_00546L,CNAG_00546,125
CNAG_00702L,CNAG_00702,832
CNAG_00897L,CNAG_00897,266
CNAG_05148L,CNAG_05148,104
CNAG_05147L,CNAG_05147,127
CNAG_01126L,CNAG_01126,7
CNAG_00776L,CNAG_00776,65
CNAG_01446L,CNAG_01446,497
CNAG_04024L,CNAG_04024,469
CNAG_04025L,CNAG_04025,502
CNAG_02348L,CNAG_02348,342
CNAG_02347L,CNAG_02347,599
CNAG_00394L,CNAG_00394,39
CNAG_00393L,CNAG_00393,527
CNAG_06555L,CNAG_06555,391
CNAG_01019L,CNAG_01019,41
CNAG_01803L,CNAG_01803,462
CNAG_00374L,CNAG_00374,293
CNAG_00654L,CNAG_00654,381
CNAG_07541L,CNAG_07541,310
CNAG_07542L,CNAG_07542,396
CNAG_00363L,CNAG_00363,121
CNAG_05915L,CNAG_05915,452
CNAG_05916L,CNAG_05916,283
CNAG_00917L,CNAG_00917,1457
CNAG_00919L,CNAG_00919,426
CNAG_05458L,CNAG_05458,413
CNAG_05459L,CNAG_05459,480
CNAG_01985L,CNAG_01985,203
CNAG_00740L,CNAG_00740,192
CNAG_04163L,CNAG_04163,30
CNAG_04162L,CNAG_04162,150
CNAG_04755L,CNAG_04755,15
CNAG_01777L,CNAG_01777,337
CNAG_01778L,CNAG_01778,346
CNAG_05889L,CNAG_05889,361
CNAG_05888L,CNAG_05888,359
CNAG_04217L,CNAG_04217,431
CNAG_03173L,CNAG_03173,409
CNAG_03172L,CNAG_03172,410
CNAG_07388L,CNAG_07388,329
CNAG_07389L,CNAG_07389,367
CNAG_03644L,CNAG_03644,330
CNAG_06785L,CNAG_06785,315
CNAG_06060L,CNAG_06060,321
CNAG_00581L,CNAG_00581,155
CNAG_02044L,CNAG_02044,359
CNAG_02045L,CNAG_02045,545
CNAG_04950L,CNAG_04950,307
CNAG_04949L,CNAG_04949,355
CNAG_01865L,CNAG_01865,368
CNAG_05870L,CNAG_05870,351
CNAG_00717L,CNAG_00717,131
CNAG_06926L,CNAG_06926,359
