Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,395
CNAG_05387R,CNAG_05387,336
CNAG_05638R,CNAG_05638,210
CNAG_05639R,CNAG_05639,178
CNAG_06346R,CNAG_06346,275
CNAG_06347R,CNAG_06347,185
CNAG_06517R,CNAG_06517,260
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,232
CNAG_06104R,CNAG_06104,189
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,253
CNAG_06241R,CNAG_06241,30
CNAG_06242R,CNAG_06242,50
CNAG_07911R,CNAG_07911,184
CNAG_01683R,CNAG_01683,248
CNAG_01680R,CNAG_01680,192
CNAG_01621R,CNAG_01621,1
CNAG_01989R,CNAG_01989,173
CNAG_01965R,CNAG_01965,262
CNAG_01925R,CNAG_01925,194
CNAG_04837R,CNAG_04837,238
CNAG_04836R,CNAG_04836,219
CNAG_04875R,CNAG_04875,96
CNAG_04868R,CNAG_04868,56
CNAG_04752R,CNAG_04752,1
CNAG_04518R,CNAG_04518,218
CNAG_04517R,CNAG_04517,238
CNAG_07770R,CNAG_07770,204
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,292
CNAG_07742R,CNAG_07742,438
CNAG_03142R,CNAG_03142,179
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,155
CNAG_05867R,CNAG_05867,163
CNAG_05684R,CNAG_05684,118
CNAG_02189R,CNAG_02189,262
CNAG_02371R,CNAG_02371,171
CNAG_01069R,CNAG_01069,1
CNAG_06719R,CNAG_06719,158
CNAG_03669R,CNAG_03669,196
CNAG_07332R,CNAG_07332,169
CNAG_00285R,CNAG_00285,167
CNAG_00830R,CNAG_00830,211
CNAG_00841R,CNAG_00841,258
CNAG_06531R,CNAG_06531,393
CNAG_03279R,CNAG_03279,206
CNAG_03336R,CNAG_03336,344
CNAG_06339R,CNAG_06339,309
CNAG_03768R,CNAG_03768,229
CNAG_04534R,CNAG_04534,216
CNAG_01973R,CNAG_01973,169
CNAG_07867R,CNAG_07867,211
CNAG_05333R,CNAG_05333,243
CNAG_06425R,CNAG_06425,180
CNAG_03849R,CNAG_03849,283
CNAG_02603R,CNAG_02603,195
CNAG_02555R,CNAG_02555,321
CNAG_02525R,CNAG_02525,20
CNAG_03431R,CNAG_03431,69
CNAG_05049R,CNAG_05049,213
CNAG_03914R,CNAG_03914,236
CNAG_02476R,CNAG_02476,189
CNAG_07583R,CNAG_07583,208
CNAG_05112R,CNAG_05112,203
CNAG_03366R,CNAG_03366,274
CNAG_04090R,CNAG_04090,537
CNAG_00791R,CNAG_00791,173
CNAG_05375R,CNAG_05375,3886
CNAG_02516R,CNAG_02516,206
CNAG_04804R,CNAG_04804,10
CNAG_06203R,CNAG_06203,204
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,119
CNAG_03401R,CNAG_03401,251
CNAG_02435R,CNAG_02435,174
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,129
CNAG_03700R,CNAG_03700,224
CNAG_05215R,CNAG_05215,299
CNAG_01438R,CNAG_01438,74
CNAG_07464R,CNAG_07464,105
CNAG_01858R,CNAG_01858,296
CNAG_04586R,CNAG_04586,140
CNAG_05176R,CNAG_05176,135
CNAG_01014R,CNAG_01014,135
CNAG_01454R,CNAG_01454,256
CNAG_06327R,CNAG_06327,62
CNAG_03788R,CNAG_03788,215
CNAG_00871R,CNAG_00871,244
CNAG_00559R,CNAG_00559,7383
CNAG_07370R,CNAG_07370,276
CNAG_02589R,CNAG_02589,265
CNAG_01645R,CNAG_01645,641
CNAG_01242R,CNAG_01242,73
CNAG_02788R,CNAG_02788,43
CNAG_07435R,CNAG_07435,10
CNAG_07924R,CNAG_07924,369
CNAG_01071R,CNAG_01071,147
CNAG_00883R,CNAG_00883,52
CNAG_03741R,CNAG_03741,233
CNAG_03745R,CNAG_03745,238
CNAG_00192R,CNAG_00192,223
CNAG_00670R,CNAG_00670,263
CNAG_06871R,CNAG_06871,258
CNAG_04457R,CNAG_04457,250
CNAG_04588R,CNAG_04588,92
CNAG_03894R,CNAG_03894,287
CNAG_04012R,CNAG_04012,267
CNAG_01487R,CNAG_01487,252
CNAG_05170R,CNAG_05170,202
CNAG_02364R,CNAG_02364,194
CNAG_04093R,CNAG_04093,205
CNAG_02322R,CNAG_02322,252
CNAG_05255R,CNAG_05255,233
CNAG_03018R,CNAG_03018,238
CNAG_07901R,CNAG_07901,205
CNAG_03086R,CNAG_03086,223
CNAG_06097R,CNAG_06097,217
CNAG_06136R,CNAG_06136,201
CNAG_03177R,CNAG_03177,267
CNAG_03183R,CNAG_03183,143
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,259
CNAG_04768R,CNAG_04768,245
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,217
CNAG_05222R,CNAG_05222,37
CNAG_03409R,CNAG_03409,23
CNAG_05622R,CNAG_05622,209
CNAG_04637R,CNAG_04637,116
CNAG_07680R,CNAG_07680,38
CNAG_02215R,CNAG_02215,6
CNAG_02387R,CNAG_02387,267
CNAG_04086R,CNAG_04086,317
CNAG_05697R,CNAG_05697,313
CNAG_04507R,CNAG_04507,206
CNAG_04506R,CNAG_04506,273
CNAG_00068R,CNAG_00068,467
