Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,133
CNAG_05515L,CNAG_05515,633
CNAG_05641L,CNAG_05641,467
CNAG_05387L,CNAG_05387,506
CNAG_05590L,CNAG_05590,552
CNAG_07869L,CNAG_07869,457
CNAG_05340L,CNAG_05340,229
CNAG_05638L,CNAG_05638,360
CNAG_05639L,CNAG_05639,302
CNAG_06346L,CNAG_06346,393
CNAG_06347L,CNAG_06347,313
CNAG_06517L,CNAG_06517,399
CNAG_07939L,CNAG_07939,357
CNAG_06493L,CNAG_06493,311
CNAG_06201L,CNAG_06201,412
CNAG_06104L,CNAG_06104,271
CNAG_06081L,CNAG_06081,436
CNAG_07902L,CNAG_07902,397
CNAG_06241L,CNAG_06241,37
CNAG_06242L,CNAG_06242,92
CNAG_06186L,CNAG_06186,330
CNAG_07911L,CNAG_07911,438
CNAG_01551L,CNAG_01551,352
CNAG_01683L,CNAG_01683,366
CNAG_01983L,CNAG_01983,392
CNAG_01680L,CNAG_01680,396
CNAG_01621L,CNAG_01621,297
CNAG_01988L,CNAG_01988,326
CNAG_01989L,CNAG_01989,367
CNAG_01939L,CNAG_01939,441
CNAG_01993L,CNAG_01993,345
CNAG_01992L,CNAG_01992,308
CNAG_01965L,CNAG_01965,414
CNAG_01562L,CNAG_01562,217
CNAG_01925L,CNAG_01925,365
CNAG_04756L,CNAG_04756,384
CNAG_04807L,CNAG_04807,524
CNAG_04837L,CNAG_04837,448
CNAG_04836L,CNAG_04836,365
CNAG_04737L,CNAG_04737,619
CNAG_04875L,CNAG_04875,158
CNAG_04874L,CNAG_04874,933
CNAG_04868L,CNAG_04868,76
CNAG_04752L,CNAG_04752,397
CNAG_04753L,CNAG_04753,159
CNAG_04909L,CNAG_04909,354
CNAG_04908L,CNAG_04908,355
CNAG_04659L,CNAG_04659,213
CNAG_04623L,CNAG_04623,341
CNAG_04518L,CNAG_04518,284
CNAG_04517L,CNAG_04517,390
CNAG_07770L,CNAG_07770,375
CNAG_04436L,CNAG_04436,145
CNAG_04271L,CNAG_04271,308
CNAG_04270L,CNAG_04270,159
CNAG_03346L,CNAG_03346,346
CNAG_03433L,CNAG_03433,389
CNAG_03333L,CNAG_03333,541
CNAG_07742L,CNAG_07742,1226
CNAG_03438L,CNAG_03438,203
CNAG_03223L,CNAG_03223,171
CNAG_03142L,CNAG_03142,316
CNAG_03143L,CNAG_03143,340
CNAG_03545L,CNAG_03545,524
CNAG_03161L,CNAG_03161,196
CNAG_03566L,CNAG_03566,348
CNAG_05835L,CNAG_05835,340
CNAG_05864L,CNAG_05864,515
CNAG_06567L,CNAG_06567,441
CNAG_05742L,CNAG_05742,13
CNAG_05743L,CNAG_05743,82
CNAG_05867L,CNAG_05867,299
CNAG_05685L,CNAG_05685,1251
CNAG_05684L,CNAG_05684,220
CNAG_05785L,CNAG_05785,355
CNAG_05843L,CNAG_05843,3
CNAG_06554L,CNAG_06554,401
CNAG_02189L,CNAG_02189,423
CNAG_02188L,CNAG_02188,398
CNAG_02182L,CNAG_02182,367
CNAG_07631L,CNAG_07631,517
CNAG_02371L,CNAG_02371,267
CNAG_07633L,CNAG_07633,115
CNAG_01069L,CNAG_01069,381
CNAG_00896L,CNAG_00896,1152
CNAG_06719L,CNAG_06719,64
CNAG_03669L,CNAG_03669,232
CNAG_00031L,CNAG_00031,372
CNAG_07332L,CNAG_07332,296
CNAG_00285L,CNAG_00285,341
CNAG_00828L,CNAG_00828,293
CNAG_00830L,CNAG_00830,410
CNAG_00841L,CNAG_00841,362
CNAG_02774L,CNAG_02774,342
CNAG_06531L,CNAG_06531,545
CNAG_03279L,CNAG_03279,395
CNAG_03336L,CNAG_03336,599
CNAG_06339L,CNAG_06339,444
CNAG_03768L,CNAG_03768,379
CNAG_04534L,CNAG_04534,358
CNAG_01973L,CNAG_01973,15
CNAG_07867L,CNAG_07867,333
CNAG_05333L,CNAG_05333,391
CNAG_06425L,CNAG_06425,345
CNAG_03849L,CNAG_03849,902
CNAG_02603L,CNAG_02603,350
CNAG_02555L,CNAG_02555,365
CNAG_03431L,CNAG_03431,81
CNAG_05049L,CNAG_05049,311
CNAG_05380L,CNAG_05380,379
CNAG_03914L,CNAG_03914,360
CNAG_02476L,CNAG_02476,406
CNAG_07583L,CNAG_07583,386
CNAG_02466L,CNAG_02466,329
CNAG_05112L,CNAG_05112,407
CNAG_03366L,CNAG_03366,451
CNAG_03977L,CNAG_03977,99
CNAG_04090L,CNAG_04090,689
CNAG_00791L,CNAG_00791,284
CNAG_06751L,CNAG_06751,272
CNAG_05375L,CNAG_05375,6115
CNAG_02516L,CNAG_02516,392
CNAG_04804L,CNAG_04804,12
CNAG_00627L,CNAG_00627,404
CNAG_07725L,CNAG_07725,453
CNAG_06203L,CNAG_06203,282
CNAG_01883L,CNAG_01883,107
CNAG_03401L,CNAG_03401,348
CNAG_02435L,CNAG_02435,309
CNAG_05153L,CNAG_05153,7
CNAG_01708L,CNAG_01708,235
CNAG_03700L,CNAG_03700,376
CNAG_07320L,CNAG_07320,52
CNAG_05215L,CNAG_05215,544
CNAG_01438L,CNAG_01438,198
CNAG_07464L,CNAG_07464,172
CNAG_01858L,CNAG_01858,565
CNAG_04586L,CNAG_04586,218
CNAG_05093L,CNAG_05093,392
CNAG_05176L,CNAG_05176,210
CNAG_01014L,CNAG_01014,254
CNAG_00998L,CNAG_00998,161
CNAG_00039L,CNAG_00039,170
CNAG_07329L,CNAG_07329,2
CNAG_01454L,CNAG_01454,384
CNAG_02700L,CNAG_02700,8
CNAG_06327L,CNAG_06327,74
CNAG_03788L,CNAG_03788,408
CNAG_00871L,CNAG_00871,439
CNAG_00559L,CNAG_00559,12614
CNAG_07370L,CNAG_07370,474
CNAG_00732L,CNAG_00732,391
CNAG_04630L,CNAG_04630,458
CNAG_07940L,CNAG_07940,380
CNAG_02589L,CNAG_02589,407
