Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,300
CNAG_05387R,CNAG_05387,441
CNAG_05638R,CNAG_05638,207
CNAG_05639R,CNAG_05639,255
CNAG_06346R,CNAG_06346,259
CNAG_06347R,CNAG_06347,248
CNAG_06517R,CNAG_06517,303
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,2
CNAG_06201R,CNAG_06201,243
CNAG_06104R,CNAG_06104,201
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,338
CNAG_06241R,CNAG_06241,2
CNAG_06242R,CNAG_06242,2
CNAG_07911R,CNAG_07911,233
CNAG_01683R,CNAG_01683,325
CNAG_01680R,CNAG_01680,237
CNAG_01989R,CNAG_01989,210
CNAG_01965R,CNAG_01965,279
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,273
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,339
CNAG_04836R,CNAG_04836,270
CNAG_04875R,CNAG_04875,450
CNAG_04868R,CNAG_04868,64
CNAG_04752R,CNAG_04752,1
CNAG_04518R,CNAG_04518,192
CNAG_04517R,CNAG_04517,252
CNAG_07770R,CNAG_07770,136
CNAG_04436R,CNAG_04436,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,373
CNAG_07742R,CNAG_07742,467
CNAG_03142R,CNAG_03142,204
CNAG_03566R,CNAG_03566,137
CNAG_06567R,CNAG_06567,2
CNAG_05867R,CNAG_05867,180
CNAG_05684R,CNAG_05684,159
CNAG_02189R,CNAG_02189,260
CNAG_02371R,CNAG_02371,169
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,206
CNAG_03669R,CNAG_03669,198
CNAG_07332R,CNAG_07332,172
CNAG_00285R,CNAG_00285,263
CNAG_00830R,CNAG_00830,245
CNAG_00841R,CNAG_00841,318
CNAG_06531R,CNAG_06531,470
CNAG_03279R,CNAG_03279,243
CNAG_03336R,CNAG_03336,465
CNAG_06339R,CNAG_06339,310
CNAG_03768R,CNAG_03768,272
CNAG_04534R,CNAG_04534,188
CNAG_01973R,CNAG_01973,174
CNAG_07867R,CNAG_07867,223
CNAG_05333R,CNAG_05333,268
CNAG_06425R,CNAG_06425,281
CNAG_03849R,CNAG_03849,340
CNAG_02603R,CNAG_02603,262
CNAG_02555R,CNAG_02555,303
CNAG_02525R,CNAG_02525,17
CNAG_03431R,CNAG_03431,88
CNAG_05049R,CNAG_05049,191
CNAG_03914R,CNAG_03914,243
CNAG_02476R,CNAG_02476,230
CNAG_07583R,CNAG_07583,260
CNAG_05112R,CNAG_05112,229
CNAG_03366R,CNAG_03366,331
CNAG_04090R,CNAG_04090,914
CNAG_00791R,CNAG_00791,195
CNAG_05375R,CNAG_05375,6878
CNAG_02516R,CNAG_02516,221
CNAG_04804R,CNAG_04804,1
CNAG_06203R,CNAG_06203,261
CNAG_00193R,CNAG_00193,21
CNAG_01883R,CNAG_01883,194
CNAG_03401R,CNAG_03401,294
CNAG_02435R,CNAG_02435,153
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,173
CNAG_03700R,CNAG_03700,277
CNAG_05215R,CNAG_05215,223
CNAG_01438R,CNAG_01438,125
CNAG_07464R,CNAG_07464,228
CNAG_01858R,CNAG_01858,360
CNAG_04586R,CNAG_04586,17
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,216
CNAG_01014R,CNAG_01014,147
CNAG_01454R,CNAG_01454,285
CNAG_06327R,CNAG_06327,61
CNAG_03788R,CNAG_03788,189
CNAG_00871R,CNAG_00871,341
CNAG_00559R,CNAG_00559,6939
CNAG_07370R,CNAG_07370,306
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,265
CNAG_01645R,CNAG_01645,714
CNAG_02788R,CNAG_02788,13
CNAG_07435R,CNAG_07435,1
CNAG_03998R,CNAG_03998,3
CNAG_07924R,CNAG_07924,591
CNAG_01071R,CNAG_01071,228
CNAG_00883R,CNAG_00883,132
CNAG_03741R,CNAG_03741,243
CNAG_03745R,CNAG_03745,281
CNAG_00192R,CNAG_00192,186
CNAG_00670R,CNAG_00670,279
CNAG_06871R,CNAG_06871,257
CNAG_04457R,CNAG_04457,328
CNAG_04588R,CNAG_04588,14
CNAG_03894R,CNAG_03894,299
CNAG_04012R,CNAG_04012,342
CNAG_01487R,CNAG_01487,231
CNAG_05170R,CNAG_05170,254
