Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,41
CNAG_05515L,CNAG_05515,429
CNAG_05641L,CNAG_05641,354
CNAG_05387L,CNAG_05387,461
CNAG_05590L,CNAG_05590,2324
CNAG_07869L,CNAG_07869,444
CNAG_05340L,CNAG_05340,86
CNAG_05638L,CNAG_05638,347
CNAG_05639L,CNAG_05639,274
CNAG_06346L,CNAG_06346,350
CNAG_06347L,CNAG_06347,306
CNAG_06517L,CNAG_06517,412
CNAG_07939L,CNAG_07939,328
CNAG_06493L,CNAG_06493,272
CNAG_06201L,CNAG_06201,324
CNAG_06104L,CNAG_06104,297
CNAG_06081L,CNAG_06081,456
CNAG_07902L,CNAG_07902,352
CNAG_06241L,CNAG_06241,5
CNAG_06242L,CNAG_06242,3
CNAG_06186L,CNAG_06186,239
CNAG_07911L,CNAG_07911,357
CNAG_01551L,CNAG_01551,168
CNAG_01683L,CNAG_01683,360
CNAG_01983L,CNAG_01983,365
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,357
CNAG_01621L,CNAG_01621,308
CNAG_01988L,CNAG_01988,300
CNAG_01989L,CNAG_01989,359
CNAG_01939L,CNAG_01939,372
CNAG_01993L,CNAG_01993,221
CNAG_01992L,CNAG_01992,355
CNAG_01965L,CNAG_01965,319
CNAG_01562L,CNAG_01562,303
CNAG_01925L,CNAG_01925,372
CNAG_04756L,CNAG_04756,434
CNAG_04807L,CNAG_04807,433
CNAG_04837L,CNAG_04837,437
CNAG_04836L,CNAG_04836,268
CNAG_04737L,CNAG_04737,564
CNAG_04875L,CNAG_04875,521
CNAG_04874L,CNAG_04874,754
CNAG_04868L,CNAG_04868,105
CNAG_04752L,CNAG_04752,410
CNAG_04753L,CNAG_04753,505
CNAG_04909L,CNAG_04909,283
CNAG_04908L,CNAG_04908,268
CNAG_04659L,CNAG_04659,237
CNAG_04623L,CNAG_04623,216
CNAG_04518L,CNAG_04518,345
CNAG_04517L,CNAG_04517,325
CNAG_07770L,CNAG_07770,150
CNAG_04436L,CNAG_04436,371
CNAG_04271L,CNAG_04271,139
CNAG_04270L,CNAG_04270,286
CNAG_03346L,CNAG_03346,373
CNAG_03433L,CNAG_03433,401
CNAG_03333L,CNAG_03333,469
CNAG_07742L,CNAG_07742,1034
CNAG_03438L,CNAG_03438,451
CNAG_03223L,CNAG_03223,371
CNAG_03142L,CNAG_03142,266
CNAG_03143L,CNAG_03143,331
CNAG_03545L,CNAG_03545,347
CNAG_03161L,CNAG_03161,13
CNAG_03566L,CNAG_03566,289
CNAG_05835L,CNAG_05835,190
CNAG_05864L,CNAG_05864,232
CNAG_06567L,CNAG_06567,382
CNAG_05742L,CNAG_05742,2
CNAG_05743L,CNAG_05743,131
CNAG_05867L,CNAG_05867,244
CNAG_05685L,CNAG_05685,1067
CNAG_05684L,CNAG_05684,228
CNAG_05785L,CNAG_05785,232
CNAG_05843L,CNAG_05843,9
CNAG_06554L,CNAG_06554,305
CNAG_02189L,CNAG_02189,336
CNAG_02188L,CNAG_02188,317
CNAG_02182L,CNAG_02182,354
CNAG_07631L,CNAG_07631,459
CNAG_02371L,CNAG_02371,281
CNAG_07633L,CNAG_07633,144
CNAG_01069L,CNAG_01069,294
CNAG_00896L,CNAG_00896,989
CNAG_06719L,CNAG_06719,68
CNAG_03669L,CNAG_03669,340
CNAG_00031L,CNAG_00031,297
CNAG_07332L,CNAG_07332,263
CNAG_00285L,CNAG_00285,314
CNAG_00828L,CNAG_00828,290
CNAG_00830L,CNAG_00830,261
CNAG_00841L,CNAG_00841,356
CNAG_02774L,CNAG_02774,317
CNAG_06531L,CNAG_06531,609
CNAG_03279L,CNAG_03279,339
CNAG_03336L,CNAG_03336,629
CNAG_06339L,CNAG_06339,410
CNAG_03768L,CNAG_03768,435
CNAG_04534L,CNAG_04534,309
CNAG_01973L,CNAG_01973,28
CNAG_07867L,CNAG_07867,287
CNAG_05333L,CNAG_05333,360
CNAG_06425L,CNAG_06425,519
CNAG_03849L,CNAG_03849,918
CNAG_02603L,CNAG_02603,383
CNAG_02555L,CNAG_02555,328
CNAG_03431L,CNAG_03431,107
CNAG_05049L,CNAG_05049,200
CNAG_05380L,CNAG_05380,383
CNAG_03914L,CNAG_03914,425
CNAG_02476L,CNAG_02476,354
CNAG_07583L,CNAG_07583,364
CNAG_02466L,CNAG_02466,316
CNAG_05112L,CNAG_05112,344
CNAG_03366L,CNAG_03366,392
CNAG_03977L,CNAG_03977,179
CNAG_04090L,CNAG_04090,928
CNAG_00791L,CNAG_00791,217
CNAG_06751L,CNAG_06751,260
CNAG_05375L,CNAG_05375,8172
CNAG_02516L,CNAG_02516,349
CNAG_04804L,CNAG_04804,1
