Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,348
CNAG_05641R,CNAG_05641,2
CNAG_05387R,CNAG_05387,351
CNAG_05638R,CNAG_05638,262
CNAG_05639R,CNAG_05639,304
CNAG_06346R,CNAG_06346,347
CNAG_06347R,CNAG_06347,281
CNAG_06517R,CNAG_06517,353
CNAG_06201R,CNAG_06201,211
CNAG_06104R,CNAG_06104,189
CNAG_07902R,CNAG_07902,217
CNAG_06241R,CNAG_06241,6
CNAG_06242R,CNAG_06242,4
CNAG_07911R,CNAG_07911,280
CNAG_01551R,CNAG_01551,3
CNAG_01683R,CNAG_01683,299
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,202
CNAG_01989R,CNAG_01989,196
CNAG_01965R,CNAG_01965,317
CNAG_01925R,CNAG_01925,226
CNAG_04837R,CNAG_04837,297
CNAG_04836R,CNAG_04836,266
CNAG_04875R,CNAG_04875,433
CNAG_04868R,CNAG_04868,31
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,170
CNAG_04517R,CNAG_04517,277
CNAG_07770R,CNAG_07770,238
CNAG_04436R,CNAG_04436,1
CNAG_04271R,CNAG_04271,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,370
CNAG_07742R,CNAG_07742,491
CNAG_03142R,CNAG_03142,224
CNAG_03566R,CNAG_03566,199
CNAG_05867R,CNAG_05867,189
CNAG_05684R,CNAG_05684,165
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,341
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,177
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,250
CNAG_03669R,CNAG_03669,248
CNAG_07332R,CNAG_07332,178
CNAG_00285R,CNAG_00285,220
CNAG_00830R,CNAG_00830,251
CNAG_00841R,CNAG_00841,363
CNAG_06531R,CNAG_06531,394
CNAG_03279R,CNAG_03279,257
CNAG_03336R,CNAG_03336,547
CNAG_06339R,CNAG_06339,328
CNAG_03768R,CNAG_03768,287
CNAG_04534R,CNAG_04534,247
CNAG_01973R,CNAG_01973,354
CNAG_07867R,CNAG_07867,248
CNAG_05333R,CNAG_05333,335
CNAG_06425R,CNAG_06425,303
CNAG_03849R,CNAG_03849,314
CNAG_02603R,CNAG_02603,226
CNAG_02555R,CNAG_02555,344
CNAG_02525R,CNAG_02525,25
CNAG_03431R,CNAG_03431,185
CNAG_05049R,CNAG_05049,220
CNAG_03914R,CNAG_03914,224
CNAG_02476R,CNAG_02476,240
CNAG_07583R,CNAG_07583,218
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,245
CNAG_03366R,CNAG_03366,327
CNAG_04090R,CNAG_04090,766
CNAG_00791R,CNAG_00791,236
CNAG_05375R,CNAG_05375,7257
CNAG_02516R,CNAG_02516,258
CNAG_04804R,CNAG_04804,1
CNAG_06203R,CNAG_06203,304
CNAG_00193R,CNAG_00193,11
CNAG_01883R,CNAG_01883,356
CNAG_03401R,CNAG_03401,295
CNAG_02435R,CNAG_02435,229
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,186
CNAG_03700R,CNAG_03700,232
CNAG_05215R,CNAG_05215,242
CNAG_01438R,CNAG_01438,166
CNAG_07464R,CNAG_07464,286
CNAG_01858R,CNAG_01858,344
CNAG_04586R,CNAG_04586,161
CNAG_05176R,CNAG_05176,220
CNAG_01014R,CNAG_01014,129
CNAG_01454R,CNAG_01454,327
CNAG_06327R,CNAG_06327,47
CNAG_03788R,CNAG_03788,333
CNAG_00871R,CNAG_00871,361
CNAG_00559R,CNAG_00559,7843
CNAG_07370R,CNAG_07370,350
CNAG_04630R,CNAG_04630,1
CNAG_02589R,CNAG_02589,272
CNAG_01645R,CNAG_01645,704
CNAG_01242R,CNAG_01242,10
CNAG_02788R,CNAG_02788,18
CNAG_07435R,CNAG_07435,1
CNAG_07924R,CNAG_07924,739
CNAG_01071R,CNAG_01071,236
CNAG_00883R,CNAG_00883,216
CNAG_03741R,CNAG_03741,440
CNAG_03745R,CNAG_03745,285
CNAG_00192R,CNAG_00192,327
CNAG_00670R,CNAG_00670,294
CNAG_06871R,CNAG_06871,303
CNAG_04457R,CNAG_04457,320
CNAG_04588R,CNAG_04588,36
CNAG_03894R,CNAG_03894,302
CNAG_04012R,CNAG_04012,311
CNAG_01487R,CNAG_01487,334
CNAG_05170R,CNAG_05170,248
