Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,252
CNAG_05387R,CNAG_05387,253
CNAG_05638R,CNAG_05638,219
CNAG_05639R,CNAG_05639,250
CNAG_06346R,CNAG_06346,220
CNAG_06347R,CNAG_06347,229
CNAG_06517R,CNAG_06517,249
CNAG_06201R,CNAG_06201,172
CNAG_06104R,CNAG_06104,170
CNAG_07902R,CNAG_07902,240
CNAG_06241R,CNAG_06241,55
CNAG_06242R,CNAG_06242,37
CNAG_07911R,CNAG_07911,184
CNAG_01551R,CNAG_01551,2
CNAG_01683R,CNAG_01683,280
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,199
CNAG_01989R,CNAG_01989,165
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,253
CNAG_01925R,CNAG_01925,232
CNAG_04837R,CNAG_04837,292
CNAG_04836R,CNAG_04836,230
CNAG_04875R,CNAG_04875,415
CNAG_04868R,CNAG_04868,32
CNAG_04752R,CNAG_04752,1
CNAG_04518R,CNAG_04518,188
CNAG_04517R,CNAG_04517,242
CNAG_07770R,CNAG_07770,218
CNAG_04436R,CNAG_04436,1
CNAG_04271R,CNAG_04271,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,300
CNAG_07742R,CNAG_07742,464
CNAG_03142R,CNAG_03142,167
CNAG_03566R,CNAG_03566,164
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,128
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,115
CNAG_02189R,CNAG_02189,254
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,166
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,208
CNAG_03669R,CNAG_03669,220
CNAG_07332R,CNAG_07332,159
CNAG_00285R,CNAG_00285,173
CNAG_00830R,CNAG_00830,209
CNAG_00841R,CNAG_00841,264
CNAG_06531R,CNAG_06531,402
CNAG_03279R,CNAG_03279,227
CNAG_03336R,CNAG_03336,381
CNAG_06339R,CNAG_06339,313
CNAG_03768R,CNAG_03768,238
CNAG_04534R,CNAG_04534,238
CNAG_01973R,CNAG_01973,243
CNAG_07867R,CNAG_07867,241
CNAG_05333R,CNAG_05333,288
CNAG_06425R,CNAG_06425,258
CNAG_03849R,CNAG_03849,251
CNAG_02603R,CNAG_02603,197
CNAG_02555R,CNAG_02555,309
CNAG_02525R,CNAG_02525,8
CNAG_03431R,CNAG_03431,174
CNAG_05049R,CNAG_05049,167
CNAG_03914R,CNAG_03914,205
CNAG_02476R,CNAG_02476,247
CNAG_07583R,CNAG_07583,223
CNAG_05112R,CNAG_05112,207
CNAG_03366R,CNAG_03366,311
CNAG_04090R,CNAG_04090,694
CNAG_00791R,CNAG_00791,197
CNAG_05375R,CNAG_05375,5996
CNAG_02516R,CNAG_02516,169
CNAG_06203R,CNAG_06203,226
CNAG_00193R,CNAG_00193,6
CNAG_01883R,CNAG_01883,341
CNAG_03401R,CNAG_03401,252
CNAG_02435R,CNAG_02435,199
CNAG_01708R,CNAG_01708,167
CNAG_03700R,CNAG_03700,190
CNAG_05215R,CNAG_05215,176
CNAG_01438R,CNAG_01438,143
CNAG_07464R,CNAG_07464,191
CNAG_01858R,CNAG_01858,323
CNAG_04586R,CNAG_04586,64
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,159
CNAG_01014R,CNAG_01014,98
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,267
CNAG_06327R,CNAG_06327,23
CNAG_03788R,CNAG_03788,286
CNAG_00871R,CNAG_00871,255
CNAG_00559R,CNAG_00559,7593
CNAG_07370R,CNAG_07370,284
CNAG_02589R,CNAG_02589,230
CNAG_01645R,CNAG_01645,564
CNAG_01242R,CNAG_01242,5
CNAG_02788R,CNAG_02788,22
CNAG_07435R,CNAG_07435,1
CNAG_07924R,CNAG_07924,683
CNAG_01071R,CNAG_01071,202
CNAG_00883R,CNAG_00883,161
CNAG_03741R,CNAG_03741,298
CNAG_03745R,CNAG_03745,239
CNAG_00192R,CNAG_00192,191
CNAG_00670R,CNAG_00670,297
CNAG_06871R,CNAG_06871,281
CNAG_04457R,CNAG_04457,252
CNAG_04588R,CNAG_04588,37
CNAG_03894R,CNAG_03894,238
CNAG_04012R,CNAG_04012,278
CNAG_01487R,CNAG_01487,263
