Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,71
CNAG_05515L,CNAG_05515,478
CNAG_05641L,CNAG_05641,320
CNAG_05387L,CNAG_05387,515
CNAG_05590L,CNAG_05590,909
CNAG_07869L,CNAG_07869,535
CNAG_05340L,CNAG_05340,86
CNAG_05638L,CNAG_05638,384
CNAG_05639L,CNAG_05639,348
CNAG_06346L,CNAG_06346,381
CNAG_06347L,CNAG_06347,380
CNAG_06517L,CNAG_06517,472
CNAG_07939L,CNAG_07939,377
CNAG_06493L,CNAG_06493,341
CNAG_06201L,CNAG_06201,298
CNAG_06104L,CNAG_06104,264
CNAG_06081L,CNAG_06081,451
CNAG_07902L,CNAG_07902,388
CNAG_06241L,CNAG_06241,79
CNAG_06242L,CNAG_06242,79
CNAG_06186L,CNAG_06186,253
CNAG_07911L,CNAG_07911,383
CNAG_01551L,CNAG_01551,577
CNAG_01683L,CNAG_01683,366
CNAG_01983L,CNAG_01983,425
CNAG_01902L,CNAG_01902,2
CNAG_01680L,CNAG_01680,381
CNAG_01621L,CNAG_01621,332
CNAG_01988L,CNAG_01988,330
CNAG_01989L,CNAG_01989,371
CNAG_01939L,CNAG_01939,323
CNAG_01993L,CNAG_01993,271
CNAG_01992L,CNAG_01992,390
CNAG_01965L,CNAG_01965,373
CNAG_01562L,CNAG_01562,250
CNAG_01925L,CNAG_01925,383
CNAG_04756L,CNAG_04756,440
CNAG_04807L,CNAG_04807,384
CNAG_04837L,CNAG_04837,419
CNAG_04836L,CNAG_04836,362
CNAG_04737L,CNAG_04737,477
CNAG_04875L,CNAG_04875,468
CNAG_04874L,CNAG_04874,980
CNAG_04868L,CNAG_04868,58
CNAG_04752L,CNAG_04752,380
CNAG_04753L,CNAG_04753,1197
CNAG_04909L,CNAG_04909,285
CNAG_04908L,CNAG_04908,357
CNAG_04659L,CNAG_04659,157
CNAG_04623L,CNAG_04623,281
CNAG_04518L,CNAG_04518,296
CNAG_04517L,CNAG_04517,412
CNAG_07770L,CNAG_07770,314
CNAG_04436L,CNAG_04436,373
CNAG_04271L,CNAG_04271,176
CNAG_04270L,CNAG_04270,333
CNAG_03346L,CNAG_03346,553
CNAG_03433L,CNAG_03433,380
CNAG_03333L,CNAG_03333,475
CNAG_07742L,CNAG_07742,1115
CNAG_03438L,CNAG_03438,231
CNAG_03223L,CNAG_03223,380
CNAG_03142L,CNAG_03142,246
CNAG_03143L,CNAG_03143,334
CNAG_03545L,CNAG_03545,409
CNAG_03161L,CNAG_03161,69
CNAG_03566L,CNAG_03566,316
CNAG_05835L,CNAG_05835,197
CNAG_05864L,CNAG_05864,318
CNAG_06567L,CNAG_06567,379
CNAG_05742L,CNAG_05742,4
CNAG_05743L,CNAG_05743,152
CNAG_05867L,CNAG_05867,254
CNAG_05685L,CNAG_05685,1138
CNAG_05684L,CNAG_05684,194
CNAG_05785L,CNAG_05785,282
CNAG_05843L,CNAG_05843,13
CNAG_06554L,CNAG_06554,406
CNAG_02189L,CNAG_02189,394
CNAG_02188L,CNAG_02188,421
CNAG_02182L,CNAG_02182,369
CNAG_07631L,CNAG_07631,718
CNAG_02371L,CNAG_02371,220
CNAG_07633L,CNAG_07633,192
CNAG_01069L,CNAG_01069,337
CNAG_00896L,CNAG_00896,1134
CNAG_06719L,CNAG_06719,97
CNAG_03669L,CNAG_03669,333
CNAG_00031L,CNAG_00031,293
CNAG_07332L,CNAG_07332,317
CNAG_00285L,CNAG_00285,294
CNAG_00828L,CNAG_00828,380
CNAG_00830L,CNAG_00830,349
CNAG_00841L,CNAG_00841,425
CNAG_02774L,CNAG_02774,274
CNAG_06531L,CNAG_06531,640
CNAG_03279L,CNAG_03279,388
CNAG_03336L,CNAG_03336,719
CNAG_06339L,CNAG_06339,481
CNAG_03768L,CNAG_03768,406
CNAG_04534L,CNAG_04534,412
CNAG_01973L,CNAG_01973,45
CNAG_07867L,CNAG_07867,308
CNAG_05333L,CNAG_05333,336
CNAG_06425L,CNAG_06425,417
CNAG_03849L,CNAG_03849,963
CNAG_02603L,CNAG_02603,433
CNAG_02555L,CNAG_02555,406
CNAG_03431L,CNAG_03431,267
CNAG_05049L,CNAG_05049,225
CNAG_05380L,CNAG_05380,331
CNAG_03914L,CNAG_03914,323
CNAG_02476L,CNAG_02476,416
CNAG_07583L,CNAG_07583,366
CNAG_02466L,CNAG_02466,313
CNAG_05112L,CNAG_05112,393
CNAG_03366L,CNAG_03366,456
CNAG_03977L,CNAG_03977,190
CNAG_04090L,CNAG_04090,968
CNAG_00791L,CNAG_00791,271
CNAG_06751L,CNAG_06751,188
CNAG_05375L,CNAG_05375,8674
CNAG_02516L,CNAG_02516,432
CNAG_04804L,CNAG_04804,2
CNAG_00627L,CNAG_00627,408
CNAG_07725L,CNAG_07725,471
CNAG_06203L,CNAG_06203,386
CNAG_00193L,CNAG_00193,16
CNAG_01883L,CNAG_01883,529
CNAG_03401L,CNAG_03401,330
CNAG_02435L,CNAG_02435,250
CNAG_05153L,CNAG_05153,2
CNAG_01708L,CNAG_01708,245
CNAG_03700L,CNAG_03700,405
CNAG_07320L,CNAG_07320,34
CNAG_05215L,CNAG_05215,351
CNAG_01438L,CNAG_01438,321
CNAG_07464L,CNAG_07464,320
