Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,355
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,412
CNAG_05638R,CNAG_05638,264
CNAG_05639R,CNAG_05639,272
CNAG_06346R,CNAG_06346,256
CNAG_06347R,CNAG_06347,280
CNAG_06517R,CNAG_06517,383
CNAG_06201R,CNAG_06201,204
CNAG_06104R,CNAG_06104,189
CNAG_06081R,CNAG_06081,4
CNAG_07902R,CNAG_07902,243
CNAG_06241R,CNAG_06241,59
CNAG_06242R,CNAG_06242,37
CNAG_07911R,CNAG_07911,191
CNAG_01683R,CNAG_01683,270
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,283
CNAG_01989R,CNAG_01989,201
CNAG_01965R,CNAG_01965,241
CNAG_01925R,CNAG_01925,206
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,269
CNAG_04836R,CNAG_04836,224
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,446
CNAG_04868R,CNAG_04868,58
CNAG_04752R,CNAG_04752,2
CNAG_04518R,CNAG_04518,215
CNAG_04517R,CNAG_04517,288
CNAG_07770R,CNAG_07770,255
CNAG_03333R,CNAG_03333,359
CNAG_07742R,CNAG_07742,426
CNAG_03223R,CNAG_03223,2
CNAG_03142R,CNAG_03142,165
CNAG_03566R,CNAG_03566,204
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,163
CNAG_05684R,CNAG_05684,66
CNAG_02189R,CNAG_02189,357
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,147
CNAG_07633R,CNAG_07633,1
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,240
CNAG_03669R,CNAG_03669,245
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,163
CNAG_00285R,CNAG_00285,200
CNAG_00830R,CNAG_00830,209
CNAG_00841R,CNAG_00841,240
CNAG_06531R,CNAG_06531,427
CNAG_03279R,CNAG_03279,235
CNAG_03336R,CNAG_03336,661
CNAG_06339R,CNAG_06339,298
CNAG_03768R,CNAG_03768,232
CNAG_04534R,CNAG_04534,315
CNAG_01973R,CNAG_01973,308
CNAG_07867R,CNAG_07867,252
CNAG_05333R,CNAG_05333,293
CNAG_06425R,CNAG_06425,360
CNAG_03849R,CNAG_03849,310
CNAG_02603R,CNAG_02603,246
CNAG_02555R,CNAG_02555,334
CNAG_02525R,CNAG_02525,18
CNAG_03431R,CNAG_03431,149
CNAG_05049R,CNAG_05049,233
CNAG_03914R,CNAG_03914,243
CNAG_02476R,CNAG_02476,259
CNAG_07583R,CNAG_07583,309
CNAG_05112R,CNAG_05112,220
CNAG_03366R,CNAG_03366,319
CNAG_04090R,CNAG_04090,916
CNAG_00791R,CNAG_00791,187
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,6245
CNAG_02516R,CNAG_02516,261
CNAG_04804R,CNAG_04804,1
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,386
CNAG_00193R,CNAG_00193,14
CNAG_01883R,CNAG_01883,259
CNAG_03401R,CNAG_03401,240
CNAG_02435R,CNAG_02435,213
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,192
CNAG_03700R,CNAG_03700,275
CNAG_05215R,CNAG_05215,234
CNAG_01438R,CNAG_01438,135
CNAG_07464R,CNAG_07464,299
CNAG_01858R,CNAG_01858,379
CNAG_04586R,CNAG_04586,165
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,224
CNAG_01014R,CNAG_01014,136
