Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,53
CNAG_05515L,CNAG_05515,389
CNAG_05641L,CNAG_05641,306
CNAG_05387L,CNAG_05387,406
CNAG_05590L,CNAG_05590,2115
CNAG_07869L,CNAG_07869,356
CNAG_05340L,CNAG_05340,550
CNAG_05638L,CNAG_05638,294
CNAG_05639L,CNAG_05639,235
CNAG_06346L,CNAG_06346,346
CNAG_06347L,CNAG_06347,304
CNAG_06517L,CNAG_06517,431
CNAG_07939L,CNAG_07939,321
CNAG_06493L,CNAG_06493,250
CNAG_06201L,CNAG_06201,331
CNAG_06104L,CNAG_06104,257
CNAG_06081L,CNAG_06081,336
CNAG_07902L,CNAG_07902,356
CNAG_06241L,CNAG_06241,2
CNAG_06242L,CNAG_06242,4
CNAG_06186L,CNAG_06186,214
CNAG_07911L,CNAG_07911,329
CNAG_01551L,CNAG_01551,346
CNAG_01683L,CNAG_01683,319
CNAG_01983L,CNAG_01983,353
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,309
CNAG_01621L,CNAG_01621,292
CNAG_01988L,CNAG_01988,293
CNAG_01989L,CNAG_01989,264
CNAG_01939L,CNAG_01939,351
CNAG_01993L,CNAG_01993,232
CNAG_01992L,CNAG_01992,271
CNAG_01965L,CNAG_01965,300
CNAG_01562L,CNAG_01562,228
CNAG_01925L,CNAG_01925,344
CNAG_04756L,CNAG_04756,374
CNAG_04807L,CNAG_04807,349
CNAG_04837L,CNAG_04837,389
CNAG_04836L,CNAG_04836,301
CNAG_04737L,CNAG_04737,440
CNAG_04875L,CNAG_04875,365
CNAG_04874L,CNAG_04874,740
CNAG_04868L,CNAG_04868,47
CNAG_04752L,CNAG_04752,299
CNAG_04753L,CNAG_04753,1306
CNAG_04909L,CNAG_04909,335
CNAG_04908L,CNAG_04908,264
CNAG_04659L,CNAG_04659,250
CNAG_04623L,CNAG_04623,274
CNAG_04518L,CNAG_04518,269
CNAG_04517L,CNAG_04517,324
CNAG_07770L,CNAG_07770,229
CNAG_04436L,CNAG_04436,285
CNAG_04271L,CNAG_04271,173
CNAG_04270L,CNAG_04270,292
CNAG_03346L,CNAG_03346,430
CNAG_03433L,CNAG_03433,366
CNAG_03333L,CNAG_03333,464
CNAG_07742L,CNAG_07742,879
CNAG_03438L,CNAG_03438,345
CNAG_03223L,CNAG_03223,310
CNAG_03142L,CNAG_03142,249
CNAG_03143L,CNAG_03143,262
CNAG_03545L,CNAG_03545,200
CNAG_03161L,CNAG_03161,8
CNAG_03566L,CNAG_03566,237
CNAG_05835L,CNAG_05835,139
CNAG_05864L,CNAG_05864,304
CNAG_06567L,CNAG_06567,407
CNAG_05742L,CNAG_05742,3
CNAG_05743L,CNAG_05743,119
CNAG_05867L,CNAG_05867,228
CNAG_05685L,CNAG_05685,903
CNAG_05684L,CNAG_05684,173
CNAG_05785L,CNAG_05785,241
CNAG_05843L,CNAG_05843,36
CNAG_06554L,CNAG_06554,341
CNAG_02189L,CNAG_02189,400
CNAG_02188L,CNAG_02188,319
CNAG_02182L,CNAG_02182,278
CNAG_07631L,CNAG_07631,315
CNAG_02371L,CNAG_02371,284
CNAG_07633L,CNAG_07633,149
CNAG_01069L,CNAG_01069,396
CNAG_00896L,CNAG_00896,843
CNAG_06719L,CNAG_06719,87
CNAG_03669L,CNAG_03669,293
CNAG_00031L,CNAG_00031,295
CNAG_07332L,CNAG_07332,226
CNAG_00285L,CNAG_00285,306
CNAG_00828L,CNAG_00828,299
CNAG_00830L,CNAG_00830,313
CNAG_00841L,CNAG_00841,330
CNAG_02774L,CNAG_02774,250
CNAG_06531L,CNAG_06531,518
CNAG_03279L,CNAG_03279,312
CNAG_03336L,CNAG_03336,676
CNAG_06339L,CNAG_06339,359
CNAG_03768L,CNAG_03768,370
CNAG_04534L,CNAG_04534,280
CNAG_01973L,CNAG_01973,15
CNAG_07867L,CNAG_07867,287
CNAG_05333L,CNAG_05333,282
CNAG_06425L,CNAG_06425,598
CNAG_03849L,CNAG_03849,829
CNAG_02603L,CNAG_02603,308
CNAG_02555L,CNAG_02555,318
CNAG_03431L,CNAG_03431,181
CNAG_05049L,CNAG_05049,187
CNAG_05380L,CNAG_05380,408
CNAG_03914L,CNAG_03914,495
CNAG_02476L,CNAG_02476,275
CNAG_07583L,CNAG_07583,287
CNAG_02466L,CNAG_02466,266
CNAG_05112L,CNAG_05112,308
CNAG_03366L,CNAG_03366,359
CNAG_03977L,CNAG_03977,191
CNAG_04090L,CNAG_04090,1819
CNAG_00791L,CNAG_00791,214
CNAG_06751L,CNAG_06751,201
CNAG_05375L,CNAG_05375,8170
CNAG_02516L,CNAG_02516,338
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,346
CNAG_07725L,CNAG_07725,446
CNAG_06203L,CNAG_06203,426
CNAG_00193L,CNAG_00193,166
CNAG_01883L,CNAG_01883,347
CNAG_03401L,CNAG_03401,295
CNAG_02435L,CNAG_02435,179
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,342
CNAG_03700L,CNAG_03700,361
CNAG_07320L,CNAG_07320,72
CNAG_05215L,CNAG_05215,441
CNAG_01438L,CNAG_01438,226
CNAG_07464L,CNAG_07464,281
CNAG_01858L,CNAG_01858,421
CNAG_04586L,CNAG_04586,94
CNAG_05093L,CNAG_05093,315
CNAG_05176L,CNAG_05176,157
CNAG_01014L,CNAG_01014,282
CNAG_00998L,CNAG_00998,97
CNAG_00039L,CNAG_00039,237
CNAG_07329L,CNAG_07329,12
CNAG_01454L,CNAG_01454,385
CNAG_02700L,CNAG_02700,10
CNAG_06327L,CNAG_06327,117
CNAG_03788L,CNAG_03788,293
CNAG_00871L,CNAG_00871,392
CNAG_00559L,CNAG_00559,13372
CNAG_07370L,CNAG_07370,301
CNAG_00732L,CNAG_00732,215
CNAG_04630L,CNAG_04630,352
CNAG_07940L,CNAG_07940,314
CNAG_02589L,CNAG_02589,349
