Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,137
CNAG_05515L,CNAG_05515,324
CNAG_05641L,CNAG_05641,285
CNAG_05387L,CNAG_05387,420
CNAG_05590L,CNAG_05590,551
CNAG_07869L,CNAG_07869,436
CNAG_05340L,CNAG_05340,243
CNAG_05638L,CNAG_05638,299
CNAG_05639L,CNAG_05639,267
CNAG_06346L,CNAG_06346,322
CNAG_06347L,CNAG_06347,276
CNAG_06517L,CNAG_06517,377
CNAG_07939L,CNAG_07939,296
CNAG_06493L,CNAG_06493,249
CNAG_06201L,CNAG_06201,295
CNAG_06104L,CNAG_06104,284
CNAG_06081L,CNAG_06081,332
CNAG_07902L,CNAG_07902,308
CNAG_06241L,CNAG_06241,43
CNAG_06242L,CNAG_06242,54
CNAG_06186L,CNAG_06186,181
CNAG_07911L,CNAG_07911,304
CNAG_01551L,CNAG_01551,392
CNAG_01683L,CNAG_01683,260
CNAG_01983L,CNAG_01983,348
CNAG_01680L,CNAG_01680,292
CNAG_01621L,CNAG_01621,278
CNAG_01988L,CNAG_01988,218
CNAG_01989L,CNAG_01989,312
CNAG_01939L,CNAG_01939,257
CNAG_01993L,CNAG_01993,178
CNAG_01992L,CNAG_01992,277
CNAG_01965L,CNAG_01965,289
CNAG_01562L,CNAG_01562,266
CNAG_01925L,CNAG_01925,304
CNAG_04756L,CNAG_04756,322
CNAG_04807L,CNAG_04807,271
CNAG_04837L,CNAG_04837,355
CNAG_04836L,CNAG_04836,261
CNAG_04737L,CNAG_04737,410
CNAG_04875L,CNAG_04875,464
CNAG_04874L,CNAG_04874,741
CNAG_04868L,CNAG_04868,61
CNAG_04752L,CNAG_04752,333
CNAG_04753L,CNAG_04753,1158
CNAG_04909L,CNAG_04909,260
CNAG_04908L,CNAG_04908,292
CNAG_04659L,CNAG_04659,129
CNAG_04623L,CNAG_04623,305
CNAG_04518L,CNAG_04518,252
CNAG_04517L,CNAG_04517,294
CNAG_07770L,CNAG_07770,228
CNAG_04436L,CNAG_04436,293
CNAG_04271L,CNAG_04271,125
CNAG_04270L,CNAG_04270,224
CNAG_03346L,CNAG_03346,349
CNAG_03433L,CNAG_03433,263
CNAG_03333L,CNAG_03333,407
CNAG_07742L,CNAG_07742,892
CNAG_03438L,CNAG_03438,166
CNAG_03223L,CNAG_03223,309
CNAG_03142L,CNAG_03142,235
CNAG_03143L,CNAG_03143,235
CNAG_03545L,CNAG_03545,272
CNAG_03161L,CNAG_03161,92
CNAG_03566L,CNAG_03566,208
CNAG_05835L,CNAG_05835,296
CNAG_05864L,CNAG_05864,309
CNAG_06567L,CNAG_06567,355
CNAG_05742L,CNAG_05742,4
CNAG_05743L,CNAG_05743,81
CNAG_05867L,CNAG_05867,220
CNAG_05685L,CNAG_05685,865
CNAG_05684L,CNAG_05684,212
CNAG_05785L,CNAG_05785,211
CNAG_05843L,CNAG_05843,41
CNAG_06554L,CNAG_06554,315
CNAG_02189L,CNAG_02189,335
CNAG_02188L,CNAG_02188,346
CNAG_02182L,CNAG_02182,246
CNAG_07631L,CNAG_07631,584
CNAG_02371L,CNAG_02371,220
CNAG_07633L,CNAG_07633,173
CNAG_01069L,CNAG_01069,342
CNAG_00896L,CNAG_00896,783
CNAG_06719L,CNAG_06719,69
CNAG_03669L,CNAG_03669,307
CNAG_00031L,CNAG_00031,246
CNAG_07332L,CNAG_07332,210
CNAG_00285L,CNAG_00285,226
CNAG_00828L,CNAG_00828,291
CNAG_00830L,CNAG_00830,303
CNAG_00841L,CNAG_00841,308
CNAG_02774L,CNAG_02774,275
CNAG_06531L,CNAG_06531,510
CNAG_03279L,CNAG_03279,318
CNAG_03336L,CNAG_03336,594
CNAG_06339L,CNAG_06339,394
CNAG_03768L,CNAG_03768,316
CNAG_04534L,CNAG_04534,297
CNAG_01973L,CNAG_01973,50
CNAG_07867L,CNAG_07867,239
CNAG_05333L,CNAG_05333,241
CNAG_06425L,CNAG_06425,361
CNAG_03849L,CNAG_03849,767
CNAG_02603L,CNAG_02603,298
CNAG_02555L,CNAG_02555,305
CNAG_03431L,CNAG_03431,191
CNAG_05049L,CNAG_05049,195
CNAG_05380L,CNAG_05380,448
CNAG_03914L,CNAG_03914,265
CNAG_02476L,CNAG_02476,344
CNAG_07583L,CNAG_07583,287
