Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,367
CNAG_05387R,CNAG_05387,444
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,264
CNAG_05639R,CNAG_05639,292
CNAG_06346R,CNAG_06346,251
CNAG_06347R,CNAG_06347,300
CNAG_06517R,CNAG_06517,365
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,230
CNAG_06104R,CNAG_06104,254
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,292
CNAG_06241R,CNAG_06241,13
CNAG_06242R,CNAG_06242,6
CNAG_07911R,CNAG_07911,284
CNAG_01683R,CNAG_01683,371
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,264
CNAG_01989R,CNAG_01989,214
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,273
CNAG_01925R,CNAG_01925,311
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,323
CNAG_04836R,CNAG_04836,323
CNAG_04737R,CNAG_04737,2
CNAG_04875R,CNAG_04875,156
CNAG_04868R,CNAG_04868,52
CNAG_04752R,CNAG_04752,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,234
CNAG_04517R,CNAG_04517,282
CNAG_07770R,CNAG_07770,253
CNAG_04436R,CNAG_04436,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,406
CNAG_07742R,CNAG_07742,541
CNAG_03142R,CNAG_03142,187
CNAG_03566R,CNAG_03566,217
CNAG_05864R,CNAG_05864,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,227
CNAG_05685R,CNAG_05685,3
CNAG_05684R,CNAG_05684,212
CNAG_02189R,CNAG_02189,359
CNAG_02371R,CNAG_02371,318
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,240
CNAG_03669R,CNAG_03669,234
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,183
CNAG_00285R,CNAG_00285,212
CNAG_00830R,CNAG_00830,274
CNAG_00841R,CNAG_00841,288
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,521
CNAG_03279R,CNAG_03279,287
CNAG_03336R,CNAG_03336,445
CNAG_06339R,CNAG_06339,344
CNAG_03768R,CNAG_03768,324
CNAG_04534R,CNAG_04534,285
CNAG_01973R,CNAG_01973,315
CNAG_07867R,CNAG_07867,286
CNAG_05333R,CNAG_05333,304
CNAG_06425R,CNAG_06425,268
CNAG_03849R,CNAG_03849,363
CNAG_02603R,CNAG_02603,265
CNAG_02555R,CNAG_02555,369
CNAG_02525R,CNAG_02525,31
CNAG_03431R,CNAG_03431,139
CNAG_05049R,CNAG_05049,221
CNAG_03914R,CNAG_03914,296
CNAG_02476R,CNAG_02476,256
CNAG_07583R,CNAG_07583,254
CNAG_05112R,CNAG_05112,222
CNAG_03366R,CNAG_03366,315
CNAG_04090R,CNAG_04090,952
CNAG_00791R,CNAG_00791,235
CNAG_05375R,CNAG_05375,7793
CNAG_02516R,CNAG_02516,280
CNAG_04804R,CNAG_04804,2
CNAG_06203R,CNAG_06203,344
CNAG_00193R,CNAG_00193,22
CNAG_01883R,CNAG_01883,307
CNAG_03401R,CNAG_03401,338
CNAG_02435R,CNAG_02435,217
CNAG_05153R,CNAG_05153,7
CNAG_01708R,CNAG_01708,280
CNAG_03700R,CNAG_03700,282
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,349
CNAG_01438R,CNAG_01438,161
CNAG_07464R,CNAG_07464,174
CNAG_01858R,CNAG_01858,440
CNAG_04586R,CNAG_04586,203
CNAG_05176R,CNAG_05176,162
CNAG_01014R,CNAG_01014,194
CNAG_01454R,CNAG_01454,312
CNAG_06327R,CNAG_06327,116
CNAG_03788R,CNAG_03788,240
CNAG_00871R,CNAG_00871,367
CNAG_00559R,CNAG_00559,9864
CNAG_07370R,CNAG_07370,298
CNAG_02589R,CNAG_02589,298
CNAG_01645R,CNAG_01645,606
CNAG_01242R,CNAG_01242,13
CNAG_02788R,CNAG_02788,63
CNAG_07435R,CNAG_07435,39
CNAG_07924R,CNAG_07924,505
CNAG_01071R,CNAG_01071,274
CNAG_00883R,CNAG_00883,141
CNAG_03741R,CNAG_03741,379
CNAG_03745R,CNAG_03745,319
CNAG_00192R,CNAG_00192,288
CNAG_00670R,CNAG_00670,263
CNAG_06871R,CNAG_06871,360
CNAG_04457R,CNAG_04457,283
CNAG_04588R,CNAG_04588,92
CNAG_03894R,CNAG_03894,313
CNAG_04012R,CNAG_04012,362
CNAG_01487R,CNAG_01487,355
CNAG_05170R,CNAG_05170,269
CNAG_02364R,CNAG_02364,259
CNAG_04093R,CNAG_04093,311
CNAG_02322R,CNAG_02322,239
CNAG_05255R,CNAG_05255,303
CNAG_03018R,CNAG_03018,349
CNAG_07901R,CNAG_07901,275
CNAG_03086R,CNAG_03086,366
CNAG_06097R,CNAG_06097,282
CNAG_03132R,CNAG_03132,1
CNAG_06136R,CNAG_06136,287
CNAG_03177R,CNAG_03177,270
CNAG_03183R,CNAG_03183,100
CNAG_06188R,CNAG_06188,1
CNAG_02877R,CNAG_02877,1
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,397
CNAG_04768R,CNAG_04768,289
CNAG_02066R,CNAG_02066,2
CNAG_06276R,CNAG_06276,287
CNAG_05222R,CNAG_05222,61
CNAG_03409R,CNAG_03409,128
CNAG_05622R,CNAG_05622,376
CNAG_04637R,CNAG_04637,200
CNAG_07680R,CNAG_07680,27
CNAG_02215R,CNAG_02215,16
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,369
CNAG_04086R,CNAG_04086,383
CNAG_05697R,CNAG_05697,452
CNAG_04507R,CNAG_04507,269
CNAG_04506R,CNAG_04506,275
CNAG_00068R,CNAG_00068,473
