Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,105
CNAG_05515L,CNAG_05515,433
CNAG_05641L,CNAG_05641,336
CNAG_05387L,CNAG_05387,460
CNAG_05590L,CNAG_05590,933
CNAG_07869L,CNAG_07869,424
CNAG_05340L,CNAG_05340,378
CNAG_05638L,CNAG_05638,324
CNAG_05639L,CNAG_05639,284
CNAG_06346L,CNAG_06346,313
CNAG_06347L,CNAG_06347,328
CNAG_06517L,CNAG_06517,432
CNAG_07939L,CNAG_07939,332
CNAG_06493L,CNAG_06493,316
CNAG_06201L,CNAG_06201,362
CNAG_06104L,CNAG_06104,282
CNAG_06081L,CNAG_06081,433
CNAG_07902L,CNAG_07902,337
CNAG_06241L,CNAG_06241,3
CNAG_06242L,CNAG_06242,8
CNAG_06186L,CNAG_06186,251
CNAG_07911L,CNAG_07911,404
CNAG_01551L,CNAG_01551,600
CNAG_01683L,CNAG_01683,280
CNAG_01983L,CNAG_01983,396
CNAG_01902L,CNAG_01902,2
CNAG_01680L,CNAG_01680,359
CNAG_01621L,CNAG_01621,319
CNAG_01988L,CNAG_01988,270
CNAG_01989L,CNAG_01989,339
CNAG_01939L,CNAG_01939,314
CNAG_01993L,CNAG_01993,285
CNAG_01992L,CNAG_01992,353
CNAG_01965L,CNAG_01965,360
CNAG_01562L,CNAG_01562,244
CNAG_01925L,CNAG_01925,407
CNAG_04756L,CNAG_04756,427
CNAG_04807L,CNAG_04807,424
CNAG_04837L,CNAG_04837,427
CNAG_04836L,CNAG_04836,319
CNAG_04737L,CNAG_04737,466
CNAG_04875L,CNAG_04875,315
CNAG_04874L,CNAG_04874,811
CNAG_04868L,CNAG_04868,86
CNAG_04752L,CNAG_04752,296
CNAG_04753L,CNAG_04753,1632
CNAG_04909L,CNAG_04909,303
CNAG_04908L,CNAG_04908,307
CNAG_04659L,CNAG_04659,259
CNAG_04623L,CNAG_04623,325
CNAG_04518L,CNAG_04518,304
CNAG_04517L,CNAG_04517,328
CNAG_07770L,CNAG_07770,300
CNAG_04436L,CNAG_04436,306
CNAG_04271L,CNAG_04271,215
CNAG_04270L,CNAG_04270,279
CNAG_03346L,CNAG_03346,434
CNAG_03433L,CNAG_03433,356
CNAG_03333L,CNAG_03333,370
CNAG_07742L,CNAG_07742,1122
CNAG_03438L,CNAG_03438,149
CNAG_03223L,CNAG_03223,327
CNAG_03142L,CNAG_03142,278
CNAG_03143L,CNAG_03143,325
CNAG_03545L,CNAG_03545,509
CNAG_03161L,CNAG_03161,143
CNAG_03566L,CNAG_03566,341
CNAG_05835L,CNAG_05835,201
CNAG_05864L,CNAG_05864,389
CNAG_06567L,CNAG_06567,428
CNAG_05742L,CNAG_05742,13
CNAG_05743L,CNAG_05743,103
CNAG_05867L,CNAG_05867,206
CNAG_05685L,CNAG_05685,1056
CNAG_05684L,CNAG_05684,208
CNAG_05785L,CNAG_05785,252
CNAG_05843L,CNAG_05843,14
CNAG_06554L,CNAG_06554,373
CNAG_02189L,CNAG_02189,345
CNAG_02188L,CNAG_02188,386
CNAG_02182L,CNAG_02182,283
CNAG_07631L,CNAG_07631,454
CNAG_02371L,CNAG_02371,292
CNAG_07633L,CNAG_07633,220
CNAG_01069L,CNAG_01069,323
CNAG_00896L,CNAG_00896,954
CNAG_06719L,CNAG_06719,62
CNAG_03669L,CNAG_03669,348
CNAG_00031L,CNAG_00031,316
CNAG_07332L,CNAG_07332,264
CNAG_00285L,CNAG_00285,245
CNAG_00828L,CNAG_00828,280
CNAG_00830L,CNAG_00830,352
CNAG_00841L,CNAG_00841,317
CNAG_02774L,CNAG_02774,320
CNAG_06531L,CNAG_06531,598
CNAG_03279L,CNAG_03279,341
CNAG_03336L,CNAG_03336,648
CNAG_06339L,CNAG_06339,441
CNAG_03768L,CNAG_03768,353
CNAG_04534L,CNAG_04534,369
CNAG_01973L,CNAG_01973,26
CNAG_07867L,CNAG_07867,301
CNAG_05333L,CNAG_05333,307
CNAG_06425L,CNAG_06425,291
CNAG_03849L,CNAG_03849,875
CNAG_02603L,CNAG_02603,307
CNAG_02555L,CNAG_02555,335
CNAG_03431L,CNAG_03431,187
CNAG_05049L,CNAG_05049,221
CNAG_05380L,CNAG_05380,351
CNAG_03914L,CNAG_03914,398
CNAG_02476L,CNAG_02476,336
CNAG_07583L,CNAG_07583,296
CNAG_02466L,CNAG_02466,272
CNAG_05112L,CNAG_05112,364
CNAG_03366L,CNAG_03366,358
CNAG_03977L,CNAG_03977,164
CNAG_04090L,CNAG_04090,982
CNAG_00791L,CNAG_00791,276
CNAG_06751L,CNAG_06751,165
CNAG_05375L,CNAG_05375,7904
CNAG_02516L,CNAG_02516,391
CNAG_04804L,CNAG_04804,5
CNAG_00627L,CNAG_00627,401
CNAG_07725L,CNAG_07725,476
CNAG_06203L,CNAG_06203,327
CNAG_00193L,CNAG_00193,8
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,420
CNAG_03401L,CNAG_03401,330
CNAG_02435L,CNAG_02435,209
CNAG_05153L,CNAG_05153,3
CNAG_01708L,CNAG_01708,363
CNAG_03700L,CNAG_03700,418
CNAG_07320L,CNAG_07320,48
CNAG_05215L,CNAG_05215,424
CNAG_01438L,CNAG_01438,229
CNAG_07464L,CNAG_07464,204
CNAG_01858L,CNAG_01858,472
CNAG_04586L,CNAG_04586,152
CNAG_05093L,CNAG_05093,377
CNAG_05176L,CNAG_05176,175
CNAG_01014L,CNAG_01014,243
CNAG_00998L,CNAG_00998,264
CNAG_00039L,CNAG_00039,398
CNAG_07329L,CNAG_07329,8
CNAG_01454L,CNAG_01454,437
CNAG_02700L,CNAG_02700,7
CNAG_06327L,CNAG_06327,68
CNAG_03788L,CNAG_03788,333
CNAG_00871L,CNAG_00871,454
CNAG_00559L,CNAG_00559,19386
CNAG_07370L,CNAG_07370,449
CNAG_00732L,CNAG_00732,378
CNAG_04630L,CNAG_04630,347
CNAG_07940L,CNAG_07940,352
CNAG_02589L,CNAG_02589,384
CNAG_05067L,CNAG_05067,417
CNAG_01645L,CNAG_01645,932
CNAG_06134L,CNAG_06134,1
CNAG_01242L,CNAG_01242,72
CNAG_02788L,CNAG_02788,73
CNAG_07435L,CNAG_07435,33
CNAG_03998L,CNAG_03998,367
CNAG_07924L,CNAG_07924,744
CNAG_01071L,CNAG_01071,276
CNAG_00883L,CNAG_00883,251
CNAG_03741L,CNAG_03741,422
CNAG_03745L,CNAG_03745,408
CNAG_00192L,CNAG_00192,344
CNAG_00670L,CNAG_00670,367
CNAG_06871L,CNAG_06871,449
CNAG_04457L,CNAG_04457,395
CNAG_02723L,CNAG_02723,360
CNAG_04588L,CNAG_04588,149
CNAG_01977L,CNAG_01977,356
CNAG_03894L,CNAG_03894,382
CNAG_04012L,CNAG_04012,376
CNAG_03561L,CNAG_03561,262
CNAG_05170L,CNAG_05170,264
CNAG_04041L,CNAG_04041,44
CNAG_02364L,CNAG_02364,348
CNAG_04093L,CNAG_04093,326
CNAG_02322L,CNAG_02322,346
CNAG_04184L,CNAG_04184,370
CNAG_05255L,CNAG_05255,342
CNAG_05642L,CNAG_05642,219
CNAG_03059L,CNAG_03059,358
CNAG_03018L,CNAG_03018,293
CNAG_07901L,CNAG_07901,297
CNAG_03086L,CNAG_03086,350
CNAG_04916L,CNAG_04916,235
CNAG_06097L,CNAG_06097,239
CNAG_03115L,CNAG_03115,242
CNAG_03132L,CNAG_03132,378
CNAG_04841L,CNAG_04841,398
CNAG_06136L,CNAG_06136,341
CNAG_03177L,CNAG_03177,674
CNAG_03183L,CNAG_03183,92
CNAG_06188L,CNAG_06188,303
CNAG_02877L,CNAG_02877,231
CNAG_04359L,CNAG_04359,818
CNAG_04774L,CNAG_04774,818
CNAG_04768L,CNAG_04768,365
CNAG_02066L,CNAG_02066,355
CNAG_07922L,CNAG_07922,345
CNAG_06276L,CNAG_06276,349
CNAG_05222L,CNAG_05222,55
CNAG_03409L,CNAG_03409,188
CNAG_05622L,CNAG_05622,739
CNAG_04637L,CNAG_04637,228
CNAG_07680L,CNAG_07680,50
CNAG_02215L,CNAG_02215,15
CNAG_00564L,CNAG_00564,407
CNAG_02387L,CNAG_02387,444
CNAG_04086L,CNAG_04086,487
CNAG_05697L,CNAG_05697,710
CNAG_02697L,CNAG_02697,304
CNAG_06205L,CNAG_06205,359
CNAG_05372L,CNAG_05372,311
CNAG_04507L,CNAG_04507,268
CNAG_04506L,CNAG_04506,390
CNAG_00068L,CNAG_00068,5147
CNAG_05138L,CNAG_05138,211
CNAG_00733L,CNAG_00733,363
CNAG_03910L,CNAG_03910,421
CNAG_04059L,CNAG_04059,1517
CNAG_07491L,CNAG_07491,467
CNAG_05181L,CNAG_05181,212
CNAG_03915L,CNAG_03915,336
CNAG_03772L,CNAG_03772,346
CNAG_00445L,CNAG_00445,1215
CNAG_01901L,CNAG_01901,530
CNAG_05313L,CNAG_05313,313
CNAG_05312L,CNAG_05312,337
CNAG_03012L,CNAG_03012,274
CNAG_03011L,CNAG_03011,324
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,338
CNAG_02682L,CNAG_02682,270
CNAG_02683L,CNAG_02683,264
CNAG_00442L,CNAG_00442,413
CNAG_00183L,CNAG_00183,105
CNAG_07548L,CNAG_07548,1536
CNAG_01277L,CNAG_01277,435
CNAG_07512L,CNAG_07512,701
CNAG_01230L,CNAG_01230,329
CNAG_05264L,CNAG_05264,290
CNAG_05263L,CNAG_05263,303
CNAG_01681L,CNAG_01681,308
CNAG_01040L,CNAG_01040,453
CNAG_00179L,CNAG_00179,379
CNAG_00547L,CNAG_00547,317
CNAG_00598L,CNAG_00598,395
CNAG_05229L,CNAG_05229,281
CNAG_01138L,CNAG_01138,363
CNAG_00597L,CNAG_00597,379
CNAG_02797L,CNAG_02797,511
CNAG_02219L,CNAG_02219,399
CNAG_02220L,CNAG_02220,287
CNAG_00674L,CNAG_00674,378
CNAG_03013L,CNAG_03013,69
CNAG_07540L,CNAG_07540,490
CNAG_04981L,CNAG_04981,377
CNAG_04980L,CNAG_04980,14
CNAG_00456L,CNAG_00456,337
CNAG_00455L,CNAG_00455,310
CNAG_02152L,CNAG_02152,416
CNAG_00107L,CNAG_00107,351
CNAG_00106L,CNAG_00106,640
CNAG_01061L,CNAG_01061,372
CNAG_03847L,CNAG_03847,272
CNAG_03848L,CNAG_03848,338
CNAG_01013L,CNAG_01013,33
CNAG_02777L,CNAG_02777,316
CNAG_07523L,CNAG_07523,274
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,168
CNAG_00531L,CNAG_00531,292
CNAG_05159L,CNAG_05159,336
CNAG_05079L,CNAG_05079,540
CNAG_05080L,CNAG_05080,366
CNAG_04869L,CNAG_04869,343
CNAG_00164L,CNAG_00164,264
CNAG_04077L,CNAG_04077,314
CNAG_01082L,CNAG_01082,380
CNAG_04658L,CNAG_04658,434
CNAG_03727L,CNAG_03727,283
CNAG_03676L,CNAG_03676,262
CNAG_03677L,CNAG_03677,353
CNAG_03841L,CNAG_03841,94
CNAG_06761L,CNAG_06761,281
CNAG_06760L,CNAG_06760,329
CNAG_05076L,CNAG_05076,272
CNAG_05077L,CNAG_05077,391
CNAG_02553L,CNAG_02553,321
CNAG_02554L,CNAG_02554,1290
CNAG_00546L,CNAG_00546,282
CNAG_00702L,CNAG_00702,516
CNAG_00897L,CNAG_00897,195
CNAG_05148L,CNAG_05148,267
CNAG_05147L,CNAG_05147,304
CNAG_01126L,CNAG_01126,44
CNAG_00776L,CNAG_00776,93
CNAG_01446L,CNAG_01446,403
CNAG_04024L,CNAG_04024,426
CNAG_04025L,CNAG_04025,475
CNAG_02348L,CNAG_02348,318
CNAG_02347L,CNAG_02347,616
CNAG_00394L,CNAG_00394,142
CNAG_00393L,CNAG_00393,556
CNAG_06555L,CNAG_06555,347
CNAG_01019L,CNAG_01019,65
CNAG_01803L,CNAG_01803,434
CNAG_00374L,CNAG_00374,271
CNAG_00654L,CNAG_00654,316
CNAG_07541L,CNAG_07541,294
CNAG_07542L,CNAG_07542,400
CNAG_00363L,CNAG_00363,71
CNAG_05915L,CNAG_05915,524
CNAG_05916L,CNAG_05916,303
CNAG_00917L,CNAG_00917,1450
CNAG_00919L,CNAG_00919,402
CNAG_05458L,CNAG_05458,500
CNAG_05459L,CNAG_05459,400
CNAG_01985L,CNAG_01985,235
CNAG_00740L,CNAG_00740,128
CNAG_04163L,CNAG_04163,16
CNAG_04162L,CNAG_04162,136
CNAG_04755L,CNAG_04755,719
CNAG_01777L,CNAG_01777,260
CNAG_01778L,CNAG_01778,376
CNAG_05889L,CNAG_05889,359
CNAG_05888L,CNAG_05888,282
CNAG_04217L,CNAG_04217,410
CNAG_03173L,CNAG_03173,347
CNAG_03172L,CNAG_03172,351
CNAG_07388L,CNAG_07388,289
CNAG_07389L,CNAG_07389,371
CNAG_03644L,CNAG_03644,305
CNAG_06785L,CNAG_06785,266
CNAG_06060L,CNAG_06060,391
CNAG_00581L,CNAG_00581,176
CNAG_02044L,CNAG_02044,362
CNAG_02045L,CNAG_02045,419
CNAG_04950L,CNAG_04950,326
CNAG_04949L,CNAG_04949,335
CNAG_01865L,CNAG_01865,375
CNAG_05870L,CNAG_05870,307
CNAG_00717L,CNAG_00717,105
CNAG_06926L,CNAG_06926,330
CNAG_06896L,CNAG_06896,444
CNAG_04631L,CNAG_04631,280
CNAG_05812L,CNAG_05812,273
CNAG_00079L,CNAG_00079,411
CNAG_06657L,CNAG_06657,314
CNAG_06658L,CNAG_06658,325
