Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,359
CNAG_05387R,CNAG_05387,405
CNAG_05638R,CNAG_05638,252
CNAG_05639R,CNAG_05639,243
CNAG_06346R,CNAG_06346,253
CNAG_06347R,CNAG_06347,256
CNAG_06517R,CNAG_06517,334
CNAG_06201R,CNAG_06201,256
CNAG_06104R,CNAG_06104,164
CNAG_07902R,CNAG_07902,233
CNAG_06241R,CNAG_06241,13
CNAG_06242R,CNAG_06242,5
CNAG_07911R,CNAG_07911,225
CNAG_01683R,CNAG_01683,300
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,224
CNAG_01989R,CNAG_01989,155
CNAG_01992R,CNAG_01992,2
CNAG_01965R,CNAG_01965,253
CNAG_01925R,CNAG_01925,215
CNAG_04837R,CNAG_04837,270
CNAG_04836R,CNAG_04836,252
CNAG_04875R,CNAG_04875,257
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,51
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,243
CNAG_04517R,CNAG_04517,216
CNAG_07770R,CNAG_07770,223
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,348
CNAG_07742R,CNAG_07742,527
CNAG_03142R,CNAG_03142,221
CNAG_03566R,CNAG_03566,190
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,2
CNAG_05867R,CNAG_05867,171
CNAG_05684R,CNAG_05684,152
CNAG_02189R,CNAG_02189,292
CNAG_02371R,CNAG_02371,238
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,192
CNAG_03669R,CNAG_03669,247
CNAG_07332R,CNAG_07332,149
CNAG_00285R,CNAG_00285,241
CNAG_00830R,CNAG_00830,297
CNAG_00841R,CNAG_00841,277
CNAG_06531R,CNAG_06531,461
CNAG_03279R,CNAG_03279,237
CNAG_03336R,CNAG_03336,435
CNAG_06339R,CNAG_06339,340
CNAG_03768R,CNAG_03768,280
CNAG_04534R,CNAG_04534,215
CNAG_01973R,CNAG_01973,297
CNAG_07867R,CNAG_07867,217
CNAG_05333R,CNAG_05333,290
CNAG_06425R,CNAG_06425,176
CNAG_03849R,CNAG_03849,371
CNAG_02603R,CNAG_02603,211
CNAG_02555R,CNAG_02555,316
CNAG_02525R,CNAG_02525,29
CNAG_03431R,CNAG_03431,166
CNAG_05049R,CNAG_05049,206
CNAG_03914R,CNAG_03914,312
CNAG_02476R,CNAG_02476,253
CNAG_07583R,CNAG_07583,259
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,217
CNAG_03366R,CNAG_03366,363
CNAG_04090R,CNAG_04090,744
CNAG_00791R,CNAG_00791,253
CNAG_05375R,CNAG_05375,5599
CNAG_02516R,CNAG_02516,225
CNAG_04804R,CNAG_04804,6
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,280
CNAG_00193R,CNAG_00193,15
CNAG_01883R,CNAG_01883,371
CNAG_03401R,CNAG_03401,286
CNAG_02435R,CNAG_02435,146
CNAG_01708R,CNAG_01708,246
CNAG_03700R,CNAG_03700,221
CNAG_05215R,CNAG_05215,294
CNAG_01438R,CNAG_01438,154
CNAG_07464R,CNAG_07464,197
CNAG_01858R,CNAG_01858,402
CNAG_04586R,CNAG_04586,126
CNAG_05176R,CNAG_05176,157
CNAG_01014R,CNAG_01014,147
CNAG_01454R,CNAG_01454,331
CNAG_06327R,CNAG_06327,49
CNAG_03788R,CNAG_03788,226
CNAG_00871R,CNAG_00871,341
CNAG_00559R,CNAG_00559,14550
CNAG_07370R,CNAG_07370,331
CNAG_02589R,CNAG_02589,302
CNAG_01645R,CNAG_01645,660
CNAG_01242R,CNAG_01242,57
CNAG_02788R,CNAG_02788,56
CNAG_07435R,CNAG_07435,18
CNAG_07924R,CNAG_07924,487
CNAG_01071R,CNAG_01071,220
CNAG_00883R,CNAG_00883,268
CNAG_03741R,CNAG_03741,310
CNAG_03745R,CNAG_03745,330
CNAG_00192R,CNAG_00192,269
CNAG_00670R,CNAG_00670,330
CNAG_06871R,CNAG_06871,286
CNAG_04457R,CNAG_04457,332
CNAG_04588R,CNAG_04588,109
CNAG_03894R,CNAG_03894,234
CNAG_04012R,CNAG_04012,327
CNAG_01487R,CNAG_01487,334
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,267
CNAG_02364R,CNAG_02364,213
CNAG_04093R,CNAG_04093,284
CNAG_02322R,CNAG_02322,290
CNAG_05255R,CNAG_05255,288
CNAG_03018R,CNAG_03018,236
CNAG_07901R,CNAG_07901,229
CNAG_03086R,CNAG_03086,272
CNAG_06097R,CNAG_06097,258
CNAG_06136R,CNAG_06136,264
CNAG_03177R,CNAG_03177,301
CNAG_03183R,CNAG_03183,57
CNAG_04774R,CNAG_04774,457
CNAG_04768R,CNAG_04768,322
CNAG_06276R,CNAG_06276,284
CNAG_05222R,CNAG_05222,36
CNAG_03409R,CNAG_03409,110
CNAG_05622R,CNAG_05622,335
CNAG_04637R,CNAG_04637,188
CNAG_07680R,CNAG_07680,47
CNAG_02215R,CNAG_02215,20
CNAG_02387R,CNAG_02387,336
CNAG_04086R,CNAG_04086,371
CNAG_05697R,CNAG_05697,428
CNAG_05372R,CNAG_05372,1
CNAG_04507R,CNAG_04507,231
CNAG_04506R,CNAG_04506,273
CNAG_00068R,CNAG_00068,404
CNAG_03859R,CNAG_03859,2
CNAG_05138R,CNAG_05138,1
CNAG_00733R,CNAG_00733,272
CNAG_03910R,CNAG_03910,318
CNAG_04059R,CNAG_04059,273
CNAG_07491R,CNAG_07491,336
CNAG_05181R,CNAG_05181,149
CNAG_03772R,CNAG_03772,255
CNAG_00445R,CNAG_00445,849
CNAG_01901R,CNAG_01901,417
CNAG_05313R,CNAG_05313,259
CNAG_05312R,CNAG_05312,270
CNAG_02683R,CNAG_02683,1
CNAG_00442R,CNAG_00442,355
CNAG_01277R,CNAG_01277,334
CNAG_01230R,CNAG_01230,257
CNAG_00547R,CNAG_00547,196
CNAG_00598R,CNAG_00598,279
CNAG_02219R,CNAG_02219,368
CNAG_03013R,CNAG_03013,39
CNAG_07540R,CNAG_07540,517
CNAG_04980R,CNAG_04980,12
CNAG_00456R,CNAG_00456,281
CNAG_00455R,CNAG_00455,295
CNAG_00107R,CNAG_00107,252
CNAG_01061R,CNAG_01061,280
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,33
CNAG_07523R,CNAG_07523,1
CNAG_05080R,CNAG_05080,250
CNAG_00164R,CNAG_00164,278
CNAG_03677R,CNAG_03677,198
CNAG_05077R,CNAG_05077,293
CNAG_00702R,CNAG_00702,1
CNAG_00776R,CNAG_00776,84
CNAG_04024R,CNAG_04024,326
CNAG_04025R,CNAG_04025,326
CNAG_01019R,CNAG_01019,38
CNAG_01803R,CNAG_01803,347
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,237
CNAG_07542R,CNAG_07542,345
CNAG_05915R,CNAG_05915,345
CNAG_00917R,CNAG_00917,937
CNAG_00919R,CNAG_00919,326
CNAG_05458R,CNAG_05458,434
CNAG_05459R,CNAG_05459,313
CNAG_01985R,CNAG_01985,120
CNAG_00740R,CNAG_00740,97
CNAG_04163R,CNAG_04163,258
CNAG_04162R,CNAG_04162,135
CNAG_04755R,CNAG_04755,476
CNAG_01777R,CNAG_01777,212
CNAG_03173R,CNAG_03173,297
CNAG_03172R,CNAG_03172,299
CNAG_07388R,CNAG_07388,276
CNAG_07389R,CNAG_07389,268
CNAG_06060R,CNAG_06060,311
CNAG_00581R,CNAG_00581,147
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,339
CNAG_04950R,CNAG_04950,282
CNAG_04949R,CNAG_04949,209
CNAG_01865R,CNAG_01865,299
CNAG_00717R,CNAG_00717,83
CNAG_06896R,CNAG_06896,342
CNAG_05812R,CNAG_05812,168
CNAG_06658R,CNAG_06658,211
CNAG_05994R,CNAG_05994,292
CNAG_02517R,CNAG_02517,370
CNAG_03329R,CNAG_03329,222
CNAG_04471R,CNAG_04471,299
CNAG_00699R,CNAG_00699,216
CNAG_02129R,CNAG_02129,397
CNAG_05352R,CNAG_05352,142
CNAG_01523R,CNAG_01523,1
CNAG_03946R,CNAG_03946,4
CNAG_07486R,CNAG_07486,252
CNAG_07313R,CNAG_07313,1
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,184
CNAG_00709R,CNAG_00709,283
CNAG_04186R,CNAG_04186,1
CNAG_03689R,CNAG_03689,185
CNAG_01704R,CNAG_01704,266
CNAG_07827R,CNAG_07827,244
CNAG_07516R,CNAG_07516,232
CNAG_00156R,CNAG_00156,2
CNAG_00157R,CNAG_00157,138
CNAG_01776R,CNAG_01776,297
CNAG_07605R,CNAG_07605,186
CNAG_01846R,CNAG_01846,273
CNAG_00799R,CNAG_00799,20
CNAG_04657R,CNAG_04657,277
CNAG_04385R,CNAG_04385,246
CNAG_04386R,CNAG_04386,290
CNAG_07847R,CNAG_07847,252
CNAG_02226R,CNAG_02226,200
CNAG_02225R,CNAG_02225,237
CNAG_04860R,CNAG_04860,215
CNAG_01105R,CNAG_01105,408
CNAG_03524R,CNAG_03524,224
CNAG_03733R,CNAG_03733,295
CNAG_03732R,CNAG_03732,346
CNAG_03247R,CNAG_03247,351
CNAG_03193R,CNAG_03193,227
CNAG_03194R,CNAG_03194,333
CNAG_06574R,CNAG_06574,257
CNAG_04663R,CNAG_04663,199
CNAG_02944R,CNAG_02944,230
CNAG_05872R,CNAG_05872,177
CNAG_02775R,CNAG_02775,13
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,317
CNAG_00475R,CNAG_00475,5106
CNAG_04524R,CNAG_04524,1
CNAG_06501R,CNAG_06501,202
CNAG_06502R,CNAG_06502,264
CNAG_00587R,CNAG_00587,391
CNAG_04691R,CNAG_04691,297
CNAG_05522R,CNAG_05522,291
CNAG_01930R,CNAG_01930,629
CNAG_04983R,CNAG_04983,1
CNAG_03002R,CNAG_03002,353
CNAG_01448R,CNAG_01448,202
CNAG_07685R,CNAG_07685,244
CNAG_03902R,CNAG_03902,49
CNAG_02011R,CNAG_02011,1
CNAG_02010R,CNAG_02010,2943
CNAG_01643R,CNAG_01643,1
CNAG_01642R,CNAG_01642,381
CNAG_03857R,CNAG_03857,1
CNAG_04705R,CNAG_04705,385
CNAG_01420R,CNAG_01420,272
CNAG_07519R,CNAG_07519,531
CNAG_06240R,CNAG_06240,279
CNAG_00777R,CNAG_00777,461
CNAG_01118R,CNAG_01118,370
CNAG_03866R,CNAG_03866,274
CNAG_06595R,CNAG_06595,265
CNAG_00519R,CNAG_00519,3
CNAG_03168R,CNAG_03168,2
CNAG_01524R,CNAG_01524,258
CNAG_04594R,CNAG_04594,271
CNAG_06776R,CNAG_06776,1
CNAG_02588R,CNAG_02588,354
CNAG_06905R,CNAG_06905,298
CNAG_06904R,CNAG_06904,193
CNAG_02288R,CNAG_02288,234
CNAG_07729R,CNAG_07729,2
CNAG_06282R,CNAG_06282,1
CNAG_07752R,CNAG_07752,322
CNAG_04587R,CNAG_04587,242
CNAG_02691R,CNAG_02691,1
CNAG_02692R,CNAG_02692,261
CNAG_02776R,CNAG_02776,427
CNAG_04885R,CNAG_04885,229
CNAG_06662R,CNAG_06662,273
CNAG_02165R,CNAG_02165,326
CNAG_02071R,CNAG_02071,299
CNAG_02070R,CNAG_02070,236
CNAG_02684R,CNAG_02684,316
CNAG_05420R,CNAG_05420,22
CNAG_05939R,CNAG_05939,558
CNAG_00765R,CNAG_00765,199
CNAG_00745R,CNAG_00745,29
CNAG_00744R,CNAG_00744,289
CNAG_00162R,CNAG_00162,251
CNAG_02658R,CNAG_02658,170
CNAG_06401R,CNAG_06401,596
CNAG_01960R,CNAG_01960,207
CNAG_01961R,CNAG_01961,1032
CNAG_02930R,CNAG_02930,155
CNAG_01239R,CNAG_01239,293
CNAG_00332R,CNAG_00332,207
CNAG_00333R,CNAG_00333,206
CNAG_05663R,CNAG_05663,111
CNAG_05664R,CNAG_05664,219
CNAG_01574R,CNAG_01574,858
CNAG_01573R,CNAG_01573,212
CNAG_06963R,CNAG_06963,254
CNAG_03719R,CNAG_03719,240
CNAG_02041R,CNAG_02041,213
CNAG_06889R,CNAG_06889,185
CNAG_04141R,CNAG_04141,268
CNAG_07415R,CNAG_07415,116
CNAG_05586R,CNAG_05586,284
CNAG_05686R,CNAG_05686,237
CNAG_00400R,CNAG_00400,356
CNAG_04215R,CNAG_04215,3
CNAG_04213R,CNAG_04213,375
CNAG_04736R,CNAG_04736,283
CNAG_04735R,CNAG_04735,212
CNAG_05392R,CNAG_05392,218
CNAG_05393R,CNAG_05393,293
CNAG_06034R,CNAG_06034,212
CNAG_05250R,CNAG_05250,170
CNAG_01773R,CNAG_01773,147
CNAG_01232R,CNAG_01232,29
CNAG_01577R,CNAG_01577,7
CNAG_01578R,CNAG_01578,81
