Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,355
CNAG_05387R,CNAG_05387,320
CNAG_05638R,CNAG_05638,194
CNAG_05639R,CNAG_05639,256
CNAG_06346R,CNAG_06346,220
CNAG_06347R,CNAG_06347,209
CNAG_06517R,CNAG_06517,308
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,223
CNAG_06104R,CNAG_06104,201
CNAG_07902R,CNAG_07902,237
CNAG_06241R,CNAG_06241,83
CNAG_06242R,CNAG_06242,22
CNAG_07911R,CNAG_07911,245
CNAG_01683R,CNAG_01683,249
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,214
CNAG_01989R,CNAG_01989,174
CNAG_01939R,CNAG_01939,1
CNAG_01965R,CNAG_01965,222
CNAG_01925R,CNAG_01925,219
CNAG_04837R,CNAG_04837,271
CNAG_04836R,CNAG_04836,254
CNAG_04875R,CNAG_04875,248
CNAG_04868R,CNAG_04868,43
CNAG_04518R,CNAG_04518,203
CNAG_04517R,CNAG_04517,237
CNAG_07770R,CNAG_07770,208
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,270
CNAG_07742R,CNAG_07742,422
CNAG_03142R,CNAG_03142,149
CNAG_03566R,CNAG_03566,163
CNAG_05867R,CNAG_05867,149
CNAG_05684R,CNAG_05684,114
CNAG_02189R,CNAG_02189,294
CNAG_02371R,CNAG_02371,194
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,181
CNAG_03669R,CNAG_03669,199
CNAG_07332R,CNAG_07332,159
CNAG_00285R,CNAG_00285,203
CNAG_00830R,CNAG_00830,280
CNAG_00841R,CNAG_00841,233
CNAG_06531R,CNAG_06531,415
CNAG_03279R,CNAG_03279,248
CNAG_03336R,CNAG_03336,395
CNAG_06339R,CNAG_06339,344
CNAG_03768R,CNAG_03768,256
CNAG_04534R,CNAG_04534,216
CNAG_01973R,CNAG_01973,198
CNAG_07867R,CNAG_07867,232
CNAG_05333R,CNAG_05333,224
CNAG_06425R,CNAG_06425,129
CNAG_03849R,CNAG_03849,296
CNAG_02603R,CNAG_02603,214
CNAG_02555R,CNAG_02555,316
CNAG_02525R,CNAG_02525,14
CNAG_03431R,CNAG_03431,145
CNAG_05049R,CNAG_05049,168
CNAG_03914R,CNAG_03914,322
CNAG_02476R,CNAG_02476,207
CNAG_07583R,CNAG_07583,199
CNAG_05112R,CNAG_05112,177
CNAG_03366R,CNAG_03366,302
CNAG_04090R,CNAG_04090,709
CNAG_00791R,CNAG_00791,184
CNAG_05375R,CNAG_05375,4983
CNAG_02516R,CNAG_02516,201
CNAG_04804R,CNAG_04804,39
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,246
CNAG_00193R,CNAG_00193,6
CNAG_01883R,CNAG_01883,295
CNAG_03401R,CNAG_03401,270
CNAG_02435R,CNAG_02435,182
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,241
CNAG_03700R,CNAG_03700,214
CNAG_05215R,CNAG_05215,243
CNAG_01438R,CNAG_01438,168
CNAG_07464R,CNAG_07464,171
CNAG_01858R,CNAG_01858,313
CNAG_04586R,CNAG_04586,191
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,122
CNAG_01014R,CNAG_01014,97
CNAG_01454R,CNAG_01454,297
CNAG_06327R,CNAG_06327,74
CNAG_03788R,CNAG_03788,198
CNAG_00871R,CNAG_00871,265
CNAG_00559R,CNAG_00559,7952
CNAG_07370R,CNAG_07370,268
CNAG_02589R,CNAG_02589,238
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,543
CNAG_01242R,CNAG_01242,64
CNAG_02788R,CNAG_02788,70
CNAG_07435R,CNAG_07435,32
CNAG_07924R,CNAG_07924,364
CNAG_01071R,CNAG_01071,222
CNAG_00883R,CNAG_00883,193
CNAG_03741R,CNAG_03741,253
CNAG_03745R,CNAG_03745,240
CNAG_00192R,CNAG_00192,271
CNAG_00670R,CNAG_00670,312
CNAG_06871R,CNAG_06871,279
CNAG_04457R,CNAG_04457,247
CNAG_04588R,CNAG_04588,96
CNAG_03894R,CNAG_03894,248
CNAG_04012R,CNAG_04012,280
CNAG_01487R,CNAG_01487,234
CNAG_05170R,CNAG_05170,247
CNAG_02364R,CNAG_02364,202
CNAG_04093R,CNAG_04093,271
CNAG_02322R,CNAG_02322,203
CNAG_05255R,CNAG_05255,254
CNAG_03018R,CNAG_03018,217
CNAG_07901R,CNAG_07901,202
CNAG_03086R,CNAG_03086,210
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,166
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,248
CNAG_03177R,CNAG_03177,261
CNAG_03183R,CNAG_03183,112
CNAG_04774R,CNAG_04774,366
CNAG_04768R,CNAG_04768,259
CNAG_06276R,CNAG_06276,273
CNAG_05222R,CNAG_05222,96
CNAG_03409R,CNAG_03409,109
CNAG_05622R,CNAG_05622,272
CNAG_04637R,CNAG_04637,173
CNAG_07680R,CNAG_07680,48
CNAG_02215R,CNAG_02215,19
CNAG_02387R,CNAG_02387,277
CNAG_04086R,CNAG_04086,274
CNAG_05697R,CNAG_05697,306
CNAG_04507R,CNAG_04507,199
CNAG_04506R,CNAG_04506,250
CNAG_00068R,CNAG_00068,325
CNAG_00733R,CNAG_00733,254
CNAG_03910R,CNAG_03910,243
CNAG_04059R,CNAG_04059,186
CNAG_07491R,CNAG_07491,283
CNAG_05181R,CNAG_05181,162
CNAG_03772R,CNAG_03772,297
CNAG_00445R,CNAG_00445,470
CNAG_01901R,CNAG_01901,374
CNAG_05313R,CNAG_05313,133
CNAG_05312R,CNAG_05312,268
CNAG_00337R,CNAG_00337,1
CNAG_00442R,CNAG_00442,324
CNAG_01277R,CNAG_01277,318
CNAG_01230R,CNAG_01230,213
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,184
CNAG_00598R,CNAG_00598,242
CNAG_01138R,CNAG_01138,2
CNAG_02219R,CNAG_02219,297
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,73
CNAG_07540R,CNAG_07540,351
CNAG_04980R,CNAG_04980,6
CNAG_00456R,CNAG_00456,200
CNAG_00455R,CNAG_00455,198
CNAG_00107R,CNAG_00107,220
CNAG_01061R,CNAG_01061,241
CNAG_01013R,CNAG_01013,47
CNAG_05080R,CNAG_05080,216
CNAG_00164R,CNAG_00164,223
CNAG_04658R,CNAG_04658,1
CNAG_03677R,CNAG_03677,239
CNAG_05077R,CNAG_05077,226
CNAG_00776R,CNAG_00776,79
CNAG_04024R,CNAG_04024,303
CNAG_04025R,CNAG_04025,224
CNAG_01019R,CNAG_01019,32
CNAG_01803R,CNAG_01803,350
CNAG_07541R,CNAG_07541,186
CNAG_07542R,CNAG_07542,259
CNAG_05915R,CNAG_05915,261
CNAG_00917R,CNAG_00917,793
CNAG_00919R,CNAG_00919,276
CNAG_05458R,CNAG_05458,356
CNAG_05459R,CNAG_05459,298
CNAG_01985R,CNAG_01985,108
CNAG_00740R,CNAG_00740,106
CNAG_04163R,CNAG_04163,184
CNAG_04162R,CNAG_04162,94
CNAG_04755R,CNAG_04755,60
CNAG_01777R,CNAG_01777,186
CNAG_03173R,CNAG_03173,294
CNAG_03172R,CNAG_03172,252
CNAG_07388R,CNAG_07388,247
CNAG_07389R,CNAG_07389,270
CNAG_03644R,CNAG_03644,1
CNAG_06785R,CNAG_06785,1
CNAG_06060R,CNAG_06060,219
CNAG_00581R,CNAG_00581,94
CNAG_02045R,CNAG_02045,273
CNAG_04950R,CNAG_04950,197
CNAG_04949R,CNAG_04949,220
CNAG_01865R,CNAG_01865,254
CNAG_00717R,CNAG_00717,66
CNAG_06896R,CNAG_06896,228
CNAG_05812R,CNAG_05812,249
CNAG_06658R,CNAG_06658,189
CNAG_05994R,CNAG_05994,204
CNAG_02517R,CNAG_02517,294
CNAG_03329R,CNAG_03329,146
CNAG_04471R,CNAG_04471,273
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,205
CNAG_02129R,CNAG_02129,281
CNAG_05352R,CNAG_05352,138
CNAG_07442R,CNAG_07442,1
CNAG_07486R,CNAG_07486,209
CNAG_00710R,CNAG_00710,211
CNAG_00709R,CNAG_00709,274
CNAG_03689R,CNAG_03689,177
CNAG_01704R,CNAG_01704,219
CNAG_07827R,CNAG_07827,186
CNAG_07516R,CNAG_07516,235
CNAG_00156R,CNAG_00156,4
CNAG_00157R,CNAG_00157,130
CNAG_04891R,CNAG_04891,1
CNAG_01776R,CNAG_01776,285
CNAG_07605R,CNAG_07605,169
CNAG_01846R,CNAG_01846,204
CNAG_02540R,CNAG_02540,1
CNAG_01701R,CNAG_01701,1
CNAG_00799R,CNAG_00799,16
CNAG_04657R,CNAG_04657,219
CNAG_04385R,CNAG_04385,242
CNAG_04386R,CNAG_04386,250
CNAG_07847R,CNAG_07847,204
CNAG_02226R,CNAG_02226,190
CNAG_02225R,CNAG_02225,259
CNAG_04860R,CNAG_04860,203
CNAG_01105R,CNAG_01105,319
CNAG_03524R,CNAG_03524,219
CNAG_03733R,CNAG_03733,271
CNAG_03732R,CNAG_03732,276
CNAG_03247R,CNAG_03247,255
CNAG_03193R,CNAG_03193,214
CNAG_03194R,CNAG_03194,276
CNAG_06574R,CNAG_06574,262
CNAG_04663R,CNAG_04663,151
CNAG_02944R,CNAG_02944,236
CNAG_05872R,CNAG_05872,40
CNAG_02775R,CNAG_02775,14
CNAG_07498R,CNAG_07498,292
CNAG_03754R,CNAG_03754,1
CNAG_00475R,CNAG_00475,4308
CNAG_06501R,CNAG_06501,160
CNAG_06502R,CNAG_06502,230
CNAG_00587R,CNAG_00587,288
CNAG_04691R,CNAG_04691,266
CNAG_05522R,CNAG_05522,274
CNAG_01930R,CNAG_01930,360
CNAG_04982R,CNAG_04982,1
CNAG_03002R,CNAG_03002,266
CNAG_01448R,CNAG_01448,200
CNAG_07685R,CNAG_07685,205
CNAG_03902R,CNAG_03902,31
CNAG_02010R,CNAG_02010,2537
CNAG_01643R,CNAG_01643,1
CNAG_01642R,CNAG_01642,319
CNAG_05727R,CNAG_05727,1
CNAG_04705R,CNAG_04705,314
CNAG_01420R,CNAG_01420,252
CNAG_07519R,CNAG_07519,359
CNAG_06240R,CNAG_06240,282
CNAG_00777R,CNAG_00777,268
CNAG_01118R,CNAG_01118,302
CNAG_03866R,CNAG_03866,298
CNAG_06595R,CNAG_06595,210
CNAG_00519R,CNAG_00519,4
CNAG_00588R,CNAG_00588,1
CNAG_01524R,CNAG_01524,207
CNAG_04594R,CNAG_04594,184
CNAG_02588R,CNAG_02588,299
CNAG_06905R,CNAG_06905,292
CNAG_06904R,CNAG_06904,194
CNAG_02288R,CNAG_02288,194
CNAG_07729R,CNAG_07729,2
CNAG_07752R,CNAG_07752,282
CNAG_04587R,CNAG_04587,275
CNAG_02692R,CNAG_02692,269
CNAG_02776R,CNAG_02776,373
CNAG_04885R,CNAG_04885,183
CNAG_06662R,CNAG_06662,243
CNAG_02165R,CNAG_02165,284
CNAG_02071R,CNAG_02071,192
CNAG_02070R,CNAG_02070,206
CNAG_02684R,CNAG_02684,235
CNAG_05420R,CNAG_05420,42
CNAG_05939R,CNAG_05939,474
CNAG_07743R,CNAG_07743,1
CNAG_00765R,CNAG_00765,184
CNAG_00745R,CNAG_00745,13
CNAG_00744R,CNAG_00744,248
