Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,54
CNAG_05515L,CNAG_05515,294
CNAG_05641L,CNAG_05641,232
CNAG_05387L,CNAG_05387,325
CNAG_05590L,CNAG_05590,502
CNAG_07869L,CNAG_07869,268
CNAG_05340L,CNAG_05340,218
CNAG_05638L,CNAG_05638,228
CNAG_05639L,CNAG_05639,171
CNAG_06346L,CNAG_06346,273
CNAG_06347L,CNAG_06347,210
CNAG_06517L,CNAG_06517,332
CNAG_07939L,CNAG_07939,212
CNAG_06493L,CNAG_06493,184
CNAG_06201L,CNAG_06201,198
CNAG_06104L,CNAG_06104,163
CNAG_06081L,CNAG_06081,301
CNAG_07902L,CNAG_07902,242
CNAG_06241L,CNAG_06241,116
CNAG_06242L,CNAG_06242,61
CNAG_06186L,CNAG_06186,174
CNAG_07911L,CNAG_07911,244
CNAG_01551L,CNAG_01551,192
CNAG_01683L,CNAG_01683,210
CNAG_01983L,CNAG_01983,263
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,238
CNAG_01621L,CNAG_01621,222
CNAG_01988L,CNAG_01988,214
CNAG_01989L,CNAG_01989,244
CNAG_01939L,CNAG_01939,206
CNAG_01993L,CNAG_01993,168
CNAG_01992L,CNAG_01992,191
CNAG_01965L,CNAG_01965,251
CNAG_01562L,CNAG_01562,170
CNAG_01925L,CNAG_01925,262
CNAG_04756L,CNAG_04756,250
CNAG_04807L,CNAG_04807,303
CNAG_04837L,CNAG_04837,231
CNAG_04836L,CNAG_04836,216
CNAG_04737L,CNAG_04737,306
CNAG_04875L,CNAG_04875,187
CNAG_04874L,CNAG_04874,508
CNAG_04868L,CNAG_04868,69
CNAG_04752L,CNAG_04752,252
CNAG_04753L,CNAG_04753,966
CNAG_04909L,CNAG_04909,224
CNAG_04908L,CNAG_04908,228
CNAG_04659L,CNAG_04659,153
CNAG_04623L,CNAG_04623,229
CNAG_04518L,CNAG_04518,189
CNAG_04517L,CNAG_04517,292
CNAG_07770L,CNAG_07770,228
CNAG_04436L,CNAG_04436,181
CNAG_04271L,CNAG_04271,128
CNAG_04270L,CNAG_04270,182
CNAG_03346L,CNAG_03346,238
CNAG_03433L,CNAG_03433,237
CNAG_03333L,CNAG_03333,298
CNAG_07742L,CNAG_07742,682
CNAG_03438L,CNAG_03438,173
CNAG_03223L,CNAG_03223,156
CNAG_03142L,CNAG_03142,158
CNAG_03143L,CNAG_03143,214
CNAG_03545L,CNAG_03545,296
CNAG_03161L,CNAG_03161,48
CNAG_03566L,CNAG_03566,260
CNAG_05835L,CNAG_05835,200
CNAG_05864L,CNAG_05864,113
CNAG_06567L,CNAG_06567,261
CNAG_05742L,CNAG_05742,1
CNAG_05743L,CNAG_05743,79
CNAG_05867L,CNAG_05867,173
CNAG_05685L,CNAG_05685,551
CNAG_05684L,CNAG_05684,184
CNAG_05785L,CNAG_05785,183
CNAG_05843L,CNAG_05843,12
CNAG_06554L,CNAG_06554,260
CNAG_02189L,CNAG_02189,261
CNAG_02188L,CNAG_02188,326
CNAG_02182L,CNAG_02182,178
CNAG_07631L,CNAG_07631,270
CNAG_02371L,CNAG_02371,184
CNAG_07633L,CNAG_07633,151
CNAG_01069L,CNAG_01069,198
CNAG_00896L,CNAG_00896,651
CNAG_06719L,CNAG_06719,103
CNAG_03669L,CNAG_03669,260
CNAG_00031L,CNAG_00031,200
CNAG_07332L,CNAG_07332,189
CNAG_00285L,CNAG_00285,254
CNAG_00828L,CNAG_00828,214
CNAG_00830L,CNAG_00830,240
CNAG_00841L,CNAG_00841,251
CNAG_02774L,CNAG_02774,248
CNAG_06531L,CNAG_06531,349
CNAG_03279L,CNAG_03279,256
CNAG_03336L,CNAG_03336,408
CNAG_06339L,CNAG_06339,241
CNAG_03768L,CNAG_03768,249
CNAG_04534L,CNAG_04534,249
CNAG_01973L,CNAG_01973,23
CNAG_07867L,CNAG_07867,180
CNAG_05333L,CNAG_05333,239
CNAG_06425L,CNAG_06425,195
CNAG_03849L,CNAG_03849,516
CNAG_02603L,CNAG_02603,257
CNAG_02555L,CNAG_02555,213
CNAG_03431L,CNAG_03431,134
CNAG_05049L,CNAG_05049,176
CNAG_05380L,CNAG_05380,209
CNAG_03914L,CNAG_03914,319
CNAG_02476L,CNAG_02476,258
CNAG_07583L,CNAG_07583,229
CNAG_02466L,CNAG_02466,215
CNAG_05112L,CNAG_05112,239
CNAG_03366L,CNAG_03366,305
CNAG_03977L,CNAG_03977,139
CNAG_04090L,CNAG_04090,377
CNAG_00791L,CNAG_00791,169
CNAG_06751L,CNAG_06751,128
CNAG_05375L,CNAG_05375,4353
CNAG_02516L,CNAG_02516,232
CNAG_04804L,CNAG_04804,1
CNAG_00627L,CNAG_00627,259
CNAG_07725L,CNAG_07725,268
CNAG_06203L,CNAG_06203,243
CNAG_00193L,CNAG_00193,4
CNAG_00514L,CNAG_00514,6
CNAG_01883L,CNAG_01883,249
CNAG_03401L,CNAG_03401,233
CNAG_02435L,CNAG_02435,277
CNAG_05153L,CNAG_05153,10
CNAG_01708L,CNAG_01708,193
CNAG_03700L,CNAG_03700,254
CNAG_07320L,CNAG_07320,47
CNAG_05215L,CNAG_05215,177
CNAG_01438L,CNAG_01438,188
CNAG_07464L,CNAG_07464,213
CNAG_01858L,CNAG_01858,322
CNAG_04586L,CNAG_04586,338
CNAG_05093L,CNAG_05093,261
CNAG_05176L,CNAG_05176,249
CNAG_01014L,CNAG_01014,218
CNAG_00998L,CNAG_00998,172
CNAG_00039L,CNAG_00039,263
CNAG_07329L,CNAG_07329,13
CNAG_01454L,CNAG_01454,284
CNAG_02700L,CNAG_02700,27
CNAG_06327L,CNAG_06327,70
CNAG_03788L,CNAG_03788,213
CNAG_00871L,CNAG_00871,248
CNAG_00559L,CNAG_00559,8197
CNAG_07370L,CNAG_07370,276
CNAG_00732L,CNAG_00732,253
CNAG_04630L,CNAG_04630,264
CNAG_07940L,CNAG_07940,257
CNAG_02589L,CNAG_02589,235
CNAG_05067L,CNAG_05067,231
CNAG_01645L,CNAG_01645,683
CNAG_06134L,CNAG_06134,6
CNAG_01242L,CNAG_01242,12
CNAG_02788L,CNAG_02788,19
CNAG_07435L,CNAG_07435,9
CNAG_03998L,CNAG_03998,197
CNAG_07924L,CNAG_07924,286
CNAG_01071L,CNAG_01071,222
CNAG_00883L,CNAG_00883,201
CNAG_03741L,CNAG_03741,227
CNAG_03745L,CNAG_03745,234
CNAG_00192L,CNAG_00192,252
CNAG_00670L,CNAG_00670,214
CNAG_06871L,CNAG_06871,324
CNAG_04457L,CNAG_04457,262
CNAG_02723L,CNAG_02723,232
CNAG_04588L,CNAG_04588,39
CNAG_01977L,CNAG_01977,221
CNAG_03894L,CNAG_03894,223
CNAG_04012L,CNAG_04012,249
CNAG_03561L,CNAG_03561,191
CNAG_05170L,CNAG_05170,184
CNAG_04041L,CNAG_04041,96
CNAG_02364L,CNAG_02364,243
CNAG_04093L,CNAG_04093,245
CNAG_02322L,CNAG_02322,275
CNAG_04184L,CNAG_04184,222
CNAG_05255L,CNAG_05255,273
CNAG_05642L,CNAG_05642,75
CNAG_03059L,CNAG_03059,204
CNAG_03018L,CNAG_03018,213
CNAG_07901L,CNAG_07901,204
CNAG_03086L,CNAG_03086,231
CNAG_04916L,CNAG_04916,191
CNAG_06097L,CNAG_06097,192
CNAG_03115L,CNAG_03115,212
CNAG_03132L,CNAG_03132,299
CNAG_04841L,CNAG_04841,297
CNAG_06136L,CNAG_06136,218
CNAG_03177L,CNAG_03177,410
CNAG_03183L,CNAG_03183,37
CNAG_06188L,CNAG_06188,230
CNAG_02877L,CNAG_02877,143
CNAG_04359L,CNAG_04359,611
CNAG_04774L,CNAG_04774,481
CNAG_04768L,CNAG_04768,218
CNAG_02066L,CNAG_02066,277
CNAG_07922L,CNAG_07922,219
CNAG_06276L,CNAG_06276,266
CNAG_05222L,CNAG_05222,23
CNAG_03409L,CNAG_03409,56
CNAG_05622L,CNAG_05622,442
CNAG_04637L,CNAG_04637,175
CNAG_07680L,CNAG_07680,28
CNAG_02215L,CNAG_02215,15
CNAG_00564L,CNAG_00564,321
CNAG_02387L,CNAG_02387,236
CNAG_04086L,CNAG_04086,343
CNAG_05697L,CNAG_05697,447
CNAG_02697L,CNAG_02697,175
CNAG_06205L,CNAG_06205,189
CNAG_05372L,CNAG_05372,166
CNAG_04507L,CNAG_04507,214
CNAG_04506L,CNAG_04506,249
CNAG_00068L,CNAG_00068,3664
CNAG_05138L,CNAG_05138,168
CNAG_00733L,CNAG_00733,275
CNAG_03910L,CNAG_03910,257
CNAG_04059L,CNAG_04059,1110
CNAG_07491L,CNAG_07491,283
CNAG_05181L,CNAG_05181,296
CNAG_03915L,CNAG_03915,194
CNAG_03772L,CNAG_03772,283
CNAG_00445L,CNAG_00445,292
CNAG_01901L,CNAG_01901,391
CNAG_05313L,CNAG_05313,74
CNAG_05312L,CNAG_05312,217
CNAG_03012L,CNAG_03012,229
