Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,423
CNAG_05387R,CNAG_05387,496
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,273
CNAG_05639R,CNAG_05639,281
CNAG_06346R,CNAG_06346,311
CNAG_06347R,CNAG_06347,294
CNAG_06517R,CNAG_06517,377
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,288
CNAG_06104R,CNAG_06104,336
CNAG_07902R,CNAG_07902,311
CNAG_06241R,CNAG_06241,115
CNAG_06242R,CNAG_06242,73
CNAG_07911R,CNAG_07911,257
CNAG_01683R,CNAG_01683,364
CNAG_01902R,CNAG_01902,4
CNAG_01680R,CNAG_01680,280
CNAG_01989R,CNAG_01989,244
CNAG_01965R,CNAG_01965,330
CNAG_01925R,CNAG_01925,319
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,327
CNAG_04836R,CNAG_04836,301
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,294
CNAG_04868R,CNAG_04868,90
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,284
CNAG_04517R,CNAG_04517,312
CNAG_07770R,CNAG_07770,330
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,498
CNAG_07742R,CNAG_07742,661
CNAG_03223R,CNAG_03223,2
CNAG_03142R,CNAG_03142,198
CNAG_03143R,CNAG_03143,2
CNAG_03566R,CNAG_03566,263
CNAG_05867R,CNAG_05867,244
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,254
CNAG_02189R,CNAG_02189,350
CNAG_02371R,CNAG_02371,219
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,243
CNAG_03669R,CNAG_03669,291
CNAG_07332R,CNAG_07332,198
CNAG_00285R,CNAG_00285,278
CNAG_00830R,CNAG_00830,296
CNAG_00841R,CNAG_00841,319
CNAG_06531R,CNAG_06531,490
CNAG_03279R,CNAG_03279,322
CNAG_03336R,CNAG_03336,445
CNAG_06339R,CNAG_06339,412
CNAG_03768R,CNAG_03768,376
CNAG_04534R,CNAG_04534,315
CNAG_01973R,CNAG_01973,254
CNAG_07867R,CNAG_07867,286
CNAG_05333R,CNAG_05333,395
CNAG_06425R,CNAG_06425,196
CNAG_03849R,CNAG_03849,334
CNAG_02603R,CNAG_02603,270
CNAG_02555R,CNAG_02555,377
CNAG_02525R,CNAG_02525,81
CNAG_03431R,CNAG_03431,234
CNAG_05049R,CNAG_05049,228
CNAG_03914R,CNAG_03914,394
CNAG_02476R,CNAG_02476,308
CNAG_07583R,CNAG_07583,287
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,222
CNAG_03366R,CNAG_03366,419
CNAG_04090R,CNAG_04090,648
CNAG_00791R,CNAG_00791,252
CNAG_05375R,CNAG_05375,6462
CNAG_02516R,CNAG_02516,269
CNAG_04804R,CNAG_04804,2
CNAG_06203R,CNAG_06203,308
CNAG_00193R,CNAG_00193,18
CNAG_01883R,CNAG_01883,429
CNAG_03401R,CNAG_03401,298
CNAG_02435R,CNAG_02435,382
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,243
CNAG_03700R,CNAG_03700,356
CNAG_05215R,CNAG_05215,276
CNAG_01438R,CNAG_01438,215
CNAG_07464R,CNAG_07464,342
CNAG_01858R,CNAG_01858,509
CNAG_04586R,CNAG_04586,535
CNAG_05176R,CNAG_05176,376
CNAG_01014R,CNAG_01014,207
CNAG_01454R,CNAG_01454,390
CNAG_06327R,CNAG_06327,102
CNAG_03788R,CNAG_03788,281
CNAG_00871R,CNAG_00871,329
CNAG_00559R,CNAG_00559,11044
CNAG_07370R,CNAG_07370,366
CNAG_04630R,CNAG_04630,2
CNAG_07940R,CNAG_07940,2
CNAG_02589R,CNAG_02589,334
CNAG_01645R,CNAG_01645,723
CNAG_01242R,CNAG_01242,20
CNAG_02788R,CNAG_02788,26
CNAG_07435R,CNAG_07435,11
CNAG_07924R,CNAG_07924,343
CNAG_01071R,CNAG_01071,284
CNAG_00883R,CNAG_00883,269
CNAG_03741R,CNAG_03741,287
CNAG_03745R,CNAG_03745,329
CNAG_00192R,CNAG_00192,330
CNAG_00670R,CNAG_00670,320
CNAG_06871R,CNAG_06871,437
CNAG_04457R,CNAG_04457,401
CNAG_04588R,CNAG_04588,65
CNAG_03894R,CNAG_03894,389
CNAG_04012R,CNAG_04012,385
CNAG_01487R,CNAG_01487,387
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,286
CNAG_02364R,CNAG_02364,259
CNAG_04093R,CNAG_04093,329
CNAG_02322R,CNAG_02322,336
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,372
CNAG_03018R,CNAG_03018,288
CNAG_07901R,CNAG_07901,295
CNAG_03086R,CNAG_03086,305
CNAG_06097R,CNAG_06097,240
CNAG_06136R,CNAG_06136,290
CNAG_03177R,CNAG_03177,273
CNAG_03183R,CNAG_03183,91
CNAG_02877R,CNAG_02877,1
CNAG_04774R,CNAG_04774,465
