Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,179
CNAG_05387R,CNAG_05387,216
CNAG_05638R,CNAG_05638,148
CNAG_05639R,CNAG_05639,141
CNAG_06346R,CNAG_06346,201
CNAG_06347R,CNAG_06347,269
CNAG_06517R,CNAG_06517,227
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,146
CNAG_06104R,CNAG_06104,146
CNAG_07902R,CNAG_07902,145
CNAG_06242R,CNAG_06242,3
CNAG_07911R,CNAG_07911,127
CNAG_01683R,CNAG_01683,196
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,131
CNAG_01989R,CNAG_01989,74
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,143
CNAG_01925R,CNAG_01925,146
CNAG_04837R,CNAG_04837,156
CNAG_04836R,CNAG_04836,148
CNAG_04875R,CNAG_04875,184
CNAG_04868R,CNAG_04868,37
CNAG_04753R,CNAG_04753,1
CNAG_04909R,CNAG_04909,1
CNAG_04623R,CNAG_04623,2
CNAG_04518R,CNAG_04518,164
CNAG_04517R,CNAG_04517,173
CNAG_07770R,CNAG_07770,164
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,111
CNAG_07742R,CNAG_07742,350
CNAG_03142R,CNAG_03142,122
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,173
CNAG_05867R,CNAG_05867,87
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,317
CNAG_02189R,CNAG_02189,240
CNAG_02371R,CNAG_02371,94
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,105
CNAG_03669R,CNAG_03669,18
CNAG_07332R,CNAG_07332,103
CNAG_00285R,CNAG_00285,221
CNAG_00830R,CNAG_00830,61
CNAG_00841R,CNAG_00841,152
CNAG_06531R,CNAG_06531,279
CNAG_03279R,CNAG_03279,128
CNAG_03336R,CNAG_03336,119
CNAG_06339R,CNAG_06339,208
CNAG_03768R,CNAG_03768,149
CNAG_04534R,CNAG_04534,179
CNAG_01973R,CNAG_01973,67
CNAG_07867R,CNAG_07867,148
CNAG_05333R,CNAG_05333,156
CNAG_06425R,CNAG_06425,91
CNAG_03849R,CNAG_03849,87
CNAG_02603R,CNAG_02603,122
CNAG_02555R,CNAG_02555,236
CNAG_02525R,CNAG_02525,22
CNAG_03431R,CNAG_03431,76
CNAG_05049R,CNAG_05049,67
CNAG_03914R,CNAG_03914,139
CNAG_02476R,CNAG_02476,164
CNAG_07583R,CNAG_07583,160
CNAG_05112R,CNAG_05112,105
CNAG_03366R,CNAG_03366,226
CNAG_04090R,CNAG_04090,82
CNAG_00791R,CNAG_00791,137
CNAG_05375R,CNAG_05375,6510
CNAG_02516R,CNAG_02516,147
CNAG_04804R,CNAG_04804,46
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,204
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,103
CNAG_03401R,CNAG_03401,112
CNAG_02435R,CNAG_02435,120
CNAG_05153R,CNAG_05153,2
CNAG_01708R,CNAG_01708,339
CNAG_03700R,CNAG_03700,146
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,93
CNAG_01438R,CNAG_01438,101
CNAG_07464R,CNAG_07464,29
CNAG_01858R,CNAG_01858,223
CNAG_04586R,CNAG_04586,394
CNAG_05093R,CNAG_05093,1
CNAG_05176R,CNAG_05176,172
CNAG_01014R,CNAG_01014,150
CNAG_01454R,CNAG_01454,232
CNAG_06327R,CNAG_06327,1
CNAG_03788R,CNAG_03788,160
CNAG_00871R,CNAG_00871,172
CNAG_00559R,CNAG_00559,967
CNAG_07370R,CNAG_07370,190
CNAG_02589R,CNAG_02589,152
CNAG_01645R,CNAG_01645,321
CNAG_01242R,CNAG_01242,58
CNAG_02788R,CNAG_02788,5
CNAG_07435R,CNAG_07435,15
CNAG_07924R,CNAG_07924,207
CNAG_01071R,CNAG_01071,108
CNAG_00883R,CNAG_00883,175
CNAG_03741R,CNAG_03741,187
CNAG_03745R,CNAG_03745,202
CNAG_00192R,CNAG_00192,173
CNAG_00670R,CNAG_00670,170
CNAG_06871R,CNAG_06871,261
CNAG_04457R,CNAG_04457,179
CNAG_04588R,CNAG_04588,33
CNAG_03894R,CNAG_03894,152
CNAG_04012R,CNAG_04012,203
CNAG_01487R,CNAG_01487,214
CNAG_05170R,CNAG_05170,76
CNAG_02364R,CNAG_02364,140
CNAG_04093R,CNAG_04093,120
CNAG_02322R,CNAG_02322,175
CNAG_05255R,CNAG_05255,195
CNAG_03018R,CNAG_03018,127
CNAG_07901R,CNAG_07901,169
CNAG_03086R,CNAG_03086,171
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,373
CNAG_06136R,CNAG_06136,164
CNAG_03177R,CNAG_03177,139
CNAG_03183R,CNAG_03183,64
CNAG_06188R,CNAG_06188,1
CNAG_02877R,CNAG_02877,1
CNAG_04774R,CNAG_04774,197
CNAG_04768R,CNAG_04768,192
CNAG_02066R,CNAG_02066,1
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,158
CNAG_05222R,CNAG_05222,126
CNAG_03409R,CNAG_03409,95
CNAG_05622R,CNAG_05622,198
CNAG_04637R,CNAG_04637,100
CNAG_07680R,CNAG_07680,21
CNAG_02215R,CNAG_02215,12
CNAG_02387R,CNAG_02387,87
CNAG_04086R,CNAG_04086,219
CNAG_05697R,CNAG_05697,175
CNAG_04507R,CNAG_04507,158
CNAG_04506R,CNAG_04506,207
CNAG_00068R,CNAG_00068,274
CNAG_00733R,CNAG_00733,178
CNAG_03910R,CNAG_03910,176
CNAG_04059R,CNAG_04059,143
CNAG_07491R,CNAG_07491,184
CNAG_05181R,CNAG_05181,112
CNAG_03772R,CNAG_03772,180
CNAG_00445R,CNAG_00445,233
CNAG_01901R,CNAG_01901,261
CNAG_05313R,CNAG_05313,64
CNAG_05312R,CNAG_05312,211
CNAG_02682R,CNAG_02682,1
CNAG_00442R,CNAG_00442,257
CNAG_01277R,CNAG_01277,238
CNAG_01230R,CNAG_01230,93
CNAG_00547R,CNAG_00547,78
CNAG_00598R,CNAG_00598,146
CNAG_05229R,CNAG_05229,1
CNAG_02219R,CNAG_02219,218
CNAG_03013R,CNAG_03013,18
CNAG_07540R,CNAG_07540,66
CNAG_04981R,CNAG_04981,1
CNAG_04980R,CNAG_04980,40
CNAG_00456R,CNAG_00456,181
CNAG_00455R,CNAG_00455,170
CNAG_00107R,CNAG_00107,161
CNAG_00106R,CNAG_00106,2
CNAG_01061R,CNAG_01061,165
CNAG_01013R,CNAG_01013,111
CNAG_05080R,CNAG_05080,136
CNAG_00164R,CNAG_00164,167
CNAG_03677R,CNAG_03677,130
CNAG_05077R,CNAG_05077,129
CNAG_00776R,CNAG_00776,17
CNAG_04024R,CNAG_04024,178
CNAG_04025R,CNAG_04025,181
