Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,181
CNAG_05515L,CNAG_05515,415
CNAG_05641L,CNAG_05641,353
CNAG_05387L,CNAG_05387,513
CNAG_05590L,CNAG_05590,36
CNAG_07869L,CNAG_07869,531
CNAG_05340L,CNAG_05340,79
CNAG_05638L,CNAG_05638,372
CNAG_05639L,CNAG_05639,244
CNAG_06346L,CNAG_06346,399
CNAG_06347L,CNAG_06347,492
CNAG_06517L,CNAG_06517,494
CNAG_07939L,CNAG_07939,342
CNAG_06493L,CNAG_06493,290
CNAG_06201L,CNAG_06201,310
CNAG_06104L,CNAG_06104,280
CNAG_06081L,CNAG_06081,430
CNAG_07902L,CNAG_07902,311
CNAG_06241L,CNAG_06241,4
CNAG_06242L,CNAG_06242,3
CNAG_06186L,CNAG_06186,446
CNAG_07911L,CNAG_07911,395
CNAG_01551L,CNAG_01551,57
CNAG_01683L,CNAG_01683,326
CNAG_01983L,CNAG_01983,347
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,332
CNAG_01621L,CNAG_01621,259
CNAG_01988L,CNAG_01988,315
CNAG_01989L,CNAG_01989,390
CNAG_01939L,CNAG_01939,410
CNAG_01993L,CNAG_01993,313
CNAG_01992L,CNAG_01992,375
CNAG_01965L,CNAG_01965,303
CNAG_01562L,CNAG_01562,329
CNAG_01925L,CNAG_01925,352
CNAG_04756L,CNAG_04756,432
CNAG_04807L,CNAG_04807,282
CNAG_04837L,CNAG_04837,323
CNAG_04836L,CNAG_04836,318
CNAG_04737L,CNAG_04737,419
CNAG_04875L,CNAG_04875,243
CNAG_04874L,CNAG_04874,945
CNAG_04868L,CNAG_04868,61
CNAG_04752L,CNAG_04752,341
CNAG_04753L,CNAG_04753,1674
CNAG_04909L,CNAG_04909,336
CNAG_04908L,CNAG_04908,422
CNAG_04659L,CNAG_04659,10
CNAG_04623L,CNAG_04623,403
CNAG_04518L,CNAG_04518,270
CNAG_04517L,CNAG_04517,460
CNAG_07770L,CNAG_07770,423
CNAG_04436L,CNAG_04436,119
