Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,582
CNAG_05387R,CNAG_05387,569
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,402
CNAG_05639R,CNAG_05639,253
CNAG_06346R,CNAG_06346,402
CNAG_06347R,CNAG_06347,333
CNAG_06517R,CNAG_06517,468
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,283
CNAG_06104R,CNAG_06104,226
CNAG_07902R,CNAG_07902,297
CNAG_06241R,CNAG_06241,196
CNAG_06242R,CNAG_06242,63
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,310
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,428
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,336
CNAG_01989R,CNAG_01989,256
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,420
CNAG_01925R,CNAG_01925,309
CNAG_04837R,CNAG_04837,357
CNAG_04836R,CNAG_04836,346
CNAG_04875R,CNAG_04875,218
CNAG_04868R,CNAG_04868,116
CNAG_04659R,CNAG_04659,2
CNAG_04518R,CNAG_04518,310
CNAG_04517R,CNAG_04517,421
CNAG_07770R,CNAG_07770,435
CNAG_03333R,CNAG_03333,518
CNAG_07742R,CNAG_07742,653
CNAG_03142R,CNAG_03142,266
CNAG_03566R,CNAG_03566,242
CNAG_05867R,CNAG_05867,238
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,224
CNAG_02189R,CNAG_02189,466
CNAG_02371R,CNAG_02371,333
CNAG_00896R,CNAG_00896,7
CNAG_06719R,CNAG_06719,337
CNAG_03669R,CNAG_03669,432
CNAG_07332R,CNAG_07332,282
CNAG_00285R,CNAG_00285,453
CNAG_00830R,CNAG_00830,310
CNAG_00841R,CNAG_00841,364
CNAG_06531R,CNAG_06531,672
CNAG_03279R,CNAG_03279,419
CNAG_03336R,CNAG_03336,642
CNAG_06339R,CNAG_06339,423
CNAG_03768R,CNAG_03768,504
