Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,169
CNAG_05515L,CNAG_05515,469
CNAG_05641L,CNAG_05641,361
CNAG_05387L,CNAG_05387,468
CNAG_05590L,CNAG_05590,722
CNAG_07869L,CNAG_07869,482
CNAG_05340L,CNAG_05340,179
CNAG_05638L,CNAG_05638,381
CNAG_05639L,CNAG_05639,296
CNAG_06346L,CNAG_06346,386
CNAG_06347L,CNAG_06347,384
CNAG_06517L,CNAG_06517,407
CNAG_07939L,CNAG_07939,356
CNAG_06493L,CNAG_06493,264
CNAG_06201L,CNAG_06201,342
CNAG_06104L,CNAG_06104,241
CNAG_06081L,CNAG_06081,372
CNAG_07902L,CNAG_07902,334
CNAG_06241L,CNAG_06241,148
CNAG_06242L,CNAG_06242,76
CNAG_06186L,CNAG_06186,317
CNAG_07911L,CNAG_07911,442
CNAG_01551L,CNAG_01551,300
CNAG_01683L,CNAG_01683,327
CNAG_01983L,CNAG_01983,404
CNAG_01680L,CNAG_01680,362
CNAG_01621L,CNAG_01621,336
CNAG_01988L,CNAG_01988,247
CNAG_01989L,CNAG_01989,382
CNAG_01939L,CNAG_01939,420
CNAG_01993L,CNAG_01993,278
CNAG_01992L,CNAG_01992,329
CNAG_01965L,CNAG_01965,385
CNAG_01562L,CNAG_01562,269
CNAG_01925L,CNAG_01925,411
CNAG_04756L,CNAG_04756,341
CNAG_04807L,CNAG_04807,449
CNAG_04837L,CNAG_04837,307
CNAG_04836L,CNAG_04836,320
CNAG_04737L,CNAG_04737,424
CNAG_04875L,CNAG_04875,252
CNAG_04874L,CNAG_04874,837
CNAG_04868L,CNAG_04868,78
CNAG_04752L,CNAG_04752,169
CNAG_04753L,CNAG_04753,2006
CNAG_04909L,CNAG_04909,358
CNAG_04908L,CNAG_04908,352
CNAG_04659L,CNAG_04659,252
CNAG_04623L,CNAG_04623,322
CNAG_04518L,CNAG_04518,262
CNAG_04517L,CNAG_04517,423
CNAG_07770L,CNAG_07770,386
CNAG_04436L,CNAG_04436,262
CNAG_04271L,CNAG_04271,264
CNAG_04270L,CNAG_04270,298
CNAG_03346L,CNAG_03346,340
CNAG_03433L,CNAG_03433,400
CNAG_03333L,CNAG_03333,435
CNAG_07742L,CNAG_07742,958
CNAG_03438L,CNAG_03438,249
CNAG_03223L,CNAG_03223,196
CNAG_03142L,CNAG_03142,270
CNAG_03143L,CNAG_03143,313
CNAG_03545L,CNAG_03545,449
CNAG_03161L,CNAG_03161,183
CNAG_03566L,CNAG_03566,257
CNAG_05835L,CNAG_05835,273
CNAG_05864L,CNAG_05864,303
CNAG_06567L,CNAG_06567,430
CNAG_05742L,CNAG_05742,80
CNAG_05743L,CNAG_05743,55
CNAG_05867L,CNAG_05867,262
CNAG_05685L,CNAG_05685,969
CNAG_05684L,CNAG_05684,278
CNAG_05785L,CNAG_05785,313
CNAG_05843L,CNAG_05843,6
CNAG_06554L,CNAG_06554,322
CNAG_02189L,CNAG_02189,396
CNAG_02188L,CNAG_02188,365
CNAG_02182L,CNAG_02182,375
CNAG_07631L,CNAG_07631,307
CNAG_02371L,CNAG_02371,365
CNAG_07633L,CNAG_07633,124
CNAG_01069L,CNAG_01069,325
CNAG_00896L,CNAG_00896,934
CNAG_06719L,CNAG_06719,94
CNAG_03669L,CNAG_03669,401
CNAG_00031L,CNAG_00031,291
CNAG_07332L,CNAG_07332,229
CNAG_00285L,CNAG_00285,326
CNAG_00828L,CNAG_00828,348
CNAG_00830L,CNAG_00830,376
CNAG_00841L,CNAG_00841,345
CNAG_02774L,CNAG_02774,308
CNAG_06531L,CNAG_06531,571
CNAG_03279L,CNAG_03279,401
CNAG_03336L,CNAG_03336,510
CNAG_06339L,CNAG_06339,435
CNAG_03768L,CNAG_03768,401
CNAG_04534L,CNAG_04534,386
CNAG_01973L,CNAG_01973,36
CNAG_07867L,CNAG_07867,271
CNAG_05333L,CNAG_05333,394
CNAG_06425L,CNAG_06425,248
CNAG_03849L,CNAG_03849,857
CNAG_02603L,CNAG_02603,434
CNAG_02555L,CNAG_02555,386
CNAG_03431L,CNAG_03431,111
CNAG_05049L,CNAG_05049,264
CNAG_05380L,CNAG_05380,259
CNAG_03914L,CNAG_03914,362
CNAG_02476L,CNAG_02476,330
CNAG_07583L,CNAG_07583,353
CNAG_02466L,CNAG_02466,309
CNAG_05112L,CNAG_05112,321
CNAG_03366L,CNAG_03366,422
CNAG_03977L,CNAG_03977,173
CNAG_04090L,CNAG_04090,533
CNAG_00791L,CNAG_00791,278
CNAG_06751L,CNAG_06751,214
CNAG_05375L,CNAG_05375,6035
CNAG_02516L,CNAG_02516,350
CNAG_04804L,CNAG_04804,84
CNAG_00627L,CNAG_00627,426
CNAG_07725L,CNAG_07725,384
CNAG_06203L,CNAG_06203,326
CNAG_00193L,CNAG_00193,5
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,239
CNAG_03401L,CNAG_03401,347
CNAG_02435L,CNAG_02435,323
CNAG_05153L,CNAG_05153,5
CNAG_01708L,CNAG_01708,308
CNAG_03700L,CNAG_03700,473
CNAG_07320L,CNAG_07320,60
CNAG_05215L,CNAG_05215,347
CNAG_01438L,CNAG_01438,238
CNAG_07464L,CNAG_07464,347
CNAG_01858L,CNAG_01858,573
CNAG_04586L,CNAG_04586,343
CNAG_05093L,CNAG_05093,424
CNAG_05176L,CNAG_05176,324
CNAG_01014L,CNAG_01014,221
CNAG_00998L,CNAG_00998,251
CNAG_00039L,CNAG_00039,253
CNAG_07329L,CNAG_07329,31
CNAG_01454L,CNAG_01454,397
CNAG_02700L,CNAG_02700,17
CNAG_06327L,CNAG_06327,102
CNAG_03788L,CNAG_03788,359
CNAG_00871L,CNAG_00871,384
CNAG_00559L,CNAG_00559,9290
CNAG_07370L,CNAG_07370,402
CNAG_00732L,CNAG_00732,348
CNAG_04630L,CNAG_04630,381
CNAG_07940L,CNAG_07940,416
CNAG_02589L,CNAG_02589,428
CNAG_05067L,CNAG_05067,369
CNAG_01645L,CNAG_01645,1046
CNAG_06134L,CNAG_06134,18
CNAG_01242L,CNAG_01242,231
CNAG_02788L,CNAG_02788,41
CNAG_07435L,CNAG_07435,23
CNAG_03998L,CNAG_03998,238
CNAG_07924L,CNAG_07924,430
CNAG_01071L,CNAG_01071,269
CNAG_00883L,CNAG_00883,283
CNAG_03741L,CNAG_03741,252
CNAG_03745L,CNAG_03745,450
CNAG_00192L,CNAG_00192,308
CNAG_00670L,CNAG_00670,348
CNAG_06871L,CNAG_06871,407
CNAG_04457L,CNAG_04457,395
CNAG_02723L,CNAG_02723,351
CNAG_04588L,CNAG_04588,50
CNAG_01977L,CNAG_01977,321
CNAG_03894L,CNAG_03894,477
CNAG_04012L,CNAG_04012,453
CNAG_03561L,CNAG_03561,310
CNAG_05170L,CNAG_05170,237
CNAG_04041L,CNAG_04041,69
CNAG_02364L,CNAG_02364,330
CNAG_04093L,CNAG_04093,327
CNAG_02322L,CNAG_02322,407
CNAG_04184L,CNAG_04184,304
CNAG_05255L,CNAG_05255,407
CNAG_05642L,CNAG_05642,174
CNAG_03059L,CNAG_03059,339
CNAG_03018L,CNAG_03018,282
CNAG_07901L,CNAG_07901,298
CNAG_03086L,CNAG_03086,306
CNAG_04916L,CNAG_04916,231
CNAG_06097L,CNAG_06097,277
CNAG_03115L,CNAG_03115,315
CNAG_03132L,CNAG_03132,428
CNAG_04841L,CNAG_04841,368
CNAG_06136L,CNAG_06136,342
CNAG_03177L,CNAG_03177,686
CNAG_03183L,CNAG_03183,168
CNAG_06188L,CNAG_06188,346
CNAG_02877L,CNAG_02877,218
CNAG_04359L,CNAG_04359,831
CNAG_04774L,CNAG_04774,538
CNAG_04768L,CNAG_04768,378
CNAG_02066L,CNAG_02066,406
CNAG_07922L,CNAG_07922,334
CNAG_06276L,CNAG_06276,334
CNAG_05222L,CNAG_05222,38
CNAG_03409L,CNAG_03409,148
CNAG_05622L,CNAG_05622,694
CNAG_04637L,CNAG_04637,314
CNAG_07680L,CNAG_07680,63
CNAG_02215L,CNAG_02215,46
CNAG_00564L,CNAG_00564,617
CNAG_02387L,CNAG_02387,379
CNAG_04086L,CNAG_04086,532
CNAG_05697L,CNAG_05697,617
CNAG_02697L,CNAG_02697,344
CNAG_06205L,CNAG_06205,320
CNAG_05372L,CNAG_05372,228
CNAG_04507L,CNAG_04507,352
CNAG_04506L,CNAG_04506,410
CNAG_00068L,CNAG_00068,4216
CNAG_05138L,CNAG_05138,272
CNAG_00733L,CNAG_00733,367
CNAG_03910L,CNAG_03910,472
CNAG_04059L,CNAG_04059,1528
CNAG_07491L,CNAG_07491,407
CNAG_05181L,CNAG_05181,348
CNAG_03915L,CNAG_03915,393
CNAG_03772L,CNAG_03772,415
CNAG_00445L,CNAG_00445,661
CNAG_01901L,CNAG_01901,555
CNAG_05313L,CNAG_05313,245
CNAG_05312L,CNAG_05312,404
CNAG_03012L,CNAG_03012,259
CNAG_03011L,CNAG_03011,317
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,451
CNAG_02682L,CNAG_02682,283
CNAG_02683L,CNAG_02683,339
CNAG_00442L,CNAG_00442,547
CNAG_00183L,CNAG_00183,208
CNAG_07548L,CNAG_07548,2914
CNAG_01277L,CNAG_01277,490
CNAG_07512L,CNAG_07512,692
CNAG_01230L,CNAG_01230,220
CNAG_05264L,CNAG_05264,246
CNAG_05263L,CNAG_05263,305
CNAG_01681L,CNAG_01681,301
CNAG_01040L,CNAG_01040,270
CNAG_00179L,CNAG_00179,341
CNAG_00547L,CNAG_00547,297
CNAG_00598L,CNAG_00598,370
CNAG_05229L,CNAG_05229,301
CNAG_01138L,CNAG_01138,378
CNAG_00597L,CNAG_00597,363
CNAG_02797L,CNAG_02797,162
CNAG_02219L,CNAG_02219,428
CNAG_02220L,CNAG_02220,334
CNAG_00674L,CNAG_00674,348
CNAG_03013L,CNAG_03013,70
CNAG_07540L,CNAG_07540,458
CNAG_04981L,CNAG_04981,324
CNAG_04980L,CNAG_04980,12
CNAG_00456L,CNAG_00456,372
CNAG_00455L,CNAG_00455,316
CNAG_02152L,CNAG_02152,387
CNAG_00107L,CNAG_00107,275
CNAG_00106L,CNAG_00106,303
CNAG_01061L,CNAG_01061,434
CNAG_03847L,CNAG_03847,384
CNAG_03848L,CNAG_03848,355
CNAG_01013L,CNAG_01013,65
CNAG_02777L,CNAG_02777,307
CNAG_07523L,CNAG_07523,309
CNAG_04991L,CNAG_04991,190
CNAG_00531L,CNAG_00531,380
CNAG_05159L,CNAG_05159,398
CNAG_05079L,CNAG_05079,584
CNAG_05080L,CNAG_05080,369
CNAG_04869L,CNAG_04869,358
CNAG_00164L,CNAG_00164,366
CNAG_04077L,CNAG_04077,372
CNAG_01082L,CNAG_01082,377
CNAG_04658L,CNAG_04658,372
CNAG_03727L,CNAG_03727,321
CNAG_03676L,CNAG_03676,389
CNAG_03677L,CNAG_03677,434
CNAG_03841L,CNAG_03841,58
CNAG_06761L,CNAG_06761,330
CNAG_06760L,CNAG_06760,291
CNAG_05076L,CNAG_05076,272
CNAG_05077L,CNAG_05077,427
CNAG_02553L,CNAG_02553,362
CNAG_02554L,CNAG_02554,2101
CNAG_00546L,CNAG_00546,376
CNAG_00702L,CNAG_00702,484
CNAG_00897L,CNAG_00897,321
CNAG_05148L,CNAG_05148,296
CNAG_05147L,CNAG_05147,422
CNAG_01126L,CNAG_01126,44
CNAG_00776L,CNAG_00776,41
CNAG_01446L,CNAG_01446,491
CNAG_04024L,CNAG_04024,421
CNAG_04025L,CNAG_04025,487
CNAG_02348L,CNAG_02348,415
CNAG_02347L,CNAG_02347,622
CNAG_00394L,CNAG_00394,95
CNAG_00393L,CNAG_00393,466
CNAG_06555L,CNAG_06555,346
CNAG_01019L,CNAG_01019,35
CNAG_01803L,CNAG_01803,504
CNAG_00374L,CNAG_00374,329
CNAG_00654L,CNAG_00654,307
CNAG_07541L,CNAG_07541,296
CNAG_07542L,CNAG_07542,456
CNAG_00363L,CNAG_00363,55
CNAG_05915L,CNAG_05915,441
CNAG_05916L,CNAG_05916,282
CNAG_00917L,CNAG_00917,1517
CNAG_00919L,CNAG_00919,421
CNAG_05458L,CNAG_05458,415
CNAG_05459L,CNAG_05459,491
CNAG_01985L,CNAG_01985,214
CNAG_00740L,CNAG_00740,79
