Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,218
CNAG_05387R,CNAG_05387,260
CNAG_05638R,CNAG_05638,140
CNAG_05639R,CNAG_05639,143
CNAG_06346R,CNAG_06346,146
CNAG_06347R,CNAG_06347,121
CNAG_06517R,CNAG_06517,227
CNAG_06201R,CNAG_06201,148
CNAG_06104R,CNAG_06104,92
CNAG_07902R,CNAG_07902,175
CNAG_06241R,CNAG_06241,79
CNAG_06242R,CNAG_06242,47
CNAG_07911R,CNAG_07911,144
CNAG_01683R,CNAG_01683,205
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,127
CNAG_01989R,CNAG_01989,124
CNAG_01965R,CNAG_01965,143
CNAG_01925R,CNAG_01925,117
CNAG_04837R,CNAG_04837,158
CNAG_04836R,CNAG_04836,176
CNAG_04875R,CNAG_04875,97
CNAG_04868R,CNAG_04868,25
CNAG_04518R,CNAG_04518,127
CNAG_04517R,CNAG_04517,126
CNAG_07770R,CNAG_07770,161
CNAG_03333R,CNAG_03333,171
CNAG_07742R,CNAG_07742,297
CNAG_03142R,CNAG_03142,137
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,115
CNAG_05867R,CNAG_05867,98
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,211
CNAG_02189R,CNAG_02189,167
CNAG_02371R,CNAG_02371,134
CNAG_07633R,CNAG_07633,1
CNAG_06719R,CNAG_06719,133
CNAG_03669R,CNAG_03669,200
CNAG_07332R,CNAG_07332,90
CNAG_00285R,CNAG_00285,141
CNAG_00830R,CNAG_00830,152
CNAG_00841R,CNAG_00841,190
CNAG_06531R,CNAG_06531,279
CNAG_03279R,CNAG_03279,151
CNAG_03336R,CNAG_03336,204
CNAG_06339R,CNAG_06339,214
CNAG_03768R,CNAG_03768,182
CNAG_04534R,CNAG_04534,159
CNAG_01973R,CNAG_01973,231
CNAG_07867R,CNAG_07867,136
CNAG_05333R,CNAG_05333,209
CNAG_06425R,CNAG_06425,133
CNAG_03849R,CNAG_03849,177
CNAG_02603R,CNAG_02603,133
CNAG_02555R,CNAG_02555,213
CNAG_02525R,CNAG_02525,79
CNAG_03431R,CNAG_03431,181
CNAG_05049R,CNAG_05049,134
CNAG_03914R,CNAG_03914,105
CNAG_02476R,CNAG_02476,133
CNAG_07583R,CNAG_07583,173
CNAG_05112R,CNAG_05112,96
CNAG_03366R,CNAG_03366,150
CNAG_04090R,CNAG_04090,333
CNAG_00791R,CNAG_00791,144
CNAG_05375R,CNAG_05375,2662
CNAG_02516R,CNAG_02516,152
CNAG_04804R,CNAG_04804,69
CNAG_06203R,CNAG_06203,182
CNAG_00193R,CNAG_00193,6
CNAG_01883R,CNAG_01883,269
CNAG_03401R,CNAG_03401,154
CNAG_02435R,CNAG_02435,113
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,148
CNAG_03700R,CNAG_03700,165
CNAG_05215R,CNAG_05215,122
CNAG_01438R,CNAG_01438,48
CNAG_07464R,CNAG_07464,47
CNAG_01858R,CNAG_01858,233
CNAG_04586R,CNAG_04586,122
CNAG_05176R,CNAG_05176,160
CNAG_01014R,CNAG_01014,94
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,174
CNAG_06327R,CNAG_06327,31
CNAG_03788R,CNAG_03788,175
CNAG_00871R,CNAG_00871,165
CNAG_00559R,CNAG_00559,3832
CNAG_07370R,CNAG_07370,194
CNAG_02589R,CNAG_02589,168
CNAG_01645R,CNAG_01645,366
CNAG_01242R,CNAG_01242,78
CNAG_02788R,CNAG_02788,10
CNAG_07435R,CNAG_07435,9
CNAG_07924R,CNAG_07924,166
CNAG_01071R,CNAG_01071,160
CNAG_00883R,CNAG_00883,161
CNAG_03741R,CNAG_03741,158
CNAG_03745R,CNAG_03745,208
CNAG_00192R,CNAG_00192,157
CNAG_00670R,CNAG_00670,175
CNAG_06871R,CNAG_06871,208
CNAG_04457R,CNAG_04457,195
CNAG_04588R,CNAG_04588,59
CNAG_03894R,CNAG_03894,137
CNAG_04012R,CNAG_04012,190
CNAG_01487R,CNAG_01487,151
CNAG_05170R,CNAG_05170,145
CNAG_02364R,CNAG_02364,156
CNAG_04093R,CNAG_04093,215
CNAG_02322R,CNAG_02322,137
CNAG_05255R,CNAG_05255,204
CNAG_03018R,CNAG_03018,174
CNAG_07901R,CNAG_07901,145
CNAG_03086R,CNAG_03086,167
CNAG_06097R,CNAG_06097,202
CNAG_06136R,CNAG_06136,134
CNAG_03177R,CNAG_03177,151
CNAG_03183R,CNAG_03183,117
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,198
CNAG_04768R,CNAG_04768,204
CNAG_06276R,CNAG_06276,207
CNAG_05222R,CNAG_05222,29
CNAG_03409R,CNAG_03409,114
CNAG_05622R,CNAG_05622,182
CNAG_04637R,CNAG_04637,45
CNAG_07680R,CNAG_07680,24
CNAG_02215R,CNAG_02215,15
CNAG_02387R,CNAG_02387,179
CNAG_04086R,CNAG_04086,222
CNAG_05697R,CNAG_05697,239
CNAG_04507R,CNAG_04507,178
CNAG_04506R,CNAG_04506,155
CNAG_00068R,CNAG_00068,197
CNAG_00733R,CNAG_00733,166
CNAG_03910R,CNAG_03910,162
CNAG_04059R,CNAG_04059,135
CNAG_07491R,CNAG_07491,151
CNAG_05181R,CNAG_05181,157
CNAG_03772R,CNAG_03772,169
CNAG_00445R,CNAG_00445,225
CNAG_01901R,CNAG_01901,198
CNAG_05313R,CNAG_05313,185
CNAG_05312R,CNAG_05312,215
CNAG_03012R,CNAG_03012,1
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,221
CNAG_01277R,CNAG_01277,212
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,106
CNAG_01681R,CNAG_01681,1
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,117
CNAG_00598R,CNAG_00598,194
CNAG_02219R,CNAG_02219,208
CNAG_03013R,CNAG_03013,45
CNAG_07540R,CNAG_07540,234
CNAG_04980R,CNAG_04980,11
CNAG_00456R,CNAG_00456,159
CNAG_00455R,CNAG_00455,183
CNAG_00107R,CNAG_00107,124
CNAG_01061R,CNAG_01061,163
CNAG_01013R,CNAG_01013,46
CNAG_05080R,CNAG_05080,127
CNAG_00164R,CNAG_00164,134
CNAG_03677R,CNAG_03677,149
CNAG_05077R,CNAG_05077,175
CNAG_00776R,CNAG_00776,27
CNAG_04024R,CNAG_04024,198
CNAG_04025R,CNAG_04025,152
CNAG_01019R,CNAG_01019,33
CNAG_01803R,CNAG_01803,204
CNAG_07541R,CNAG_07541,156
CNAG_07542R,CNAG_07542,189
CNAG_05915R,CNAG_05915,169
CNAG_00917R,CNAG_00917,498
CNAG_00919R,CNAG_00919,176
CNAG_05458R,CNAG_05458,236
CNAG_05459R,CNAG_05459,209
CNAG_01985R,CNAG_01985,98
CNAG_00740R,CNAG_00740,36
CNAG_04163R,CNAG_04163,156
CNAG_04162R,CNAG_04162,58
CNAG_04755R,CNAG_04755,363
CNAG_01777R,CNAG_01777,131
CNAG_05888R,CNAG_05888,1
CNAG_03173R,CNAG_03173,137
CNAG_03172R,CNAG_03172,199
CNAG_07388R,CNAG_07388,241
CNAG_07389R,CNAG_07389,195
CNAG_06060R,CNAG_06060,136
CNAG_00581R,CNAG_00581,90
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,222
CNAG_04950R,CNAG_04950,126
CNAG_04949R,CNAG_04949,165
CNAG_01865R,CNAG_01865,172
CNAG_00717R,CNAG_00717,62
CNAG_06896R,CNAG_06896,69
CNAG_04631R,CNAG_04631,1
CNAG_05812R,CNAG_05812,137
CNAG_06658R,CNAG_06658,155
CNAG_05994R,CNAG_05994,149
CNAG_02517R,CNAG_02517,189
CNAG_03329R,CNAG_03329,123
CNAG_04471R,CNAG_04471,174
CNAG_00699R,CNAG_00699,151
CNAG_02129R,CNAG_02129,206
CNAG_05352R,CNAG_05352,76
CNAG_07486R,CNAG_07486,156
CNAG_00710R,CNAG_00710,99
CNAG_00709R,CNAG_00709,133
CNAG_03689R,CNAG_03689,132
CNAG_01704R,CNAG_01704,149
CNAG_07827R,CNAG_07827,143
CNAG_07516R,CNAG_07516,145
