Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,185
CNAG_05515L,CNAG_05515,275
CNAG_05641L,CNAG_05641,269
CNAG_05387L,CNAG_05387,341
CNAG_05590L,CNAG_05590,505
CNAG_07869L,CNAG_07869,324
CNAG_05340L,CNAG_05340,153
CNAG_05638L,CNAG_05638,259
CNAG_05639L,CNAG_05639,203
CNAG_06346L,CNAG_06346,234
CNAG_06347L,CNAG_06347,219
CNAG_06517L,CNAG_06517,336
CNAG_07939L,CNAG_07939,282
CNAG_06493L,CNAG_06493,249
CNAG_06201L,CNAG_06201,235
CNAG_06104L,CNAG_06104,167
CNAG_06081L,CNAG_06081,269
CNAG_07902L,CNAG_07902,262
CNAG_06241L,CNAG_06241,115
CNAG_06242L,CNAG_06242,45
CNAG_06186L,CNAG_06186,217
CNAG_07911L,CNAG_07911,309
CNAG_01551L,CNAG_01551,201
CNAG_01683L,CNAG_01683,214
CNAG_01983L,CNAG_01983,285
CNAG_01902L,CNAG_01902,8
CNAG_01680L,CNAG_01680,292
CNAG_01621L,CNAG_01621,247
CNAG_01988L,CNAG_01988,207
CNAG_01989L,CNAG_01989,256
CNAG_01939L,CNAG_01939,241
CNAG_01993L,CNAG_01993,235
CNAG_01992L,CNAG_01992,227
CNAG_01965L,CNAG_01965,260
CNAG_01562L,CNAG_01562,184
CNAG_01925L,CNAG_01925,266
CNAG_04756L,CNAG_04756,258
CNAG_04807L,CNAG_04807,352
CNAG_04837L,CNAG_04837,246
CNAG_04836L,CNAG_04836,235
CNAG_04737L,CNAG_04737,346
CNAG_04875L,CNAG_04875,151
CNAG_04874L,CNAG_04874,576
CNAG_04868L,CNAG_04868,17
CNAG_04752L,CNAG_04752,218
CNAG_04753L,CNAG_04753,1276
CNAG_04909L,CNAG_04909,230
CNAG_04908L,CNAG_04908,331
CNAG_04659L,CNAG_04659,210
CNAG_04623L,CNAG_04623,235
CNAG_04518L,CNAG_04518,241
CNAG_04517L,CNAG_04517,215
CNAG_07770L,CNAG_07770,230
CNAG_04436L,CNAG_04436,151
CNAG_04271L,CNAG_04271,196
CNAG_04270L,CNAG_04270,205
CNAG_03346L,CNAG_03346,251
CNAG_03433L,CNAG_03433,255
CNAG_03333L,CNAG_03333,271
CNAG_07742L,CNAG_07742,710
CNAG_03438L,CNAG_03438,142
CNAG_03223L,CNAG_03223,225
CNAG_03142L,CNAG_03142,222
CNAG_03143L,CNAG_03143,206
CNAG_03545L,CNAG_03545,304
CNAG_03161L,CNAG_03161,138
CNAG_03566L,CNAG_03566,228
CNAG_05835L,CNAG_05835,219
CNAG_05864L,CNAG_05864,176
CNAG_06567L,CNAG_06567,277
CNAG_05742L,CNAG_05742,55
CNAG_05743L,CNAG_05743,54
CNAG_05867L,CNAG_05867,173
CNAG_05685L,CNAG_05685,586
CNAG_05684L,CNAG_05684,376
CNAG_05785L,CNAG_05785,166
CNAG_05843L,CNAG_05843,20
CNAG_06554L,CNAG_06554,206
CNAG_02189L,CNAG_02189,284
CNAG_02188L,CNAG_02188,259
CNAG_02182L,CNAG_02182,189
CNAG_07631L,CNAG_07631,314
CNAG_02371L,CNAG_02371,237
CNAG_07633L,CNAG_07633,565
CNAG_01069L,CNAG_01069,272
CNAG_00896L,CNAG_00896,691
CNAG_06719L,CNAG_06719,101
CNAG_03669L,CNAG_03669,222
CNAG_00031L,CNAG_00031,266
CNAG_07332L,CNAG_07332,161
CNAG_00285L,CNAG_00285,269
CNAG_00828L,CNAG_00828,270
CNAG_00830L,CNAG_00830,229
CNAG_00841L,CNAG_00841,278
CNAG_02774L,CNAG_02774,284
CNAG_06531L,CNAG_06531,448
CNAG_03279L,CNAG_03279,294
CNAG_03336L,CNAG_03336,392
CNAG_06339L,CNAG_06339,329
CNAG_03768L,CNAG_03768,284
CNAG_04534L,CNAG_04534,255
CNAG_01973L,CNAG_01973,43
CNAG_07867L,CNAG_07867,182
CNAG_05333L,CNAG_05333,299
CNAG_06425L,CNAG_06425,180
CNAG_03849L,CNAG_03849,532
CNAG_02603L,CNAG_02603,248
CNAG_02555L,CNAG_02555,251
CNAG_03431L,CNAG_03431,199
CNAG_05049L,CNAG_05049,132
CNAG_05380L,CNAG_05380,254
CNAG_03914L,CNAG_03914,227
CNAG_02476L,CNAG_02476,234
CNAG_07583L,CNAG_07583,262
CNAG_02466L,CNAG_02466,227
CNAG_05112L,CNAG_05112,227
CNAG_03366L,CNAG_03366,276
CNAG_03977L,CNAG_03977,154
CNAG_04090L,CNAG_04090,437
CNAG_00791L,CNAG_00791,201
CNAG_06751L,CNAG_06751,169
CNAG_05375L,CNAG_05375,3720
CNAG_02516L,CNAG_02516,200
CNAG_04804L,CNAG_04804,84
CNAG_00627L,CNAG_00627,268
CNAG_07725L,CNAG_07725,275
CNAG_06203L,CNAG_06203,226
CNAG_00193L,CNAG_00193,5
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,439
CNAG_03401L,CNAG_03401,184
CNAG_02435L,CNAG_02435,191
CNAG_05153L,CNAG_05153,12
CNAG_01708L,CNAG_01708,261
CNAG_03700L,CNAG_03700,252
CNAG_07320L,CNAG_07320,55
CNAG_05215L,CNAG_05215,220
CNAG_01438L,CNAG_01438,123
CNAG_07464L,CNAG_07464,116
CNAG_01858L,CNAG_01858,300
CNAG_04586L,CNAG_04586,163
CNAG_05093L,CNAG_05093,224
CNAG_05176L,CNAG_05176,256
CNAG_01014L,CNAG_01014,197
CNAG_00998L,CNAG_00998,168
CNAG_00039L,CNAG_00039,533
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,240
CNAG_02700L,CNAG_02700,25
CNAG_06327L,CNAG_06327,44
CNAG_03788L,CNAG_03788,237
CNAG_00871L,CNAG_00871,298
CNAG_00559L,CNAG_00559,5871
CNAG_07370L,CNAG_07370,310
CNAG_00732L,CNAG_00732,215
CNAG_04630L,CNAG_04630,244
CNAG_07940L,CNAG_07940,253
CNAG_02589L,CNAG_02589,287
CNAG_05067L,CNAG_05067,265
