Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,317
CNAG_05387R,CNAG_05387,403
CNAG_05638R,CNAG_05638,214
CNAG_05639R,CNAG_05639,201
CNAG_06346R,CNAG_06346,234
CNAG_06347R,CNAG_06347,176
CNAG_06517R,CNAG_06517,287
CNAG_06201R,CNAG_06201,209
CNAG_06104R,CNAG_06104,198
CNAG_07902R,CNAG_07902,243
CNAG_06241R,CNAG_06241,24
CNAG_06242R,CNAG_06242,13
CNAG_07911R,CNAG_07911,218
CNAG_01683R,CNAG_01683,293
CNAG_01680R,CNAG_01680,176
CNAG_01989R,CNAG_01989,141
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,244
CNAG_01925R,CNAG_01925,209
CNAG_04837R,CNAG_04837,230
CNAG_04836R,CNAG_04836,244
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,255
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,66
CNAG_04518R,CNAG_04518,166
CNAG_04517R,CNAG_04517,237
CNAG_07770R,CNAG_07770,220
CNAG_04436R,CNAG_04436,1
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,359
CNAG_07742R,CNAG_07742,491
CNAG_03142R,CNAG_03142,185
CNAG_03566R,CNAG_03566,209
CNAG_05835R,CNAG_05835,1
CNAG_05867R,CNAG_05867,152
CNAG_05684R,CNAG_05684,101
CNAG_02189R,CNAG_02189,193
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,191
CNAG_06719R,CNAG_06719,200
CNAG_03669R,CNAG_03669,198
CNAG_07332R,CNAG_07332,134
CNAG_00285R,CNAG_00285,190
CNAG_00830R,CNAG_00830,259
CNAG_00841R,CNAG_00841,257
CNAG_06531R,CNAG_06531,439
CNAG_03279R,CNAG_03279,215
CNAG_03336R,CNAG_03336,330
CNAG_06339R,CNAG_06339,322
CNAG_03768R,CNAG_03768,270
CNAG_04534R,CNAG_04534,217
CNAG_01973R,CNAG_01973,133
CNAG_07867R,CNAG_07867,190
CNAG_05333R,CNAG_05333,254
CNAG_06425R,CNAG_06425,176
CNAG_03849R,CNAG_03849,220
CNAG_02603R,CNAG_02603,192
CNAG_02555R,CNAG_02555,292
CNAG_02525R,CNAG_02525,30
CNAG_03431R,CNAG_03431,215
CNAG_05049R,CNAG_05049,162
CNAG_03914R,CNAG_03914,260
CNAG_02476R,CNAG_02476,160
CNAG_07583R,CNAG_07583,240
CNAG_05112R,CNAG_05112,201
CNAG_03366R,CNAG_03366,325
CNAG_04090R,CNAG_04090,776
CNAG_00791R,CNAG_00791,169
CNAG_05375R,CNAG_05375,6849
CNAG_02516R,CNAG_02516,210
CNAG_04804R,CNAG_04804,2
CNAG_06203R,CNAG_06203,212
CNAG_00193R,CNAG_00193,106
CNAG_01883R,CNAG_01883,390
CNAG_03401R,CNAG_03401,217
CNAG_02435R,CNAG_02435,212
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,182
CNAG_03700R,CNAG_03700,283
CNAG_05215R,CNAG_05215,238
CNAG_01438R,CNAG_01438,141
CNAG_07464R,CNAG_07464,211
CNAG_01858R,CNAG_01858,311
CNAG_04586R,CNAG_04586,151
CNAG_05176R,CNAG_05176,145
CNAG_01014R,CNAG_01014,145
CNAG_01454R,CNAG_01454,279
CNAG_06327R,CNAG_06327,78
CNAG_03788R,CNAG_03788,255
CNAG_00871R,CNAG_00871,272
CNAG_00559R,CNAG_00559,7561
CNAG_07370R,CNAG_07370,247
CNAG_02589R,CNAG_02589,241
CNAG_01645R,CNAG_01645,563
CNAG_01242R,CNAG_01242,17
CNAG_02788R,CNAG_02788,190
CNAG_07924R,CNAG_07924,391
CNAG_01071R,CNAG_01071,183
CNAG_00883R,CNAG_00883,197
CNAG_03741R,CNAG_03741,194
CNAG_03745R,CNAG_03745,277
CNAG_00192R,CNAG_00192,227
CNAG_00670R,CNAG_00670,294
CNAG_06871R,CNAG_06871,234
CNAG_04457R,CNAG_04457,210
CNAG_04588R,CNAG_04588,38
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,257
CNAG_04012R,CNAG_04012,313
CNAG_01487R,CNAG_01487,295
CNAG_05170R,CNAG_05170,219
CNAG_02364R,CNAG_02364,250
CNAG_04093R,CNAG_04093,278
CNAG_02322R,CNAG_02322,207
CNAG_05255R,CNAG_05255,237
CNAG_03018R,CNAG_03018,209
CNAG_07901R,CNAG_07901,198
CNAG_03086R,CNAG_03086,195
CNAG_06097R,CNAG_06097,256
CNAG_06136R,CNAG_06136,230
CNAG_03177R,CNAG_03177,246
CNAG_03183R,CNAG_03183,105
CNAG_04774R,CNAG_04774,240
CNAG_04768R,CNAG_04768,204
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,210
CNAG_05222R,CNAG_05222,34
CNAG_03409R,CNAG_03409,52
CNAG_05622R,CNAG_05622,278
CNAG_04637R,CNAG_04637,151
CNAG_07680R,CNAG_07680,6
CNAG_02215R,CNAG_02215,2
CNAG_02387R,CNAG_02387,249
CNAG_04086R,CNAG_04086,268
CNAG_05697R,CNAG_05697,316
CNAG_04507R,CNAG_04507,237
CNAG_04506R,CNAG_04506,251
CNAG_00068R,CNAG_00068,383
CNAG_00733R,CNAG_00733,218
CNAG_03910R,CNAG_03910,301
CNAG_04059R,CNAG_04059,219
CNAG_07491R,CNAG_07491,284
CNAG_05181R,CNAG_05181,178
CNAG_03772R,CNAG_03772,242
CNAG_00445R,CNAG_00445,358
CNAG_01901R,CNAG_01901,323
CNAG_05313R,CNAG_05313,169
CNAG_05312R,CNAG_05312,245
CNAG_00442R,CNAG_00442,284
CNAG_01277R,CNAG_01277,270
CNAG_01230R,CNAG_01230,191
CNAG_00547R,CNAG_00547,239
CNAG_00598R,CNAG_00598,252
