Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,158
CNAG_05515L,CNAG_05515,321
CNAG_05641L,CNAG_05641,266
CNAG_05387L,CNAG_05387,374
CNAG_05590L,CNAG_05590,524
CNAG_07869L,CNAG_07869,341
CNAG_05340L,CNAG_05340,289
CNAG_05638L,CNAG_05638,275
CNAG_05639L,CNAG_05639,217
CNAG_06346L,CNAG_06346,288
CNAG_06347L,CNAG_06347,237
CNAG_06517L,CNAG_06517,324
CNAG_07939L,CNAG_07939,296
CNAG_06493L,CNAG_06493,186
CNAG_06201L,CNAG_06201,277
CNAG_06104L,CNAG_06104,255
CNAG_06081L,CNAG_06081,303
CNAG_07902L,CNAG_07902,306
CNAG_06241L,CNAG_06241,39
CNAG_06242L,CNAG_06242,19
CNAG_06186L,CNAG_06186,210
CNAG_07911L,CNAG_07911,274
CNAG_01551L,CNAG_01551,382
CNAG_01683L,CNAG_01683,254
CNAG_01983L,CNAG_01983,297
CNAG_01680L,CNAG_01680,287
CNAG_01621L,CNAG_01621,266
CNAG_01988L,CNAG_01988,202
CNAG_01989L,CNAG_01989,297
CNAG_01939L,CNAG_01939,260
CNAG_01993L,CNAG_01993,245
CNAG_01992L,CNAG_01992,247
CNAG_01965L,CNAG_01965,319
CNAG_01562L,CNAG_01562,180
CNAG_01925L,CNAG_01925,342
CNAG_04756L,CNAG_04756,250
CNAG_04807L,CNAG_04807,333
CNAG_04837L,CNAG_04837,288
CNAG_04836L,CNAG_04836,200
CNAG_04737L,CNAG_04737,407
CNAG_04875L,CNAG_04875,269
CNAG_04874L,CNAG_04874,665
CNAG_04868L,CNAG_04868,113
CNAG_04752L,CNAG_04752,274
CNAG_04753L,CNAG_04753,1213
CNAG_04909L,CNAG_04909,272
CNAG_04908L,CNAG_04908,246
CNAG_04659L,CNAG_04659,193
CNAG_04623L,CNAG_04623,239
CNAG_04518L,CNAG_04518,219
CNAG_04517L,CNAG_04517,291
CNAG_07770L,CNAG_07770,258
CNAG_04436L,CNAG_04436,205
CNAG_04271L,CNAG_04271,186
CNAG_04270L,CNAG_04270,197
CNAG_03346L,CNAG_03346,255
CNAG_03433L,CNAG_03433,294
CNAG_03333L,CNAG_03333,326
CNAG_07742L,CNAG_07742,768
CNAG_03438L,CNAG_03438,125
CNAG_03223L,CNAG_03223,198
CNAG_03142L,CNAG_03142,201
CNAG_03143L,CNAG_03143,244
CNAG_03545L,CNAG_03545,305
CNAG_03161L,CNAG_03161,26
CNAG_03566L,CNAG_03566,275
CNAG_05835L,CNAG_05835,283
CNAG_05864L,CNAG_05864,121
