Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,399
CNAG_05387R,CNAG_05387,384
CNAG_05638R,CNAG_05638,218
CNAG_05639R,CNAG_05639,207
CNAG_06346R,CNAG_06346,290
CNAG_06347R,CNAG_06347,218
CNAG_06517R,CNAG_06517,308
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,212
CNAG_06104R,CNAG_06104,233
CNAG_07902R,CNAG_07902,280
CNAG_06241R,CNAG_06241,3
CNAG_06242R,CNAG_06242,1
CNAG_07911R,CNAG_07911,248
CNAG_01683R,CNAG_01683,334
CNAG_01680R,CNAG_01680,230
CNAG_01989R,CNAG_01989,226
CNAG_01993R,CNAG_01993,2
CNAG_01965R,CNAG_01965,243
CNAG_01925R,CNAG_01925,203
CNAG_04837R,CNAG_04837,308
CNAG_04836R,CNAG_04836,248
CNAG_04875R,CNAG_04875,701
CNAG_04868R,CNAG_04868,86
CNAG_04753R,CNAG_04753,2
CNAG_04909R,CNAG_04909,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,203
CNAG_04517R,CNAG_04517,276
CNAG_07770R,CNAG_07770,307
CNAG_03333R,CNAG_03333,448
CNAG_07742R,CNAG_07742,453
CNAG_03142R,CNAG_03142,232
CNAG_03566R,CNAG_03566,216
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,167
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,95
CNAG_02189R,CNAG_02189,286
CNAG_02371R,CNAG_02371,132
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,193
CNAG_03669R,CNAG_03669,246
CNAG_07332R,CNAG_07332,154
CNAG_00285R,CNAG_00285,220
CNAG_00830R,CNAG_00830,258
CNAG_00841R,CNAG_00841,306
CNAG_06531R,CNAG_06531,440
CNAG_03279R,CNAG_03279,257
CNAG_03336R,CNAG_03336,423
CNAG_06339R,CNAG_06339,326
CNAG_03768R,CNAG_03768,238
CNAG_04534R,CNAG_04534,229
CNAG_01973R,CNAG_01973,145
CNAG_07867R,CNAG_07867,239
CNAG_05333R,CNAG_05333,276
CNAG_06425R,CNAG_06425,220
CNAG_03849R,CNAG_03849,276
CNAG_02603R,CNAG_02603,262
CNAG_02555R,CNAG_02555,343
CNAG_02525R,CNAG_02525,43
CNAG_03431R,CNAG_03431,241
CNAG_05049R,CNAG_05049,204
CNAG_03914R,CNAG_03914,267
CNAG_02476R,CNAG_02476,220
CNAG_07583R,CNAG_07583,215
CNAG_05112R,CNAG_05112,242
CNAG_03366R,CNAG_03366,364
CNAG_03977R,CNAG_03977,1
CNAG_04090R,CNAG_04090,1597
CNAG_00791R,CNAG_00791,228
CNAG_05375R,CNAG_05375,10823
CNAG_02516R,CNAG_02516,216
CNAG_06203R,CNAG_06203,295
CNAG_00193R,CNAG_00193,120
CNAG_01883R,CNAG_01883,640
CNAG_03401R,CNAG_03401,323
CNAG_02435R,CNAG_02435,188
CNAG_05153R,CNAG_05153,17
CNAG_01708R,CNAG_01708,805
CNAG_03700R,CNAG_03700,289
CNAG_05215R,CNAG_05215,231
CNAG_01438R,CNAG_01438,403
CNAG_07464R,CNAG_07464,954
CNAG_01858R,CNAG_01858,332
CNAG_04586R,CNAG_04586,124
CNAG_05176R,CNAG_05176,168
CNAG_01014R,CNAG_01014,122
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,318
CNAG_06327R,CNAG_06327,208
CNAG_03788R,CNAG_03788,317
CNAG_00871R,CNAG_00871,273
CNAG_00559R,CNAG_00559,17083
CNAG_07370R,CNAG_07370,320
CNAG_02589R,CNAG_02589,285
CNAG_01645R,CNAG_01645,626
CNAG_01242R,CNAG_01242,4
CNAG_02788R,CNAG_02788,180
CNAG_07435R,CNAG_07435,4
CNAG_07924R,CNAG_07924,273
CNAG_01071R,CNAG_01071,224
