Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,137
CNAG_05515L,CNAG_05515,464
CNAG_05641L,CNAG_05641,251
CNAG_05387L,CNAG_05387,310
CNAG_05590L,CNAG_05590,1376
CNAG_07869L,CNAG_07869,327
CNAG_05340L,CNAG_05340,267
CNAG_05638L,CNAG_05638,237
CNAG_05639L,CNAG_05639,200
CNAG_06346L,CNAG_06346,266
CNAG_06347L,CNAG_06347,203
CNAG_06517L,CNAG_06517,331
CNAG_07939L,CNAG_07939,257
CNAG_06493L,CNAG_06493,228
CNAG_06201L,CNAG_06201,275
CNAG_06104L,CNAG_06104,224
CNAG_06081L,CNAG_06081,265
CNAG_07902L,CNAG_07902,297
CNAG_06241L,CNAG_06241,3
CNAG_06242L,CNAG_06242,5
CNAG_06186L,CNAG_06186,381
CNAG_07911L,CNAG_07911,335
CNAG_01551L,CNAG_01551,553
CNAG_01683L,CNAG_01683,235
CNAG_01983L,CNAG_01983,243
CNAG_01680L,CNAG_01680,281
CNAG_01621L,CNAG_01621,261
CNAG_01988L,CNAG_01988,235
CNAG_01989L,CNAG_01989,272
CNAG_01939L,CNAG_01939,298
CNAG_01993L,CNAG_01993,241
CNAG_01992L,CNAG_01992,241
CNAG_01965L,CNAG_01965,271
CNAG_01562L,CNAG_01562,122
CNAG_01925L,CNAG_01925,294
CNAG_04756L,CNAG_04756,264
CNAG_04807L,CNAG_04807,296
CNAG_04837L,CNAG_04837,297
CNAG_04836L,CNAG_04836,266
CNAG_04737L,CNAG_04737,334
CNAG_04875L,CNAG_04875,696
CNAG_04874L,CNAG_04874,672
CNAG_04868L,CNAG_04868,79
CNAG_04752L,CNAG_04752,175
CNAG_04753L,CNAG_04753,3631
CNAG_04909L,CNAG_04909,264
CNAG_04908L,CNAG_04908,303
CNAG_04659L,CNAG_04659,186
CNAG_04623L,CNAG_04623,249
CNAG_04518L,CNAG_04518,196
CNAG_04517L,CNAG_04517,242
CNAG_07770L,CNAG_07770,282
CNAG_04436L,CNAG_04436,178
CNAG_04271L,CNAG_04271,230
CNAG_04270L,CNAG_04270,77
CNAG_03346L,CNAG_03346,230
CNAG_03433L,CNAG_03433,261
CNAG_03333L,CNAG_03333,372
CNAG_07742L,CNAG_07742,695
CNAG_03438L,CNAG_03438,230
CNAG_03223L,CNAG_03223,197
CNAG_03142L,CNAG_03142,207
CNAG_03143L,CNAG_03143,230
CNAG_03545L,CNAG_03545,296
CNAG_03161L,CNAG_03161,8
CNAG_03566L,CNAG_03566,276
CNAG_05835L,CNAG_05835,89
CNAG_05864L,CNAG_05864,225
CNAG_06567L,CNAG_06567,295
CNAG_05743L,CNAG_05743,77
CNAG_05867L,CNAG_05867,195
CNAG_05685L,CNAG_05685,801
CNAG_05684L,CNAG_05684,115
CNAG_05785L,CNAG_05785,180
CNAG_05843L,CNAG_05843,21
CNAG_06554L,CNAG_06554,167
CNAG_02189L,CNAG_02189,245
CNAG_02188L,CNAG_02188,332
CNAG_02182L,CNAG_02182,248
CNAG_07631L,CNAG_07631,159
CNAG_02371L,CNAG_02371,136
CNAG_07633L,CNAG_07633,409
CNAG_01069L,CNAG_01069,259
CNAG_00896L,CNAG_00896,824
CNAG_06719L,CNAG_06719,84
CNAG_03669L,CNAG_03669,261
CNAG_00031L,CNAG_00031,251
CNAG_07332L,CNAG_07332,168
CNAG_00285L,CNAG_00285,234
CNAG_00828L,CNAG_00828,248
CNAG_00830L,CNAG_00830,254
CNAG_00841L,CNAG_00841,293
CNAG_02774L,CNAG_02774,298
CNAG_06531L,CNAG_06531,398
CNAG_03279L,CNAG_03279,221
CNAG_03336L,CNAG_03336,513
CNAG_06339L,CNAG_06339,304
CNAG_03768L,CNAG_03768,253
CNAG_04534L,CNAG_04534,235
CNAG_01973L,CNAG_01973,13
CNAG_07867L,CNAG_07867,209
CNAG_05333L,CNAG_05333,261
CNAG_06425L,CNAG_06425,280
CNAG_03849L,CNAG_03849,690
CNAG_02603L,CNAG_02603,266
CNAG_02555L,CNAG_02555,291
CNAG_03431L,CNAG_03431,280
CNAG_05049L,CNAG_05049,238
CNAG_05380L,CNAG_05380,161
CNAG_03914L,CNAG_03914,304
CNAG_02476L,CNAG_02476,212
CNAG_07583L,CNAG_07583,233
CNAG_02466L,CNAG_02466,222
CNAG_05112L,CNAG_05112,254
CNAG_03366L,CNAG_03366,296
CNAG_03977L,CNAG_03977,162
CNAG_04090L,CNAG_04090,1438
CNAG_00791L,CNAG_00791,187
CNAG_06751L,CNAG_06751,8
CNAG_05375L,CNAG_05375,10260
CNAG_02516L,CNAG_02516,242
CNAG_00627L,CNAG_00627,261
CNAG_07725L,CNAG_07725,374
CNAG_06203L,CNAG_06203,272
CNAG_00193L,CNAG_00193,158
CNAG_00514L,CNAG_00514,10
CNAG_01883L,CNAG_01883,648
CNAG_03401L,CNAG_03401,248
CNAG_02435L,CNAG_02435,199
CNAG_05153L,CNAG_05153,15
CNAG_01708L,CNAG_01708,823
CNAG_03700L,CNAG_03700,332
CNAG_07320L,CNAG_07320,99
CNAG_05215L,CNAG_05215,207
CNAG_01438L,CNAG_01438,400
CNAG_07464L,CNAG_07464,956
CNAG_01858L,CNAG_01858,330
CNAG_04586L,CNAG_04586,105
CNAG_05093L,CNAG_05093,252
CNAG_05176L,CNAG_05176,185
CNAG_01014L,CNAG_01014,187
CNAG_00998L,CNAG_00998,205
CNAG_00039L,CNAG_00039,387
CNAG_07329L,CNAG_07329,8
CNAG_01454L,CNAG_01454,267
CNAG_02700L,CNAG_02700,7
CNAG_06327L,CNAG_06327,244
CNAG_03788L,CNAG_03788,300
CNAG_00871L,CNAG_00871,290
CNAG_00559L,CNAG_00559,17600
CNAG_07370L,CNAG_07370,344
CNAG_00732L,CNAG_00732,335
CNAG_04630L,CNAG_04630,437
CNAG_07940L,CNAG_07940,270
CNAG_02589L,CNAG_02589,301
CNAG_05067L,CNAG_05067,277
CNAG_01645L,CNAG_01645,714
CNAG_06134L,CNAG_06134,119
CNAG_01242L,CNAG_01242,7
CNAG_02788L,CNAG_02788,145
CNAG_07435L,CNAG_07435,1
CNAG_03998L,CNAG_03998,345
CNAG_07924L,CNAG_07924,323
CNAG_01071L,CNAG_01071,197
CNAG_00883L,CNAG_00883,276
CNAG_03741L,CNAG_03741,219
CNAG_03745L,CNAG_03745,275
CNAG_00192L,CNAG_00192,293
CNAG_00670L,CNAG_00670,241
CNAG_06871L,CNAG_06871,290
CNAG_04457L,CNAG_04457,256
CNAG_02723L,CNAG_02723,290
CNAG_04588L,CNAG_04588,32
CNAG_01977L,CNAG_01977,219
CNAG_03894L,CNAG_03894,330
CNAG_04012L,CNAG_04012,315
CNAG_03561L,CNAG_03561,194
CNAG_05170L,CNAG_05170,246
CNAG_04041L,CNAG_04041,232
CNAG_02364L,CNAG_02364,277
CNAG_04093L,CNAG_04093,282
CNAG_02322L,CNAG_02322,244
CNAG_04184L,CNAG_04184,274
CNAG_05255L,CNAG_05255,296
CNAG_05642L,CNAG_05642,10
CNAG_03059L,CNAG_03059,229
CNAG_03018L,CNAG_03018,209
CNAG_07901L,CNAG_07901,217
CNAG_03086L,CNAG_03086,290
CNAG_04916L,CNAG_04916,219
CNAG_06097L,CNAG_06097,248
CNAG_03115L,CNAG_03115,276
CNAG_03132L,CNAG_03132,342
CNAG_04841L,CNAG_04841,516
CNAG_06136L,CNAG_06136,243
CNAG_03177L,CNAG_03177,479
CNAG_03183L,CNAG_03183,96
CNAG_06188L,CNAG_06188,228
CNAG_02877L,CNAG_02877,135
CNAG_04359L,CNAG_04359,595
CNAG_04774L,CNAG_04774,448
CNAG_04768L,CNAG_04768,298
CNAG_02066L,CNAG_02066,300
CNAG_07922L,CNAG_07922,227
CNAG_06276L,CNAG_06276,279
CNAG_05222L,CNAG_05222,79
CNAG_03409L,CNAG_03409,9
CNAG_05622L,CNAG_05622,469
