Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,265
CNAG_05387R,CNAG_05387,428
CNAG_05638R,CNAG_05638,268
CNAG_05639R,CNAG_05639,247
CNAG_06346R,CNAG_06346,323
CNAG_06347R,CNAG_06347,240
CNAG_06517R,CNAG_06517,407
CNAG_06201R,CNAG_06201,297
CNAG_06104R,CNAG_06104,282
CNAG_07902R,CNAG_07902,367
CNAG_06241R,CNAG_06241,72
CNAG_06242R,CNAG_06242,64
CNAG_07911R,CNAG_07911,280
CNAG_01683R,CNAG_01683,384
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,269
CNAG_01989R,CNAG_01989,181
CNAG_01965R,CNAG_01965,336
CNAG_01925R,CNAG_01925,292
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,303
CNAG_04836R,CNAG_04836,312
CNAG_04875R,CNAG_04875,38
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,32
CNAG_04659R,CNAG_04659,2
CNAG_04518R,CNAG_04518,372
CNAG_04517R,CNAG_04517,284
CNAG_07770R,CNAG_07770,216
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,341
CNAG_07742R,CNAG_07742,661
CNAG_03142R,CNAG_03142,238
CNAG_03566R,CNAG_03566,256
CNAG_05867R,CNAG_05867,198
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,176
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,385
CNAG_02371R,CNAG_02371,253
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,231
CNAG_03669R,CNAG_03669,234
CNAG_07332R,CNAG_07332,179
CNAG_00285R,CNAG_00285,259
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,324
CNAG_00841R,CNAG_00841,358
CNAG_06531R,CNAG_06531,547
CNAG_03279R,CNAG_03279,286
CNAG_03336R,CNAG_03336,410
CNAG_06339R,CNAG_06339,426
CNAG_03768R,CNAG_03768,324
CNAG_04534R,CNAG_04534,279
CNAG_01973R,CNAG_01973,76
CNAG_07867R,CNAG_07867,271
CNAG_05333R,CNAG_05333,347
CNAG_06425R,CNAG_06425,281
CNAG_03849R,CNAG_03849,243
CNAG_02603R,CNAG_02603,308
CNAG_02555R,CNAG_02555,395
CNAG_02525R,CNAG_02525,29
CNAG_03431R,CNAG_03431,26
CNAG_05049R,CNAG_05049,216
CNAG_03914R,CNAG_03914,290
CNAG_02476R,CNAG_02476,255
CNAG_07583R,CNAG_07583,298
CNAG_05112R,CNAG_05112,282
CNAG_03366R,CNAG_03366,447
CNAG_04090R,CNAG_04090,77
CNAG_00791R,CNAG_00791,282
CNAG_05375R,CNAG_05375,12404
CNAG_02516R,CNAG_02516,280
CNAG_04804R,CNAG_04804,27
CNAG_06203R,CNAG_06203,293
CNAG_00193R,CNAG_00193,3
CNAG_01883R,CNAG_01883,46
CNAG_03401R,CNAG_03401,215
CNAG_02435R,CNAG_02435,252
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,288
CNAG_03700R,CNAG_03700,247
CNAG_05215R,CNAG_05215,381
CNAG_01438R,CNAG_01438,137
CNAG_07464R,CNAG_07464,1
CNAG_01858R,CNAG_01858,413
CNAG_04586R,CNAG_04586,280
CNAG_05176R,CNAG_05176,152
CNAG_01014R,CNAG_01014,186
CNAG_01454R,CNAG_01454,353
CNAG_06327R,CNAG_06327,12
CNAG_03788R,CNAG_03788,264
CNAG_00871R,CNAG_00871,338
CNAG_00559R,CNAG_00559,4626
CNAG_07370R,CNAG_07370,388
CNAG_02589R,CNAG_02589,289
CNAG_01645R,CNAG_01645,761
CNAG_01242R,CNAG_01242,123
CNAG_02788R,CNAG_02788,59
CNAG_07435R,CNAG_07435,15
CNAG_07924R,CNAG_07924,804
CNAG_01071R,CNAG_01071,239
CNAG_00883R,CNAG_00883,142
CNAG_03741R,CNAG_03741,218
CNAG_03745R,CNAG_03745,333
CNAG_00192R,CNAG_00192,308
CNAG_00670R,CNAG_00670,357
CNAG_06871R,CNAG_06871,395
CNAG_04457R,CNAG_04457,323
CNAG_04588R,CNAG_04588,27
CNAG_03894R,CNAG_03894,305
CNAG_04012R,CNAG_04012,414
CNAG_01487R,CNAG_01487,341
CNAG_05170R,CNAG_05170,256
CNAG_04041R,CNAG_04041,1
CNAG_02364R,CNAG_02364,260
CNAG_04093R,CNAG_04093,374
CNAG_02322R,CNAG_02322,269
CNAG_05255R,CNAG_05255,308
CNAG_03018R,CNAG_03018,309
CNAG_07901R,CNAG_07901,256
CNAG_03086R,CNAG_03086,315
CNAG_06097R,CNAG_06097,376
CNAG_06136R,CNAG_06136,272
CNAG_03177R,CNAG_03177,347
CNAG_03183R,CNAG_03183,127
CNAG_04774R,CNAG_04774,236
CNAG_04768R,CNAG_04768,360
CNAG_06276R,CNAG_06276,293
CNAG_05222R,CNAG_05222,34
CNAG_03409R,CNAG_03409,28
CNAG_05622R,CNAG_05622,331
CNAG_04637R,CNAG_04637,156
CNAG_07680R,CNAG_07680,23
CNAG_02215R,CNAG_02215,12
