Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,105
CNAG_05515L,CNAG_05515,279
CNAG_05641L,CNAG_05641,305
CNAG_05387L,CNAG_05387,444
CNAG_05590L,CNAG_05590,124
CNAG_07869L,CNAG_07869,312
CNAG_05340L,CNAG_05340,254
CNAG_05638L,CNAG_05638,313
CNAG_05639L,CNAG_05639,222
CNAG_06346L,CNAG_06346,276
CNAG_06347L,CNAG_06347,229
CNAG_06517L,CNAG_06517,318
CNAG_07939L,CNAG_07939,263
CNAG_06493L,CNAG_06493,234
CNAG_06201L,CNAG_06201,261
CNAG_06104L,CNAG_06104,225
CNAG_06081L,CNAG_06081,305
CNAG_07902L,CNAG_07902,323
CNAG_06241L,CNAG_06241,69
CNAG_06242L,CNAG_06242,55
CNAG_06186L,CNAG_06186,296
CNAG_07911L,CNAG_07911,283
CNAG_01551L,CNAG_01551,82
CNAG_01683L,CNAG_01683,222
CNAG_01983L,CNAG_01983,324
CNAG_01902L,CNAG_01902,3
CNAG_01680L,CNAG_01680,301
CNAG_01621L,CNAG_01621,241
CNAG_01988L,CNAG_01988,200
CNAG_01989L,CNAG_01989,299
CNAG_01939L,CNAG_01939,232
CNAG_01993L,CNAG_01993,242
CNAG_01992L,CNAG_01992,268
CNAG_01965L,CNAG_01965,286
CNAG_01562L,CNAG_01562,210
CNAG_01925L,CNAG_01925,320
CNAG_04756L,CNAG_04756,313
CNAG_04807L,CNAG_04807,275
CNAG_04837L,CNAG_04837,286
CNAG_04836L,CNAG_04836,288
CNAG_04737L,CNAG_04737,380
CNAG_04875L,CNAG_04875,50
CNAG_04874L,CNAG_04874,558
CNAG_04868L,CNAG_04868,44
CNAG_04752L,CNAG_04752,295
CNAG_04753L,CNAG_04753,344
CNAG_04909L,CNAG_04909,245
CNAG_04908L,CNAG_04908,324
CNAG_04659L,CNAG_04659,236
CNAG_04623L,CNAG_04623,225
CNAG_04518L,CNAG_04518,341
CNAG_04517L,CNAG_04517,275
CNAG_07770L,CNAG_07770,232
CNAG_04436L,CNAG_04436,49
CNAG_04271L,CNAG_04271,278
CNAG_04270L,CNAG_04270,97
CNAG_03346L,CNAG_03346,279
CNAG_03433L,CNAG_03433,296
CNAG_03333L,CNAG_03333,263
CNAG_07742L,CNAG_07742,842
CNAG_03438L,CNAG_03438,18
CNAG_03223L,CNAG_03223,217
CNAG_03142L,CNAG_03142,219
CNAG_03143L,CNAG_03143,232
CNAG_03545L,CNAG_03545,308
CNAG_03161L,CNAG_03161,38
CNAG_03566L,CNAG_03566,264
CNAG_05835L,CNAG_05835,278
CNAG_05864L,CNAG_05864,321
CNAG_06567L,CNAG_06567,278
CNAG_05742L,CNAG_05742,12
CNAG_05743L,CNAG_05743,64
CNAG_05867L,CNAG_05867,216
CNAG_05685L,CNAG_05685,800
CNAG_05684L,CNAG_05684,197
CNAG_05785L,CNAG_05785,184
CNAG_05843L,CNAG_05843,2
CNAG_06554L,CNAG_06554,287
CNAG_02189L,CNAG_02189,350
CNAG_02188L,CNAG_02188,312
CNAG_02182L,CNAG_02182,260
CNAG_07631L,CNAG_07631,381
CNAG_02371L,CNAG_02371,157
CNAG_07633L,CNAG_07633,50
CNAG_01069L,CNAG_01069,280
CNAG_00896L,CNAG_00896,831
CNAG_06719L,CNAG_06719,64
CNAG_03669L,CNAG_03669,203
CNAG_00031L,CNAG_00031,273
CNAG_07332L,CNAG_07332,192
CNAG_00285L,CNAG_00285,218
CNAG_00828L,CNAG_00828,220
CNAG_00830L,CNAG_00830,325
CNAG_00841L,CNAG_00841,328
CNAG_02774L,CNAG_02774,216
CNAG_06531L,CNAG_06531,508
CNAG_03279L,CNAG_03279,284
CNAG_03336L,CNAG_03336,402
CNAG_06339L,CNAG_06339,325
CNAG_03768L,CNAG_03768,290
CNAG_04534L,CNAG_04534,283
CNAG_01973L,CNAG_01973,19
CNAG_07867L,CNAG_07867,259
CNAG_05333L,CNAG_05333,303
CNAG_06425L,CNAG_06425,265
CNAG_03849L,CNAG_03849,439
CNAG_02603L,CNAG_02603,256
CNAG_02555L,CNAG_02555,308
CNAG_03431L,CNAG_03431,23
CNAG_05049L,CNAG_05049,209
CNAG_05380L,CNAG_05380,362
CNAG_03914L,CNAG_03914,300
CNAG_02476L,CNAG_02476,273
CNAG_07583L,CNAG_07583,266
CNAG_02466L,CNAG_02466,301
CNAG_05112L,CNAG_05112,251
CNAG_03366L,CNAG_03366,316
CNAG_03977L,CNAG_03977,78
CNAG_04090L,CNAG_04090,66
CNAG_00791L,CNAG_00791,215
CNAG_06751L,CNAG_06751,179
CNAG_05375L,CNAG_05375,10527
CNAG_02516L,CNAG_02516,299
CNAG_04804L,CNAG_04804,24
CNAG_00627L,CNAG_00627,374
CNAG_07725L,CNAG_07725,376
CNAG_06203L,CNAG_06203,286
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,36
CNAG_03401L,CNAG_03401,183
CNAG_02435L,CNAG_02435,203
CNAG_05153L,CNAG_05153,2
CNAG_01708L,CNAG_01708,269
CNAG_03700L,CNAG_03700,267
CNAG_07320L,CNAG_07320,75
CNAG_05215L,CNAG_05215,345
CNAG_01438L,CNAG_01438,121
CNAG_07464L,CNAG_07464,9
CNAG_01858L,CNAG_01858,375
CNAG_04586L,CNAG_04586,248
CNAG_05093L,CNAG_05093,301
CNAG_05176L,CNAG_05176,143
CNAG_01014L,CNAG_01014,192
CNAG_00998L,CNAG_00998,79
CNAG_00039L,CNAG_00039,78
CNAG_07329L,CNAG_07329,25
CNAG_01454L,CNAG_01454,285
CNAG_02700L,CNAG_02700,9
CNAG_06327L,CNAG_06327,8
CNAG_03788L,CNAG_03788,210
CNAG_00871L,CNAG_00871,301
CNAG_00559L,CNAG_00559,4486
CNAG_07370L,CNAG_07370,350
CNAG_00732L,CNAG_00732,367
CNAG_04630L,CNAG_04630,394
CNAG_07940L,CNAG_07940,279
CNAG_02589L,CNAG_02589,280
CNAG_05067L,CNAG_05067,286
CNAG_01645L,CNAG_01645,780
CNAG_01242L,CNAG_01242,109
CNAG_02788L,CNAG_02788,87
CNAG_07435L,CNAG_07435,5
CNAG_03998L,CNAG_03998,473
CNAG_07924L,CNAG_07924,743
CNAG_01071L,CNAG_01071,236
CNAG_00883L,CNAG_00883,119
CNAG_03741L,CNAG_03741,221
CNAG_03745L,CNAG_03745,351
CNAG_00192L,CNAG_00192,278
CNAG_00670L,CNAG_00670,276
CNAG_06871L,CNAG_06871,380
CNAG_04457L,CNAG_04457,253
CNAG_02723L,CNAG_02723,291
CNAG_04588L,CNAG_04588,20
CNAG_01977L,CNAG_01977,251
CNAG_03894L,CNAG_03894,306
CNAG_04012L,CNAG_04012,297
CNAG_03561L,CNAG_03561,283
CNAG_05170L,CNAG_05170,186
CNAG_04041L,CNAG_04041,47
CNAG_02364L,CNAG_02364,286
CNAG_04093L,CNAG_04093,297
CNAG_02322L,CNAG_02322,259
CNAG_04184L,CNAG_04184,282
CNAG_05255L,CNAG_05255,275
CNAG_05642L,CNAG_05642,101
CNAG_03059L,CNAG_03059,244
CNAG_03018L,CNAG_03018,268
CNAG_07901L,CNAG_07901,281
CNAG_03086L,CNAG_03086,308
CNAG_04916L,CNAG_04916,179
CNAG_06097L,CNAG_06097,314
CNAG_03115L,CNAG_03115,172
CNAG_03132L,CNAG_03132,319
CNAG_04841L,CNAG_04841,335
CNAG_06136L,CNAG_06136,235
CNAG_03177L,CNAG_03177,539
CNAG_03183L,CNAG_03183,115
CNAG_06188L,CNAG_06188,261
CNAG_02877L,CNAG_02877,206
CNAG_04359L,CNAG_04359,524
CNAG_04774L,CNAG_04774,272
CNAG_04768L,CNAG_04768,243
CNAG_02066L,CNAG_02066,276
CNAG_07922L,CNAG_07922,270
CNAG_06276L,CNAG_06276,276
CNAG_05222L,CNAG_05222,41
CNAG_03409L,CNAG_03409,34
CNAG_05622L,CNAG_05622,489
CNAG_04637L,CNAG_04637,92
CNAG_07680L,CNAG_07680,16
CNAG_02215L,CNAG_02215,4
CNAG_00564L,CNAG_00564,486
CNAG_02387L,CNAG_02387,394
CNAG_04086L,CNAG_04086,444
CNAG_05697L,CNAG_05697,346
CNAG_02697L,CNAG_02697,308
CNAG_06205L,CNAG_06205,271
CNAG_05372L,CNAG_05372,123
CNAG_04507L,CNAG_04507,212
CNAG_04506L,CNAG_04506,344
CNAG_00068L,CNAG_00068,4081
CNAG_05138L,CNAG_05138,77
CNAG_00733L,CNAG_00733,319
CNAG_03910L,CNAG_03910,292
CNAG_04059L,CNAG_04059,1197
CNAG_07491L,CNAG_07491,516
CNAG_05181L,CNAG_05181,240
CNAG_03915L,CNAG_03915,272
CNAG_03772L,CNAG_03772,316
CNAG_00445L,CNAG_00445,612
CNAG_01901L,CNAG_01901,427
CNAG_05313L,CNAG_05313,240
CNAG_05312L,CNAG_05312,299
CNAG_03012L,CNAG_03012,203
CNAG_03011L,CNAG_03011,301
CNAG_06200L,CNAG_06200,469
CNAG_02682L,CNAG_02682,224
CNAG_02683L,CNAG_02683,199
CNAG_00442L,CNAG_00442,423
CNAG_00183L,CNAG_00183,132
CNAG_07548L,CNAG_07548,1682
CNAG_01277L,CNAG_01277,400
CNAG_07512L,CNAG_07512,515
CNAG_01230L,CNAG_01230,262
CNAG_05264L,CNAG_05264,68
CNAG_05263L,CNAG_05263,277
CNAG_01681L,CNAG_01681,195
CNAG_01040L,CNAG_01040,34
CNAG_00179L,CNAG_00179,322
CNAG_00547L,CNAG_00547,64
CNAG_00598L,CNAG_00598,284
CNAG_05229L,CNAG_05229,242
CNAG_01138L,CNAG_01138,297
CNAG_00597L,CNAG_00597,312
CNAG_02797L,CNAG_02797,375
CNAG_02219L,CNAG_02219,366
CNAG_02220L,CNAG_02220,286
CNAG_00674L,CNAG_00674,287
CNAG_03013L,CNAG_03013,89
CNAG_07540L,CNAG_07540,226
CNAG_04981L,CNAG_04981,277
CNAG_04980L,CNAG_04980,1
CNAG_00456L,CNAG_00456,289
CNAG_00455L,CNAG_00455,227
CNAG_02152L,CNAG_02152,296
CNAG_00107L,CNAG_00107,261
CNAG_00106L,CNAG_00106,39
CNAG_01061L,CNAG_01061,328
CNAG_03847L,CNAG_03847,246
CNAG_03848L,CNAG_03848,307
CNAG_01013L,CNAG_01013,17
CNAG_02777L,CNAG_02777,257
CNAG_07523L,CNAG_07523,301
CNAG_04990L,CNAG_04990,1
CNAG_04991L,CNAG_04991,187
CNAG_00531L,CNAG_00531,255
CNAG_05159L,CNAG_05159,242
CNAG_05079L,CNAG_05079,413
CNAG_05080L,CNAG_05080,259
CNAG_04869L,CNAG_04869,288
CNAG_00164L,CNAG_00164,264
CNAG_04077L,CNAG_04077,258
CNAG_01082L,CNAG_01082,251
CNAG_04658L,CNAG_04658,283
CNAG_03727L,CNAG_03727,243
CNAG_03676L,CNAG_03676,274
CNAG_03677L,CNAG_03677,298
CNAG_03841L,CNAG_03841,87
CNAG_06761L,CNAG_06761,208
CNAG_06760L,CNAG_06760,284
CNAG_05076L,CNAG_05076,392
CNAG_05077L,CNAG_05077,237
CNAG_02553L,CNAG_02553,245
CNAG_02554L,CNAG_02554,890
CNAG_00546L,CNAG_00546,137
CNAG_00702L,CNAG_00702,745
CNAG_00897L,CNAG_00897,183
CNAG_05148L,CNAG_05148,121
CNAG_05147L,CNAG_05147,147
CNAG_01126L,CNAG_01126,1
CNAG_00776L,CNAG_00776,6
CNAG_01446L,CNAG_01446,341
CNAG_04024L,CNAG_04024,383
CNAG_04025L,CNAG_04025,355
CNAG_02348L,CNAG_02348,280
CNAG_02347L,CNAG_02347,384
CNAG_00394L,CNAG_00394,11
CNAG_00393L,CNAG_00393,470
CNAG_06555L,CNAG_06555,286
CNAG_01019L,CNAG_01019,30
CNAG_01803L,CNAG_01803,317
CNAG_00374L,CNAG_00374,278
CNAG_00654L,CNAG_00654,264
CNAG_07541L,CNAG_07541,223
CNAG_07542L,CNAG_07542,354
CNAG_00363L,CNAG_00363,116
CNAG_05915L,CNAG_05915,369
CNAG_05916L,CNAG_05916,316
CNAG_00917L,CNAG_00917,1239
CNAG_00919L,CNAG_00919,318
CNAG_05458L,CNAG_05458,302
CNAG_05459L,CNAG_05459,381
CNAG_01985L,CNAG_01985,173
CNAG_00740L,CNAG_00740,18
CNAG_04163L,CNAG_04163,22
CNAG_04162L,CNAG_04162,110
CNAG_04755L,CNAG_04755,3
CNAG_01777L,CNAG_01777,221
CNAG_01778L,CNAG_01778,344
CNAG_05889L,CNAG_05889,290
CNAG_05888L,CNAG_05888,298
CNAG_04217L,CNAG_04217,328
CNAG_03173L,CNAG_03173,335
CNAG_03172L,CNAG_03172,384
CNAG_07388L,CNAG_07388,257
CNAG_07389L,CNAG_07389,352
CNAG_03644L,CNAG_03644,236
CNAG_06785L,CNAG_06785,221
CNAG_06060L,CNAG_06060,225
CNAG_00581L,CNAG_00581,122
CNAG_02044L,CNAG_02044,293
CNAG_02045L,CNAG_02045,377
CNAG_04950L,CNAG_04950,230
CNAG_04949L,CNAG_04949,252
CNAG_01865L,CNAG_01865,324
CNAG_05870L,CNAG_05870,260
CNAG_00717L,CNAG_00717,65
CNAG_06926L,CNAG_06926,295
CNAG_06896L,CNAG_06896,162
CNAG_04631L,CNAG_04631,247
CNAG_05812L,CNAG_05812,305
CNAG_00079L,CNAG_00079,287
CNAG_06657L,CNAG_06657,229
CNAG_06658L,CNAG_06658,227
CNAG_05993L,CNAG_05993,275
CNAG_05994L,CNAG_05994,244
CNAG_04675L,CNAG_04675,2
CNAG_01318L,CNAG_01318,678
CNAG_05430L,CNAG_05430,237
CNAG_05429L,CNAG_05429,21
CNAG_02517L,CNAG_02517,362
CNAG_07419L,CNAG_07419,168
CNAG_02040L,CNAG_02040,244
CNAG_03328L,CNAG_03328,8
CNAG_03329L,CNAG_03329,101
CNAG_04471L,CNAG_04471,330
CNAG_04472L,CNAG_04472,299
CNAG_01920L,CNAG_01920,265
CNAG_01919L,CNAG_01919,315
CNAG_03075L,CNAG_03075,6
CNAG_03884L,CNAG_03884,4
CNAG_00699L,CNAG_00699,234
CNAG_02129L,CNAG_02129,473
CNAG_05352L,CNAG_05352,147
CNAG_02292L,CNAG_02292,27
CNAG_07441L,CNAG_07441,573
CNAG_07442L,CNAG_07442,338
CNAG_05415L,CNAG_05415,141
CNAG_03946L,CNAG_03946,166
CNAG_07486L,CNAG_07486,249
CNAG_07313L,CNAG_07313,181
CNAG_00126L,CNAG_00126,1401
CNAG_00710L,CNAG_00710,242
CNAG_00709L,CNAG_00709,303
CNAG_04186L,CNAG_04186,21
CNAG_03689L,CNAG_03689,142
CNAG_01704L,CNAG_01704,286
CNAG_04618L,CNAG_04618,304
CNAG_05290L,CNAG_05290,9
CNAG_07827L,CNAG_07827,241
CNAG_07516L,CNAG_07516,230
CNAG_02849L,CNAG_02849,284
CNAG_00156L,CNAG_00156,412
CNAG_00157L,CNAG_00157,183
CNAG_04891L,CNAG_04891,360
CNAG_04992L,CNAG_04992,1
CNAG_02090L,CNAG_02090,298
CNAG_01776L,CNAG_01776,304
CNAG_07605L,CNAG_07605,123
CNAG_01846L,CNAG_01846,302
