Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,539
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,610
CNAG_05638R,CNAG_05638,408
CNAG_05639R,CNAG_05639,289
CNAG_06346R,CNAG_06346,396
CNAG_06347R,CNAG_06347,276
CNAG_06517R,CNAG_06517,432
CNAG_07939R,CNAG_07939,1
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,323
CNAG_06104R,CNAG_06104,330
CNAG_07902R,CNAG_07902,395
CNAG_06241R,CNAG_06241,196
CNAG_06242R,CNAG_06242,157
CNAG_07911R,CNAG_07911,318
CNAG_01683R,CNAG_01683,366
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,296
CNAG_01989R,CNAG_01989,246
CNAG_01965R,CNAG_01965,414
CNAG_01925R,CNAG_01925,385
CNAG_04756R,CNAG_04756,1
CNAG_04837R,CNAG_04837,437
CNAG_04836R,CNAG_04836,419
CNAG_04875R,CNAG_04875,599
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,73
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,392
CNAG_04517R,CNAG_04517,409
CNAG_07770R,CNAG_07770,364
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,603
CNAG_07742R,CNAG_07742,731
CNAG_03142R,CNAG_03142,303
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,181
CNAG_05743R,CNAG_05743,3
CNAG_05867R,CNAG_05867,235
CNAG_05684R,CNAG_05684,179
CNAG_02189R,CNAG_02189,301
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,199
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,286
CNAG_03669R,CNAG_03669,289
CNAG_07332R,CNAG_07332,296
CNAG_00285R,CNAG_00285,339
CNAG_00830R,CNAG_00830,398
CNAG_00841R,CNAG_00841,365
CNAG_06531R,CNAG_06531,474
CNAG_03279R,CNAG_03279,396
CNAG_03336R,CNAG_03336,736
CNAG_06339R,CNAG_06339,502
CNAG_03768R,CNAG_03768,423
CNAG_04534R,CNAG_04534,342
