Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,86
CNAG_05515L,CNAG_05515,577
CNAG_05641L,CNAG_05641,453
CNAG_05387L,CNAG_05387,480
CNAG_05590L,CNAG_05590,852
CNAG_07869L,CNAG_07869,505
CNAG_05340L,CNAG_05340,228
CNAG_05638L,CNAG_05638,399
CNAG_05639L,CNAG_05639,286
CNAG_06346L,CNAG_06346,409
CNAG_06347L,CNAG_06347,256
CNAG_06517L,CNAG_06517,474
CNAG_07939L,CNAG_07939,408
CNAG_06493L,CNAG_06493,289
CNAG_06201L,CNAG_06201,414
CNAG_06104L,CNAG_06104,237
CNAG_06081L,CNAG_06081,408
CNAG_07902L,CNAG_07902,334
CNAG_06241L,CNAG_06241,198
CNAG_06242L,CNAG_06242,178
CNAG_06186L,CNAG_06186,299
CNAG_07911L,CNAG_07911,411
CNAG_01551L,CNAG_01551,388
CNAG_01683L,CNAG_01683,342
CNAG_01983L,CNAG_01983,439
CNAG_01680L,CNAG_01680,377
CNAG_01621L,CNAG_01621,342
CNAG_01988L,CNAG_01988,320
CNAG_01989L,CNAG_01989,376
CNAG_01939L,CNAG_01939,411
CNAG_01993L,CNAG_01993,370
CNAG_01992L,CNAG_01992,344
CNAG_01965L,CNAG_01965,380
CNAG_01562L,CNAG_01562,203
CNAG_01925L,CNAG_01925,368
CNAG_04756L,CNAG_04756,400
CNAG_04807L,CNAG_04807,493
CNAG_04837L,CNAG_04837,393
CNAG_04836L,CNAG_04836,368
CNAG_04737L,CNAG_04737,493
CNAG_04875L,CNAG_04875,623
CNAG_04874L,CNAG_04874,929
CNAG_04868L,CNAG_04868,80
CNAG_04752L,CNAG_04752,409
CNAG_04753L,CNAG_04753,377
CNAG_04909L,CNAG_04909,329
CNAG_04908L,CNAG_04908,399
CNAG_04659L,CNAG_04659,133
CNAG_04623L,CNAG_04623,344
CNAG_04518L,CNAG_04518,404
CNAG_04517L,CNAG_04517,428
CNAG_07770L,CNAG_07770,398
CNAG_04436L,CNAG_04436,105
CNAG_04271L,CNAG_04271,269
CNAG_04270L,CNAG_04270,436
CNAG_03346L,CNAG_03346,342
CNAG_03433L,CNAG_03433,395
CNAG_03333L,CNAG_03333,583
CNAG_07742L,CNAG_07742,1179
CNAG_03438L,CNAG_03438,591
CNAG_03223L,CNAG_03223,122
CNAG_03142L,CNAG_03142,301
CNAG_03143L,CNAG_03143,358
CNAG_03545L,CNAG_03545,457
CNAG_03161L,CNAG_03161,195
CNAG_03566L,CNAG_03566,208
CNAG_05835L,CNAG_05835,456
CNAG_05864L,CNAG_05864,276
CNAG_06567L,CNAG_06567,419
CNAG_05742L,CNAG_05742,25
CNAG_05743L,CNAG_05743,86
CNAG_05867L,CNAG_05867,265
CNAG_05685L,CNAG_05685,1333
CNAG_05684L,CNAG_05684,187
CNAG_05785L,CNAG_05785,400
CNAG_06554L,CNAG_06554,388
CNAG_02189L,CNAG_02189,360
CNAG_02188L,CNAG_02188,395
CNAG_02182L,CNAG_02182,301
CNAG_07631L,CNAG_07631,516
CNAG_02371L,CNAG_02371,228
CNAG_07633L,CNAG_07633,218
CNAG_01069L,CNAG_01069,405
CNAG_00896L,CNAG_00896,1206
CNAG_06719L,CNAG_06719,86
CNAG_03669L,CNAG_03669,297
CNAG_00031L,CNAG_00031,325
CNAG_07332L,CNAG_07332,283
CNAG_00285L,CNAG_00285,311
CNAG_00828L,CNAG_00828,344
CNAG_00830L,CNAG_00830,464
CNAG_00841L,CNAG_00841,402
CNAG_02774L,CNAG_02774,312
CNAG_06531L,CNAG_06531,467
CNAG_03279L,CNAG_03279,439
CNAG_03336L,CNAG_03336,826
CNAG_06339L,CNAG_06339,458
CNAG_03768L,CNAG_03768,388
CNAG_04534L,CNAG_04534,386
CNAG_01973L,CNAG_01973,47
CNAG_07867L,CNAG_07867,351
CNAG_05333L,CNAG_05333,409
CNAG_06425L,CNAG_06425,424
CNAG_03849L,CNAG_03849,920
CNAG_02603L,CNAG_02603,375
CNAG_02555L,CNAG_02555,349
CNAG_03431L,CNAG_03431,48
CNAG_05049L,CNAG_05049,130
CNAG_05380L,CNAG_05380,357
CNAG_03914L,CNAG_03914,420
CNAG_02476L,CNAG_02476,422
CNAG_07583L,CNAG_07583,365
CNAG_02466L,CNAG_02466,349
CNAG_05112L,CNAG_05112,360
CNAG_03366L,CNAG_03366,497
CNAG_03977L,CNAG_03977,127
CNAG_04090L,CNAG_04090,456
CNAG_00791L,CNAG_00791,326
CNAG_06751L,CNAG_06751,321
CNAG_05375L,CNAG_05375,9642
CNAG_02516L,CNAG_02516,394
CNAG_04804L,CNAG_04804,42
CNAG_00627L,CNAG_00627,368
CNAG_07725L,CNAG_07725,486
CNAG_06203L,CNAG_06203,376
CNAG_00193L,CNAG_00193,13
CNAG_01883L,CNAG_01883,107
CNAG_03401L,CNAG_03401,452
CNAG_02435L,CNAG_02435,485
CNAG_05153L,CNAG_05153,1
CNAG_01708L,CNAG_01708,225
CNAG_03700L,CNAG_03700,304
CNAG_07320L,CNAG_07320,44
CNAG_05215L,CNAG_05215,649
CNAG_01438L,CNAG_01438,292
CNAG_07464L,CNAG_07464,282
CNAG_01858L,CNAG_01858,463
CNAG_04586L,CNAG_04586,535
CNAG_05093L,CNAG_05093,390
CNAG_05176L,CNAG_05176,218
CNAG_01014L,CNAG_01014,209
CNAG_00998L,CNAG_00998,184
CNAG_00039L,CNAG_00039,124
CNAG_07329L,CNAG_07329,5
CNAG_01454L,CNAG_01454,400
CNAG_02700L,CNAG_02700,19
CNAG_06327L,CNAG_06327,137
CNAG_03788L,CNAG_03788,357
CNAG_00871L,CNAG_00871,451
CNAG_00559L,CNAG_00559,11167
CNAG_07370L,CNAG_07370,462
CNAG_00732L,CNAG_00732,440
CNAG_04630L,CNAG_04630,571
CNAG_07940L,CNAG_07940,396
CNAG_02589L,CNAG_02589,406
CNAG_05067L,CNAG_05067,359
CNAG_01645L,CNAG_01645,952
CNAG_06134L,CNAG_06134,5
CNAG_01242L,CNAG_01242,157
CNAG_02788L,CNAG_02788,81
CNAG_07435L,CNAG_07435,108
CNAG_03998L,CNAG_03998,872
CNAG_07924L,CNAG_07924,878
CNAG_01071L,CNAG_01071,328
CNAG_00883L,CNAG_00883,212
CNAG_03741L,CNAG_03741,162
CNAG_03745L,CNAG_03745,514
CNAG_00192L,CNAG_00192,460
CNAG_00670L,CNAG_00670,328
CNAG_06871L,CNAG_06871,435
CNAG_04457L,CNAG_04457,384
CNAG_02723L,CNAG_02723,376
CNAG_04588L,CNAG_04588,75
CNAG_01977L,CNAG_01977,404
CNAG_03894L,CNAG_03894,474
CNAG_04012L,CNAG_04012,457
CNAG_03561L,CNAG_03561,295
CNAG_05170L,CNAG_05170,297
CNAG_04041L,CNAG_04041,69
CNAG_02364L,CNAG_02364,441
CNAG_04093L,CNAG_04093,405
CNAG_02322L,CNAG_02322,414
CNAG_04184L,CNAG_04184,363
CNAG_05255L,CNAG_05255,409
CNAG_05642L,CNAG_05642,282
CNAG_03059L,CNAG_03059,374
CNAG_03018L,CNAG_03018,297
CNAG_07901L,CNAG_07901,354
CNAG_03086L,CNAG_03086,418
CNAG_04916L,CNAG_04916,302
CNAG_06097L,CNAG_06097,279
CNAG_03115L,CNAG_03115,247
CNAG_03132L,CNAG_03132,460
CNAG_04841L,CNAG_04841,404
CNAG_06136L,CNAG_06136,349
CNAG_03177L,CNAG_03177,663
CNAG_03183L,CNAG_03183,233
CNAG_06188L,CNAG_06188,339
CNAG_02877L,CNAG_02877,176
CNAG_04359L,CNAG_04359,910
CNAG_04774L,CNAG_04774,397
CNAG_04768L,CNAG_04768,399
CNAG_02066L,CNAG_02066,436
CNAG_07922L,CNAG_07922,341
CNAG_06276L,CNAG_06276,331
CNAG_05222L,CNAG_05222,220
CNAG_03409L,CNAG_03409,15
CNAG_05622L,CNAG_05622,628
CNAG_04637L,CNAG_04637,233
CNAG_07680L,CNAG_07680,152
CNAG_02215L,CNAG_02215,114
CNAG_00564L,CNAG_00564,793
CNAG_02387L,CNAG_02387,493
CNAG_04086L,CNAG_04086,536
CNAG_05697L,CNAG_05697,592
CNAG_02697L,CNAG_02697,358
CNAG_06205L,CNAG_06205,365
CNAG_05372L,CNAG_05372,144
CNAG_04507L,CNAG_04507,385
CNAG_04506L,CNAG_04506,467
CNAG_00068L,CNAG_00068,5531
CNAG_05138L,CNAG_05138,172
CNAG_00733L,CNAG_00733,418
CNAG_03910L,CNAG_03910,403
CNAG_04059L,CNAG_04059,1567
CNAG_07491L,CNAG_07491,682
CNAG_05181L,CNAG_05181,496
CNAG_03915L,CNAG_03915,379
CNAG_03772L,CNAG_03772,392
CNAG_00445L,CNAG_00445,1235
CNAG_01901L,CNAG_01901,535
CNAG_05313L,CNAG_05313,337
CNAG_05312L,CNAG_05312,415
CNAG_03012L,CNAG_03012,288
CNAG_03011L,CNAG_03011,372
CNAG_06200L,CNAG_06200,806
CNAG_02682L,CNAG_02682,352
CNAG_02683L,CNAG_02683,280
CNAG_00442L,CNAG_00442,531
CNAG_00183L,CNAG_00183,175
CNAG_07548L,CNAG_07548,1975
CNAG_01277L,CNAG_01277,639
CNAG_07512L,CNAG_07512,718
CNAG_01230L,CNAG_01230,658
CNAG_05264L,CNAG_05264,344
CNAG_05263L,CNAG_05263,360
CNAG_01681L,CNAG_01681,380
CNAG_01040L,CNAG_01040,136
CNAG_00179L,CNAG_00179,453
CNAG_00547L,CNAG_00547,307
CNAG_00598L,CNAG_00598,385
CNAG_05229L,CNAG_05229,325
CNAG_01138L,CNAG_01138,408
CNAG_00597L,CNAG_00597,358
CNAG_02797L,CNAG_02797,309
CNAG_02219L,CNAG_02219,517
CNAG_02220L,CNAG_02220,362
CNAG_00674L,CNAG_00674,434
CNAG_03013L,CNAG_03013,201
CNAG_07540L,CNAG_07540,442
CNAG_04981L,CNAG_04981,398
CNAG_04980L,CNAG_04980,5
CNAG_00456L,CNAG_00456,372
CNAG_00455L,CNAG_00455,304
CNAG_02152L,CNAG_02152,420
CNAG_00107L,CNAG_00107,439
CNAG_00106L,CNAG_00106,149
CNAG_01061L,CNAG_01061,406
CNAG_03847L,CNAG_03847,294
CNAG_03848L,CNAG_03848,390
CNAG_01013L,CNAG_01013,16
CNAG_02777L,CNAG_02777,379
CNAG_07523L,CNAG_07523,341
CNAG_04990L,CNAG_04990,2
