Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,122
CNAG_05515L,CNAG_05515,300
CNAG_05641L,CNAG_05641,261
CNAG_05387L,CNAG_05387,293
CNAG_05590L,CNAG_05590,11
CNAG_07869L,CNAG_07869,313
CNAG_05340L,CNAG_05340,149
CNAG_05638L,CNAG_05638,255
CNAG_05639L,CNAG_05639,203
CNAG_06346L,CNAG_06346,259
CNAG_06347L,CNAG_06347,247
CNAG_06517L,CNAG_06517,306
CNAG_07939L,CNAG_07939,217
CNAG_06493L,CNAG_06493,167
CNAG_06201L,CNAG_06201,217
CNAG_06104L,CNAG_06104,95
CNAG_06081L,CNAG_06081,287
CNAG_07902L,CNAG_07902,243
CNAG_06241L,CNAG_06241,226
CNAG_06242L,CNAG_06242,445
CNAG_06186L,CNAG_06186,91
CNAG_07911L,CNAG_07911,214
CNAG_01551L,CNAG_01551,73
CNAG_01683L,CNAG_01683,173
CNAG_01983L,CNAG_01983,154
CNAG_01680L,CNAG_01680,259
CNAG_01621L,CNAG_01621,301
CNAG_01988L,CNAG_01988,223
CNAG_01989L,CNAG_01989,206
CNAG_01939L,CNAG_01939,194
CNAG_01993L,CNAG_01993,204
CNAG_01992L,CNAG_01992,200
CNAG_01965L,CNAG_01965,208
CNAG_01562L,CNAG_01562,183
CNAG_01925L,CNAG_01925,231
CNAG_04756L,CNAG_04756,289
CNAG_04807L,CNAG_04807,172
CNAG_04837L,CNAG_04837,246
CNAG_04836L,CNAG_04836,232
CNAG_04737L,CNAG_04737,335
CNAG_04875L,CNAG_04875,331
CNAG_04874L,CNAG_04874,638
CNAG_04868L,CNAG_04868,24
CNAG_04752L,CNAG_04752,16
CNAG_04753L,CNAG_04753,420
CNAG_04909L,CNAG_04909,233
CNAG_04908L,CNAG_04908,402
CNAG_04659L,CNAG_04659,58
CNAG_04623L,CNAG_04623,221
CNAG_04518L,CNAG_04518,183
CNAG_04517L,CNAG_04517,265
CNAG_07770L,CNAG_07770,87
CNAG_04436L,CNAG_04436,56
CNAG_04271L,CNAG_04271,98
CNAG_04270L,CNAG_04270,40
CNAG_03346L,CNAG_03346,262
CNAG_03433L,CNAG_03433,231
CNAG_03333L,CNAG_03333,329
CNAG_07742L,CNAG_07742,758
CNAG_03438L,CNAG_03438,235
CNAG_03223L,CNAG_03223,5
CNAG_03142L,CNAG_03142,176
CNAG_03143L,CNAG_03143,203
CNAG_03545L,CNAG_03545,286
CNAG_03161L,CNAG_03161,563
