Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,217
CNAG_05387R,CNAG_05387,427
CNAG_05638R,CNAG_05638,229
CNAG_05639R,CNAG_05639,165
CNAG_06346R,CNAG_06346,320
CNAG_06347R,CNAG_06347,260
CNAG_06517R,CNAG_06517,257
CNAG_06201R,CNAG_06201,208
CNAG_06104R,CNAG_06104,225
CNAG_07902R,CNAG_07902,247
CNAG_06241R,CNAG_06241,110
CNAG_06242R,CNAG_06242,84
CNAG_07911R,CNAG_07911,214
CNAG_01683R,CNAG_01683,268
CNAG_01902R,CNAG_01902,2
CNAG_01680R,CNAG_01680,235
CNAG_01989R,CNAG_01989,194
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,224
CNAG_01925R,CNAG_01925,257
CNAG_04837R,CNAG_04837,293
CNAG_04836R,CNAG_04836,290
CNAG_04875R,CNAG_04875,64
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,62
CNAG_04518R,CNAG_04518,351
CNAG_04517R,CNAG_04517,298
CNAG_07770R,CNAG_07770,245
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,306
CNAG_07742R,CNAG_07742,526
CNAG_03142R,CNAG_03142,204
CNAG_03566R,CNAG_03566,132
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,166
CNAG_05684R,CNAG_05684,79
CNAG_02189R,CNAG_02189,271
CNAG_07631R,CNAG_07631,2
CNAG_02371R,CNAG_02371,204
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,198
CNAG_03669R,CNAG_03669,42
CNAG_07332R,CNAG_07332,138
CNAG_00285R,CNAG_00285,232
CNAG_00830R,CNAG_00830,237
CNAG_00841R,CNAG_00841,335
CNAG_06531R,CNAG_06531,432
CNAG_03279R,CNAG_03279,271
CNAG_03336R,CNAG_03336,408
CNAG_06339R,CNAG_06339,424
CNAG_03768R,CNAG_03768,255
CNAG_04534R,CNAG_04534,224
CNAG_01973R,CNAG_01973,262
CNAG_07867R,CNAG_07867,273
CNAG_05333R,CNAG_05333,328
CNAG_06425R,CNAG_06425,341
CNAG_03849R,CNAG_03849,326
CNAG_02603R,CNAG_02603,256
CNAG_02555R,CNAG_02555,339
CNAG_02525R,CNAG_02525,18
CNAG_03431R,CNAG_03431,7
CNAG_05049R,CNAG_05049,177
CNAG_03914R,CNAG_03914,47
CNAG_02476R,CNAG_02476,239
CNAG_07583R,CNAG_07583,246
CNAG_05112R,CNAG_05112,235
CNAG_03366R,CNAG_03366,351
CNAG_04090R,CNAG_04090,444
CNAG_00791R,CNAG_00791,168
CNAG_05375R,CNAG_05375,6282
CNAG_02516R,CNAG_02516,228
CNAG_04804R,CNAG_04804,2
CNAG_06203R,CNAG_06203,269
CNAG_00193R,CNAG_00193,15
CNAG_01883R,CNAG_01883,16
CNAG_03401R,CNAG_03401,239
CNAG_02435R,CNAG_02435,230
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,675
CNAG_03700R,CNAG_03700,187
CNAG_05215R,CNAG_05215,278
CNAG_01438R,CNAG_01438,76
CNAG_07464R,CNAG_07464,52
CNAG_01858R,CNAG_01858,350
CNAG_04586R,CNAG_04586,315
CNAG_05176R,CNAG_05176,175
CNAG_01014R,CNAG_01014,116
CNAG_01454R,CNAG_01454,318
CNAG_06327R,CNAG_06327,155
CNAG_03788R,CNAG_03788,313
CNAG_00871R,CNAG_00871,322
CNAG_00559R,CNAG_00559,10064
CNAG_07370R,CNAG_07370,319
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,261
CNAG_01645R,CNAG_01645,749
CNAG_01242R,CNAG_01242,144
CNAG_02788R,CNAG_02788,56
