Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,218
CNAG_05515L,CNAG_05515,271
CNAG_05641L,CNAG_05641,294
CNAG_05387L,CNAG_05387,481
CNAG_05590L,CNAG_05590,1530
CNAG_07869L,CNAG_07869,385
CNAG_05340L,CNAG_05340,183
CNAG_05638L,CNAG_05638,281
CNAG_05639L,CNAG_05639,189
CNAG_06346L,CNAG_06346,308
CNAG_06347L,CNAG_06347,318
CNAG_06517L,CNAG_06517,332
CNAG_07939L,CNAG_07939,299
CNAG_06493L,CNAG_06493,276
CNAG_06201L,CNAG_06201,317
CNAG_06104L,CNAG_06104,309
CNAG_06081L,CNAG_06081,377
CNAG_07902L,CNAG_07902,309
CNAG_06241L,CNAG_06241,98
CNAG_06242L,CNAG_06242,112
CNAG_06186L,CNAG_06186,485
CNAG_07911L,CNAG_07911,272
CNAG_01551L,CNAG_01551,385
CNAG_01683L,CNAG_01683,269
CNAG_01983L,CNAG_01983,316
CNAG_01902L,CNAG_01902,2
CNAG_01680L,CNAG_01680,353
CNAG_01621L,CNAG_01621,183
CNAG_01988L,CNAG_01988,236
CNAG_01989L,CNAG_01989,315
CNAG_01939L,CNAG_01939,304
CNAG_01993L,CNAG_01993,237
CNAG_01992L,CNAG_01992,272
CNAG_01965L,CNAG_01965,306
CNAG_01562L,CNAG_01562,302
CNAG_01925L,CNAG_01925,316
CNAG_04756L,CNAG_04756,428
CNAG_04807L,CNAG_04807,360
CNAG_04837L,CNAG_04837,295
CNAG_04836L,CNAG_04836,326
CNAG_04737L,CNAG_04737,464
CNAG_04875L,CNAG_04875,75
CNAG_04874L,CNAG_04874,619
CNAG_04868L,CNAG_04868,77
CNAG_04752L,CNAG_04752,319
CNAG_04753L,CNAG_04753,141
CNAG_04909L,CNAG_04909,329
CNAG_04908L,CNAG_04908,325
CNAG_04659L,CNAG_04659,181
CNAG_04623L,CNAG_04623,163
CNAG_04518L,CNAG_04518,352
CNAG_04517L,CNAG_04517,333
CNAG_07770L,CNAG_07770,359
CNAG_04436L,CNAG_04436,45
CNAG_04271L,CNAG_04271,201
CNAG_04270L,CNAG_04270,47
CNAG_03346L,CNAG_03346,315
CNAG_03433L,CNAG_03433,301
CNAG_03333L,CNAG_03333,385
CNAG_07742L,CNAG_07742,968
CNAG_03438L,CNAG_03438,502
CNAG_03223L,CNAG_03223,177
CNAG_03142L,CNAG_03142,261
CNAG_03143L,CNAG_03143,258
CNAG_03545L,CNAG_03545,441
CNAG_03161L,CNAG_03161,180
CNAG_03566L,CNAG_03566,146
CNAG_05835L,CNAG_05835,390
CNAG_05864L,CNAG_05864,309
CNAG_06567L,CNAG_06567,322
CNAG_05742L,CNAG_05742,1
CNAG_05743L,CNAG_05743,88
CNAG_05867L,CNAG_05867,195
CNAG_05685L,CNAG_05685,1009
CNAG_05684L,CNAG_05684,98
CNAG_05785L,CNAG_05785,220
CNAG_06554L,CNAG_06554,278
CNAG_02189L,CNAG_02189,273
CNAG_02188L,CNAG_02188,346
CNAG_02182L,CNAG_02182,273
CNAG_07631L,CNAG_07631,533
CNAG_02371L,CNAG_02371,225
CNAG_07633L,CNAG_07633,31
CNAG_01069L,CNAG_01069,292
CNAG_00896L,CNAG_00896,1004
CNAG_06719L,CNAG_06719,54
CNAG_03669L,CNAG_03669,38
CNAG_00031L,CNAG_00031,340
CNAG_07332L,CNAG_07332,204
CNAG_00285L,CNAG_00285,267
CNAG_00828L,CNAG_00828,298
CNAG_00830L,CNAG_00830,291
CNAG_00841L,CNAG_00841,338
CNAG_02774L,CNAG_02774,320
CNAG_06531L,CNAG_06531,541
CNAG_03279L,CNAG_03279,303
CNAG_03336L,CNAG_03336,513
CNAG_06339L,CNAG_06339,410
CNAG_03768L,CNAG_03768,290
CNAG_04534L,CNAG_04534,261
CNAG_01973L,CNAG_01973,36
CNAG_07867L,CNAG_07867,299
CNAG_05333L,CNAG_05333,310
CNAG_06425L,CNAG_06425,460
CNAG_03849L,CNAG_03849,728
CNAG_02603L,CNAG_02603,273
CNAG_02555L,CNAG_02555,313
CNAG_03431L,CNAG_03431,16
CNAG_05049L,CNAG_05049,229
CNAG_05380L,CNAG_05380,206
CNAG_03914L,CNAG_03914,59
CNAG_02476L,CNAG_02476,309
CNAG_07583L,CNAG_07583,272
CNAG_02466L,CNAG_02466,253
CNAG_05112L,CNAG_05112,284
CNAG_03366L,CNAG_03366,353
CNAG_03977L,CNAG_03977,26
CNAG_04090L,CNAG_04090,447
CNAG_00791L,CNAG_00791,163
CNAG_06751L,CNAG_06751,177
CNAG_05375L,CNAG_05375,6978
CNAG_02516L,CNAG_02516,341
CNAG_04804L,CNAG_04804,3
CNAG_00627L,CNAG_00627,356
CNAG_07725L,CNAG_07725,377
CNAG_06203L,CNAG_06203,294
CNAG_00193L,CNAG_00193,9
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,29
CNAG_03401L,CNAG_03401,255
CNAG_02435L,CNAG_02435,237
CNAG_05153L,CNAG_05153,8
CNAG_01708L,CNAG_01708,756
CNAG_03700L,CNAG_03700,270
CNAG_07320L,CNAG_07320,34
CNAG_05215L,CNAG_05215,291
CNAG_01438L,CNAG_01438,124
CNAG_07464L,CNAG_07464,60
CNAG_01858L,CNAG_01858,392
CNAG_04586L,CNAG_04586,264
CNAG_05093L,CNAG_05093,301
CNAG_05176L,CNAG_05176,195
CNAG_01014L,CNAG_01014,161
CNAG_00998L,CNAG_00998,135
CNAG_00039L,CNAG_00039,24
CNAG_07329L,CNAG_07329,14
CNAG_01454L,CNAG_01454,337
CNAG_02700L,CNAG_02700,20
CNAG_06327L,CNAG_06327,169
CNAG_03788L,CNAG_03788,388
CNAG_00871L,CNAG_00871,328
CNAG_00559L,CNAG_00559,11722
CNAG_07370L,CNAG_07370,383
CNAG_00732L,CNAG_00732,238
CNAG_04630L,CNAG_04630,108
CNAG_07940L,CNAG_07940,459
CNAG_02589L,CNAG_02589,263
CNAG_05067L,CNAG_05067,370
CNAG_01645L,CNAG_01645,870
CNAG_01242L,CNAG_01242,168
CNAG_02788L,CNAG_02788,61
CNAG_07435L,CNAG_07435,68
CNAG_03998L,CNAG_03998,178
CNAG_07924L,CNAG_07924,790
CNAG_01071L,CNAG_01071,263
CNAG_00883L,CNAG_00883,72
CNAG_03741L,CNAG_03741,225
CNAG_03745L,CNAG_03745,348
CNAG_00192L,CNAG_00192,411
CNAG_00670L,CNAG_00670,306
CNAG_06871L,CNAG_06871,365
CNAG_04457L,CNAG_04457,347
CNAG_02723L,CNAG_02723,342
CNAG_04588L,CNAG_04588,126
CNAG_01977L,CNAG_01977,272
CNAG_03894L,CNAG_03894,341
CNAG_04012L,CNAG_04012,296
CNAG_03561L,CNAG_03561,271
CNAG_05170L,CNAG_05170,207
CNAG_04041L,CNAG_04041,123
CNAG_02364L,CNAG_02364,361
CNAG_04093L,CNAG_04093,348
CNAG_02322L,CNAG_02322,329
CNAG_04184L,CNAG_04184,295
CNAG_05255L,CNAG_05255,369
CNAG_05642L,CNAG_05642,410
CNAG_03059L,CNAG_03059,275
CNAG_03018L,CNAG_03018,318
CNAG_07901L,CNAG_07901,284
CNAG_03086L,CNAG_03086,372
CNAG_04916L,CNAG_04916,230
CNAG_06097L,CNAG_06097,838
CNAG_03115L,CNAG_03115,163
CNAG_03132L,CNAG_03132,367
CNAG_04841L,CNAG_04841,389
CNAG_06136L,CNAG_06136,290
CNAG_03177L,CNAG_03177,713
CNAG_03183L,CNAG_03183,204
CNAG_06188L,CNAG_06188,352
CNAG_02877L,CNAG_02877,175
CNAG_04359L,CNAG_04359,743
CNAG_04774L,CNAG_04774,386
CNAG_04768L,CNAG_04768,134
CNAG_02066L,CNAG_02066,314
CNAG_07922L,CNAG_07922,316
CNAG_06276L,CNAG_06276,343
CNAG_05222L,CNAG_05222,174
CNAG_03409L,CNAG_03409,74
CNAG_05622L,CNAG_05622,877
CNAG_04637L,CNAG_04637,235
CNAG_07680L,CNAG_07680,137
CNAG_02215L,CNAG_02215,92
CNAG_00564L,CNAG_00564,450
CNAG_02387L,CNAG_02387,193
CNAG_04086L,CNAG_04086,456
CNAG_05697L,CNAG_05697,503
CNAG_02697L,CNAG_02697,242
CNAG_06205L,CNAG_06205,326
CNAG_05372L,CNAG_05372,194
CNAG_04507L,CNAG_04507,273
CNAG_04506L,CNAG_04506,325
CNAG_00068L,CNAG_00068,4611
CNAG_05138L,CNAG_05138,155
CNAG_00733L,CNAG_00733,267
CNAG_03910L,CNAG_03910,355
CNAG_04059L,CNAG_04059,1425
CNAG_07491L,CNAG_07491,490
CNAG_05181L,CNAG_05181,237
CNAG_03915L,CNAG_03915,275
CNAG_03772L,CNAG_03772,242
CNAG_00445L,CNAG_00445,696
CNAG_01901L,CNAG_01901,389
CNAG_05313L,CNAG_05313,2
CNAG_05312L,CNAG_05312,349
CNAG_03012L,CNAG_03012,209
CNAG_03011L,CNAG_03011,295
CNAG_00337L,CNAG_00337,1
CNAG_06200L,CNAG_06200,252
CNAG_02682L,CNAG_02682,299
CNAG_02683L,CNAG_02683,148
CNAG_00442L,CNAG_00442,455
CNAG_00183L,CNAG_00183,158
CNAG_07548L,CNAG_07548,2049
CNAG_01277L,CNAG_01277,336
CNAG_07512L,CNAG_07512,583
CNAG_01230L,CNAG_01230,190
CNAG_05264L,CNAG_05264,141
CNAG_05263L,CNAG_05263,289
CNAG_01681L,CNAG_01681,314
CNAG_01040L,CNAG_01040,29
CNAG_00179L,CNAG_00179,349
CNAG_00547L,CNAG_00547,201
CNAG_00598L,CNAG_00598,392
CNAG_05229L,CNAG_05229,269
CNAG_01138L,CNAG_01138,301
CNAG_00597L,CNAG_00597,357
CNAG_02797L,CNAG_02797,33
CNAG_02219L,CNAG_02219,494
CNAG_02220L,CNAG_02220,273
CNAG_00674L,CNAG_00674,400
CNAG_03013L,CNAG_03013,22
CNAG_07540L,CNAG_07540,332
CNAG_04981L,CNAG_04981,305
CNAG_04980L,CNAG_04980,2
CNAG_00456L,CNAG_00456,316
CNAG_00455L,CNAG_00455,396
CNAG_02152L,CNAG_02152,407
CNAG_00107L,CNAG_00107,319
CNAG_00106L,CNAG_00106,82
CNAG_01061L,CNAG_01061,352
