Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,310
CNAG_05387R,CNAG_05387,351
CNAG_05638R,CNAG_05638,230
CNAG_05639R,CNAG_05639,232
CNAG_06346R,CNAG_06346,275
CNAG_06347R,CNAG_06347,227
CNAG_06517R,CNAG_06517,334
CNAG_06201R,CNAG_06201,232
CNAG_06104R,CNAG_06104,227
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,264
CNAG_06241R,CNAG_06241,105
CNAG_06242R,CNAG_06242,93
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,269
CNAG_01683R,CNAG_01683,338
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,219
CNAG_01989R,CNAG_01989,213
CNAG_01965R,CNAG_01965,267
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,241
CNAG_04807R,CNAG_04807,3
CNAG_04837R,CNAG_04837,299
CNAG_04836R,CNAG_04836,296
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,256
CNAG_04868R,CNAG_04868,40
CNAG_04908R,CNAG_04908,1
CNAG_04659R,CNAG_04659,1
CNAG_04518R,CNAG_04518,250
CNAG_04517R,CNAG_04517,282
CNAG_07770R,CNAG_07770,230
CNAG_03346R,CNAG_03346,3
CNAG_03333R,CNAG_03333,302
CNAG_07742R,CNAG_07742,492
CNAG_03142R,CNAG_03142,199
CNAG_03566R,CNAG_03566,210
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,182
CNAG_05684R,CNAG_05684,338
CNAG_02189R,CNAG_02189,316
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,205
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,168
CNAG_03669R,CNAG_03669,216
CNAG_07332R,CNAG_07332,179
CNAG_00285R,CNAG_00285,210
CNAG_00830R,CNAG_00830,287
CNAG_00841R,CNAG_00841,300
CNAG_06531R,CNAG_06531,485
CNAG_03279R,CNAG_03279,264
CNAG_03336R,CNAG_03336,425
CNAG_06339R,CNAG_06339,320
CNAG_03768R,CNAG_03768,313
CNAG_04534R,CNAG_04534,223
CNAG_01973R,CNAG_01973,154
CNAG_07867R,CNAG_07867,288
CNAG_05333R,CNAG_05333,313
CNAG_06425R,CNAG_06425,154
CNAG_03849R,CNAG_03849,300
CNAG_02603R,CNAG_02603,255
CNAG_02555R,CNAG_02555,355
CNAG_02525R,CNAG_02525,28
CNAG_03431R,CNAG_03431,138
CNAG_05049R,CNAG_05049,202
CNAG_03914R,CNAG_03914,242
CNAG_02476R,CNAG_02476,223
CNAG_07583R,CNAG_07583,258
CNAG_05112R,CNAG_05112,235
CNAG_03366R,CNAG_03366,344
CNAG_04090R,CNAG_04090,807
CNAG_00791R,CNAG_00791,237
CNAG_05375R,CNAG_05375,5216
