Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,70
CNAG_05515L,CNAG_05515,372
CNAG_05641L,CNAG_05641,294
CNAG_05387L,CNAG_05387,321
CNAG_05590L,CNAG_05590,855
CNAG_07869L,CNAG_07869,343
CNAG_05340L,CNAG_05340,123
CNAG_05638L,CNAG_05638,243
CNAG_05639L,CNAG_05639,211
CNAG_06346L,CNAG_06346,264
CNAG_06347L,CNAG_06347,222
CNAG_06517L,CNAG_06517,320
CNAG_07939L,CNAG_07939,208
CNAG_06493L,CNAG_06493,214
CNAG_06201L,CNAG_06201,295
CNAG_06104L,CNAG_06104,202
CNAG_06081L,CNAG_06081,305
CNAG_07902L,CNAG_07902,250
CNAG_06241L,CNAG_06241,112
CNAG_06242L,CNAG_06242,126
CNAG_06186L,CNAG_06186,173
CNAG_07911L,CNAG_07911,307
CNAG_01551L,CNAG_01551,378
CNAG_01683L,CNAG_01683,232
CNAG_01983L,CNAG_01983,276
CNAG_01680L,CNAG_01680,236
CNAG_01621L,CNAG_01621,239
CNAG_01988L,CNAG_01988,224
CNAG_01989L,CNAG_01989,262
CNAG_01939L,CNAG_01939,232
CNAG_01993L,CNAG_01993,211
CNAG_01992L,CNAG_01992,260
CNAG_01965L,CNAG_01965,260
CNAG_01562L,CNAG_01562,144
CNAG_01925L,CNAG_01925,240
CNAG_04756L,CNAG_04756,240
CNAG_04807L,CNAG_04807,299
CNAG_04837L,CNAG_04837,298
CNAG_04836L,CNAG_04836,262
CNAG_04737L,CNAG_04737,325
CNAG_04875L,CNAG_04875,193
CNAG_04874L,CNAG_04874,604
CNAG_04868L,CNAG_04868,38
CNAG_04752L,CNAG_04752,236
CNAG_04753L,CNAG_04753,237
CNAG_04909L,CNAG_04909,221
CNAG_04908L,CNAG_04908,297
CNAG_04659L,CNAG_04659,225
CNAG_04623L,CNAG_04623,208
CNAG_04518L,CNAG_04518,237
CNAG_04517L,CNAG_04517,267
CNAG_07770L,CNAG_07770,253
CNAG_04436L,CNAG_04436,144
CNAG_04271L,CNAG_04271,218
CNAG_04270L,CNAG_04270,146
CNAG_03346L,CNAG_03346,299
CNAG_03433L,CNAG_03433,252
CNAG_03333L,CNAG_03333,326
CNAG_07742L,CNAG_07742,738
CNAG_03438L,CNAG_03438,47
CNAG_03223L,CNAG_03223,204
CNAG_03142L,CNAG_03142,220
CNAG_03143L,CNAG_03143,252
CNAG_03545L,CNAG_03545,334
CNAG_03161L,CNAG_03161,136
CNAG_03566L,CNAG_03566,239
CNAG_05835L,CNAG_05835,224
CNAG_05864L,CNAG_05864,268
CNAG_06567L,CNAG_06567,260
CNAG_05742L,CNAG_05742,84
CNAG_05743L,CNAG_05743,48
CNAG_05867L,CNAG_05867,166
CNAG_05685L,CNAG_05685,814
CNAG_05684L,CNAG_05684,303
CNAG_05785L,CNAG_05785,202
CNAG_05843L,CNAG_05843,2
CNAG_06554L,CNAG_06554,216
CNAG_02189L,CNAG_02189,291
CNAG_02188L,CNAG_02188,288
CNAG_02182L,CNAG_02182,205
CNAG_07631L,CNAG_07631,367
CNAG_02371L,CNAG_02371,192
CNAG_07633L,CNAG_07633,139
CNAG_01069L,CNAG_01069,247
