Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,517
CNAG_05387R,CNAG_05387,457
CNAG_07869R,CNAG_07869,2
CNAG_05638R,CNAG_05638,343
CNAG_05639R,CNAG_05639,248
CNAG_06346R,CNAG_06346,431
CNAG_06347R,CNAG_06347,302
CNAG_06517R,CNAG_06517,418
CNAG_06201R,CNAG_06201,281
CNAG_06104R,CNAG_06104,270
CNAG_07902R,CNAG_07902,346
CNAG_06241R,CNAG_06241,202
CNAG_06242R,CNAG_06242,151
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,266
CNAG_01683R,CNAG_01683,347
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,316
CNAG_01989R,CNAG_01989,204
CNAG_01965R,CNAG_01965,345
CNAG_01925R,CNAG_01925,254
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,347
CNAG_04836R,CNAG_04836,328
CNAG_04875R,CNAG_04875,219
CNAG_04868R,CNAG_04868,96
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,280
CNAG_04517R,CNAG_04517,370
CNAG_07770R,CNAG_07770,360
CNAG_03333R,CNAG_03333,443
CNAG_07742R,CNAG_07742,670
CNAG_03142R,CNAG_03142,272
CNAG_03566R,CNAG_03566,233
CNAG_05867R,CNAG_05867,209
CNAG_05684R,CNAG_05684,247
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,378
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,249
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,1
CNAG_06719R,CNAG_06719,233
CNAG_03669R,CNAG_03669,350
CNAG_07332R,CNAG_07332,231
CNAG_00285R,CNAG_00285,321
CNAG_00830R,CNAG_00830,319
CNAG_00841R,CNAG_00841,330
CNAG_06531R,CNAG_06531,572
CNAG_03279R,CNAG_03279,365
CNAG_03336R,CNAG_03336,471
CNAG_06339R,CNAG_06339,457
CNAG_03768R,CNAG_03768,417
CNAG_04534R,CNAG_04534,369
CNAG_01973R,CNAG_01973,236
CNAG_07867R,CNAG_07867,353
CNAG_05333R,CNAG_05333,358
CNAG_06425R,CNAG_06425,225
CNAG_03849R,CNAG_03849,369
CNAG_02603R,CNAG_02603,301
CNAG_02555R,CNAG_02555,393
CNAG_02525R,CNAG_02525,110
CNAG_03431R,CNAG_03431,275
CNAG_05049R,CNAG_05049,263
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,362
CNAG_02476R,CNAG_02476,252
CNAG_07583R,CNAG_07583,327
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,264
CNAG_03366R,CNAG_03366,437
CNAG_04090R,CNAG_04090,582
CNAG_00791R,CNAG_00791,289
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,6044
CNAG_02516R,CNAG_02516,273
CNAG_04804R,CNAG_04804,79
CNAG_06203R,CNAG_06203,321
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,513
CNAG_03401R,CNAG_03401,329
CNAG_02435R,CNAG_02435,324
CNAG_05153R,CNAG_05153,12
CNAG_01708R,CNAG_01708,290
CNAG_03700R,CNAG_03700,427
CNAG_05215R,CNAG_05215,214
CNAG_01438R,CNAG_01438,269
CNAG_07464R,CNAG_07464,310
CNAG_01858R,CNAG_01858,389
CNAG_04586R,CNAG_04586,427
CNAG_05176R,CNAG_05176,357
CNAG_01014R,CNAG_01014,181
CNAG_01454R,CNAG_01454,380
CNAG_06327R,CNAG_06327,59
CNAG_03788R,CNAG_03788,336
CNAG_00871R,CNAG_00871,372
CNAG_00559R,CNAG_00559,9063
CNAG_07370R,CNAG_07370,402
CNAG_02589R,CNAG_02589,340
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,811
CNAG_01242R,CNAG_01242,105
CNAG_02788R,CNAG_02788,54
CNAG_07435R,CNAG_07435,53
CNAG_07924R,CNAG_07924,305
CNAG_01071R,CNAG_01071,307
CNAG_00883R,CNAG_00883,280
CNAG_03741R,CNAG_03741,245
CNAG_03745R,CNAG_03745,352
CNAG_00192R,CNAG_00192,402
CNAG_00670R,CNAG_00670,346
CNAG_06871R,CNAG_06871,411
CNAG_04457R,CNAG_04457,385
CNAG_04588R,CNAG_04588,107
CNAG_03894R,CNAG_03894,386
CNAG_04012R,CNAG_04012,392
CNAG_01487R,CNAG_01487,360
CNAG_05170R,CNAG_05170,310
CNAG_02364R,CNAG_02364,306
CNAG_04093R,CNAG_04093,402
CNAG_02322R,CNAG_02322,303
CNAG_05255R,CNAG_05255,366
CNAG_03018R,CNAG_03018,306
CNAG_07901R,CNAG_07901,255
CNAG_03086R,CNAG_03086,290
CNAG_06097R,CNAG_06097,292
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,308
CNAG_03177R,CNAG_03177,339
CNAG_03183R,CNAG_03183,169
CNAG_04774R,CNAG_04774,341
CNAG_04768R,CNAG_04768,353
CNAG_06276R,CNAG_06276,378
CNAG_05222R,CNAG_05222,108
CNAG_03409R,CNAG_03409,163
CNAG_05622R,CNAG_05622,333
CNAG_04637R,CNAG_04637,243
CNAG_07680R,CNAG_07680,81
CNAG_02215R,CNAG_02215,37
CNAG_02387R,CNAG_02387,396
CNAG_04086R,CNAG_04086,419
CNAG_05697R,CNAG_05697,501
CNAG_04507R,CNAG_04507,338
CNAG_04506R,CNAG_04506,322
CNAG_00068R,CNAG_00068,619
CNAG_00733R,CNAG_00733,271
CNAG_03910R,CNAG_03910,331
CNAG_04059R,CNAG_04059,282
CNAG_07491R,CNAG_07491,278
CNAG_05181R,CNAG_05181,332
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,406
CNAG_00445R,CNAG_00445,423
CNAG_01901R,CNAG_01901,561
CNAG_05313R,CNAG_05313,161
CNAG_05312R,CNAG_05312,346
CNAG_06200R,CNAG_06200,1
CNAG_02683R,CNAG_02683,1
CNAG_00442R,CNAG_00442,426
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,447
CNAG_07512R,CNAG_07512,1
CNAG_01230R,CNAG_01230,193
CNAG_00547R,CNAG_00547,290
CNAG_00598R,CNAG_00598,343
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,478
CNAG_00674R,CNAG_00674,3
CNAG_03013R,CNAG_03013,63
CNAG_07540R,CNAG_07540,557
CNAG_04980R,CNAG_04980,25
CNAG_00456R,CNAG_00456,341
CNAG_00455R,CNAG_00455,359
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,287
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,364
CNAG_01013R,CNAG_01013,71
CNAG_00531R,CNAG_00531,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,352
CNAG_00164R,CNAG_00164,364
CNAG_03677R,CNAG_03677,360
CNAG_05077R,CNAG_05077,377
CNAG_00546R,CNAG_00546,1
CNAG_00776R,CNAG_00776,83
CNAG_04024R,CNAG_04024,381
CNAG_04025R,CNAG_04025,381
CNAG_00393R,CNAG_00393,1
CNAG_01019R,CNAG_01019,46
CNAG_01803R,CNAG_01803,353
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,299
CNAG_07542R,CNAG_07542,389
CNAG_05915R,CNAG_05915,302
CNAG_00917R,CNAG_00917,1203
CNAG_00919R,CNAG_00919,371
CNAG_05458R,CNAG_05458,485
CNAG_05459R,CNAG_05459,460
CNAG_01985R,CNAG_01985,178
CNAG_00740R,CNAG_00740,95
CNAG_04163R,CNAG_04163,302
CNAG_04162R,CNAG_04162,133
CNAG_04755R,CNAG_04755,272
CNAG_01777R,CNAG_01777,279
CNAG_03173R,CNAG_03173,374
CNAG_03172R,CNAG_03172,370
CNAG_07388R,CNAG_07388,417
CNAG_07389R,CNAG_07389,388
CNAG_06060R,CNAG_06060,224
