Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,191
CNAG_05515L,CNAG_05515,561
CNAG_05641L,CNAG_05641,422
CNAG_05387L,CNAG_05387,496
CNAG_05590L,CNAG_05590,884
CNAG_07869L,CNAG_07869,546
CNAG_05340L,CNAG_05340,388
CNAG_05638L,CNAG_05638,394
CNAG_05639L,CNAG_05639,375
CNAG_06346L,CNAG_06346,499
CNAG_06347L,CNAG_06347,411
CNAG_06517L,CNAG_06517,505
CNAG_07939L,CNAG_07939,421
CNAG_06493L,CNAG_06493,328
CNAG_06201L,CNAG_06201,412
CNAG_06104L,CNAG_06104,348
CNAG_06081L,CNAG_06081,420
CNAG_07902L,CNAG_07902,420
CNAG_06241L,CNAG_06241,237
CNAG_06242L,CNAG_06242,184
CNAG_06186L,CNAG_06186,357
CNAG_07911L,CNAG_07911,462
CNAG_01551L,CNAG_01551,333
CNAG_01683L,CNAG_01683,396
CNAG_01983L,CNAG_01983,488
CNAG_01902L,CNAG_01902,4
CNAG_01680L,CNAG_01680,421
CNAG_01621L,CNAG_01621,323
CNAG_01988L,CNAG_01988,291
CNAG_01989L,CNAG_01989,520
CNAG_01939L,CNAG_01939,449
CNAG_01993L,CNAG_01993,406
CNAG_01992L,CNAG_01992,370
CNAG_01965L,CNAG_01965,351
CNAG_01562L,CNAG_01562,330
CNAG_01925L,CNAG_01925,471
CNAG_04756L,CNAG_04756,431
CNAG_04807L,CNAG_04807,532
CNAG_04837L,CNAG_04837,465
CNAG_04836L,CNAG_04836,396
CNAG_04737L,CNAG_04737,563
CNAG_04875L,CNAG_04875,325
CNAG_04874L,CNAG_04874,1142
CNAG_04868L,CNAG_04868,105
CNAG_04752L,CNAG_04752,321
CNAG_04753L,CNAG_04753,1871
CNAG_04909L,CNAG_04909,488
CNAG_04908L,CNAG_04908,478
CNAG_04659L,CNAG_04659,318
CNAG_04623L,CNAG_04623,390
CNAG_04518L,CNAG_04518,320
CNAG_04517L,CNAG_04517,485
CNAG_07770L,CNAG_07770,506
CNAG_04436L,CNAG_04436,348
CNAG_04271L,CNAG_04271,283
CNAG_04270L,CNAG_04270,329
CNAG_03346L,CNAG_03346,368
CNAG_03433L,CNAG_03433,444
CNAG_03333L,CNAG_03333,587
CNAG_07742L,CNAG_07742,1210
CNAG_03438L,CNAG_03438,297
CNAG_03223L,CNAG_03223,352
CNAG_03142L,CNAG_03142,349
CNAG_03143L,CNAG_03143,368
CNAG_03545L,CNAG_03545,536
CNAG_03161L,CNAG_03161,153
CNAG_03566L,CNAG_03566,424
CNAG_05835L,CNAG_05835,357
CNAG_05864L,CNAG_05864,301
CNAG_06567L,CNAG_06567,460
CNAG_05742L,CNAG_05742,84
CNAG_05743L,CNAG_05743,78
CNAG_05867L,CNAG_05867,293
CNAG_05685L,CNAG_05685,1100
CNAG_05684L,CNAG_05684,366
CNAG_05785L,CNAG_05785,359
CNAG_05843L,CNAG_05843,26
CNAG_06554L,CNAG_06554,420
CNAG_02189L,CNAG_02189,499
CNAG_02188L,CNAG_02188,424
CNAG_02182L,CNAG_02182,422
CNAG_07631L,CNAG_07631,428
CNAG_02371L,CNAG_02371,343
CNAG_07633L,CNAG_07633,421
CNAG_01069L,CNAG_01069,421
CNAG_00896L,CNAG_00896,1264
CNAG_06719L,CNAG_06719,117
CNAG_03669L,CNAG_03669,438
CNAG_00031L,CNAG_00031,397
CNAG_07332L,CNAG_07332,312
CNAG_00285L,CNAG_00285,431
CNAG_00828L,CNAG_00828,378
CNAG_00830L,CNAG_00830,412
CNAG_00841L,CNAG_00841,435
CNAG_02774L,CNAG_02774,387
CNAG_06531L,CNAG_06531,745
CNAG_03279L,CNAG_03279,448
CNAG_03336L,CNAG_03336,708
CNAG_06339L,CNAG_06339,515
CNAG_03768L,CNAG_03768,521
CNAG_04534L,CNAG_04534,506
CNAG_01973L,CNAG_01973,43
CNAG_07867L,CNAG_07867,419
CNAG_05333L,CNAG_05333,528
CNAG_06425L,CNAG_06425,346
CNAG_03849L,CNAG_03849,1054
CNAG_02603L,CNAG_02603,364
CNAG_02555L,CNAG_02555,488
CNAG_03431L,CNAG_03431,314
CNAG_05049L,CNAG_05049,280
CNAG_05380L,CNAG_05380,344
CNAG_03914L,CNAG_03914,500
CNAG_02476L,CNAG_02476,428
CNAG_07583L,CNAG_07583,473
CNAG_02466L,CNAG_02466,374
CNAG_05112L,CNAG_05112,457
CNAG_03366L,CNAG_03366,510
CNAG_03977L,CNAG_03977,226
CNAG_04090L,CNAG_04090,734
CNAG_00791L,CNAG_00791,304
CNAG_06751L,CNAG_06751,240
CNAG_05375L,CNAG_05375,7083
CNAG_02516L,CNAG_02516,391
CNAG_04804L,CNAG_04804,74
CNAG_00627L,CNAG_00627,534
CNAG_07725L,CNAG_07725,535
CNAG_06203L,CNAG_06203,395
CNAG_00193L,CNAG_00193,4
CNAG_00514L,CNAG_00514,2
CNAG_01883L,CNAG_01883,681
CNAG_03401L,CNAG_03401,397
CNAG_02435L,CNAG_02435,367
CNAG_05153L,CNAG_05153,7
CNAG_01708L,CNAG_01708,355
CNAG_03700L,CNAG_03700,547
CNAG_07320L,CNAG_07320,83
CNAG_05215L,CNAG_05215,352
CNAG_01438L,CNAG_01438,279
CNAG_07464L,CNAG_07464,386
