Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,35
CNAG_05387R,CNAG_05387,31
CNAG_05638R,CNAG_05638,41
CNAG_05639R,CNAG_05639,22
CNAG_06346R,CNAG_06346,21
CNAG_06347R,CNAG_06347,35
CNAG_06517R,CNAG_06517,40
CNAG_06201R,CNAG_06201,34
CNAG_06104R,CNAG_06104,28
CNAG_07902R,CNAG_07902,39
CNAG_06241R,CNAG_06241,15
CNAG_06242R,CNAG_06242,11
CNAG_07911R,CNAG_07911,30
CNAG_01683R,CNAG_01683,28
CNAG_01902R,CNAG_01902,6
CNAG_01680R,CNAG_01680,45
CNAG_01989R,CNAG_01989,29
CNAG_01965R,CNAG_01965,34
CNAG_01925R,CNAG_01925,37
CNAG_04837R,CNAG_04837,47
CNAG_04836R,CNAG_04836,50
CNAG_04875R,CNAG_04875,48
CNAG_04868R,CNAG_04868,6
CNAG_04518R,CNAG_04518,77
CNAG_04517R,CNAG_04517,45
CNAG_07770R,CNAG_07770,30
CNAG_03333R,CNAG_03333,73
CNAG_07742R,CNAG_07742,72
CNAG_03142R,CNAG_03142,16
CNAG_03566R,CNAG_03566,26
CNAG_05867R,CNAG_05867,13
CNAG_05684R,CNAG_05684,37
CNAG_02189R,CNAG_02189,47
CNAG_02371R,CNAG_02371,83
CNAG_06719R,CNAG_06719,21
CNAG_03669R,CNAG_03669,28
CNAG_07332R,CNAG_07332,29
CNAG_00285R,CNAG_00285,27
CNAG_00830R,CNAG_00830,192
CNAG_00841R,CNAG_00841,25
CNAG_06531R,CNAG_06531,88
CNAG_03279R,CNAG_03279,38
CNAG_03336R,CNAG_03336,31
CNAG_06339R,CNAG_06339,60
CNAG_03768R,CNAG_03768,38
CNAG_04534R,CNAG_04534,33
CNAG_01973R,CNAG_01973,23
CNAG_07867R,CNAG_07867,41
CNAG_05333R,CNAG_05333,105
CNAG_06425R,CNAG_06425,35
CNAG_03849R,CNAG_03849,36
CNAG_02603R,CNAG_02603,45
CNAG_02555R,CNAG_02555,80
CNAG_02525R,CNAG_02525,19
CNAG_03431R,CNAG_03431,5
CNAG_05049R,CNAG_05049,42
CNAG_03914R,CNAG_03914,13
CNAG_02476R,CNAG_02476,49
CNAG_07583R,CNAG_07583,30
CNAG_05112R,CNAG_05112,40
CNAG_03366R,CNAG_03366,34
CNAG_04090R,CNAG_04090,56
CNAG_00791R,CNAG_00791,15
CNAG_05375R,CNAG_05375,502
CNAG_02516R,CNAG_02516,36
CNAG_04804R,CNAG_04804,272
CNAG_06203R,CNAG_06203,48
CNAG_00193R,CNAG_00193,8
CNAG_01883R,CNAG_01883,21
CNAG_03401R,CNAG_03401,40
CNAG_02435R,CNAG_02435,41
CNAG_05153R,CNAG_05153,4
CNAG_01708R,CNAG_01708,29
CNAG_03700R,CNAG_03700,40
CNAG_05215R,CNAG_05215,40
CNAG_01438R,CNAG_01438,13
CNAG_07464R,CNAG_07464,11
CNAG_01858R,CNAG_01858,52
CNAG_04586R,CNAG_04586,80
CNAG_05176R,CNAG_05176,22
CNAG_01014R,CNAG_01014,20
CNAG_01454R,CNAG_01454,41
CNAG_06327R,CNAG_06327,25
CNAG_03788R,CNAG_03788,26
CNAG_00871R,CNAG_00871,45
CNAG_00559R,CNAG_00559,1403
CNAG_07370R,CNAG_07370,49
CNAG_02589R,CNAG_02589,61
CNAG_01645R,CNAG_01645,82
CNAG_01242R,CNAG_01242,17
CNAG_02788R,CNAG_02788,5
CNAG_07435R,CNAG_07435,7
CNAG_07924R,CNAG_07924,79
CNAG_01071R,CNAG_01071,28
CNAG_00883R,CNAG_00883,35
CNAG_03741R,CNAG_03741,28
CNAG_03745R,CNAG_03745,54
CNAG_00192R,CNAG_00192,79
CNAG_00670R,CNAG_00670,40
CNAG_06871R,CNAG_06871,35
CNAG_04457R,CNAG_04457,42
CNAG_04588R,CNAG_04588,28
CNAG_03894R,CNAG_03894,50
CNAG_04012R,CNAG_04012,42
CNAG_01487R,CNAG_01487,44
CNAG_05170R,CNAG_05170,212
CNAG_02364R,CNAG_02364,60
CNAG_04093R,CNAG_04093,54
CNAG_02322R,CNAG_02322,22
CNAG_05255R,CNAG_05255,61
CNAG_03018R,CNAG_03018,26
CNAG_07901R,CNAG_07901,38
CNAG_03086R,CNAG_03086,43
CNAG_06097R,CNAG_06097,68
CNAG_06136R,CNAG_06136,34
CNAG_03177R,CNAG_03177,49
CNAG_03183R,CNAG_03183,45
CNAG_04774R,CNAG_04774,127
CNAG_04768R,CNAG_04768,67
CNAG_06276R,CNAG_06276,54
