Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,268
CNAG_05387R,CNAG_05387,454
CNAG_05638R,CNAG_05638,291
CNAG_05639R,CNAG_05639,282
CNAG_06346R,CNAG_06346,424
CNAG_06347R,CNAG_06347,447
CNAG_06517R,CNAG_06517,381
CNAG_06201R,CNAG_06201,256
CNAG_06104R,CNAG_06104,286
CNAG_07902R,CNAG_07902,372
CNAG_06241R,CNAG_06241,165
CNAG_06242R,CNAG_06242,228
CNAG_07911R,CNAG_07911,334
CNAG_01683R,CNAG_01683,414
CNAG_01902R,CNAG_01902,1
CNAG_01680R,CNAG_01680,282
CNAG_01989R,CNAG_01989,220
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,393
CNAG_01925R,CNAG_01925,333
CNAG_04837R,CNAG_04837,383
CNAG_04836R,CNAG_04836,395
CNAG_04875R,CNAG_04875,69
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,69
CNAG_04659R,CNAG_04659,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,282
CNAG_04517R,CNAG_04517,363
CNAG_07770R,CNAG_07770,259
CNAG_03333R,CNAG_03333,563
CNAG_07742R,CNAG_07742,639
CNAG_03142R,CNAG_03142,303
CNAG_03566R,CNAG_03566,305
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,250
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,39
CNAG_05785R,CNAG_05785,2
CNAG_02189R,CNAG_02189,250
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,498
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,252
CNAG_03669R,CNAG_03669,170
CNAG_07332R,CNAG_07332,265
CNAG_00285R,CNAG_00285,307
CNAG_00830R,CNAG_00830,343
CNAG_00841R,CNAG_00841,460
CNAG_06531R,CNAG_06531,669
CNAG_03279R,CNAG_03279,339
CNAG_03336R,CNAG_03336,581
CNAG_06339R,CNAG_06339,469
CNAG_03768R,CNAG_03768,417
CNAG_04534R,CNAG_04534,330
CNAG_01973R,CNAG_01973,198
CNAG_07867R,CNAG_07867,367
CNAG_05333R,CNAG_05333,351
CNAG_06425R,CNAG_06425,270
CNAG_03849R,CNAG_03849,396
CNAG_02603R,CNAG_02603,301
CNAG_02555R,CNAG_02555,462
CNAG_02525R,CNAG_02525,26
CNAG_03431R,CNAG_03431,11
CNAG_05049R,CNAG_05049,183
CNAG_03914R,CNAG_03914,272
CNAG_02476R,CNAG_02476,356
CNAG_07583R,CNAG_07583,386
CNAG_05112R,CNAG_05112,298
CNAG_03366R,CNAG_03366,448
CNAG_04090R,CNAG_04090,551
CNAG_00791R,CNAG_00791,226
CNAG_05375R,CNAG_05375,7319
CNAG_02516R,CNAG_02516,320
CNAG_06203R,CNAG_06203,308
CNAG_00193R,CNAG_00193,5
CNAG_01883R,CNAG_01883,22
CNAG_03401R,CNAG_03401,400
CNAG_02435R,CNAG_02435,304
CNAG_05153R,CNAG_05153,12
CNAG_01708R,CNAG_01708,294
CNAG_03700R,CNAG_03700,508
CNAG_05215R,CNAG_05215,230
CNAG_01438R,CNAG_01438,42
CNAG_07464R,CNAG_07464,9
CNAG_01858R,CNAG_01858,508
CNAG_04586R,CNAG_04586,552
CNAG_05176R,CNAG_05176,207
CNAG_01014R,CNAG_01014,53
CNAG_00998R,CNAG_00998,1
CNAG_01454R,CNAG_01454,407
CNAG_06327R,CNAG_06327,140
CNAG_03788R,CNAG_03788,337
CNAG_00871R,CNAG_00871,427
CNAG_00559R,CNAG_00559,17948
CNAG_07370R,CNAG_07370,390
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,371
CNAG_01645R,CNAG_01645,822
CNAG_01242R,CNAG_01242,188
CNAG_02788R,CNAG_02788,86
CNAG_07435R,CNAG_07435,25
CNAG_03998R,CNAG_03998,1
CNAG_07924R,CNAG_07924,474
CNAG_01071R,CNAG_01071,299
CNAG_00883R,CNAG_00883,76
CNAG_03741R,CNAG_03741,430
