Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,150
CNAG_05515L,CNAG_05515,271
CNAG_05641L,CNAG_05641,264
CNAG_05387L,CNAG_05387,439
CNAG_05590L,CNAG_05590,764
CNAG_07869L,CNAG_07869,396
CNAG_05340L,CNAG_05340,47
CNAG_05638L,CNAG_05638,297
CNAG_05639L,CNAG_05639,194
CNAG_06346L,CNAG_06346,355
CNAG_06347L,CNAG_06347,370
CNAG_06517L,CNAG_06517,373
CNAG_07939L,CNAG_07939,342
CNAG_06493L,CNAG_06493,231
CNAG_06201L,CNAG_06201,299
CNAG_06104L,CNAG_06104,252
CNAG_06081L,CNAG_06081,301
CNAG_07902L,CNAG_07902,351
CNAG_06241L,CNAG_06241,128
CNAG_06242L,CNAG_06242,176
CNAG_06186L,CNAG_06186,313
CNAG_07911L,CNAG_07911,362
CNAG_01551L,CNAG_01551,276
CNAG_01683L,CNAG_01683,298
CNAG_01983L,CNAG_01983,323
CNAG_01680L,CNAG_01680,315
CNAG_01621L,CNAG_01621,299
CNAG_01988L,CNAG_01988,253
CNAG_01989L,CNAG_01989,279
CNAG_01939L,CNAG_01939,296
CNAG_01993L,CNAG_01993,216
CNAG_01992L,CNAG_01992,230
CNAG_01965L,CNAG_01965,317
CNAG_01562L,CNAG_01562,229
CNAG_01925L,CNAG_01925,339
CNAG_04756L,CNAG_04756,404
CNAG_04807L,CNAG_04807,321
CNAG_04837L,CNAG_04837,309
CNAG_04836L,CNAG_04836,259
CNAG_04737L,CNAG_04737,391
CNAG_04875L,CNAG_04875,57
CNAG_04874L,CNAG_04874,843
CNAG_04868L,CNAG_04868,58
CNAG_04752L,CNAG_04752,62
CNAG_04753L,CNAG_04753,319
CNAG_04909L,CNAG_04909,284
CNAG_04908L,CNAG_04908,349
CNAG_04659L,CNAG_04659,173
CNAG_04623L,CNAG_04623,247
CNAG_04518L,CNAG_04518,233
CNAG_04517L,CNAG_04517,334
CNAG_07770L,CNAG_07770,239
CNAG_04436L,CNAG_04436,101
CNAG_04271L,CNAG_04271,177
CNAG_04270L,CNAG_04270,366
CNAG_03346L,CNAG_03346,295
CNAG_03433L,CNAG_03433,303
CNAG_03333L,CNAG_03333,480
CNAG_07742L,CNAG_07742,826
CNAG_03438L,CNAG_03438,119
CNAG_03223L,CNAG_03223,96
CNAG_03142L,CNAG_03142,248
CNAG_03143L,CNAG_03143,293
CNAG_03545L,CNAG_03545,398
CNAG_03161L,CNAG_03161,30
CNAG_03566L,CNAG_03566,268
CNAG_05835L,CNAG_05835,206
CNAG_05864L,CNAG_05864,333
CNAG_06567L,CNAG_06567,326
CNAG_05742L,CNAG_05742,5
CNAG_05743L,CNAG_05743,108
CNAG_05867L,CNAG_05867,213
CNAG_05685L,CNAG_05685,956
CNAG_05684L,CNAG_05684,59
CNAG_05785L,CNAG_05785,266
CNAG_05843L,CNAG_05843,1
CNAG_06554L,CNAG_06554,301
CNAG_02189L,CNAG_02189,184
CNAG_02188L,CNAG_02188,307
CNAG_02182L,CNAG_02182,243
CNAG_07631L,CNAG_07631,436
CNAG_02371L,CNAG_02371,391
CNAG_07633L,CNAG_07633,19
CNAG_01069L,CNAG_01069,277
CNAG_00896L,CNAG_00896,794
CNAG_06719L,CNAG_06719,102
CNAG_03669L,CNAG_03669,171
CNAG_00031L,CNAG_00031,258
CNAG_07332L,CNAG_07332,235
CNAG_00285L,CNAG_00285,248
