Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,1236
CNAG_05387R,CNAG_05387,757
CNAG_05638R,CNAG_05638,773
CNAG_05639R,CNAG_05639,613
CNAG_06346R,CNAG_06346,843
CNAG_06347R,CNAG_06347,761
CNAG_06517R,CNAG_06517,1120
CNAG_06201R,CNAG_06201,729
CNAG_06104R,CNAG_06104,627
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,844
CNAG_06241R,CNAG_06241,619
CNAG_06242R,CNAG_06242,538
CNAG_07911R,CNAG_07911,689
CNAG_01683R,CNAG_01683,754
CNAG_01902R,CNAG_01902,15
CNAG_01680R,CNAG_01680,758
CNAG_01989R,CNAG_01989,617
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,506
CNAG_01925R,CNAG_01925,623
CNAG_04837R,CNAG_04837,819
CNAG_04836R,CNAG_04836,688
CNAG_04875R,CNAG_04875,458
CNAG_04874R,CNAG_04874,3
CNAG_04868R,CNAG_04868,159
CNAG_04753R,CNAG_04753,7
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,764
CNAG_04517R,CNAG_04517,882
CNAG_07770R,CNAG_07770,897
CNAG_04270R,CNAG_04270,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,1087
CNAG_07742R,CNAG_07742,1508
CNAG_03223R,CNAG_03223,3
CNAG_03142R,CNAG_03142,556
CNAG_03143R,CNAG_03143,1
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,713
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,3
CNAG_05867R,CNAG_05867,571
CNAG_05685R,CNAG_05685,3
CNAG_05684R,CNAG_05684,661
CNAG_02189R,CNAG_02189,844
CNAG_02188R,CNAG_02188,2
CNAG_02371R,CNAG_02371,728
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,11
CNAG_06719R,CNAG_06719,575
CNAG_03669R,CNAG_03669,827
CNAG_07332R,CNAG_07332,605
CNAG_00285R,CNAG_00285,845
CNAG_00830R,CNAG_00830,808
CNAG_00841R,CNAG_00841,775
CNAG_06531R,CNAG_06531,1416
CNAG_03279R,CNAG_03279,839
CNAG_03336R,CNAG_03336,1006
CNAG_06339R,CNAG_06339,905
CNAG_03768R,CNAG_03768,1027
CNAG_04534R,CNAG_04534,818
CNAG_01973R,CNAG_01973,717
CNAG_07867R,CNAG_07867,668
CNAG_05333R,CNAG_05333,848
CNAG_06425R,CNAG_06425,552
CNAG_03849R,CNAG_03849,792
CNAG_02603R,CNAG_02603,654
CNAG_02555R,CNAG_02555,1059
CNAG_02525R,CNAG_02525,112
CNAG_03431R,CNAG_03431,568
CNAG_05049R,CNAG_05049,538
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,861
CNAG_02476R,CNAG_02476,562
CNAG_07583R,CNAG_07583,768
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,536
CNAG_03366R,CNAG_03366,931
CNAG_04090R,CNAG_04090,1512
CNAG_00791R,CNAG_00791,633
CNAG_05375R,CNAG_05375,10654
CNAG_02516R,CNAG_02516,644
CNAG_04804R,CNAG_04804,636
CNAG_00627R,CNAG_00627,3
CNAG_07725R,CNAG_07725,2
CNAG_06203R,CNAG_06203,818
CNAG_01883R,CNAG_01883,1488
CNAG_03401R,CNAG_03401,721
CNAG_02435R,CNAG_02435,580
CNAG_05153R,CNAG_05153,8
CNAG_01708R,CNAG_01708,779
CNAG_03700R,CNAG_03700,928
CNAG_07320R,CNAG_07320,1
CNAG_05215R,CNAG_05215,554
CNAG_01438R,CNAG_01438,627
CNAG_07464R,CNAG_07464,780
CNAG_01858R,CNAG_01858,1009
CNAG_04586R,CNAG_04586,944
CNAG_05176R,CNAG_05176,941
CNAG_01014R,CNAG_01014,413
CNAG_01454R,CNAG_01454,659
CNAG_06327R,CNAG_06327,189
CNAG_03788R,CNAG_03788,730
CNAG_00871R,CNAG_00871,919
CNAG_00559R,CNAG_00559,16198
CNAG_07370R,CNAG_07370,922
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,884
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,1931
CNAG_06134R,CNAG_06134,2
CNAG_01242R,CNAG_01242,585
CNAG_02788R,CNAG_02788,41
CNAG_07435R,CNAG_07435,12
CNAG_03998R,CNAG_03998,2
CNAG_07924R,CNAG_07924,752
CNAG_01071R,CNAG_01071,657
CNAG_00883R,CNAG_00883,676
CNAG_03741R,CNAG_03741,546
CNAG_03745R,CNAG_03745,839
CNAG_00018R,CNAG_00018,2
CNAG_00192R,CNAG_00192,877
CNAG_00670R,CNAG_00670,862
CNAG_06871R,CNAG_06871,867
CNAG_04457R,CNAG_04457,811
CNAG_04588R,CNAG_04588,112
CNAG_03894R,CNAG_03894,1105
CNAG_04012R,CNAG_04012,934
CNAG_01487R,CNAG_01487,959
CNAG_05170R,CNAG_05170,759
CNAG_02364R,CNAG_02364,773
CNAG_04093R,CNAG_04093,887
CNAG_02322R,CNAG_02322,717
CNAG_04184R,CNAG_04184,5
CNAG_05255R,CNAG_05255,760
CNAG_03018R,CNAG_03018,650
CNAG_07901R,CNAG_07901,618
CNAG_03086R,CNAG_03086,857
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,693
CNAG_03132R,CNAG_03132,2
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,632
CNAG_03177R,CNAG_03177,853
CNAG_03183R,CNAG_03183,264
CNAG_04359R,CNAG_04359,2
CNAG_04774R,CNAG_04774,842
CNAG_04768R,CNAG_04768,853
CNAG_02066R,CNAG_02066,2
CNAG_06276R,CNAG_06276,721
CNAG_05222R,CNAG_05222,37
CNAG_03409R,CNAG_03409,378
CNAG_05622R,CNAG_05622,812
CNAG_04637R,CNAG_04637,501
CNAG_07680R,CNAG_07680,49
CNAG_02215R,CNAG_02215,33
CNAG_00564R,CNAG_00564,1
CNAG_02387R,CNAG_02387,1140
CNAG_04086R,CNAG_04086,1047
CNAG_05697R,CNAG_05697,961
CNAG_05372R,CNAG_05372,2
CNAG_04507R,CNAG_04507,668
CNAG_04506R,CNAG_04506,821
CNAG_00068R,CNAG_00068,1269
CNAG_00733R,CNAG_00733,765
CNAG_03910R,CNAG_03910,800
CNAG_04059R,CNAG_04059,745
CNAG_07491R,CNAG_07491,1067
CNAG_05181R,CNAG_05181,652
CNAG_03772R,CNAG_03772,872
CNAG_00445R,CNAG_00445,984
CNAG_01901R,CNAG_01901,1150
CNAG_05313R,CNAG_05313,298
CNAG_05312R,CNAG_05312,806
CNAG_03011R,CNAG_03011,1
CNAG_00337R,CNAG_00337,1
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,967
CNAG_00183R,CNAG_00183,2
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,1178
CNAG_07512R,CNAG_07512,2
CNAG_01230R,CNAG_01230,363
CNAG_05264R,CNAG_05264,1
CNAG_01040R,CNAG_01040,2
CNAG_00547R,CNAG_00547,614
CNAG_00598R,CNAG_00598,879
CNAG_05229R,CNAG_05229,1
CNAG_01138R,CNAG_01138,2
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,1007
CNAG_00674R,CNAG_00674,2
CNAG_03013R,CNAG_03013,378
CNAG_07540R,CNAG_07540,1037
CNAG_04981R,CNAG_04981,1
CNAG_04980R,CNAG_04980,80
CNAG_00456R,CNAG_00456,747
CNAG_00455R,CNAG_00455,953
CNAG_00107R,CNAG_00107,644
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,859
CNAG_03848R,CNAG_03848,2
CNAG_01013R,CNAG_01013,229
CNAG_02777R,CNAG_02777,1
CNAG_00531R,CNAG_00531,3
CNAG_05159R,CNAG_05159,2
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,762
CNAG_00164R,CNAG_00164,827
CNAG_01082R,CNAG_01082,1
CNAG_03727R,CNAG_03727,2
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,926
CNAG_05077R,CNAG_05077,912
CNAG_02554R,CNAG_02554,3
CNAG_00546R,CNAG_00546,3
CNAG_00897R,CNAG_00897,2
CNAG_05148R,CNAG_05148,4
CNAG_00776R,CNAG_00776,110
CNAG_04024R,CNAG_04024,847
CNAG_04025R,CNAG_04025,888
CNAG_02348R,CNAG_02348,1
CNAG_02347R,CNAG_02347,1
CNAG_01019R,CNAG_01019,73
CNAG_01803R,CNAG_01803,903
CNAG_00374R,CNAG_00374,2
CNAG_00654R,CNAG_00654,1
CNAG_07541R,CNAG_07541,691
CNAG_07542R,CNAG_07542,876
CNAG_05915R,CNAG_05915,787
CNAG_05916R,CNAG_05916,1
CNAG_00917R,CNAG_00917,2696
CNAG_00919R,CNAG_00919,834
CNAG_05458R,CNAG_05458,1095
CNAG_05459R,CNAG_05459,1032
CNAG_01985R,CNAG_01985,329
CNAG_00740R,CNAG_00740,134
CNAG_04163R,CNAG_04163,636
CNAG_04162R,CNAG_04162,333
CNAG_04755R,CNAG_04755,379
CNAG_01777R,CNAG_01777,609
CNAG_01778R,CNAG_01778,1
CNAG_03173R,CNAG_03173,769
CNAG_03172R,CNAG_03172,787
CNAG_07388R,CNAG_07388,724
CNAG_07389R,CNAG_07389,947
CNAG_03644R,CNAG_03644,2
CNAG_06060R,CNAG_06060,511
CNAG_00581R,CNAG_00581,528
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,896
CNAG_04950R,CNAG_04950,704
CNAG_04949R,CNAG_04949,821
CNAG_01865R,CNAG_01865,737
CNAG_05870R,CNAG_05870,1
CNAG_00717R,CNAG_00717,389
CNAG_06926R,CNAG_06926,1
CNAG_06896R,CNAG_06896,730
CNAG_05812R,CNAG_05812,707
CNAG_00079R,CNAG_00079,1
CNAG_06658R,CNAG_06658,584
CNAG_05994R,CNAG_05994,708
CNAG_01318R,CNAG_01318,1
CNAG_05430R,CNAG_05430,1
CNAG_02517R,CNAG_02517,737
CNAG_03329R,CNAG_03329,588
CNAG_04471R,CNAG_04471,879
CNAG_04472R,CNAG_04472,1
CNAG_00699R,CNAG_00699,751
CNAG_02129R,CNAG_02129,1032
CNAG_05352R,CNAG_05352,452
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,2
CNAG_01523R,CNAG_01523,2
CNAG_03946R,CNAG_03946,3
CNAG_07486R,CNAG_07486,737
CNAG_07313R,CNAG_07313,1
CNAG_00710R,CNAG_00710,541
CNAG_00709R,CNAG_00709,889
CNAG_03689R,CNAG_03689,476
CNAG_01704R,CNAG_01704,736
CNAG_04618R,CNAG_04618,4
CNAG_07827R,CNAG_07827,676
CNAG_07516R,CNAG_07516,602
CNAG_02849R,CNAG_02849,2
CNAG_00156R,CNAG_00156,2
CNAG_00157R,CNAG_00157,554
CNAG_04891R,CNAG_04891,2
CNAG_02090R,CNAG_02090,1
CNAG_01776R,CNAG_01776,846
CNAG_07605R,CNAG_07605,623
CNAG_01846R,CNAG_01846,608
CNAG_03572R,CNAG_03572,1
CNAG_00799R,CNAG_00799,404
CNAG_04657R,CNAG_04657,665
CNAG_04385R,CNAG_04385,718
CNAG_04386R,CNAG_04386,791
CNAG_07847R,CNAG_07847,707
CNAG_02226R,CNAG_02226,753
CNAG_02225R,CNAG_02225,768
CNAG_04860R,CNAG_04860,762
CNAG_01105R,CNAG_01105,973
CNAG_03524R,CNAG_03524,612
CNAG_03733R,CNAG_03733,895
CNAG_03732R,CNAG_03732,1004
CNAG_03247R,CNAG_03247,787
CNAG_03193R,CNAG_03193,624
CNAG_03194R,CNAG_03194,776
CNAG_06574R,CNAG_06574,637
CNAG_04663R,CNAG_04663,609
CNAG_02944R,CNAG_02944,656
CNAG_05872R,CNAG_05872,254
CNAG_02775R,CNAG_02775,44
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,918
CNAG_03754R,CNAG_03754,1
CNAG_00475R,CNAG_00475,14962
CNAG_00476R,CNAG_00476,1
CNAG_04524R,CNAG_04524,6
CNAG_06501R,CNAG_06501,695
CNAG_06502R,CNAG_06502,808
CNAG_00587R,CNAG_00587,996
CNAG_04691R,CNAG_04691,820
CNAG_05522R,CNAG_05522,989
CNAG_04633R,CNAG_04633,1
CNAG_01930R,CNAG_01930,903
CNAG_04982R,CNAG_04982,2
CNAG_03002R,CNAG_03002,922
CNAG_01448R,CNAG_01448,40
CNAG_07685R,CNAG_07685,597
CNAG_03902R,CNAG_03902,91
CNAG_02010R,CNAG_02010,9424
CNAG_05156R,CNAG_05156,1
CNAG_01643R,CNAG_01643,4
CNAG_01642R,CNAG_01642,1004
CNAG_04705R,CNAG_04705,1040
CNAG_01420R,CNAG_01420,769
CNAG_07519R,CNAG_07519,1847
CNAG_00078R,CNAG_00078,1
CNAG_06240R,CNAG_06240,1540
CNAG_00777R,CNAG_00777,1141
CNAG_01118R,CNAG_01118,899
CNAG_03867R,CNAG_03867,2
CNAG_03866R,CNAG_03866,779
CNAG_06595R,CNAG_06595,725
CNAG_00519R,CNAG_00519,1
