Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,217
CNAG_05515L,CNAG_05515,1082
CNAG_05641L,CNAG_05641,768
CNAG_05387L,CNAG_05387,539
CNAG_05590L,CNAG_05590,1600
CNAG_07869L,CNAG_07869,1009
CNAG_05340L,CNAG_05340,588
CNAG_05638L,CNAG_05638,838
CNAG_05639L,CNAG_05639,722
CNAG_06346L,CNAG_06346,782
CNAG_06347L,CNAG_06347,803
CNAG_06517L,CNAG_06517,1125
CNAG_07939L,CNAG_07939,711
CNAG_06493L,CNAG_06493,611
CNAG_06201L,CNAG_06201,811
CNAG_06104L,CNAG_06104,569
CNAG_06081L,CNAG_06081,848
CNAG_07902L,CNAG_07902,759
CNAG_06241L,CNAG_06241,519
CNAG_06242L,CNAG_06242,527
CNAG_06186L,CNAG_06186,747
CNAG_07911L,CNAG_07911,936
CNAG_01551L,CNAG_01551,406
CNAG_01683L,CNAG_01683,781
CNAG_01983L,CNAG_01983,1019
CNAG_01902L,CNAG_01902,9
CNAG_01680L,CNAG_01680,839
CNAG_01621L,CNAG_01621,675
CNAG_01988L,CNAG_01988,602
CNAG_01989L,CNAG_01989,939
CNAG_01939L,CNAG_01939,878
CNAG_01993L,CNAG_01993,772
CNAG_01992L,CNAG_01992,755
CNAG_01965L,CNAG_01965,679
CNAG_01562L,CNAG_01562,607
CNAG_01925L,CNAG_01925,798
CNAG_04756L,CNAG_04756,761
CNAG_04807L,CNAG_04807,770
CNAG_04837L,CNAG_04837,692
CNAG_04836L,CNAG_04836,617
CNAG_04737L,CNAG_04737,1050
CNAG_04875L,CNAG_04875,575
CNAG_04874L,CNAG_04874,1840
CNAG_04868L,CNAG_04868,197
CNAG_04752L,CNAG_04752,617
CNAG_04753L,CNAG_04753,4846
CNAG_04909L,CNAG_04909,1014
CNAG_04908L,CNAG_04908,851
CNAG_04659L,CNAG_04659,491
CNAG_04623L,CNAG_04623,840
CNAG_04518L,CNAG_04518,577
CNAG_04517L,CNAG_04517,934
CNAG_07770L,CNAG_07770,778
CNAG_04436L,CNAG_04436,483
CNAG_04271L,CNAG_04271,553
CNAG_04270L,CNAG_04270,756
CNAG_03346L,CNAG_03346,897
CNAG_03433L,CNAG_03433,874
CNAG_03333L,CNAG_03333,1065
CNAG_07742L,CNAG_07742,2166
CNAG_03438L,CNAG_03438,253
CNAG_03223L,CNAG_03223,928
CNAG_03142L,CNAG_03142,560
CNAG_03143L,CNAG_03143,586
CNAG_03545L,CNAG_03545,847
CNAG_03161L,CNAG_03161,125
CNAG_03566L,CNAG_03566,614
CNAG_05835L,CNAG_05835,654
CNAG_05864L,CNAG_05864,728
CNAG_06567L,CNAG_06567,933
CNAG_05742L,CNAG_05742,484
CNAG_05743L,CNAG_05743,194
CNAG_05867L,CNAG_05867,523
CNAG_05685L,CNAG_05685,2059
CNAG_05684L,CNAG_05684,790
CNAG_05785L,CNAG_05785,655
CNAG_05843L,CNAG_05843,31
CNAG_06554L,CNAG_06554,736
CNAG_02189L,CNAG_02189,785
CNAG_02188L,CNAG_02188,904
CNAG_02182L,CNAG_02182,712
CNAG_07631L,CNAG_07631,779
CNAG_02371L,CNAG_02371,705
CNAG_07633L,CNAG_07633,676
CNAG_01069L,CNAG_01069,867
CNAG_00896L,CNAG_00896,2635
CNAG_06719L,CNAG_06719,135
CNAG_03669L,CNAG_03669,869
CNAG_00031L,CNAG_00031,746
CNAG_07332L,CNAG_07332,653
CNAG_00285L,CNAG_00285,782
CNAG_00828L,CNAG_00828,704
CNAG_00830L,CNAG_00830,840
CNAG_00841L,CNAG_00841,857
CNAG_02774L,CNAG_02774,701
CNAG_06531L,CNAG_06531,1476
CNAG_03279L,CNAG_03279,848
CNAG_03336L,CNAG_03336,990
CNAG_06339L,CNAG_06339,930
CNAG_03768L,CNAG_03768,1015
CNAG_04534L,CNAG_04534,879
CNAG_01973L,CNAG_01973,13
CNAG_07867L,CNAG_07867,718
CNAG_05333L,CNAG_05333,897
CNAG_06425L,CNAG_06425,537
CNAG_03849L,CNAG_03849,1993
CNAG_02603L,CNAG_02603,744
CNAG_02555L,CNAG_02555,1048
CNAG_03431L,CNAG_03431,740
CNAG_05049L,CNAG_05049,525
CNAG_05380L,CNAG_05380,748
CNAG_03914L,CNAG_03914,871
CNAG_02476L,CNAG_02476,735
CNAG_07583L,CNAG_07583,929
CNAG_02466L,CNAG_02466,749
CNAG_05112L,CNAG_05112,741
CNAG_03366L,CNAG_03366,1090
CNAG_03977L,CNAG_03977,358
CNAG_04090L,CNAG_04090,1620
CNAG_00791L,CNAG_00791,555
CNAG_06751L,CNAG_06751,491
CNAG_05375L,CNAG_05375,10440
CNAG_02516L,CNAG_02516,766
CNAG_04804L,CNAG_04804,587
CNAG_00627L,CNAG_00627,904
CNAG_07725L,CNAG_07725,911
CNAG_06203L,CNAG_06203,721
CNAG_00193L,CNAG_00193,6
CNAG_00514L,CNAG_00514,9
CNAG_01883L,CNAG_01883,1504
CNAG_03401L,CNAG_03401,784
CNAG_02435L,CNAG_02435,667
CNAG_05153L,CNAG_05153,11
CNAG_01708L,CNAG_01708,751
CNAG_03700L,CNAG_03700,829
CNAG_07320L,CNAG_07320,199
CNAG_05215L,CNAG_05215,490
CNAG_01438L,CNAG_01438,537
CNAG_07464L,CNAG_07464,703
CNAG_01858L,CNAG_01858,1059
CNAG_04586L,CNAG_04586,1130
CNAG_05093L,CNAG_05093,822
CNAG_05176L,CNAG_05176,823
CNAG_01014L,CNAG_01014,500
CNAG_00998L,CNAG_00998,646
CNAG_00039L,CNAG_00039,1234
CNAG_07329L,CNAG_07329,69
CNAG_01454L,CNAG_01454,728
CNAG_02700L,CNAG_02700,51
CNAG_06327L,CNAG_06327,133
CNAG_03788L,CNAG_03788,585
CNAG_00871L,CNAG_00871,1000
CNAG_00559L,CNAG_00559,17401
CNAG_07370L,CNAG_07370,1044
CNAG_00732L,CNAG_00732,783
CNAG_04630L,CNAG_04630,786
CNAG_07940L,CNAG_07940,954
CNAG_02589L,CNAG_02589,883
CNAG_05067L,CNAG_05067,804
CNAG_01645L,CNAG_01645,2132
CNAG_06134L,CNAG_06134,262
CNAG_01242L,CNAG_01242,813
CNAG_02788L,CNAG_02788,53
CNAG_07435L,CNAG_07435,14
CNAG_03998L,CNAG_03998,735
CNAG_07924L,CNAG_07924,925
CNAG_01071L,CNAG_01071,731
CNAG_00883L,CNAG_00883,792
CNAG_03741L,CNAG_03741,576
CNAG_03745L,CNAG_03745,1030
CNAG_00192L,CNAG_00192,748
CNAG_00670L,CNAG_00670,840
CNAG_06871L,CNAG_06871,1027
CNAG_04457L,CNAG_04457,841
CNAG_02723L,CNAG_02723,775
CNAG_04588L,CNAG_04588,121
CNAG_01977L,CNAG_01977,662
CNAG_03894L,CNAG_03894,969
CNAG_04012L,CNAG_04012,855
CNAG_03561L,CNAG_03561,580
CNAG_05170L,CNAG_05170,625
CNAG_04041L,CNAG_04041,155
CNAG_02364L,CNAG_02364,733
CNAG_04093L,CNAG_04093,877
CNAG_02322L,CNAG_02322,815
CNAG_04184L,CNAG_04184,767
CNAG_05255L,CNAG_05255,855
CNAG_05642L,CNAG_05642,356
CNAG_03059L,CNAG_03059,685
CNAG_03018L,CNAG_03018,728
CNAG_07901L,CNAG_07901,548
CNAG_03086L,CNAG_03086,981
CNAG_04916L,CNAG_04916,568
CNAG_06097L,CNAG_06097,682
CNAG_03115L,CNAG_03115,865
CNAG_03132L,CNAG_03132,854
CNAG_04841L,CNAG_04841,820
CNAG_06136L,CNAG_06136,754
CNAG_03177L,CNAG_03177,1440
CNAG_03183L,CNAG_03183,371
CNAG_06188L,CNAG_06188,729
CNAG_02877L,CNAG_02877,601
CNAG_04359L,CNAG_04359,1568
CNAG_04774L,CNAG_04774,1301
CNAG_04768L,CNAG_04768,830
CNAG_02066L,CNAG_02066,889
CNAG_07922L,CNAG_07922,762
CNAG_06276L,CNAG_06276,835
CNAG_05222L,CNAG_05222,67
CNAG_03409L,CNAG_03409,502
CNAG_05622L,CNAG_05622,1429
CNAG_04637L,CNAG_04637,551
CNAG_07680L,CNAG_07680,49
CNAG_02215L,CNAG_02215,20
