Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,633
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,562
CNAG_05638R,CNAG_05638,434
CNAG_05639R,CNAG_05639,325
CNAG_06346R,CNAG_06346,479
CNAG_06347R,CNAG_06347,448
CNAG_06517R,CNAG_06517,632
CNAG_07939R,CNAG_07939,1
CNAG_06201R,CNAG_06201,331
CNAG_06104R,CNAG_06104,374
CNAG_07902R,CNAG_07902,457
CNAG_06241R,CNAG_06241,105
CNAG_06242R,CNAG_06242,103
CNAG_07911R,CNAG_07911,336
CNAG_01683R,CNAG_01683,454
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,431
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,262
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,190
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,372
CNAG_04837R,CNAG_04837,448
CNAG_04836R,CNAG_04836,387
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,141
CNAG_04874R,CNAG_04874,2
CNAG_04868R,CNAG_04868,104
CNAG_04753R,CNAG_04753,6
CNAG_04909R,CNAG_04909,1
CNAG_04659R,CNAG_04659,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,360
CNAG_04517R,CNAG_04517,440
CNAG_07770R,CNAG_07770,305
CNAG_04271R,CNAG_04271,1
CNAG_04270R,CNAG_04270,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,705
CNAG_07742R,CNAG_07742,856
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,349
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,406
CNAG_05835R,CNAG_05835,1
CNAG_05864R,CNAG_05864,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,269
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,422
CNAG_05785R,CNAG_05785,1
CNAG_06554R,CNAG_06554,1
CNAG_02189R,CNAG_02189,564
CNAG_02371R,CNAG_02371,352
CNAG_06719R,CNAG_06719,345
CNAG_03669R,CNAG_03669,524
