Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,149
CNAG_05515L,CNAG_05515,743
CNAG_05641L,CNAG_05641,526
CNAG_05387L,CNAG_05387,642
CNAG_05590L,CNAG_05590,1126
CNAG_07869L,CNAG_07869,654
CNAG_05340L,CNAG_05340,394
CNAG_05638L,CNAG_05638,539
CNAG_05639L,CNAG_05639,496
CNAG_06346L,CNAG_06346,538
CNAG_06347L,CNAG_06347,470
CNAG_06517L,CNAG_06517,750
CNAG_07939L,CNAG_07939,497
CNAG_06493L,CNAG_06493,431
CNAG_06201L,CNAG_06201,498
CNAG_06104L,CNAG_06104,403
CNAG_06081L,CNAG_06081,539
CNAG_07902L,CNAG_07902,470
CNAG_06241L,CNAG_06241,337
CNAG_06242L,CNAG_06242,347
CNAG_06186L,CNAG_06186,597
CNAG_07911L,CNAG_07911,633
CNAG_01551L,CNAG_01551,379
CNAG_01683L,CNAG_01683,477
CNAG_01983L,CNAG_01983,628
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,464
CNAG_01621L,CNAG_01621,449
CNAG_01988L,CNAG_01988,462
CNAG_01989L,CNAG_01989,509
CNAG_01939L,CNAG_01939,529
CNAG_01993L,CNAG_01993,477
CNAG_01992L,CNAG_01992,526
CNAG_01965L,CNAG_01965,494
CNAG_01562L,CNAG_01562,439
CNAG_01925L,CNAG_01925,505
CNAG_04756L,CNAG_04756,557
CNAG_04807L,CNAG_04807,653
CNAG_04837L,CNAG_04837,566
CNAG_04836L,CNAG_04836,443
CNAG_04737L,CNAG_04737,642
CNAG_04875L,CNAG_04875,398
CNAG_04874L,CNAG_04874,1166
CNAG_04868L,CNAG_04868,129
CNAG_04752L,CNAG_04752,343
CNAG_04753L,CNAG_04753,1842
CNAG_04909L,CNAG_04909,569
CNAG_04908L,CNAG_04908,665
CNAG_04659L,CNAG_04659,310
CNAG_04623L,CNAG_04623,501
CNAG_04518L,CNAG_04518,379
CNAG_04517L,CNAG_04517,564
CNAG_07770L,CNAG_07770,487
CNAG_04436L,CNAG_04436,320
CNAG_04271L,CNAG_04271,409
CNAG_04270L,CNAG_04270,632
CNAG_03346L,CNAG_03346,595
CNAG_03433L,CNAG_03433,552
CNAG_03333L,CNAG_03333,712
CNAG_07742L,CNAG_07742,1404
CNAG_03438L,CNAG_03438,175
CNAG_03223L,CNAG_03223,503
CNAG_03142L,CNAG_03142,423
CNAG_03143L,CNAG_03143,410
CNAG_03545L,CNAG_03545,586
CNAG_03161L,CNAG_03161,81
CNAG_03566L,CNAG_03566,513
CNAG_05835L,CNAG_05835,387
CNAG_05864L,CNAG_05864,405
CNAG_06567L,CNAG_06567,578
CNAG_05742L,CNAG_05742,225
CNAG_05743L,CNAG_05743,148
CNAG_05867L,CNAG_05867,371
CNAG_05685L,CNAG_05685,1506
CNAG_05684L,CNAG_05684,509
CNAG_05785L,CNAG_05785,475
CNAG_05843L,CNAG_05843,33
CNAG_06554L,CNAG_06554,503
CNAG_02189L,CNAG_02189,282
CNAG_02188L,CNAG_02188,599
CNAG_02182L,CNAG_02182,460
CNAG_07631L,CNAG_07631,575
CNAG_02371L,CNAG_02371,463
CNAG_07633L,CNAG_07633,1011
CNAG_01069L,CNAG_01069,474
CNAG_00896L,CNAG_00896,1537
CNAG_06719L,CNAG_06719,129
CNAG_03669L,CNAG_03669,492
CNAG_00031L,CNAG_00031,447
CNAG_07332L,CNAG_07332,383
CNAG_00285L,CNAG_00285,614
CNAG_00828L,CNAG_00828,484
CNAG_00830L,CNAG_00830,516
CNAG_00841L,CNAG_00841,547
CNAG_02774L,CNAG_02774,525
CNAG_06531L,CNAG_06531,962
CNAG_03279L,CNAG_03279,491
CNAG_03336L,CNAG_03336,704
CNAG_06339L,CNAG_06339,601
CNAG_03768L,CNAG_03768,583
CNAG_04534L,CNAG_04534,546
CNAG_01973L,CNAG_01973,6
CNAG_07867L,CNAG_07867,500
CNAG_05333L,CNAG_05333,719
CNAG_06425L,CNAG_06425,453
CNAG_03849L,CNAG_03849,1253
CNAG_02603L,CNAG_02603,452
CNAG_02555L,CNAG_02555,587
CNAG_03431L,CNAG_03431,512
CNAG_05049L,CNAG_05049,331
CNAG_05380L,CNAG_05380,447
CNAG_03914L,CNAG_03914,624
CNAG_02476L,CNAG_02476,461
CNAG_07583L,CNAG_07583,577
