Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,816
CNAG_05387R,CNAG_05387,664
CNAG_05638R,CNAG_05638,486
CNAG_05639R,CNAG_05639,510
CNAG_06346R,CNAG_06346,573
CNAG_06347R,CNAG_06347,455
CNAG_06517R,CNAG_06517,678
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,434
CNAG_06104R,CNAG_06104,374
CNAG_07902R,CNAG_07902,485
CNAG_06241R,CNAG_06241,328
CNAG_06242R,CNAG_06242,358
CNAG_06186R,CNAG_06186,3
CNAG_07911R,CNAG_07911,489
CNAG_01683R,CNAG_01683,548
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,6
CNAG_01680R,CNAG_01680,521
CNAG_01989R,CNAG_01989,352
CNAG_01965R,CNAG_01965,174
CNAG_01925R,CNAG_01925,479
CNAG_04837R,CNAG_04837,514
CNAG_04836R,CNAG_04836,470
CNAG_04875R,CNAG_04875,413
CNAG_04868R,CNAG_04868,116
CNAG_04753R,CNAG_04753,1
CNAG_04908R,CNAG_04908,1
CNAG_04518R,CNAG_04518,431
CNAG_04517R,CNAG_04517,483
CNAG_07770R,CNAG_07770,471
CNAG_04436R,CNAG_04436,1
CNAG_03333R,CNAG_03333,666
CNAG_07742R,CNAG_07742,927
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,408
CNAG_03566R,CNAG_03566,446
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,299
CNAG_05684R,CNAG_05684,391
CNAG_02189R,CNAG_02189,500
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,536
CNAG_07633R,CNAG_07633,3
CNAG_01069R,CNAG_01069,2
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,396
CNAG_03669R,CNAG_03669,474
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,358
CNAG_00285R,CNAG_00285,513
CNAG_00830R,CNAG_00830,484
CNAG_00841R,CNAG_00841,554
CNAG_06531R,CNAG_06531,964
CNAG_03279R,CNAG_03279,487
CNAG_03336R,CNAG_03336,716
CNAG_06339R,CNAG_06339,530
CNAG_03768R,CNAG_03768,727
CNAG_04534R,CNAG_04534,488
CNAG_01973R,CNAG_01973,330
CNAG_07867R,CNAG_07867,492
CNAG_05333R,CNAG_05333,596
CNAG_06425R,CNAG_06425,473
CNAG_03849R,CNAG_03849,581
CNAG_02603R,CNAG_02603,403
CNAG_02555R,CNAG_02555,590
CNAG_02525R,CNAG_02525,260
CNAG_03431R,CNAG_03431,558
CNAG_05049R,CNAG_05049,348
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,573
CNAG_02476R,CNAG_02476,415
CNAG_07583R,CNAG_07583,546
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,407
CNAG_03366R,CNAG_03366,645
CNAG_04090R,CNAG_04090,1095
CNAG_00791R,CNAG_00791,432
CNAG_05375R,CNAG_05375,6980
CNAG_02516R,CNAG_02516,443
CNAG_04804R,CNAG_04804,300
CNAG_06203R,CNAG_06203,522
CNAG_00193R,CNAG_00193,1
CNAG_01883R,CNAG_01883,1214
CNAG_03401R,CNAG_03401,531
CNAG_02435R,CNAG_02435,465
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,478
CNAG_03700R,CNAG_03700,546
CNAG_05215R,CNAG_05215,417
CNAG_01438R,CNAG_01438,382
CNAG_07464R,CNAG_07464,938
CNAG_01858R,CNAG_01858,706
CNAG_04586R,CNAG_04586,675
CNAG_05176R,CNAG_05176,574
CNAG_01014R,CNAG_01014,313
CNAG_01454R,CNAG_01454,474
CNAG_06327R,CNAG_06327,102
CNAG_03788R,CNAG_03788,561
CNAG_00871R,CNAG_00871,704
CNAG_00559R,CNAG_00559,9904
CNAG_07370R,CNAG_07370,582
CNAG_02589R,CNAG_02589,482
CNAG_01645R,CNAG_01645,1196
CNAG_01242R,CNAG_01242,426
CNAG_02788R,CNAG_02788,31
CNAG_07435R,CNAG_07435,35
CNAG_07924R,CNAG_07924,489
CNAG_01071R,CNAG_01071,445
CNAG_00883R,CNAG_00883,442
CNAG_03741R,CNAG_03741,490
CNAG_03745R,CNAG_03745,509
CNAG_00192R,CNAG_00192,516
CNAG_00670R,CNAG_00670,536
CNAG_06871R,CNAG_06871,650
CNAG_04457R,CNAG_04457,558
CNAG_04588R,CNAG_04588,101
CNAG_03894R,CNAG_03894,617
CNAG_04012R,CNAG_04012,597
CNAG_01487R,CNAG_01487,538
CNAG_05170R,CNAG_05170,424
CNAG_02364R,CNAG_02364,430
CNAG_04093R,CNAG_04093,634
CNAG_02322R,CNAG_02322,438
CNAG_05255R,CNAG_05255,532
CNAG_03018R,CNAG_03018,479
CNAG_07901R,CNAG_07901,388
CNAG_03086R,CNAG_03086,490
CNAG_06097R,CNAG_06097,15
CNAG_06136R,CNAG_06136,394
CNAG_03177R,CNAG_03177,492
CNAG_03183R,CNAG_03183,94
CNAG_04774R,CNAG_04774,527
CNAG_04768R,CNAG_04768,526
CNAG_07922R,CNAG_07922,2
CNAG_06276R,CNAG_06276,416
CNAG_05222R,CNAG_05222,95
CNAG_03409R,CNAG_03409,264
CNAG_05622R,CNAG_05622,585
CNAG_04637R,CNAG_04637,350
CNAG_07680R,CNAG_07680,80
CNAG_02215R,CNAG_02215,57
CNAG_00564R,CNAG_00564,2
CNAG_02387R,CNAG_02387,606
CNAG_04086R,CNAG_04086,630
CNAG_05697R,CNAG_05697,703
CNAG_06205R,CNAG_06205,1
CNAG_04507R,CNAG_04507,451
CNAG_04506R,CNAG_04506,526
CNAG_00068R,CNAG_00068,835
CNAG_00733R,CNAG_00733,441
CNAG_03910R,CNAG_03910,536
CNAG_04059R,CNAG_04059,425
CNAG_07491R,CNAG_07491,695
CNAG_05181R,CNAG_05181,418
CNAG_03772R,CNAG_03772,574
CNAG_00445R,CNAG_00445,803
CNAG_01901R,CNAG_01901,739
CNAG_05313R,CNAG_05313,258
CNAG_05312R,CNAG_05312,551
CNAG_00337R,CNAG_00337,1
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,631
CNAG_01277R,CNAG_01277,756
CNAG_01230R,CNAG_01230,190
CNAG_05264R,CNAG_05264,2
CNAG_05263R,CNAG_05263,1
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,450
CNAG_00598R,CNAG_00598,522
CNAG_02219R,CNAG_02219,664
CNAG_03013R,CNAG_03013,206
CNAG_07540R,CNAG_07540,804
CNAG_04981R,CNAG_04981,1
CNAG_04980R,CNAG_04980,40
CNAG_00456R,CNAG_00456,546
CNAG_00455R,CNAG_00455,618
CNAG_00107R,CNAG_00107,388
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,575
CNAG_03848R,CNAG_03848,1
CNAG_01013R,CNAG_01013,149
CNAG_07523R,CNAG_07523,1
CNAG_05080R,CNAG_05080,504
CNAG_04869R,CNAG_04869,1
CNAG_00164R,CNAG_00164,456
CNAG_04658R,CNAG_04658,1
CNAG_03677R,CNAG_03677,579
CNAG_05077R,CNAG_05077,564
CNAG_02553R,CNAG_02553,1
CNAG_02554R,CNAG_02554,1
CNAG_05148R,CNAG_05148,1
CNAG_00776R,CNAG_00776,96
CNAG_04024R,CNAG_04024,601
CNAG_04025R,CNAG_04025,548
CNAG_01019R,CNAG_01019,50
CNAG_01803R,CNAG_01803,577
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,519
CNAG_07542R,CNAG_07542,559
CNAG_05915R,CNAG_05915,531
CNAG_00917R,CNAG_00917,1553
CNAG_00919R,CNAG_00919,455
CNAG_05458R,CNAG_05458,707
CNAG_05459R,CNAG_05459,626
CNAG_01985R,CNAG_01985,235
CNAG_00740R,CNAG_00740,20
CNAG_04163R,CNAG_04163,419
CNAG_04162R,CNAG_04162,313
CNAG_04755R,CNAG_04755,1125
CNAG_01777R,CNAG_01777,443
CNAG_04217R,CNAG_04217,1
CNAG_03173R,CNAG_03173,486
CNAG_03172R,CNAG_03172,463
CNAG_07388R,CNAG_07388,578
CNAG_07389R,CNAG_07389,590
CNAG_06060R,CNAG_06060,376
CNAG_00581R,CNAG_00581,337
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,714
CNAG_04950R,CNAG_04950,476
CNAG_04949R,CNAG_04949,535
CNAG_01865R,CNAG_01865,508
CNAG_00717R,CNAG_00717,149
CNAG_06896R,CNAG_06896,226
CNAG_05812R,CNAG_05812,455
CNAG_06658R,CNAG_06658,424
CNAG_05993R,CNAG_05993,2
CNAG_05994R,CNAG_05994,434
CNAG_02517R,CNAG_02517,521
CNAG_07419R,CNAG_07419,1
CNAG_03329R,CNAG_03329,430
CNAG_04471R,CNAG_04471,551
CNAG_04472R,CNAG_04472,1
CNAG_01919R,CNAG_01919,1
CNAG_00699R,CNAG_00699,462
CNAG_02129R,CNAG_02129,662
CNAG_05352R,CNAG_05352,8
CNAG_02293R,CNAG_02293,1
CNAG_07441R,CNAG_07441,2
CNAG_01523R,CNAG_01523,2
CNAG_07486R,CNAG_07486,499
CNAG_07313R,CNAG_07313,1
CNAG_00710R,CNAG_00710,429
CNAG_00709R,CNAG_00709,622
CNAG_04186R,CNAG_04186,2
CNAG_03689R,CNAG_03689,417
CNAG_01704R,CNAG_01704,579
CNAG_07827R,CNAG_07827,437
CNAG_07516R,CNAG_07516,399
CNAG_00156R,CNAG_00156,1
CNAG_00157R,CNAG_00157,346
CNAG_02090R,CNAG_02090,2
CNAG_01776R,CNAG_01776,555
CNAG_07605R,CNAG_07605,414
CNAG_01846R,CNAG_01846,462
CNAG_02539R,CNAG_02539,2
CNAG_01701R,CNAG_01701,1
CNAG_00799R,CNAG_00799,310
CNAG_04657R,CNAG_04657,466
CNAG_04385R,CNAG_04385,481
CNAG_04386R,CNAG_04386,545
CNAG_07847R,CNAG_07847,466
CNAG_02226R,CNAG_02226,486
CNAG_02225R,CNAG_02225,495
CNAG_04860R,CNAG_04860,448
CNAG_01105R,CNAG_01105,603
CNAG_03524R,CNAG_03524,418
CNAG_03733R,CNAG_03733,562
CNAG_03732R,CNAG_03732,607
CNAG_03247R,CNAG_03247,524
CNAG_03193R,CNAG_03193,408
