Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,419
CNAG_05387R,CNAG_05387,467
CNAG_05638R,CNAG_05638,439
CNAG_05639R,CNAG_05639,400
CNAG_06346R,CNAG_06346,521
CNAG_06347R,CNAG_06347,538
CNAG_06517R,CNAG_06517,519
CNAG_06201R,CNAG_06201,405
CNAG_06104R,CNAG_06104,324
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,431
CNAG_06241R,CNAG_06241,29
CNAG_06242R,CNAG_06242,36
CNAG_07911R,CNAG_07911,299
CNAG_01683R,CNAG_01683,488
CNAG_01902R,CNAG_01902,8
CNAG_01680R,CNAG_01680,388
CNAG_01989R,CNAG_01989,264
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,202
CNAG_01925R,CNAG_01925,373
CNAG_04837R,CNAG_04837,448
CNAG_04836R,CNAG_04836,358
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,17
CNAG_04868R,CNAG_04868,118
CNAG_04753R,CNAG_04753,2
CNAG_04518R,CNAG_04518,385
CNAG_04517R,CNAG_04517,331
CNAG_07770R,CNAG_07770,398
CNAG_03346R,CNAG_03346,2
CNAG_03333R,CNAG_03333,670
CNAG_07742R,CNAG_07742,715
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,318
CNAG_03566R,CNAG_03566,289
CNAG_05867R,CNAG_05867,282
CNAG_05685R,CNAG_05685,2
CNAG_05684R,CNAG_05684,269
CNAG_02189R,CNAG_02189,473
CNAG_02371R,CNAG_02371,327
CNAG_06719R,CNAG_06719,343
CNAG_03669R,CNAG_03669,384
CNAG_07332R,CNAG_07332,253
CNAG_00285R,CNAG_00285,461
CNAG_00830R,CNAG_00830,110
CNAG_00841R,CNAG_00841,358
CNAG_06531R,CNAG_06531,732
CNAG_03279R,CNAG_03279,358
CNAG_03336R,CNAG_03336,322
CNAG_06339R,CNAG_06339,508
CNAG_03768R,CNAG_03768,437
CNAG_04534R,CNAG_04534,383
CNAG_01973R,CNAG_01973,149
CNAG_07867R,CNAG_07867,407
CNAG_05333R,CNAG_05333,419
CNAG_06425R,CNAG_06425,318
CNAG_03849R,CNAG_03849,343
CNAG_02603R,CNAG_02603,333
CNAG_02555R,CNAG_02555,399
CNAG_02525R,CNAG_02525,81
CNAG_03431R,CNAG_03431,584
CNAG_05049R,CNAG_05049,340
CNAG_03914R,CNAG_03914,241
CNAG_02476R,CNAG_02476,350
CNAG_07583R,CNAG_07583,361
CNAG_05112R,CNAG_05112,326
CNAG_03366R,CNAG_03366,470
