Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,25
CNAG_05515L,CNAG_05515,485
CNAG_05641L,CNAG_05641,392
CNAG_05387L,CNAG_05387,414
CNAG_05590L,CNAG_05590,23
CNAG_07869L,CNAG_07869,485
CNAG_05340L,CNAG_05340,225
CNAG_05638L,CNAG_05638,416
CNAG_05639L,CNAG_05639,409
CNAG_06346L,CNAG_06346,468
CNAG_06347L,CNAG_06347,569
CNAG_06517L,CNAG_06517,441
CNAG_07939L,CNAG_07939,363
CNAG_06493L,CNAG_06493,375
CNAG_06201L,CNAG_06201,424
CNAG_06104L,CNAG_06104,331
CNAG_06081L,CNAG_06081,507
CNAG_07902L,CNAG_07902,428
CNAG_06241L,CNAG_06241,26
CNAG_06242L,CNAG_06242,31
CNAG_06186L,CNAG_06186,300
CNAG_07911L,CNAG_07911,426
CNAG_01551L,CNAG_01551,7
CNAG_01683L,CNAG_01683,327
CNAG_01983L,CNAG_01983,522
CNAG_01902L,CNAG_01902,15
CNAG_01680L,CNAG_01680,373
CNAG_01621L,CNAG_01621,364
CNAG_01988L,CNAG_01988,241
CNAG_01989L,CNAG_01989,390
CNAG_01939L,CNAG_01939,519
CNAG_01993L,CNAG_01993,392
CNAG_01992L,CNAG_01992,335
CNAG_01965L,CNAG_01965,436
CNAG_01562L,CNAG_01562,365
CNAG_01925L,CNAG_01925,446
CNAG_04756L,CNAG_04756,515
CNAG_04807L,CNAG_04807,579
CNAG_04837L,CNAG_04837,385
CNAG_04836L,CNAG_04836,327
CNAG_04737L,CNAG_04737,501
CNAG_04875L,CNAG_04875,25
CNAG_04874L,CNAG_04874,936
CNAG_04868L,CNAG_04868,107
CNAG_04752L,CNAG_04752,376
CNAG_04753L,CNAG_04753,2557
CNAG_04909L,CNAG_04909,407
CNAG_04908L,CNAG_04908,514
CNAG_04659L,CNAG_04659,263
CNAG_04623L,CNAG_04623,313
CNAG_04518L,CNAG_04518,319
CNAG_04517L,CNAG_04517,396
CNAG_07770L,CNAG_07770,354
CNAG_04436L,CNAG_04436,129
CNAG_04271L,CNAG_04271,226
CNAG_04270L,CNAG_04270,269
CNAG_03346L,CNAG_03346,398
CNAG_03433L,CNAG_03433,407
CNAG_03333L,CNAG_03333,633
CNAG_07742L,CNAG_07742,1072
CNAG_03438L,CNAG_03438,149
CNAG_03223L,CNAG_03223,797
CNAG_03142L,CNAG_03142,314
CNAG_03143L,CNAG_03143,278
CNAG_03545L,CNAG_03545,485
CNAG_03161L,CNAG_03161,18
CNAG_03566L,CNAG_03566,274
CNAG_05835L,CNAG_05835,325
CNAG_05864L,CNAG_05864,373
CNAG_06567L,CNAG_06567,282
CNAG_05742L,CNAG_05742,11
CNAG_05743L,CNAG_05743,176
CNAG_05867L,CNAG_05867,264
CNAG_05685L,CNAG_05685,698
CNAG_05684L,CNAG_05684,267
CNAG_05785L,CNAG_05785,309
CNAG_05843L,CNAG_05843,16
CNAG_06554L,CNAG_06554,393
CNAG_02189L,CNAG_02189,218
CNAG_02188L,CNAG_02188,487
CNAG_02182L,CNAG_02182,322
CNAG_07631L,CNAG_07631,287
CNAG_02371L,CNAG_02371,291
CNAG_07633L,CNAG_07633,180
CNAG_01069L,CNAG_01069,395
CNAG_00896L,CNAG_00896,1116
CNAG_06719L,CNAG_06719,125
CNAG_03669L,CNAG_03669,355
CNAG_00031L,CNAG_00031,397
CNAG_07332L,CNAG_07332,272
CNAG_00285L,CNAG_00285,541
CNAG_00828L,CNAG_00828,357
CNAG_00830L,CNAG_00830,120
CNAG_00841L,CNAG_00841,315
CNAG_02774L,CNAG_02774,296
CNAG_06531L,CNAG_06531,681
CNAG_03279L,CNAG_03279,404
CNAG_03336L,CNAG_03336,366
CNAG_06339L,CNAG_06339,540
CNAG_03768L,CNAG_03768,466
CNAG_04534L,CNAG_04534,451
CNAG_01973L,CNAG_01973,2
CNAG_07867L,CNAG_07867,371
CNAG_05333L,CNAG_05333,348
CNAG_06425L,CNAG_06425,276
CNAG_03849L,CNAG_03849,761
CNAG_02603L,CNAG_02603,395
CNAG_02555L,CNAG_02555,312
CNAG_03431L,CNAG_03431,556
CNAG_05049L,CNAG_05049,235
CNAG_05380L,CNAG_05380,134
CNAG_03914L,CNAG_03914,201
CNAG_02476L,CNAG_02476,360
CNAG_07583L,CNAG_07583,358
CNAG_02466L,CNAG_02466,367
CNAG_05112L,CNAG_05112,390
CNAG_03366L,CNAG_03366,494
CNAG_03977L,CNAG_03977,216
CNAG_04090L,CNAG_04090,342
CNAG_00791L,CNAG_00791,356
CNAG_06751L,CNAG_06751,316
CNAG_05375L,CNAG_05375,1391
CNAG_02516L,CNAG_02516,426
CNAG_04804L,CNAG_04804,8
CNAG_00627L,CNAG_00627,410
CNAG_07725L,CNAG_07725,486
CNAG_06203L,CNAG_06203,322
CNAG_00514L,CNAG_00514,5
CNAG_01883L,CNAG_01883,1179
CNAG_03401L,CNAG_03401,322
CNAG_02435L,CNAG_02435,587
CNAG_05153L,CNAG_05153,13
CNAG_01708L,CNAG_01708,508
CNAG_03700L,CNAG_03700,409
CNAG_07320L,CNAG_07320,197
CNAG_05215L,CNAG_05215,321
CNAG_01438L,CNAG_01438,661
