Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,616
CNAG_05387R,CNAG_05387,610
CNAG_07869R,CNAG_07869,2
CNAG_05638R,CNAG_05638,435
CNAG_05639R,CNAG_05639,327
CNAG_06346R,CNAG_06346,447
CNAG_06347R,CNAG_06347,464
CNAG_06517R,CNAG_06517,532
CNAG_06493R,CNAG_06493,2
CNAG_06201R,CNAG_06201,418
CNAG_06104R,CNAG_06104,167
CNAG_07902R,CNAG_07902,460
CNAG_06241R,CNAG_06241,341
CNAG_06242R,CNAG_06242,266
CNAG_07911R,CNAG_07911,478
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,544
CNAG_01983R,CNAG_01983,2
CNAG_01902R,CNAG_01902,3
CNAG_01680R,CNAG_01680,426
CNAG_01989R,CNAG_01989,245
CNAG_01965R,CNAG_01965,199
CNAG_01925R,CNAG_01925,326
CNAG_04807R,CNAG_04807,2
CNAG_04837R,CNAG_04837,508
CNAG_04836R,CNAG_04836,391
CNAG_04875R,CNAG_04875,261
CNAG_04868R,CNAG_04868,123
CNAG_04753R,CNAG_04753,4
CNAG_04909R,CNAG_04909,2
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,366
CNAG_04517R,CNAG_04517,392
CNAG_07770R,CNAG_07770,320
CNAG_04270R,CNAG_04270,1
CNAG_03333R,CNAG_03333,713
CNAG_07742R,CNAG_07742,809
CNAG_03438R,CNAG_03438,1
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,353
CNAG_03143R,CNAG_03143,1
CNAG_03566R,CNAG_03566,375
CNAG_06567R,CNAG_06567,1
CNAG_05743R,CNAG_05743,1
CNAG_05867R,CNAG_05867,298
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,268
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,489
CNAG_02188R,CNAG_02188,1
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,473
CNAG_07633R,CNAG_07633,2
CNAG_00896R,CNAG_00896,3
CNAG_06719R,CNAG_06719,310
CNAG_03669R,CNAG_03669,461
CNAG_07332R,CNAG_07332,307
CNAG_00285R,CNAG_00285,448
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,463
CNAG_00841R,CNAG_00841,423
CNAG_06531R,CNAG_06531,689
CNAG_03279R,CNAG_03279,486
CNAG_03336R,CNAG_03336,546
CNAG_06339R,CNAG_06339,562
CNAG_03768R,CNAG_03768,548
CNAG_04534R,CNAG_04534,402
CNAG_01973R,CNAG_01973,303
CNAG_07867R,CNAG_07867,375
CNAG_05333R,CNAG_05333,500
CNAG_06425R,CNAG_06425,341
CNAG_03849R,CNAG_03849,477
CNAG_02603R,CNAG_02603,381
CNAG_02555R,CNAG_02555,477
CNAG_02525R,CNAG_02525,247
CNAG_03431R,CNAG_03431,471
CNAG_05049R,CNAG_05049,271
CNAG_03914R,CNAG_03914,393
CNAG_02476R,CNAG_02476,378
CNAG_07583R,CNAG_07583,426
CNAG_05112R,CNAG_05112,327
CNAG_03366R,CNAG_03366,573
CNAG_04090R,CNAG_04090,1403
CNAG_00791R,CNAG_00791,373
CNAG_05375R,CNAG_05375,5671
CNAG_02516R,CNAG_02516,387
CNAG_04804R,CNAG_04804,30
CNAG_07725R,CNAG_07725,2
CNAG_06203R,CNAG_06203,505
CNAG_01883R,CNAG_01883,894
CNAG_03401R,CNAG_03401,335
CNAG_02435R,CNAG_02435,371
CNAG_05153R,CNAG_05153,5
CNAG_01708R,CNAG_01708,421
CNAG_03700R,CNAG_03700,555
CNAG_05215R,CNAG_05215,344
CNAG_01438R,CNAG_01438,389
CNAG_07464R,CNAG_07464,152
CNAG_01858R,CNAG_01858,606
CNAG_04586R,CNAG_04586,592
CNAG_05176R,CNAG_05176,513
CNAG_01014R,CNAG_01014,221
CNAG_01454R,CNAG_01454,470
CNAG_06327R,CNAG_06327,111
CNAG_03788R,CNAG_03788,416
CNAG_00871R,CNAG_00871,538
CNAG_00559R,CNAG_00559,11773
CNAG_07370R,CNAG_07370,487
CNAG_00732R,CNAG_00732,1
CNAG_02589R,CNAG_02589,522
CNAG_01645R,CNAG_01645,1037
CNAG_01242R,CNAG_01242,234
CNAG_02788R,CNAG_02788,38
CNAG_07435R,CNAG_07435,43
CNAG_07924R,CNAG_07924,347
CNAG_01071R,CNAG_01071,351
CNAG_00883R,CNAG_00883,353
CNAG_03741R,CNAG_03741,476
CNAG_03745R,CNAG_03745,436
CNAG_00192R,CNAG_00192,550
CNAG_00670R,CNAG_00670,487
CNAG_06871R,CNAG_06871,480
CNAG_04457R,CNAG_04457,403
CNAG_04588R,CNAG_04588,198
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,564
CNAG_04012R,CNAG_04012,430
CNAG_01487R,CNAG_01487,468
CNAG_05170R,CNAG_05170,555
CNAG_02364R,CNAG_02364,455
CNAG_04093R,CNAG_04093,457
CNAG_02322R,CNAG_02322,428
CNAG_05255R,CNAG_05255,540
CNAG_05642R,CNAG_05642,1
CNAG_03059R,CNAG_03059,2
CNAG_03018R,CNAG_03018,329
CNAG_07901R,CNAG_07901,365
CNAG_03086R,CNAG_03086,353
CNAG_06097R,CNAG_06097,334
CNAG_04841R,CNAG_04841,2
CNAG_06136R,CNAG_06136,419
CNAG_03177R,CNAG_03177,440
CNAG_03183R,CNAG_03183,280
CNAG_06188R,CNAG_06188,1
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,367
CNAG_04768R,CNAG_04768,460
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,347
CNAG_05222R,CNAG_05222,63
CNAG_03409R,CNAG_03409,205
CNAG_05622R,CNAG_05622,522
CNAG_04637R,CNAG_04637,254
CNAG_07680R,CNAG_07680,110
CNAG_02215R,CNAG_02215,87
CNAG_02387R,CNAG_02387,547
CNAG_04086R,CNAG_04086,490
CNAG_05697R,CNAG_05697,631
CNAG_04507R,CNAG_04507,365
CNAG_04506R,CNAG_04506,463
CNAG_00068R,CNAG_00068,695
CNAG_00733R,CNAG_00733,487
CNAG_03910R,CNAG_03910,450
CNAG_04059R,CNAG_04059,408
CNAG_07491R,CNAG_07491,364
CNAG_05181R,CNAG_05181,366
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,478
CNAG_00445R,CNAG_00445,646
CNAG_01901R,CNAG_01901,634
CNAG_05313R,CNAG_05313,298
CNAG_05312R,CNAG_05312,419
CNAG_03012R,CNAG_03012,1
CNAG_00337R,CNAG_00337,1
CNAG_06200R,CNAG_06200,1
CNAG_02682R,CNAG_02682,1
CNAG_00442R,CNAG_00442,636
CNAG_07548R,CNAG_07548,4
