Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,95
CNAG_05515L,CNAG_05515,669
CNAG_05641L,CNAG_05641,412
CNAG_05387L,CNAG_05387,520
CNAG_05590L,CNAG_05590,1201
CNAG_07869L,CNAG_07869,448
CNAG_05340L,CNAG_05340,364
CNAG_05638L,CNAG_05638,424
CNAG_05639L,CNAG_05639,381
CNAG_06346L,CNAG_06346,484
CNAG_06347L,CNAG_06347,455
CNAG_06517L,CNAG_06517,531
CNAG_07939L,CNAG_07939,472
CNAG_06493L,CNAG_06493,406
CNAG_06201L,CNAG_06201,402
CNAG_06104L,CNAG_06104,158
CNAG_06081L,CNAG_06081,451
CNAG_07902L,CNAG_07902,499
CNAG_06241L,CNAG_06241,267
CNAG_06242L,CNAG_06242,283
CNAG_06186L,CNAG_06186,425
CNAG_07911L,CNAG_07911,571
CNAG_01551L,CNAG_01551,237
CNAG_01683L,CNAG_01683,366
CNAG_01983L,CNAG_01983,514
CNAG_01902L,CNAG_01902,7
CNAG_01680L,CNAG_01680,479
CNAG_01621L,CNAG_01621,435
CNAG_01988L,CNAG_01988,340
CNAG_01989L,CNAG_01989,479
CNAG_01939L,CNAG_01939,437
CNAG_01993L,CNAG_01993,387
CNAG_01992L,CNAG_01992,349
CNAG_01965L,CNAG_01965,420
CNAG_01562L,CNAG_01562,345
CNAG_01925L,CNAG_01925,426
CNAG_04756L,CNAG_04756,501
CNAG_04807L,CNAG_04807,578
CNAG_04837L,CNAG_04837,431
CNAG_04836L,CNAG_04836,358
CNAG_04737L,CNAG_04737,618
CNAG_04875L,CNAG_04875,263
CNAG_04874L,CNAG_04874,960
CNAG_04868L,CNAG_04868,130
CNAG_04752L,CNAG_04752,317
CNAG_04753L,CNAG_04753,3533
CNAG_04909L,CNAG_04909,352
CNAG_04908L,CNAG_04908,533
CNAG_04659L,CNAG_04659,316
CNAG_04623L,CNAG_04623,466
CNAG_04518L,CNAG_04518,287
CNAG_04517L,CNAG_04517,451
CNAG_07770L,CNAG_07770,328
CNAG_04436L,CNAG_04436,220
CNAG_04271L,CNAG_04271,214
CNAG_04270L,CNAG_04270,441
CNAG_03346L,CNAG_03346,466
CNAG_03433L,CNAG_03433,371
CNAG_03333L,CNAG_03333,610
CNAG_07742L,CNAG_07742,1216
CNAG_03438L,CNAG_03438,230
CNAG_03223L,CNAG_03223,563
CNAG_03142L,CNAG_03142,379
CNAG_03143L,CNAG_03143,366
CNAG_03545L,CNAG_03545,570
CNAG_03161L,CNAG_03161,76
CNAG_03566L,CNAG_03566,388
CNAG_05835L,CNAG_05835,404
CNAG_05864L,CNAG_05864,453
CNAG_06567L,CNAG_06567,540
CNAG_05742L,CNAG_05742,30
CNAG_05743L,CNAG_05743,106
CNAG_05867L,CNAG_05867,297
CNAG_05685L,CNAG_05685,1110
CNAG_05684L,CNAG_05684,330
CNAG_05785L,CNAG_05785,399
CNAG_05843L,CNAG_05843,19
CNAG_06554L,CNAG_06554,418
CNAG_02189L,CNAG_02189,253
CNAG_02188L,CNAG_02188,474
CNAG_02182L,CNAG_02182,385
