Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,634
CNAG_05387R,CNAG_05387,518
CNAG_05638R,CNAG_05638,327
CNAG_05639R,CNAG_05639,365
CNAG_06346R,CNAG_06346,365
CNAG_06347R,CNAG_06347,384
CNAG_06517R,CNAG_06517,447
CNAG_06201R,CNAG_06201,299
CNAG_06104R,CNAG_06104,250
CNAG_07902R,CNAG_07902,327
CNAG_06241R,CNAG_06241,280
CNAG_06242R,CNAG_06242,341
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,398
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,388
CNAG_01902R,CNAG_01902,6
CNAG_01680R,CNAG_01680,299
CNAG_01621R,CNAG_01621,1
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,267
CNAG_01965R,CNAG_01965,188
CNAG_01925R,CNAG_01925,278
CNAG_04807R,CNAG_04807,1
CNAG_04837R,CNAG_04837,387
CNAG_04836R,CNAG_04836,384
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,334
CNAG_04868R,CNAG_04868,82
CNAG_04753R,CNAG_04753,1
CNAG_04518R,CNAG_04518,366
CNAG_04517R,CNAG_04517,351
CNAG_07770R,CNAG_07770,387
CNAG_03333R,CNAG_03333,520
CNAG_07742R,CNAG_07742,714
CNAG_03438R,CNAG_03438,1
CNAG_03142R,CNAG_03142,282
CNAG_03566R,CNAG_03566,323
CNAG_05867R,CNAG_05867,243
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,270
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,348
CNAG_02182R,CNAG_02182,1
CNAG_02371R,CNAG_02371,363
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,276
CNAG_03669R,CNAG_03669,379
CNAG_07332R,CNAG_07332,233
CNAG_00285R,CNAG_00285,349
CNAG_00830R,CNAG_00830,363
CNAG_00841R,CNAG_00841,381
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,592
CNAG_03279R,CNAG_03279,430
CNAG_03336R,CNAG_03336,448
CNAG_06339R,CNAG_06339,466
CNAG_03768R,CNAG_03768,462
CNAG_04534R,CNAG_04534,354
CNAG_01973R,CNAG_01973,350
CNAG_07867R,CNAG_07867,381
CNAG_05333R,CNAG_05333,442
CNAG_06425R,CNAG_06425,290
CNAG_03849R,CNAG_03849,393
CNAG_02603R,CNAG_02603,309
CNAG_02555R,CNAG_02555,431
CNAG_02525R,CNAG_02525,165
CNAG_03431R,CNAG_03431,595
CNAG_05049R,CNAG_05049,279
CNAG_03914R,CNAG_03914,387
CNAG_02476R,CNAG_02476,294
CNAG_07583R,CNAG_07583,353
CNAG_05112R,CNAG_05112,302
CNAG_03366R,CNAG_03366,476
CNAG_04090R,CNAG_04090,1216
CNAG_00791R,CNAG_00791,311
CNAG_05375R,CNAG_05375,3948
CNAG_02516R,CNAG_02516,354
CNAG_04804R,CNAG_04804,353
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,363
CNAG_01883R,CNAG_01883,1156
CNAG_03401R,CNAG_03401,359
CNAG_02435R,CNAG_02435,359
CNAG_05153R,CNAG_05153,9
CNAG_01708R,CNAG_01708,296
CNAG_03700R,CNAG_03700,454
CNAG_05215R,CNAG_05215,275
CNAG_01438R,CNAG_01438,350
CNAG_07464R,CNAG_07464,597
CNAG_01858R,CNAG_01858,543
CNAG_04586R,CNAG_04586,450
CNAG_05176R,CNAG_05176,371
CNAG_01014R,CNAG_01014,188
CNAG_01454R,CNAG_01454,337
CNAG_06327R,CNAG_06327,53
CNAG_03788R,CNAG_03788,325
CNAG_00871R,CNAG_00871,484
CNAG_00559R,CNAG_00559,8135
CNAG_07370R,CNAG_07370,403
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,416
CNAG_01645R,CNAG_01645,940
CNAG_01242R,CNAG_01242,276
CNAG_02788R,CNAG_02788,43
CNAG_07435R,CNAG_07435,45
CNAG_07924R,CNAG_07924,292
CNAG_01071R,CNAG_01071,328
CNAG_00883R,CNAG_00883,332
CNAG_03741R,CNAG_03741,318
CNAG_03745R,CNAG_03745,400
CNAG_00192R,CNAG_00192,392
CNAG_00670R,CNAG_00670,422
CNAG_06871R,CNAG_06871,432
CNAG_04457R,CNAG_04457,405
CNAG_04588R,CNAG_04588,87
CNAG_03894R,CNAG_03894,440
CNAG_04012R,CNAG_04012,435
CNAG_01487R,CNAG_01487,379
CNAG_05170R,CNAG_05170,363
CNAG_02364R,CNAG_02364,353
CNAG_04093R,CNAG_04093,428
CNAG_02322R,CNAG_02322,461
CNAG_05255R,CNAG_05255,420
CNAG_05642R,CNAG_05642,1
CNAG_03018R,CNAG_03018,348
CNAG_07901R,CNAG_07901,299
CNAG_03086R,CNAG_03086,329
CNAG_06097R,CNAG_06097,308
CNAG_04841R,CNAG_04841,1
CNAG_06136R,CNAG_06136,321
CNAG_03177R,CNAG_03177,386
CNAG_03183R,CNAG_03183,150
CNAG_06188R,CNAG_06188,1
CNAG_04774R,CNAG_04774,412
CNAG_04768R,CNAG_04768,372
CNAG_06276R,CNAG_06276,384
CNAG_05222R,CNAG_05222,56
CNAG_03409R,CNAG_03409,176
CNAG_05622R,CNAG_05622,388
CNAG_04637R,CNAG_04637,260
CNAG_07680R,CNAG_07680,124
CNAG_02215R,CNAG_02215,65
CNAG_02387R,CNAG_02387,334
CNAG_04086R,CNAG_04086,484
CNAG_05697R,CNAG_05697,499
CNAG_04507R,CNAG_04507,346
CNAG_04506R,CNAG_04506,347
CNAG_00068R,CNAG_00068,594
CNAG_00733R,CNAG_00733,380
CNAG_03910R,CNAG_03910,360
CNAG_04059R,CNAG_04059,353
