Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,98
CNAG_05515L,CNAG_05515,654
CNAG_05641L,CNAG_05641,432
CNAG_05387L,CNAG_05387,493
CNAG_05590L,CNAG_05590,1148
CNAG_07869L,CNAG_07869,570
CNAG_05340L,CNAG_05340,195
CNAG_05638L,CNAG_05638,434
CNAG_05639L,CNAG_05639,400
CNAG_06346L,CNAG_06346,446
CNAG_06347L,CNAG_06347,434
CNAG_06517L,CNAG_06517,512
CNAG_07939L,CNAG_07939,384
CNAG_06493L,CNAG_06493,367
CNAG_06201L,CNAG_06201,461
CNAG_06104L,CNAG_06104,346
CNAG_06081L,CNAG_06081,396
CNAG_07902L,CNAG_07902,371
CNAG_06241L,CNAG_06241,310
CNAG_06242L,CNAG_06242,393
CNAG_06186L,CNAG_06186,334
CNAG_07911L,CNAG_07911,467
CNAG_01551L,CNAG_01551,235
CNAG_01683L,CNAG_01683,375
CNAG_01983L,CNAG_01983,464
CNAG_01902L,CNAG_01902,9
CNAG_01680L,CNAG_01680,384
CNAG_01621L,CNAG_01621,352
CNAG_01988L,CNAG_01988,379
CNAG_01989L,CNAG_01989,459
CNAG_01939L,CNAG_01939,495
CNAG_01993L,CNAG_01993,417
CNAG_01992L,CNAG_01992,387
CNAG_01965L,CNAG_01965,389
CNAG_01562L,CNAG_01562,275
CNAG_01925L,CNAG_01925,402
CNAG_04756L,CNAG_04756,432
CNAG_04807L,CNAG_04807,496
CNAG_04837L,CNAG_04837,379
CNAG_04836L,CNAG_04836,385
CNAG_04737L,CNAG_04737,519
CNAG_04875L,CNAG_04875,373
CNAG_04874L,CNAG_04874,846
CNAG_04868L,CNAG_04868,101
CNAG_04752L,CNAG_04752,324
CNAG_04753L,CNAG_04753,2990
CNAG_04909L,CNAG_04909,393
CNAG_04908L,CNAG_04908,492
CNAG_04659L,CNAG_04659,298
CNAG_04623L,CNAG_04623,358
CNAG_04518L,CNAG_04518,290
CNAG_04517L,CNAG_04517,464
CNAG_07770L,CNAG_07770,388
CNAG_04436L,CNAG_04436,196
CNAG_04271L,CNAG_04271,250
CNAG_04270L,CNAG_04270,380
CNAG_03346L,CNAG_03346,427
CNAG_03433L,CNAG_03433,387
CNAG_03333L,CNAG_03333,610
CNAG_07742L,CNAG_07742,1122
CNAG_03438L,CNAG_03438,227
CNAG_03223L,CNAG_03223,431
CNAG_03142L,CNAG_03142,311
CNAG_03143L,CNAG_03143,386
CNAG_03545L,CNAG_03545,485
CNAG_03161L,CNAG_03161,172
CNAG_03566L,CNAG_03566,369
CNAG_05835L,CNAG_05835,340
CNAG_05864L,CNAG_05864,313
CNAG_06567L,CNAG_06567,476
CNAG_05742L,CNAG_05742,313
CNAG_05743L,CNAG_05743,104
CNAG_05867L,CNAG_05867,304
