Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,838
CNAG_05387R,CNAG_05387,882
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,537
CNAG_05639R,CNAG_05639,508
CNAG_06346R,CNAG_06346,613
CNAG_06347R,CNAG_06347,613
CNAG_06517R,CNAG_06517,804
CNAG_06493R,CNAG_06493,1
CNAG_06201R,CNAG_06201,552
CNAG_06104R,CNAG_06104,416
CNAG_07902R,CNAG_07902,610
CNAG_06241R,CNAG_06241,400
CNAG_06242R,CNAG_06242,431
CNAG_06186R,CNAG_06186,1
CNAG_07911R,CNAG_07911,553
CNAG_01683R,CNAG_01683,646
CNAG_01983R,CNAG_01983,1
CNAG_01902R,CNAG_01902,13
CNAG_01680R,CNAG_01680,544
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,452
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,269
CNAG_01562R,CNAG_01562,1
CNAG_01925R,CNAG_01925,556
CNAG_04837R,CNAG_04837,630
CNAG_04836R,CNAG_04836,523
CNAG_04737R,CNAG_04737,1
CNAG_04875R,CNAG_04875,509
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,149
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,3
CNAG_04909R,CNAG_04909,1
CNAG_04518R,CNAG_04518,613
CNAG_04517R,CNAG_04517,593
CNAG_07770R,CNAG_07770,502
CNAG_04436R,CNAG_04436,1
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,823
CNAG_07742R,CNAG_07742,1050
CNAG_03142R,CNAG_03142,469
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,578
CNAG_05864R,CNAG_05864,1
CNAG_05867R,CNAG_05867,450
CNAG_05684R,CNAG_05684,538
CNAG_02189R,CNAG_02189,551
CNAG_02371R,CNAG_02371,477
CNAG_01069R,CNAG_01069,1
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,477
CNAG_03669R,CNAG_03669,582
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,356
CNAG_00285R,CNAG_00285,646
CNAG_00828R,CNAG_00828,1
CNAG_00830R,CNAG_00830,538
CNAG_00841R,CNAG_00841,660
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,1030
CNAG_03279R,CNAG_03279,590
CNAG_03336R,CNAG_03336,841
CNAG_06339R,CNAG_06339,734
CNAG_03768R,CNAG_03768,759
CNAG_04534R,CNAG_04534,607
CNAG_01973R,CNAG_01973,552
CNAG_07867R,CNAG_07867,552
CNAG_05333R,CNAG_05333,680
CNAG_06425R,CNAG_06425,513
CNAG_03849R,CNAG_03849,590
CNAG_02603R,CNAG_02603,503
CNAG_02555R,CNAG_02555,763
CNAG_02525R,CNAG_02525,188
CNAG_03431R,CNAG_03431,736
CNAG_05049R,CNAG_05049,444
CNAG_05380R,CNAG_05380,1
CNAG_03914R,CNAG_03914,629
CNAG_02476R,CNAG_02476,545
CNAG_07583R,CNAG_07583,587
CNAG_05112R,CNAG_05112,464
CNAG_03366R,CNAG_03366,677
CNAG_03977R,CNAG_03977,1
CNAG_04090R,CNAG_04090,887
CNAG_00791R,CNAG_00791,509
CNAG_05375R,CNAG_05375,8799
CNAG_02516R,CNAG_02516,521
CNAG_04804R,CNAG_04804,696
CNAG_06203R,CNAG_06203,602
CNAG_01883R,CNAG_01883,1411
CNAG_03401R,CNAG_03401,649
CNAG_02435R,CNAG_02435,604
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,523
CNAG_03700R,CNAG_03700,763
CNAG_05215R,CNAG_05215,463
CNAG_01438R,CNAG_01438,606
CNAG_07464R,CNAG_07464,844
CNAG_01858R,CNAG_01858,758
CNAG_04586R,CNAG_04586,651
CNAG_05176R,CNAG_05176,734
CNAG_01014R,CNAG_01014,423
CNAG_01454R,CNAG_01454,703
CNAG_06327R,CNAG_06327,184
CNAG_03788R,CNAG_03788,658
CNAG_00871R,CNAG_00871,838
CNAG_00559R,CNAG_00559,15970
CNAG_07370R,CNAG_07370,645
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,625
CNAG_01645R,CNAG_01645,1512
CNAG_01242R,CNAG_01242,488
CNAG_02788R,CNAG_02788,27
CNAG_07435R,CNAG_07435,119
CNAG_07924R,CNAG_07924,623
CNAG_01071R,CNAG_01071,536
CNAG_00883R,CNAG_00883,560
CNAG_03741R,CNAG_03741,654
CNAG_03745R,CNAG_03745,665
CNAG_00192R,CNAG_00192,663
CNAG_00670R,CNAG_00670,584
CNAG_06871R,CNAG_06871,730
CNAG_04457R,CNAG_04457,622
CNAG_04588R,CNAG_04588,277
CNAG_01977R,CNAG_01977,1
CNAG_03894R,CNAG_03894,791
CNAG_04012R,CNAG_04012,684
CNAG_01487R,CNAG_01487,636
CNAG_03561R,CNAG_03561,1
CNAG_05170R,CNAG_05170,589
CNAG_02364R,CNAG_02364,661
CNAG_04093R,CNAG_04093,799
CNAG_02322R,CNAG_02322,593
CNAG_04184R,CNAG_04184,3
CNAG_05255R,CNAG_05255,682
CNAG_03018R,CNAG_03018,618
CNAG_07901R,CNAG_07901,479
