Gene Flank,Gene,Count
CNAG_05662R,CNAG_05662,1
CNAG_05515R,CNAG_05515,721
CNAG_05387R,CNAG_05387,747
CNAG_07869R,CNAG_07869,1
CNAG_05638R,CNAG_05638,523
CNAG_05639R,CNAG_05639,433
CNAG_06346R,CNAG_06346,554
CNAG_06347R,CNAG_06347,484
CNAG_06517R,CNAG_06517,712
CNAG_06201R,CNAG_06201,422
CNAG_06104R,CNAG_06104,337
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,578
CNAG_06241R,CNAG_06241,376
CNAG_06242R,CNAG_06242,393
CNAG_07911R,CNAG_07911,462
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,501
CNAG_01902R,CNAG_01902,14
CNAG_01680R,CNAG_01680,490
CNAG_01989R,CNAG_01989,333
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,241
CNAG_01925R,CNAG_01925,365
CNAG_04837R,CNAG_04837,551
CNAG_04836R,CNAG_04836,454
CNAG_04875R,CNAG_04875,323
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,188
CNAG_04752R,CNAG_04752,1
CNAG_04753R,CNAG_04753,4
CNAG_04909R,CNAG_04909,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,475
CNAG_04517R,CNAG_04517,569
CNAG_07770R,CNAG_07770,552
CNAG_04271R,CNAG_04271,1
CNAG_03433R,CNAG_03433,1
CNAG_03333R,CNAG_03333,718
CNAG_07742R,CNAG_07742,976
CNAG_03142R,CNAG_03142,448
CNAG_03566R,CNAG_03566,460
CNAG_05867R,CNAG_05867,394
CNAG_05684R,CNAG_05684,479
CNAG_02189R,CNAG_02189,492
CNAG_02182R,CNAG_02182,2
CNAG_02371R,CNAG_02371,473
CNAG_06719R,CNAG_06719,382
CNAG_03669R,CNAG_03669,567
CNAG_07332R,CNAG_07332,311
CNAG_00285R,CNAG_00285,524
CNAG_00830R,CNAG_00830,560
CNAG_00841R,CNAG_00841,546
CNAG_06531R,CNAG_06531,939
CNAG_03279R,CNAG_03279,557
CNAG_03336R,CNAG_03336,730
CNAG_06339R,CNAG_06339,607
CNAG_03768R,CNAG_03768,626
CNAG_04534R,CNAG_04534,532
CNAG_01973R,CNAG_01973,411
CNAG_07867R,CNAG_07867,558
CNAG_05333R,CNAG_05333,695
CNAG_06425R,CNAG_06425,466
CNAG_03849R,CNAG_03849,557
CNAG_02603R,CNAG_02603,415
CNAG_02555R,CNAG_02555,498
CNAG_02525R,CNAG_02525,236
CNAG_03431R,CNAG_03431,406
CNAG_05049R,CNAG_05049,418
CNAG_03914R,CNAG_03914,506
CNAG_02476R,CNAG_02476,472
CNAG_07583R,CNAG_07583,610
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,396
CNAG_03366R,CNAG_03366,574
CNAG_03977R,CNAG_03977,1
CNAG_04090R,CNAG_04090,824
CNAG_00791R,CNAG_00791,469
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,7481
CNAG_02516R,CNAG_02516,456
CNAG_04804R,CNAG_04804,412
CNAG_07725R,CNAG_07725,1
CNAG_06203R,CNAG_06203,519
CNAG_01883R,CNAG_01883,919
CNAG_03401R,CNAG_03401,502
CNAG_02435R,CNAG_02435,480
CNAG_05153R,CNAG_05153,6
CNAG_01708R,CNAG_01708,535
CNAG_03700R,CNAG_03700,699
CNAG_05215R,CNAG_05215,384
CNAG_01438R,CNAG_01438,390
CNAG_07464R,CNAG_07464,492
CNAG_01858R,CNAG_01858,741
CNAG_04586R,CNAG_04586,583
CNAG_05176R,CNAG_05176,595
CNAG_01014R,CNAG_01014,224
CNAG_01454R,CNAG_01454,470
CNAG_06327R,CNAG_06327,197
CNAG_03788R,CNAG_03788,516
CNAG_00871R,CNAG_00871,744
CNAG_00559R,CNAG_00559,12473
CNAG_07370R,CNAG_07370,583
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,592
CNAG_01645R,CNAG_01645,1228
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,327
CNAG_02788R,CNAG_02788,24
CNAG_07435R,CNAG_07435,33
CNAG_07924R,CNAG_07924,476
CNAG_01071R,CNAG_01071,507
CNAG_00883R,CNAG_00883,430
CNAG_03741R,CNAG_03741,373
CNAG_03745R,CNAG_03745,609
CNAG_00192R,CNAG_00192,540
CNAG_00670R,CNAG_00670,566
CNAG_06871R,CNAG_06871,668
CNAG_04457R,CNAG_04457,573
CNAG_04588R,CNAG_04588,206
CNAG_03894R,CNAG_03894,693
CNAG_04012R,CNAG_04012,618
CNAG_01487R,CNAG_01487,612
CNAG_05170R,CNAG_05170,608
CNAG_02364R,CNAG_02364,570
CNAG_04093R,CNAG_04093,692
CNAG_02322R,CNAG_02322,458
CNAG_05255R,CNAG_05255,510
CNAG_03018R,CNAG_03018,423
CNAG_07901R,CNAG_07901,412
CNAG_03086R,CNAG_03086,581
CNAG_06097R,CNAG_06097,516
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,463
CNAG_03177R,CNAG_03177,534
CNAG_03183R,CNAG_03183,206
CNAG_02877R,CNAG_02877,1
CNAG_04774R,CNAG_04774,527
CNAG_04768R,CNAG_04768,551
CNAG_02066R,CNAG_02066,2
CNAG_07922R,CNAG_07922,1
CNAG_06276R,CNAG_06276,415
CNAG_05222R,CNAG_05222,41
CNAG_03409R,CNAG_03409,385
CNAG_05622R,CNAG_05622,552
CNAG_04637R,CNAG_04637,398
CNAG_07680R,CNAG_07680,50
CNAG_02215R,CNAG_02215,33
CNAG_02387R,CNAG_02387,615
CNAG_04086R,CNAG_04086,683
CNAG_05697R,CNAG_05697,670
CNAG_02697R,CNAG_02697,1
CNAG_05372R,CNAG_05372,2
CNAG_04507R,CNAG_04507,516
CNAG_04506R,CNAG_04506,551
CNAG_00068R,CNAG_00068,783
CNAG_00733R,CNAG_00733,515
CNAG_03910R,CNAG_03910,512
CNAG_04059R,CNAG_04059,457
CNAG_07491R,CNAG_07491,739
CNAG_05181R,CNAG_05181,366
CNAG_03915R,CNAG_03915,1
CNAG_03772R,CNAG_03772,543
CNAG_00445R,CNAG_00445,739
CNAG_01901R,CNAG_01901,754
CNAG_05313R,CNAG_05313,415
CNAG_05312R,CNAG_05312,520
CNAG_06200R,CNAG_06200,2
CNAG_00442R,CNAG_00442,675
CNAG_07548R,CNAG_07548,2
CNAG_01277R,CNAG_01277,641
CNAG_01230R,CNAG_01230,206
CNAG_05264R,CNAG_05264,1
CNAG_01681R,CNAG_01681,1
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,432
CNAG_00598R,CNAG_00598,518
CNAG_02219R,CNAG_02219,718
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,144
CNAG_07540R,CNAG_07540,738
CNAG_04980R,CNAG_04980,57
CNAG_00456R,CNAG_00456,466
CNAG_00455R,CNAG_00455,581
CNAG_02152R,CNAG_02152,1
CNAG_00107R,CNAG_00107,489
CNAG_00106R,CNAG_00106,1
CNAG_01061R,CNAG_01061,560
CNAG_01013R,CNAG_01013,222
CNAG_05079R,CNAG_05079,2
CNAG_05080R,CNAG_05080,474
CNAG_00164R,CNAG_00164,496
CNAG_04077R,CNAG_04077,2
CNAG_03676R,CNAG_03676,1
CNAG_03677R,CNAG_03677,588
CNAG_03841R,CNAG_03841,1
CNAG_05077R,CNAG_05077,686
CNAG_02553R,CNAG_02553,1
CNAG_02554R,CNAG_02554,1
CNAG_00546R,CNAG_00546,1
CNAG_00897R,CNAG_00897,1
CNAG_00776R,CNAG_00776,78
CNAG_04024R,CNAG_04024,662
CNAG_04025R,CNAG_04025,534
CNAG_01019R,CNAG_01019,47
CNAG_01803R,CNAG_01803,675
CNAG_00374R,CNAG_00374,1
CNAG_07541R,CNAG_07541,480
CNAG_07542R,CNAG_07542,571
CNAG_05915R,CNAG_05915,561
CNAG_00917R,CNAG_00917,1990
CNAG_00919R,CNAG_00919,519
CNAG_05458R,CNAG_05458,736
CNAG_05459R,CNAG_05459,773
CNAG_01985R,CNAG_01985,242
CNAG_00740R,CNAG_00740,101
CNAG_04163R,CNAG_04163,511
CNAG_04162R,CNAG_04162,282
CNAG_04755R,CNAG_04755,713
CNAG_01777R,CNAG_01777,434
CNAG_01778R,CNAG_01778,1
CNAG_05888R,CNAG_05888,2
CNAG_04217R,CNAG_04217,1
CNAG_03173R,CNAG_03173,507
CNAG_03172R,CNAG_03172,528
CNAG_07388R,CNAG_07388,615
CNAG_07389R,CNAG_07389,645
CNAG_03644R,CNAG_03644,1
CNAG_06060R,CNAG_06060,294
CNAG_00581R,CNAG_00581,327
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,696
CNAG_04950R,CNAG_04950,371
CNAG_04949R,CNAG_04949,525
CNAG_01865R,CNAG_01865,527
CNAG_05870R,CNAG_05870,1
CNAG_00717R,CNAG_00717,234
CNAG_06896R,CNAG_06896,395
CNAG_05812R,CNAG_05812,490
CNAG_06658R,CNAG_06658,422
CNAG_05994R,CNAG_05994,506
CNAG_02517R,CNAG_02517,534
CNAG_03328R,CNAG_03328,1
CNAG_03329R,CNAG_03329,411
CNAG_04471R,CNAG_04471,578
CNAG_04472R,CNAG_04472,1
CNAG_00699R,CNAG_00699,413
CNAG_02129R,CNAG_02129,718
CNAG_05352R,CNAG_05352,329
CNAG_02293R,CNAG_02293,9
CNAG_01523R,CNAG_01523,1
CNAG_05415R,CNAG_05415,2
CNAG_07486R,CNAG_07486,525
CNAG_07313R,CNAG_07313,2
CNAG_00126R,CNAG_00126,1
CNAG_00710R,CNAG_00710,389
CNAG_00709R,CNAG_00709,565
CNAG_04186R,CNAG_04186,1
CNAG_03689R,CNAG_03689,305
CNAG_01704R,CNAG_01704,598
CNAG_07827R,CNAG_07827,460
CNAG_07516R,CNAG_07516,400
CNAG_00157R,CNAG_00157,310
CNAG_04892R,CNAG_04892,3
CNAG_04992R,CNAG_04992,2
CNAG_01776R,CNAG_01776,538
CNAG_07605R,CNAG_07605,398
CNAG_01846R,CNAG_01846,501
CNAG_02539R,CNAG_02539,1
CNAG_02540R,CNAG_02540,1
CNAG_00799R,CNAG_00799,318
CNAG_04657R,CNAG_04657,529
CNAG_04385R,CNAG_04385,552
CNAG_04386R,CNAG_04386,521
CNAG_07847R,CNAG_07847,449
CNAG_02226R,CNAG_02226,502
CNAG_02225R,CNAG_02225,556
CNAG_04860R,CNAG_04860,414
CNAG_01105R,CNAG_01105,720
CNAG_03524R,CNAG_03524,416
CNAG_03733R,CNAG_03733,546
CNAG_03732R,CNAG_03732,571
CNAG_03247R,CNAG_03247,568
CNAG_03193R,CNAG_03193,431
CNAG_03194R,CNAG_03194,519
CNAG_06574R,CNAG_06574,468
CNAG_04663R,CNAG_04663,451
CNAG_02944R,CNAG_02944,472
CNAG_05872R,CNAG_05872,144
CNAG_02775R,CNAG_02775,72
CNAG_06973R,CNAG_06973,1
CNAG_07498R,CNAG_07498,726
CNAG_00475R,CNAG_00475,9073
CNAG_00476R,CNAG_00476,1
CNAG_04524R,CNAG_04524,3
CNAG_06501R,CNAG_06501,458
CNAG_06502R,CNAG_06502,638
CNAG_00587R,CNAG_00587,614
CNAG_04691R,CNAG_04691,546
CNAG_05522R,CNAG_05522,606
CNAG_01930R,CNAG_01930,503
CNAG_03002R,CNAG_03002,644
CNAG_01448R,CNAG_01448,402
CNAG_07685R,CNAG_07685,475
CNAG_03902R,CNAG_03902,131
CNAG_02010R,CNAG_02010,6970
CNAG_01643R,CNAG_01643,4
CNAG_01642R,CNAG_01642,706
CNAG_04705R,CNAG_04705,580
CNAG_01420R,CNAG_01420,455
CNAG_07519R,CNAG_07519,1137
CNAG_06240R,CNAG_06240,991
CNAG_00777R,CNAG_00777,785
CNAG_01118R,CNAG_01118,723
CNAG_03866R,CNAG_03866,569
CNAG_06595R,CNAG_06595,454
CNAG_00519R,CNAG_00519,28
CNAG_03168R,CNAG_03168,1
CNAG_01524R,CNAG_01524,413
CNAG_04594R,CNAG_04594,509
CNAG_02588R,CNAG_02588,671
CNAG_06905R,CNAG_06905,635
CNAG_06904R,CNAG_06904,475
CNAG_03280R,CNAG_03280,1
CNAG_02288R,CNAG_02288,495
CNAG_07729R,CNAG_07729,6
CNAG_03408R,CNAG_03408,1
CNAG_06282R,CNAG_06282,1
CNAG_01970R,CNAG_01970,1
CNAG_03526R,CNAG_03526,1
CNAG_05114R,CNAG_05114,1
CNAG_07752R,CNAG_07752,556
CNAG_04587R,CNAG_04587,572
CNAG_02692R,CNAG_02692,552
CNAG_02776R,CNAG_02776,956
CNAG_04885R,CNAG_04885,498
CNAG_06662R,CNAG_06662,479
CNAG_07647R,CNAG_07647,1
CNAG_02165R,CNAG_02165,678
CNAG_06092R,CNAG_06092,6
CNAG_02071R,CNAG_02071,610
CNAG_02070R,CNAG_02070,419
CNAG_02684R,CNAG_02684,611
CNAG_05420R,CNAG_05420,148
CNAG_05939R,CNAG_05939,1037
CNAG_07743R,CNAG_07743,2
CNAG_00765R,CNAG_00765,404
CNAG_00745R,CNAG_00745,107
CNAG_00744R,CNAG_00744,466
CNAG_00162R,CNAG_00162,522
CNAG_02658R,CNAG_02658,287
CNAG_06401R,CNAG_06401,463
CNAG_01960R,CNAG_01960,402
CNAG_01961R,CNAG_01961,1463
CNAG_02930R,CNAG_02930,365
CNAG_01238R,CNAG_01238,9
CNAG_01239R,CNAG_01239,589
CNAG_00332R,CNAG_00332,334
CNAG_00333R,CNAG_00333,369
CNAG_04801R,CNAG_04801,1
CNAG_05663R,CNAG_05663,183
CNAG_05664R,CNAG_05664,427
CNAG_01574R,CNAG_01574,892
CNAG_01573R,CNAG_01573,394
CNAG_06220R,CNAG_06220,1
CNAG_06963R,CNAG_06963,541
CNAG_03719R,CNAG_03719,412
CNAG_02041R,CNAG_02041,448
CNAG_06889R,CNAG_06889,488
CNAG_04141R,CNAG_04141,534
CNAG_07415R,CNAG_07415,271
CNAG_05586R,CNAG_05586,552
CNAG_05686R,CNAG_05686,524
CNAG_00400R,CNAG_00400,802
CNAG_04213R,CNAG_04213,629
CNAG_05913R,CNAG_05913,1
CNAG_04736R,CNAG_04736,568
CNAG_04735R,CNAG_04735,504
CNAG_05392R,CNAG_05392,711
CNAG_05393R,CNAG_05393,462
CNAG_06541R,CNAG_06541,1
CNAG_06034R,CNAG_06034,456
CNAG_05250R,CNAG_05250,439
CNAG_04243R,CNAG_04243,1
CNAG_01773R,CNAG_01773,418
CNAG_01232R,CNAG_01232,184
CNAG_01577R,CNAG_01577,4
CNAG_01578R,CNAG_01578,130
CNAG_01601R,CNAG_01601,145
CNAG_04963R,CNAG_04963,614
CNAG_04962R,CNAG_04962,353
CNAG_01231R,CNAG_01231,392
CNAG_06835R,CNAG_06835,300
CNAG_06836R,CNAG_06836,647
CNAG_00879R,CNAG_00879,2
CNAG_07454R,CNAG_07454,1
CNAG_06389R,CNAG_06389,486
CNAG_00264R,CNAG_00264,1
CNAG_05640R,CNAG_05640,1322
CNAG_01558R,CNAG_01558,606
CNAG_00903R,CNAG_00903,73
CNAG_06583R,CNAG_06583,375
CNAG_06428R,CNAG_06428,510
CNAG_06427R,CNAG_06427,317
CNAG_07745R,CNAG_07745,415
CNAG_03369R,CNAG_03369,286
CNAG_00130R,CNAG_00130,1311
CNAG_00874R,CNAG_00874,1
CNAG_00457R,CNAG_00457,704
CNAG_04730R,CNAG_04730,648
CNAG_02990R,CNAG_02990,1
CNAG_03116R,CNAG_03116,220
CNAG_07711R,CNAG_07711,1
CNAG_04622R,CNAG_04622,417
CNAG_04449R,CNAG_04449,513
CNAG_03874R,CNAG_03874,384
CNAG_03873R,CNAG_03873,629
CNAG_01635R,CNAG_01635,2
CNAG_02475R,CNAG_02475,44
CNAG_00070R,CNAG_00070,419
CNAG_04862R,CNAG_04862,657
CNAG_02527R,CNAG_02527,708
CNAG_00194R,CNAG_00194,671
CNAG_03498R,CNAG_03498,451
CNAG_03426R,CNAG_03426,401
CNAG_00077R,CNAG_00077,315
CNAG_02965R,CNAG_02965,675
CNAG_01041R,CNAG_01041,2
CNAG_04546R,CNAG_04546,629
CNAG_04523R,CNAG_04523,551
CNAG_04522R,CNAG_04522,494
CNAG_07444R,CNAG_07444,417
CNAG_06576R,CNAG_06576,564
CNAG_03836R,CNAG_03836,568
CNAG_04139R,CNAG_04139,1
CNAG_03400R,CNAG_03400,528
CNAG_02255R,CNAG_02255,498
CNAG_05075R,CNAG_05075,790
CNAG_02550R,CNAG_02550,752
CNAG_02551R,CNAG_02551,519
CNAG_01995R,CNAG_01995,660
CNAG_01994R,CNAG_01994,691
CNAG_06277R,CNAG_06277,297
CNAG_07697R,CNAG_07697,602
CNAG_06099R,CNAG_06099,2
CNAG_06098R,CNAG_06098,1
CNAG_03140R,CNAG_03140,426
CNAG_00011R,CNAG_00011,805
CNAG_05160R,CNAG_05160,1
CNAG_05161R,CNAG_05161,1
CNAG_04655R,CNAG_04655,526
CNAG_05934R,CNAG_05934,553
CNAG_02264R,CNAG_02264,715
CNAG_00189R,CNAG_00189,446
CNAG_00188R,CNAG_00188,511
CNAG_07873R,CNAG_07873,25
CNAG_05369R,CNAG_05369,550
CNAG_00864R,CNAG_00864,769
CNAG_05119R,CNAG_05119,577
CNAG_00407R,CNAG_00407,441
CNAG_05813R,CNAG_05813,481
CNAG_06310R,CNAG_06310,536
CNAG_02510R,CNAG_02510,297
CNAG_04953R,CNAG_04953,1
CNAG_06578R,CNAG_06578,1
CNAG_00122R,CNAG_00122,828
CNAG_01744R,CNAG_01744,10
CNAG_04104R,CNAG_04104,671
CNAG_04103R,CNAG_04103,722
CNAG_04015R,CNAG_04015,591
CNAG_00796R,CNAG_00796,538
CNAG_04283R,CNAG_04283,40
CNAG_00398R,CNAG_00398,525
CNAG_03382R,CNAG_03382,5
CNAG_01742R,CNAG_01742,524
CNAG_05452R,CNAG_05452,2
CNAG_05453R,CNAG_05453,435
CNAG_05053R,CNAG_05053,541
CNAG_01753R,CNAG_01753,466
CNAG_01604R,CNAG_01604,29
CNAG_01605R,CNAG_01605,531
CNAG_03705R,CNAG_03705,1
CNAG_00074R,CNAG_00074,460
CNAG_04505R,CNAG_04505,1
CNAG_04415R,CNAG_04415,527
CNAG_04416R,CNAG_04416,489
CNAG_00539R,CNAG_00539,154
CNAG_00540R,CNAG_00540,1
CNAG_00009R,CNAG_00009,1
CNAG_04027R,CNAG_04027,1
CNAG_04028R,CNAG_04028,633
CNAG_05539R,CNAG_05539,640
CNAG_02298R,CNAG_02298,1
CNAG_02297R,CNAG_02297,509
CNAG_00066R,CNAG_00066,177
CNAG_06082R,CNAG_06082,462
CNAG_07368R,CNAG_07368,1
CNAG_00594R,CNAG_00594,727
CNAG_05316R,CNAG_05316,1
CNAG_00236R,CNAG_00236,1
CNAG_00235R,CNAG_00235,235
CNAG_06453R,CNAG_06453,445
CNAG_03019R,CNAG_03019,591
CNAG_05446R,CNAG_05446,155
CNAG_04907R,CNAG_04907,500
CNAG_00865R,CNAG_00865,925
CNAG_06323R,CNAG_06323,564
CNAG_01686R,CNAG_01686,540
CNAG_06902R,CNAG_06902,2
CNAG_02338R,CNAG_02338,8
CNAG_02118R,CNAG_02118,452
CNAG_01283R,CNAG_01283,615
CNAG_00832R,CNAG_00832,1
CNAG_04877R,CNAG_04877,428
CNAG_07779R,CNAG_07779,577
CNAG_04945R,CNAG_04945,1
CNAG_07941R,CNAG_07941,516
CNAG_07641R,CNAG_07641,666
CNAG_03113R,CNAG_03113,361
CNAG_03114R,CNAG_03114,1
CNAG_07690R,CNAG_07690,616
CNAG_05632R,CNAG_05632,2
CNAG_02029R,CNAG_02029,24
CNAG_02030R,CNAG_02030,373
CNAG_07830R,CNAG_07830,403
CNAG_05324R,CNAG_05324,1
CNAG_04323R,CNAG_04323,1018
CNAG_04324R,CNAG_04324,449
CNAG_03384R,CNAG_03384,387
CNAG_06752R,CNAG_06752,1
CNAG_01052R,CNAG_01052,2
CNAG_03355R,CNAG_03355,1
CNAG_04520R,CNAG_04520,618
CNAG_07402R,CNAG_07402,1178
CNAG_07380R,CNAG_07380,1
CNAG_02334R,CNAG_02334,473
CNAG_02335R,CNAG_02335,3
CNAG_04846R,CNAG_04846,737
CNAG_04903R,CNAG_04903,633
CNAG_00331R,CNAG_00331,457
CNAG_06214R,CNAG_06214,444
