Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,170
CNAG_05515L,CNAG_05515,698
CNAG_05641L,CNAG_05641,486
CNAG_05387L,CNAG_05387,563
CNAG_05590L,CNAG_05590,1403
CNAG_07869L,CNAG_07869,632
CNAG_05340L,CNAG_05340,332
CNAG_05638L,CNAG_05638,514
CNAG_05639L,CNAG_05639,487
CNAG_06346L,CNAG_06346,553
CNAG_06347L,CNAG_06347,541
CNAG_06517L,CNAG_06517,651
CNAG_07939L,CNAG_07939,508
CNAG_06493L,CNAG_06493,413
CNAG_06201L,CNAG_06201,522
CNAG_06104L,CNAG_06104,424
CNAG_06081L,CNAG_06081,599
CNAG_07902L,CNAG_07902,494
CNAG_06241L,CNAG_06241,368
CNAG_06242L,CNAG_06242,388
CNAG_06186L,CNAG_06186,435
CNAG_07911L,CNAG_07911,626
CNAG_01551L,CNAG_01551,342
CNAG_01683L,CNAG_01683,455
CNAG_01983L,CNAG_01983,597
CNAG_01902L,CNAG_01902,8
CNAG_01680L,CNAG_01680,423
CNAG_01621L,CNAG_01621,421
CNAG_01988L,CNAG_01988,411
CNAG_01989L,CNAG_01989,601
CNAG_01939L,CNAG_01939,553
CNAG_01993L,CNAG_01993,510
CNAG_01992L,CNAG_01992,468
CNAG_01965L,CNAG_01965,448
CNAG_01562L,CNAG_01562,378
CNAG_01925L,CNAG_01925,477
CNAG_04756L,CNAG_04756,479
CNAG_04807L,CNAG_04807,629
CNAG_04837L,CNAG_04837,505
CNAG_04836L,CNAG_04836,425
CNAG_04737L,CNAG_04737,620
CNAG_04875L,CNAG_04875,289
CNAG_04874L,CNAG_04874,1093
CNAG_04868L,CNAG_04868,150
CNAG_04752L,CNAG_04752,502
CNAG_04753L,CNAG_04753,3531
CNAG_04909L,CNAG_04909,618
CNAG_04908L,CNAG_04908,547
CNAG_04659L,CNAG_04659,348
CNAG_04623L,CNAG_04623,429
CNAG_04518L,CNAG_04518,478
CNAG_04517L,CNAG_04517,602
CNAG_07770L,CNAG_07770,510
CNAG_04436L,CNAG_04436,320
CNAG_04271L,CNAG_04271,426
CNAG_04270L,CNAG_04270,424
CNAG_03346L,CNAG_03346,465
CNAG_03433L,CNAG_03433,545
CNAG_03333L,CNAG_03333,668
CNAG_07742L,CNAG_07742,1546
CNAG_03438L,CNAG_03438,240
CNAG_03223L,CNAG_03223,574
CNAG_03142L,CNAG_03142,410
CNAG_03143L,CNAG_03143,422
CNAG_03545L,CNAG_03545,608
CNAG_03161L,CNAG_03161,288
CNAG_03566L,CNAG_03566,442
CNAG_05835L,CNAG_05835,455
CNAG_05864L,CNAG_05864,353
CNAG_06567L,CNAG_06567,530
CNAG_05742L,CNAG_05742,310
CNAG_05743L,CNAG_05743,143
CNAG_05867L,CNAG_05867,359
CNAG_05685L,CNAG_05685,1326
CNAG_05684L,CNAG_05684,473
CNAG_05785L,CNAG_05785,464
CNAG_05843L,CNAG_05843,53
CNAG_06554L,CNAG_06554,488
CNAG_02189L,CNAG_02189,285
CNAG_02188L,CNAG_02188,556
CNAG_02182L,CNAG_02182,404
CNAG_07631L,CNAG_07631,450
CNAG_02371L,CNAG_02371,474
CNAG_07633L,CNAG_07633,472
CNAG_01069L,CNAG_01069,538
CNAG_00896L,CNAG_00896,1649
CNAG_06719L,CNAG_06719,116
CNAG_03669L,CNAG_03669,552
CNAG_00031L,CNAG_00031,519
CNAG_07332L,CNAG_07332,417
CNAG_00285L,CNAG_00285,504
CNAG_00828L,CNAG_00828,450
CNAG_00830L,CNAG_00830,580
CNAG_00841L,CNAG_00841,526
CNAG_02774L,CNAG_02774,489
CNAG_06531L,CNAG_06531,860
CNAG_03279L,CNAG_03279,582
CNAG_03336L,CNAG_03336,669
CNAG_06339L,CNAG_06339,640
CNAG_03768L,CNAG_03768,587
CNAG_04534L,CNAG_04534,538
CNAG_01973L,CNAG_01973,8
CNAG_07867L,CNAG_07867,468
CNAG_05333L,CNAG_05333,610
CNAG_06425L,CNAG_06425,369
CNAG_03849L,CNAG_03849,1241
CNAG_02603L,CNAG_02603,434
CNAG_02555L,CNAG_02555,567
CNAG_03431L,CNAG_03431,401
CNAG_05049L,CNAG_05049,326
CNAG_05380L,CNAG_05380,514
CNAG_03914L,CNAG_03914,461
CNAG_02476L,CNAG_02476,444
CNAG_07583L,CNAG_07583,523
CNAG_02466L,CNAG_02466,483
CNAG_05112L,CNAG_05112,477
CNAG_03366L,CNAG_03366,721
CNAG_03977L,CNAG_03977,271
CNAG_04090L,CNAG_04090,780
CNAG_00791L,CNAG_00791,422
CNAG_06751L,CNAG_06751,315
CNAG_05375L,CNAG_05375,6679
CNAG_02516L,CNAG_02516,525
CNAG_04804L,CNAG_04804,372
CNAG_00627L,CNAG_00627,550
CNAG_07725L,CNAG_07725,569
CNAG_06203L,CNAG_06203,428
CNAG_00193L,CNAG_00193,2
CNAG_00514L,CNAG_00514,5
CNAG_01883L,CNAG_01883,800
CNAG_03401L,CNAG_03401,421
CNAG_02435L,CNAG_02435,477
CNAG_05153L,CNAG_05153,16
CNAG_01708L,CNAG_01708,536
CNAG_03700L,CNAG_03700,534
CNAG_07320L,CNAG_07320,65
CNAG_05215L,CNAG_05215,366
CNAG_01438L,CNAG_01438,335
CNAG_07464L,CNAG_07464,533
CNAG_01858L,CNAG_01858,653
CNAG_04586L,CNAG_04586,503
CNAG_05093L,CNAG_05093,507
CNAG_05176L,CNAG_05176,535
CNAG_01014L,CNAG_01014,283
CNAG_00998L,CNAG_00998,394
CNAG_00039L,CNAG_00039,897
CNAG_07329L,CNAG_07329,29
CNAG_01454L,CNAG_01454,442
CNAG_02700L,CNAG_02700,84
CNAG_06327L,CNAG_06327,209
CNAG_03788L,CNAG_03788,488
CNAG_00871L,CNAG_00871,739
CNAG_00559L,CNAG_00559,12963
CNAG_07370L,CNAG_07370,624
CNAG_00732L,CNAG_00732,464
CNAG_04630L,CNAG_04630,572
CNAG_07940L,CNAG_07940,512
CNAG_02589L,CNAG_02589,561
