Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,611
CNAG_05641R,CNAG_05641,2
CNAG_05387R,CNAG_05387,539
CNAG_05638R,CNAG_05638,349
CNAG_05639R,CNAG_05639,390
CNAG_06346R,CNAG_06346,436
CNAG_06347R,CNAG_06347,335
CNAG_06517R,CNAG_06517,434
CNAG_06201R,CNAG_06201,340
CNAG_06104R,CNAG_06104,322
CNAG_07902R,CNAG_07902,397
CNAG_06241R,CNAG_06241,230
CNAG_06242R,CNAG_06242,159
CNAG_07911R,CNAG_07911,369
CNAG_01683R,CNAG_01683,405
CNAG_01680R,CNAG_01680,419
CNAG_01988R,CNAG_01988,1
CNAG_01989R,CNAG_01989,259
CNAG_01939R,CNAG_01939,1
CNAG_01993R,CNAG_01993,1
CNAG_01992R,CNAG_01992,1
CNAG_01965R,CNAG_01965,203
CNAG_01925R,CNAG_01925,380
CNAG_04837R,CNAG_04837,426
CNAG_04836R,CNAG_04836,377
CNAG_04875R,CNAG_04875,219
CNAG_04868R,CNAG_04868,102
CNAG_04753R,CNAG_04753,1
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,302
CNAG_04517R,CNAG_04517,372
CNAG_07770R,CNAG_07770,293
CNAG_03346R,CNAG_03346,1
CNAG_03333R,CNAG_03333,494
CNAG_07742R,CNAG_07742,753
CNAG_03142R,CNAG_03142,288
CNAG_03545R,CNAG_03545,1
CNAG_03566R,CNAG_03566,262
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,318
CNAG_05684R,CNAG_05684,98
CNAG_02189R,CNAG_02189,348
CNAG_07631R,CNAG_07631,1
CNAG_02371R,CNAG_02371,287
CNAG_07633R,CNAG_07633,1
CNAG_00896R,CNAG_00896,2
CNAG_06719R,CNAG_06719,315
CNAG_03669R,CNAG_03669,365
CNAG_00031R,CNAG_00031,1
CNAG_07332R,CNAG_07332,226
CNAG_00285R,CNAG_00285,370
CNAG_00830R,CNAG_00830,209
CNAG_00841R,CNAG_00841,378
CNAG_06531R,CNAG_06531,603
CNAG_03279R,CNAG_03279,391
CNAG_03336R,CNAG_03336,609
CNAG_06339R,CNAG_06339,549
CNAG_03768R,CNAG_03768,440
CNAG_04534R,CNAG_04534,418
CNAG_01973R,CNAG_01973,165
CNAG_07867R,CNAG_07867,368
CNAG_05333R,CNAG_05333,485
CNAG_06425R,CNAG_06425,269
CNAG_03849R,CNAG_03849,418
CNAG_02603R,CNAG_02603,317
CNAG_02555R,CNAG_02555,513
CNAG_02525R,CNAG_02525,90
CNAG_03431R,CNAG_03431,704
CNAG_05049R,CNAG_05049,230
CNAG_03914R,CNAG_03914,358
CNAG_02476R,CNAG_02476,299
CNAG_07583R,CNAG_07583,343
CNAG_02466R,CNAG_02466,1
CNAG_05112R,CNAG_05112,337
CNAG_03366R,CNAG_03366,509
CNAG_04090R,CNAG_04090,111
CNAG_00791R,CNAG_00791,295
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,5525
CNAG_02516R,CNAG_02516,371
CNAG_04804R,CNAG_04804,6
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,323
CNAG_01883R,CNAG_01883,1553
CNAG_03401R,CNAG_03401,391
CNAG_02435R,CNAG_02435,498
CNAG_05153R,CNAG_05153,3
CNAG_01708R,CNAG_01708,302
CNAG_03700R,CNAG_03700,347
CNAG_05215R,CNAG_05215,234
CNAG_01438R,CNAG_01438,411
CNAG_07464R,CNAG_07464,492
CNAG_01858R,CNAG_01858,522
CNAG_04586R,CNAG_04586,528
CNAG_05176R,CNAG_05176,359
CNAG_01014R,CNAG_01014,193
CNAG_01454R,CNAG_01454,355
CNAG_06327R,CNAG_06327,29
CNAG_03788R,CNAG_03788,395
CNAG_00871R,CNAG_00871,494
CNAG_00559R,CNAG_00559,7674
CNAG_07370R,CNAG_07370,497
CNAG_04630R,CNAG_04630,1
CNAG_07940R,CNAG_07940,2
CNAG_02589R,CNAG_02589,386
CNAG_05067R,CNAG_05067,1
CNAG_01645R,CNAG_01645,934
CNAG_06134R,CNAG_06134,1
CNAG_01242R,CNAG_01242,102
CNAG_02788R,CNAG_02788,23
CNAG_07435R,CNAG_07435,3
CNAG_07924R,CNAG_07924,290
CNAG_01071R,CNAG_01071,313
CNAG_00883R,CNAG_00883,149
CNAG_03741R,CNAG_03741,277
CNAG_03745R,CNAG_03745,409
CNAG_00192R,CNAG_00192,373
CNAG_00670R,CNAG_00670,403
CNAG_06871R,CNAG_06871,369
CNAG_04457R,CNAG_04457,409
CNAG_02723R,CNAG_02723,1
CNAG_04588R,CNAG_04588,38
CNAG_03894R,CNAG_03894,423
CNAG_04012R,CNAG_04012,379
CNAG_01487R,CNAG_01487,433
CNAG_05170R,CNAG_05170,367
CNAG_02364R,CNAG_02364,394
CNAG_04093R,CNAG_04093,434
CNAG_02322R,CNAG_02322,318
CNAG_04184R,CNAG_04184,1
CNAG_05255R,CNAG_05255,443
CNAG_03018R,CNAG_03018,299
CNAG_07901R,CNAG_07901,339
CNAG_03086R,CNAG_03086,365
CNAG_06097R,CNAG_06097,501
CNAG_06136R,CNAG_06136,338
CNAG_03177R,CNAG_03177,427
CNAG_03183R,CNAG_03183,120
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,587
CNAG_04768R,CNAG_04768,479
CNAG_06276R,CNAG_06276,342
CNAG_05222R,CNAG_05222,87
CNAG_03409R,CNAG_03409,162
CNAG_05622R,CNAG_05622,455
CNAG_04637R,CNAG_04637,264
CNAG_07680R,CNAG_07680,19
CNAG_02215R,CNAG_02215,14
CNAG_02387R,CNAG_02387,291
CNAG_04086R,CNAG_04086,448
CNAG_05697R,CNAG_05697,476
CNAG_04507R,CNAG_04507,361
CNAG_04506R,CNAG_04506,424
CNAG_00068R,CNAG_00068,488
CNAG_00733R,CNAG_00733,288
CNAG_03910R,CNAG_03910,394
CNAG_04059R,CNAG_04059,363
CNAG_07491R,CNAG_07491,668
CNAG_05181R,CNAG_05181,526
CNAG_03772R,CNAG_03772,394
CNAG_00445R,CNAG_00445,640
CNAG_01901R,CNAG_01901,608
CNAG_05313R,CNAG_05313,216
CNAG_05312R,CNAG_05312,424
CNAG_06200R,CNAG_06200,1
CNAG_00442R,CNAG_00442,461
CNAG_01277R,CNAG_01277,457
CNAG_01230R,CNAG_01230,115
CNAG_01040R,CNAG_01040,1
CNAG_00547R,CNAG_00547,384
CNAG_00598R,CNAG_00598,418
CNAG_00597R,CNAG_00597,1
CNAG_02219R,CNAG_02219,524
CNAG_00674R,CNAG_00674,1
CNAG_03013R,CNAG_03013,186
CNAG_07540R,CNAG_07540,169
CNAG_04980R,CNAG_04980,49
CNAG_00456R,CNAG_00456,438
CNAG_00455R,CNAG_00455,494
CNAG_00107R,CNAG_00107,306
CNAG_00106R,CNAG_00106,4
CNAG_01061R,CNAG_01061,381
CNAG_01013R,CNAG_01013,65
CNAG_04991R,CNAG_04991,1
CNAG_05079R,CNAG_05079,1
CNAG_05080R,CNAG_05080,399
CNAG_04869R,CNAG_04869,2
CNAG_00164R,CNAG_00164,368
CNAG_03677R,CNAG_03677,414
CNAG_05077R,CNAG_05077,471
CNAG_02554R,CNAG_02554,2
CNAG_00546R,CNAG_00546,1
CNAG_01125R,CNAG_01125,1
CNAG_00776R,CNAG_00776,24
CNAG_04024R,CNAG_04024,428
CNAG_04025R,CNAG_04025,412
CNAG_02348R,CNAG_02348,1
CNAG_00393R,CNAG_00393,1
CNAG_06555R,CNAG_06555,1
CNAG_01019R,CNAG_01019,29
CNAG_01803R,CNAG_01803,499
CNAG_07541R,CNAG_07541,310
CNAG_07542R,CNAG_07542,474
CNAG_05915R,CNAG_05915,395
CNAG_05916R,CNAG_05916,1
CNAG_00917R,CNAG_00917,1353
CNAG_00919R,CNAG_00919,416
CNAG_05458R,CNAG_05458,470
CNAG_05459R,CNAG_05459,353
CNAG_01985R,CNAG_01985,207
CNAG_00740R,CNAG_00740,23
CNAG_04163R,CNAG_04163,356
CNAG_04162R,CNAG_04162,198
CNAG_04755R,CNAG_04755,1798
CNAG_01777R,CNAG_01777,313
CNAG_01778R,CNAG_01778,1
CNAG_05889R,CNAG_05889,1
CNAG_03173R,CNAG_03173,309
CNAG_03172R,CNAG_03172,335
CNAG_07388R,CNAG_07388,368
CNAG_07389R,CNAG_07389,408
CNAG_06785R,CNAG_06785,1
CNAG_06060R,CNAG_06060,183
CNAG_00581R,CNAG_00581,210
CNAG_02044R,CNAG_02044,1
CNAG_02045R,CNAG_02045,482
CNAG_04950R,CNAG_04950,350
CNAG_04949R,CNAG_04949,366
CNAG_01865R,CNAG_01865,370
CNAG_00717R,CNAG_00717,171
CNAG_06926R,CNAG_06926,1
CNAG_06896R,CNAG_06896,221
CNAG_05812R,CNAG_05812,353
CNAG_06657R,CNAG_06657,1
CNAG_06658R,CNAG_06658,305
CNAG_05994R,CNAG_05994,387
CNAG_02517R,CNAG_02517,435
CNAG_03329R,CNAG_03329,301
CNAG_04471R,CNAG_04471,417
CNAG_04472R,CNAG_04472,2
CNAG_03075R,CNAG_03075,1
CNAG_00699R,CNAG_00699,350
CNAG_02129R,CNAG_02129,523
CNAG_05352R,CNAG_05352,184
CNAG_02293R,CNAG_02293,1
CNAG_01523R,CNAG_01523,1
CNAG_03946R,CNAG_03946,1
CNAG_07486R,CNAG_07486,360
CNAG_00710R,CNAG_00710,363
CNAG_00709R,CNAG_00709,449
CNAG_03689R,CNAG_03689,240
CNAG_01704R,CNAG_01704,360
CNAG_07827R,CNAG_07827,359
CNAG_07516R,CNAG_07516,271
CNAG_02849R,CNAG_02849,1
CNAG_00157R,CNAG_00157,241
CNAG_01776R,CNAG_01776,346
CNAG_07605R,CNAG_07605,293
CNAG_01846R,CNAG_01846,358
CNAG_01701R,CNAG_01701,1
CNAG_00799R,CNAG_00799,279
CNAG_04656R,CNAG_04656,2
CNAG_04657R,CNAG_04657,360
CNAG_04385R,CNAG_04385,401
CNAG_04386R,CNAG_04386,368
CNAG_07847R,CNAG_07847,335
CNAG_02226R,CNAG_02226,374
CNAG_02225R,CNAG_02225,315
CNAG_04860R,CNAG_04860,367
CNAG_01105R,CNAG_01105,510
CNAG_03524R,CNAG_03524,355
CNAG_03733R,CNAG_03733,363
CNAG_03732R,CNAG_03732,516
CNAG_03247R,CNAG_03247,383
CNAG_03193R,CNAG_03193,335
CNAG_03194R,CNAG_03194,326
CNAG_06574R,CNAG_06574,361
CNAG_04663R,CNAG_04663,288
CNAG_02944R,CNAG_02944,347
CNAG_05872R,CNAG_05872,126
CNAG_02775R,CNAG_02775,10
CNAG_01112R,CNAG_01112,2
CNAG_07498R,CNAG_07498,461
CNAG_03754R,CNAG_03754,1
CNAG_00475R,CNAG_00475,6712
CNAG_04524R,CNAG_04524,3
CNAG_06501R,CNAG_06501,296
CNAG_06502R,CNAG_06502,482
CNAG_00587R,CNAG_00587,438
CNAG_04691R,CNAG_04691,393
CNAG_05522R,CNAG_05522,466
CNAG_01930R,CNAG_01930,500
CNAG_03002R,CNAG_03002,461
CNAG_01448R,CNAG_01448,310
CNAG_02526R,CNAG_02526,1
CNAG_07685R,CNAG_07685,329
CNAG_03902R,CNAG_03902,22
CNAG_02010R,CNAG_02010,4112
CNAG_01642R,CNAG_01642,449
CNAG_03857R,CNAG_03857,1
CNAG_04705R,CNAG_04705,491
CNAG_01420R,CNAG_01420,365
CNAG_07519R,CNAG_07519,812
CNAG_00078R,CNAG_00078,1
CNAG_06240R,CNAG_06240,2424
CNAG_00777R,CNAG_00777,660
CNAG_01118R,CNAG_01118,561
CNAG_03867R,CNAG_03867,1
CNAG_03866R,CNAG_03866,439
CNAG_06595R,CNAG_06595,344
CNAG_00519R,CNAG_00519,1
CNAG_00588R,CNAG_00588,1
CNAG_03168R,CNAG_03168,2
CNAG_01525R,CNAG_01525,1
CNAG_01524R,CNAG_01524,255
CNAG_04594R,CNAG_04594,407
CNAG_02588R,CNAG_02588,494
CNAG_06905R,CNAG_06905,437
CNAG_06904R,CNAG_06904,308
CNAG_03280R,CNAG_03280,1
CNAG_02288R,CNAG_02288,353
CNAG_07729R,CNAG_07729,3
CNAG_03408R,CNAG_03408,3
CNAG_03526R,CNAG_03526,2
CNAG_07752R,CNAG_07752,397
CNAG_04587R,CNAG_04587,444
CNAG_02692R,CNAG_02692,391
CNAG_02776R,CNAG_02776,782
CNAG_04885R,CNAG_04885,302
CNAG_06662R,CNAG_06662,359
CNAG_02165R,CNAG_02165,537
CNAG_02071R,CNAG_02071,517
CNAG_02070R,CNAG_02070,288
CNAG_02684R,CNAG_02684,610
CNAG_02685R,CNAG_02685,1
CNAG_05420R,CNAG_05420,49
CNAG_05939R,CNAG_05939,771
CNAG_07743R,CNAG_07743,2
CNAG_00765R,CNAG_00765,303
CNAG_00745R,CNAG_00745,152
CNAG_00744R,CNAG_00744,336
CNAG_00162R,CNAG_00162,351
CNAG_02658R,CNAG_02658,248
CNAG_06401R,CNAG_06401,201
CNAG_01960R,CNAG_01960,288
CNAG_01961R,CNAG_01961,1442
CNAG_02930R,CNAG_02930,209
CNAG_01238R,CNAG_01238,3
CNAG_01239R,CNAG_01239,414
CNAG_00332R,CNAG_00332,255
CNAG_00333R,CNAG_00333,284
CNAG_05663R,CNAG_05663,45
CNAG_05664R,CNAG_05664,297
CNAG_01574R,CNAG_01574,920
CNAG_01573R,CNAG_01573,305
CNAG_06963R,CNAG_06963,294
CNAG_03719R,CNAG_03719,298
CNAG_02041R,CNAG_02041,295
CNAG_06889R,CNAG_06889,319
CNAG_04141R,CNAG_04141,451
CNAG_07415R,CNAG_07415,161
CNAG_05586R,CNAG_05586,313
CNAG_05686R,CNAG_05686,386
CNAG_00400R,CNAG_00400,541
CNAG_04213R,CNAG_04213,712
CNAG_04736R,CNAG_04736,437
CNAG_04735R,CNAG_04735,337
CNAG_05392R,CNAG_05392,349
CNAG_05393R,CNAG_05393,371
CNAG_06034R,CNAG_06034,326
CNAG_05250R,CNAG_05250,146
CNAG_04243R,CNAG_04243,2
CNAG_01773R,CNAG_01773,373
CNAG_01232R,CNAG_01232,67
CNAG_01578R,CNAG_01578,108
CNAG_01601R,CNAG_01601,34
CNAG_04963R,CNAG_04963,394
CNAG_04962R,CNAG_04962,265
CNAG_01231R,CNAG_01231,347
CNAG_06835R,CNAG_06835,266
CNAG_06836R,CNAG_06836,400
CNAG_06389R,CNAG_06389,378
CNAG_05640R,CNAG_05640,1150
CNAG_01558R,CNAG_01558,511
CNAG_00903R,CNAG_00903,96
CNAG_06583R,CNAG_06583,284
CNAG_06428R,CNAG_06428,321
CNAG_06427R,CNAG_06427,269
CNAG_07745R,CNAG_07745,303
CNAG_03369R,CNAG_03369,181
CNAG_00130R,CNAG_00130,1751
CNAG_00457R,CNAG_00457,340
CNAG_00758R,CNAG_00758,1
CNAG_04730R,CNAG_04730,337
CNAG_03116R,CNAG_03116,52
CNAG_04622R,CNAG_04622,371
CNAG_04449R,CNAG_04449,375
CNAG_03874R,CNAG_03874,267
CNAG_03873R,CNAG_03873,498
CNAG_02475R,CNAG_02475,63
CNAG_00070R,CNAG_00070,353
CNAG_04862R,CNAG_04862,459
CNAG_02527R,CNAG_02527,434
CNAG_00194R,CNAG_00194,591
CNAG_03498R,CNAG_03498,375
CNAG_03426R,CNAG_03426,306
CNAG_00077R,CNAG_00077,87
CNAG_02965R,CNAG_02965,468
CNAG_01041R,CNAG_01041,2
CNAG_04546R,CNAG_04546,447
CNAG_04523R,CNAG_04523,334
CNAG_04522R,CNAG_04522,338
CNAG_07444R,CNAG_07444,330
CNAG_06576R,CNAG_06576,469
CNAG_03836R,CNAG_03836,551
CNAG_04139R,CNAG_04139,1
CNAG_03400R,CNAG_03400,374
CNAG_02255R,CNAG_02255,324
CNAG_02254R,CNAG_02254,1
CNAG_05075R,CNAG_05075,553
CNAG_02550R,CNAG_02550,339
CNAG_02551R,CNAG_02551,290
CNAG_01995R,CNAG_01995,433
CNAG_01994R,CNAG_01994,481
CNAG_06277R,CNAG_06277,113
CNAG_07697R,CNAG_07697,476
CNAG_06278R,CNAG_06278,1
CNAG_03140R,CNAG_03140,285
CNAG_00011R,CNAG_00011,590
CNAG_01229R,CNAG_01229,1
CNAG_04681R,CNAG_04681,2
CNAG_04655R,CNAG_04655,418
CNAG_05934R,CNAG_05934,298
CNAG_02264R,CNAG_02264,453
CNAG_00189R,CNAG_00189,322
CNAG_00188R,CNAG_00188,266
CNAG_07873R,CNAG_07873,24
CNAG_05369R,CNAG_05369,394
CNAG_00864R,CNAG_00864,538
CNAG_05119R,CNAG_05119,429
CNAG_00407R,CNAG_00407,392
CNAG_05813R,CNAG_05813,342
CNAG_06310R,CNAG_06310,404
CNAG_02510R,CNAG_02510,256
CNAG_04953R,CNAG_04953,1
CNAG_06578R,CNAG_06578,1
CNAG_00122R,CNAG_00122,643
CNAG_01744R,CNAG_01744,5
CNAG_01745R,CNAG_01745,2
CNAG_04104R,CNAG_04104,342
CNAG_04103R,CNAG_04103,458
CNAG_04016R,CNAG_04016,1
CNAG_04015R,CNAG_04015,427
CNAG_00796R,CNAG_00796,473
CNAG_04283R,CNAG_04283,13
CNAG_00398R,CNAG_00398,261
CNAG_03382R,CNAG_03382,2
CNAG_01742R,CNAG_01742,356
CNAG_01743R,CNAG_01743,1
CNAG_05452R,CNAG_05452,9
CNAG_05453R,CNAG_05453,399
CNAG_05053R,CNAG_05053,435
CNAG_01753R,CNAG_01753,318
CNAG_01604R,CNAG_01604,23
CNAG_01605R,CNAG_01605,364
CNAG_00074R,CNAG_00074,351
CNAG_04505R,CNAG_04505,1
CNAG_00302R,CNAG_00302,1
CNAG_04415R,CNAG_04415,414
CNAG_04416R,CNAG_04416,360
CNAG_00539R,CNAG_00539,132
CNAG_00009R,CNAG_00009,2
CNAG_04028R,CNAG_04028,495
CNAG_05539R,CNAG_05539,454
CNAG_02297R,CNAG_02297,428
CNAG_00066R,CNAG_00066,182
CNAG_06082R,CNAG_06082,286
CNAG_07368R,CNAG_07368,1
CNAG_00594R,CNAG_00594,446
CNAG_00236R,CNAG_00236,1
CNAG_00235R,CNAG_00235,178
CNAG_06453R,CNAG_06453,385
CNAG_03019R,CNAG_03019,512
CNAG_05446R,CNAG_05446,15
CNAG_00276R,CNAG_00276,1
CNAG_04907R,CNAG_04907,333
CNAG_00865R,CNAG_00865,521
CNAG_01713R,CNAG_01713,2
CNAG_06323R,CNAG_06323,432
CNAG_01686R,CNAG_01686,350
CNAG_06902R,CNAG_06902,3
CNAG_02338R,CNAG_02338,2
CNAG_06336R,CNAG_06336,1
CNAG_02118R,CNAG_02118,334
CNAG_01283R,CNAG_01283,404
CNAG_04876R,CNAG_04876,1
CNAG_04877R,CNAG_04877,356
CNAG_07779R,CNAG_07779,378
CNAG_07941R,CNAG_07941,508
CNAG_07641R,CNAG_07641,578
CNAG_03113R,CNAG_03113,226
CNAG_03114R,CNAG_03114,1
CNAG_07690R,CNAG_07690,454
CNAG_02030R,CNAG_02030,238
CNAG_07830R,CNAG_07830,243
CNAG_04323R,CNAG_04323,899
CNAG_04324R,CNAG_04324,339
CNAG_03384R,CNAG_03384,339
CNAG_06752R,CNAG_06752,1
CNAG_03355R,CNAG_03355,1
CNAG_04634R,CNAG_04634,1
CNAG_04520R,CNAG_04520,327
CNAG_07402R,CNAG_07402,847
CNAG_07380R,CNAG_07380,2
CNAG_02334R,CNAG_02334,298
CNAG_04846R,CNAG_04846,565
CNAG_04903R,CNAG_04903,417
CNAG_00331R,CNAG_00331,306
CNAG_06214R,CNAG_06214,395
CNAG_07915R,CNAG_07915,2
CNAG_00005R,CNAG_00005,327
CNAG_02882R,CNAG_02882,234
CNAG_03883R,CNAG_03883,462
CNAG_03117R,CNAG_03117,374
CNAG_03118R,CNAG_03118,1
CNAG_06432R,CNAG_06432,259
CNAG_03479R,CNAG_03479,204
CNAG_02089R,CNAG_02089,1
CNAG_05381R,CNAG_05381,447
CNAG_06616R,CNAG_06616,2
CNAG_02176R,CNAG_02176,1
CNAG_06291R,CNAG_06291,439
CNAG_02790R,CNAG_02790,373
CNAG_02048R,CNAG_02048,470
CNAG_04388R,CNAG_04388,2
CNAG_06381R,CNAG_06381,444
CNAG_03829R,CNAG_03829,388
CNAG_00862R,CNAG_00862,1
CNAG_00861R,CNAG_00861,430
CNAG_04038R,CNAG_04038,1
CNAG_00679R,CNAG_00679,293
CNAG_02958R,CNAG_02958,1
CNAG_06016R,CNAG_06016,418
CNAG_03454R,CNAG_03454,1
CNAG_03455R,CNAG_03455,339
CNAG_06698R,CNAG_06698,587
CNAG_06699R,CNAG_06699,1
CNAG_02321R,CNAG_02321,851
CNAG_06668R,CNAG_06668,329
CNAG_04393R,CNAG_04393,244
CNAG_01588R,CNAG_01588,357
CNAG_07710R,CNAG_07710,311
CNAG_06623R,CNAG_06623,334
CNAG_04781R,CNAG_04781,316
CNAG_04782R,CNAG_04782,348
CNAG_06204R,CNAG_06204,351
CNAG_03227R,CNAG_03227,212
CNAG_04935R,CNAG_04935,204
CNAG_04934R,CNAG_04934,3
CNAG_00653R,CNAG_00653,411
CNAG_03735R,CNAG_03735,325
CNAG_03370R,CNAG_03370,66
CNAG_02405R,CNAG_02405,1
CNAG_05412R,CNAG_05412,326
CNAG_05411R,CNAG_05411,274
CNAG_02910R,CNAG_02910,273
CNAG_01080R,CNAG_01080,345
CNAG_01079R,CNAG_01079,1
CNAG_00303R,CNAG_00303,1
CNAG_05833R,CNAG_05833,1
CNAG_05251R,CNAG_05251,424
CNAG_04626R,CNAG_04626,345
CNAG_05979R,CNAG_05979,421
CNAG_02463R,CNAG_02463,240
CNAG_01275R,CNAG_01275,361
CNAG_03060R,CNAG_03060,2
CNAG_06405R,CNAG_06405,1
CNAG_00038R,CNAG_00038,431
CNAG_05444R,CNAG_05444,400
CNAG_06267R,CNAG_06267,440
CNAG_01603R,CNAG_01603,380
CNAG_02143R,CNAG_02143,380
CNAG_02141R,CNAG_02141,453
CNAG_05003R,CNAG_05003,63
CNAG_05004R,CNAG_05004,388
CNAG_02093R,CNAG_02093,481
CNAG_00347R,CNAG_00347,469
CNAG_01076R,CNAG_01076,599
CNAG_01075R,CNAG_01075,387
CNAG_01314R,CNAG_01314,357
CNAG_00413R,CNAG_00413,56
CNAG_00414R,CNAG_00414,339
CNAG_02088R,CNAG_02088,378
CNAG_03565R,CNAG_03565,427
CNAG_01653R,CNAG_01653,408
CNAG_00818R,CNAG_00818,295
CNAG_03485R,CNAG_03485,2171
CNAG_03907R,CNAG_03907,432
CNAG_03046R,CNAG_03046,611
CNAG_02852R,CNAG_02852,530
CNAG_00984R,CNAG_00984,275
CNAG_00985R,CNAG_00985,298
CNAG_00024R,CNAG_00024,50
CNAG_00023R,CNAG_00023,278
CNAG_02701R,CNAG_02701,273
CNAG_03587R,CNAG_03587,325
CNAG_05301R,CNAG_05301,326
CNAG_05302R,CNAG_05302,391
CNAG_05155R,CNAG_05155,1465
CNAG_04230R,CNAG_04230,388
CNAG_03492R,CNAG_03492,473
CNAG_06932R,CNAG_06932,335
CNAG_06931R,CNAG_06931,317
CNAG_07751R,CNAG_07751,359
CNAG_06813R,CNAG_06813,270
CNAG_00688R,CNAG_00688,736
CNAG_06235R,CNAG_06235,360
CNAG_04321R,CNAG_04321,364
CNAG_04320R,CNAG_04320,39
CNAG_04621R,CNAG_04621,474
CNAG_04575R,CNAG_04575,379
CNAG_04576R,CNAG_04576,275
CNAG_05154R,CNAG_05154,307
CNAG_07188R,CNAG_07188,617
CNAG_07693R,CNAG_07693,303
CNAG_06924R,CNAG_06924,323
CNAG_06925R,CNAG_06925,294
CNAG_03494R,CNAG_03494,259
CNAG_07736R,CNAG_07736,344
CNAG_06777R,CNAG_06777,357
CNAG_04828R,CNAG_04828,1
CNAG_00788R,CNAG_00788,26
CNAG_02896R,CNAG_02896,406
CNAG_07702R,CNAG_07702,365
CNAG_01936R,CNAG_01936,330
CNAG_03295R,CNAG_03295,343
CNAG_07422R,CNAG_07422,276
CNAG_01375R,CNAG_01375,273
CNAG_04758R,CNAG_04758,305
CNAG_04759R,CNAG_04759,270
CNAG_01073R,CNAG_01073,291
CNAG_05451R,CNAG_05451,332
CNAG_01384R,CNAG_01384,289
CNAG_05350R,CNAG_05350,310
CNAG_04497R,CNAG_04497,213
CNAG_02986R,CNAG_02986,349
CNAG_04704R,CNAG_04704,382
CNAG_02532R,CNAG_02532,372
CNAG_06930R,CNAG_06930,307
CNAG_02414R,CNAG_02414,286
CNAG_07339R,CNAG_07339,292
CNAG_04107R,CNAG_04107,1
CNAG_04106R,CNAG_04106,344
CNAG_07448R,CNAG_07448,428
CNAG_07436R,CNAG_07436,1
CNAG_02123R,CNAG_02123,518
CNAG_05329R,CNAG_05329,479
CNAG_05265R,CNAG_05265,479
CNAG_02581R,CNAG_02581,278
CNAG_02580R,CNAG_02580,370
CNAG_06499R,CNAG_06499,393
CNAG_00269R,CNAG_00269,379
CNAG_06758R,CNAG_06758,475
CNAG_02911R,CNAG_02911,59
CNAG_02912R,CNAG_02912,69
CNAG_03320R,CNAG_03320,109
CNAG_01353R,CNAG_01353,277
CNAG_02814R,CNAG_02814,428
CNAG_06433R,CNAG_06433,374
CNAG_05293R,CNAG_05293,476
CNAG_01533R,CNAG_01533,523
CNAG_03145R,CNAG_03145,384
CNAG_03146R,CNAG_03146,418
CNAG_00866R,CNAG_00866,378
CNAG_07124R,CNAG_07124,444
CNAG_03856R,CNAG_03856,376
CNAG_06918R,CNAG_06918,477
CNAG_07525R,CNAG_07525,433
CNAG_02705R,CNAG_02705,1640
CNAG_00191R,CNAG_00191,368
CNAG_02216R,CNAG_02216,166
CNAG_02217R,CNAG_02217,386
CNAG_07387R,CNAG_07387,342
CNAG_02552R,CNAG_02552,364
CNAG_07856R,CNAG_07856,500
CNAG_01553R,CNAG_01553,393
CNAG_03121R,CNAG_03121,1132
CNAG_01009R,CNAG_01009,260
CNAG_01010R,CNAG_01010,295
CNAG_01796R,CNAG_01796,316
CNAG_01795R,CNAG_01795,428
