Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,38
CNAG_05515L,CNAG_05515,573
CNAG_05641L,CNAG_05641,378
CNAG_05387L,CNAG_05387,403
CNAG_05590L,CNAG_05590,590
CNAG_07869L,CNAG_07869,431
CNAG_05340L,CNAG_05340,163
CNAG_05638L,CNAG_05638,381
CNAG_05639L,CNAG_05639,372
CNAG_06346L,CNAG_06346,364
CNAG_06347L,CNAG_06347,355
CNAG_06517L,CNAG_06517,409
CNAG_07939L,CNAG_07939,365
CNAG_06493L,CNAG_06493,292
CNAG_06201L,CNAG_06201,384
CNAG_06104L,CNAG_06104,285
CNAG_06081L,CNAG_06081,383
CNAG_07902L,CNAG_07902,362
CNAG_06241L,CNAG_06241,191
CNAG_06242L,CNAG_06242,121
CNAG_06186L,CNAG_06186,391
CNAG_07911L,CNAG_07911,468
CNAG_01551L,CNAG_01551,344
CNAG_01683L,CNAG_01683,356
CNAG_01983L,CNAG_01983,344
CNAG_01902L,CNAG_01902,1
CNAG_01680L,CNAG_01680,372
CNAG_01621L,CNAG_01621,288
CNAG_01988L,CNAG_01988,332
CNAG_01989L,CNAG_01989,346
CNAG_01939L,CNAG_01939,395
CNAG_01993L,CNAG_01993,351
CNAG_01992L,CNAG_01992,350
CNAG_01965L,CNAG_01965,410
CNAG_01562L,CNAG_01562,282
CNAG_01925L,CNAG_01925,367
CNAG_04756L,CNAG_04756,420
CNAG_04807L,CNAG_04807,533
CNAG_04837L,CNAG_04837,349
CNAG_04836L,CNAG_04836,338
CNAG_04737L,CNAG_04737,523
CNAG_04875L,CNAG_04875,231
CNAG_04874L,CNAG_04874,911
CNAG_04868L,CNAG_04868,110
CNAG_04752L,CNAG_04752,242
CNAG_04753L,CNAG_04753,1807
CNAG_04909L,CNAG_04909,394
CNAG_04908L,CNAG_04908,452
CNAG_04659L,CNAG_04659,300
CNAG_04623L,CNAG_04623,275
CNAG_04518L,CNAG_04518,258
CNAG_04517L,CNAG_04517,379
CNAG_07770L,CNAG_07770,283
CNAG_04436L,CNAG_04436,206
CNAG_04271L,CNAG_04271,370
CNAG_04270L,CNAG_04270,337
CNAG_03346L,CNAG_03346,319
CNAG_03433L,CNAG_03433,345
CNAG_03333L,CNAG_03333,494
CNAG_07742L,CNAG_07742,1018
CNAG_03438L,CNAG_03438,65
CNAG_03223L,CNAG_03223,343
CNAG_03142L,CNAG_03142,263
CNAG_03143L,CNAG_03143,285
CNAG_03545L,CNAG_03545,536
CNAG_03161L,CNAG_03161,45
CNAG_03566L,CNAG_03566,258
CNAG_05835L,CNAG_05835,353
CNAG_05864L,CNAG_05864,276
CNAG_06567L,CNAG_06567,439
CNAG_05742L,CNAG_05742,6
CNAG_05743L,CNAG_05743,110
CNAG_05867L,CNAG_05867,294
CNAG_05685L,CNAG_05685,1068
CNAG_05684L,CNAG_05684,77
CNAG_05785L,CNAG_05785,321
CNAG_05843L,CNAG_05843,15
CNAG_06554L,CNAG_06554,348
CNAG_02189L,CNAG_02189,204
CNAG_02188L,CNAG_02188,398
CNAG_02182L,CNAG_02182,290
CNAG_07631L,CNAG_07631,522
CNAG_02371L,CNAG_02371,352
CNAG_07633L,CNAG_07633,377
CNAG_01069L,CNAG_01069,414
CNAG_00896L,CNAG_00896,1101
CNAG_06719L,CNAG_06719,97
CNAG_03669L,CNAG_03669,369
CNAG_00031L,CNAG_00031,342
CNAG_07332L,CNAG_07332,221
CNAG_00285L,CNAG_00285,371
CNAG_00828L,CNAG_00828,351
CNAG_00830L,CNAG_00830,241
CNAG_00841L,CNAG_00841,363
CNAG_02774L,CNAG_02774,322
CNAG_06531L,CNAG_06531,628
CNAG_03279L,CNAG_03279,385
CNAG_03336L,CNAG_03336,627
CNAG_06339L,CNAG_06339,416
CNAG_03768L,CNAG_03768,399
CNAG_04534L,CNAG_04534,354
CNAG_07867L,CNAG_07867,327
CNAG_05333L,CNAG_05333,338
CNAG_06425L,CNAG_06425,263
CNAG_03849L,CNAG_03849,749
CNAG_02603L,CNAG_02603,315
CNAG_02555L,CNAG_02555,456
CNAG_03431L,CNAG_03431,862
CNAG_05049L,CNAG_05049,261
CNAG_05380L,CNAG_05380,245
CNAG_03914L,CNAG_03914,399
CNAG_02476L,CNAG_02476,325
CNAG_07583L,CNAG_07583,349
CNAG_02466L,CNAG_02466,314
CNAG_05112L,CNAG_05112,335
CNAG_03366L,CNAG_03366,467
CNAG_03977L,CNAG_03977,229
CNAG_04090L,CNAG_04090,146
CNAG_00791L,CNAG_00791,292
CNAG_06751L,CNAG_06751,215
CNAG_05375L,CNAG_05375,4424
CNAG_02516L,CNAG_02516,397
CNAG_04804L,CNAG_04804,7
CNAG_00627L,CNAG_00627,435
CNAG_07725L,CNAG_07725,430
CNAG_06203L,CNAG_06203,310
CNAG_00514L,CNAG_00514,3
CNAG_01883L,CNAG_01883,1766
CNAG_03401L,CNAG_03401,339
CNAG_02435L,CNAG_02435,403
CNAG_01708L,CNAG_01708,258
CNAG_03700L,CNAG_03700,419
CNAG_07320L,CNAG_07320,80
CNAG_05215L,CNAG_05215,224
CNAG_01438L,CNAG_01438,480
CNAG_07464L,CNAG_07464,550
CNAG_01858L,CNAG_01858,530
CNAG_04586L,CNAG_04586,398
CNAG_05093L,CNAG_05093,331
CNAG_05176L,CNAG_05176,299
CNAG_01014L,CNAG_01014,269
CNAG_00998L,CNAG_00998,353
CNAG_00039L,CNAG_00039,1537
CNAG_07329L,CNAG_07329,16
CNAG_01454L,CNAG_01454,312
CNAG_02700L,CNAG_02700,31
CNAG_06327L,CNAG_06327,23
CNAG_03788L,CNAG_03788,344
CNAG_00871L,CNAG_00871,485
CNAG_00559L,CNAG_00559,6901
CNAG_07370L,CNAG_07370,433
CNAG_00732L,CNAG_00732,396
CNAG_04630L,CNAG_04630,138
CNAG_07940L,CNAG_07940,542
CNAG_02589L,CNAG_02589,383
CNAG_05067L,CNAG_05067,452
CNAG_01645L,CNAG_01645,1006
CNAG_06134L,CNAG_06134,90
CNAG_01242L,CNAG_01242,151
CNAG_02788L,CNAG_02788,31
CNAG_07435L,CNAG_07435,1
CNAG_03998L,CNAG_03998,445
CNAG_07924L,CNAG_07924,332
CNAG_01071L,CNAG_01071,274
CNAG_00883L,CNAG_00883,176
CNAG_03741L,CNAG_03741,325
CNAG_03745L,CNAG_03745,453
CNAG_00192L,CNAG_00192,312
CNAG_00670L,CNAG_00670,345
CNAG_06871L,CNAG_06871,434
CNAG_04457L,CNAG_04457,395
CNAG_02723L,CNAG_02723,437
CNAG_04588L,CNAG_04588,35
CNAG_01977L,CNAG_01977,347
CNAG_03894L,CNAG_03894,428
CNAG_04012L,CNAG_04012,358
CNAG_03561L,CNAG_03561,391
CNAG_05170L,CNAG_05170,231
CNAG_04041L,CNAG_04041,110
CNAG_02364L,CNAG_02364,426
CNAG_04093L,CNAG_04093,400
CNAG_02322L,CNAG_02322,397
CNAG_04184L,CNAG_04184,362
CNAG_05255L,CNAG_05255,388
CNAG_05642L,CNAG_05642,187
CNAG_03059L,CNAG_03059,329
CNAG_03018L,CNAG_03018,291
CNAG_07901L,CNAG_07901,314
CNAG_03086L,CNAG_03086,339
CNAG_04916L,CNAG_04916,256
CNAG_06097L,CNAG_06097,444
CNAG_03115L,CNAG_03115,467
CNAG_03132L,CNAG_03132,369
CNAG_04841L,CNAG_04841,383
CNAG_06136L,CNAG_06136,309
CNAG_03177L,CNAG_03177,689
CNAG_03183L,CNAG_03183,101
CNAG_06188L,CNAG_06188,310
CNAG_02877L,CNAG_02877,227
CNAG_04359L,CNAG_04359,732
CNAG_04774L,CNAG_04774,621
CNAG_04768L,CNAG_04768,462
CNAG_02066L,CNAG_02066,405
CNAG_07922L,CNAG_07922,351
CNAG_06276L,CNAG_06276,424
CNAG_05222L,CNAG_05222,73
CNAG_03409L,CNAG_03409,142
CNAG_05622L,CNAG_05622,777
CNAG_04637L,CNAG_04637,260
CNAG_07680L,CNAG_07680,23
CNAG_02215L,CNAG_02215,8
CNAG_00564L,CNAG_00564,566
CNAG_02387L,CNAG_02387,346
CNAG_04086L,CNAG_04086,479
CNAG_05697L,CNAG_05697,615
CNAG_02697L,CNAG_02697,280
CNAG_06205L,CNAG_06205,374
CNAG_05372L,CNAG_05372,191
CNAG_04507L,CNAG_04507,353
