Gene Flank,Gene,Count
CNAG_05515R,CNAG_05515,365
CNAG_05641R,CNAG_05641,1
CNAG_05387R,CNAG_05387,436
CNAG_05638R,CNAG_05638,333
CNAG_05639R,CNAG_05639,296
CNAG_06346R,CNAG_06346,358
CNAG_06347R,CNAG_06347,382
CNAG_06517R,CNAG_06517,503
CNAG_06201R,CNAG_06201,239
CNAG_06104R,CNAG_06104,237
CNAG_06081R,CNAG_06081,1
CNAG_07902R,CNAG_07902,310
CNAG_06241R,CNAG_06241,226
CNAG_06242R,CNAG_06242,184
CNAG_07911R,CNAG_07911,223
CNAG_01551R,CNAG_01551,1
CNAG_01683R,CNAG_01683,364
CNAG_01983R,CNAG_01983,1
CNAG_01680R,CNAG_01680,310
CNAG_01989R,CNAG_01989,215
CNAG_01993R,CNAG_01993,1
CNAG_01965R,CNAG_01965,147
CNAG_01562R,CNAG_01562,3
CNAG_01925R,CNAG_01925,236
CNAG_04837R,CNAG_04837,293
CNAG_04836R,CNAG_04836,307
CNAG_04875R,CNAG_04875,801
CNAG_04874R,CNAG_04874,1
CNAG_04868R,CNAG_04868,86
CNAG_04753R,CNAG_04753,3
CNAG_04623R,CNAG_04623,1
CNAG_04518R,CNAG_04518,376
CNAG_04517R,CNAG_04517,364
CNAG_07770R,CNAG_07770,273
CNAG_03333R,CNAG_03333,453
CNAG_07742R,CNAG_07742,551
CNAG_03223R,CNAG_03223,1
CNAG_03142R,CNAG_03142,257
CNAG_03161R,CNAG_03161,1
CNAG_03566R,CNAG_03566,190
CNAG_05864R,CNAG_05864,1
CNAG_06567R,CNAG_06567,1
CNAG_05867R,CNAG_05867,166
CNAG_05685R,CNAG_05685,1
CNAG_05684R,CNAG_05684,412
CNAG_05785R,CNAG_05785,1
CNAG_02189R,CNAG_02189,432
CNAG_02188R,CNAG_02188,1
CNAG_02371R,CNAG_02371,327
CNAG_00896R,CNAG_00896,4
CNAG_06719R,CNAG_06719,276
CNAG_03669R,CNAG_03669,94
CNAG_07332R,CNAG_07332,212
CNAG_00285R,CNAG_00285,358
CNAG_00830R,CNAG_00830,326
CNAG_00841R,CNAG_00841,300
CNAG_02774R,CNAG_02774,1
CNAG_06531R,CNAG_06531,615
CNAG_03279R,CNAG_03279,290
CNAG_03336R,CNAG_03336,458
CNAG_06339R,CNAG_06339,303
CNAG_03768R,CNAG_03768,332
CNAG_04534R,CNAG_04534,405
CNAG_01973R,CNAG_01973,698
CNAG_07867R,CNAG_07867,359
CNAG_05333R,CNAG_05333,364
CNAG_06425R,CNAG_06425,294
CNAG_03849R,CNAG_03849,299
CNAG_02603R,CNAG_02603,244
CNAG_02555R,CNAG_02555,439
CNAG_02525R,CNAG_02525,406
CNAG_03431R,CNAG_03431,98
CNAG_05049R,CNAG_05049,101
CNAG_05380R,CNAG_05380,2
CNAG_03914R,CNAG_03914,294
CNAG_02476R,CNAG_02476,328
CNAG_07583R,CNAG_07583,433
CNAG_05112R,CNAG_05112,229
CNAG_03366R,CNAG_03366,452
CNAG_04090R,CNAG_04090,385
CNAG_00791R,CNAG_00791,253
CNAG_06751R,CNAG_06751,1
CNAG_05375R,CNAG_05375,2704
CNAG_02516R,CNAG_02516,223
CNAG_04804R,CNAG_04804,195
CNAG_00627R,CNAG_00627,1
CNAG_06203R,CNAG_06203,351
CNAG_01883R,CNAG_01883,150
CNAG_03401R,CNAG_03401,260
CNAG_02435R,CNAG_02435,332
CNAG_05153R,CNAG_05153,15
CNAG_01708R,CNAG_01708,399
CNAG_03700R,CNAG_03700,393
CNAG_05215R,CNAG_05215,250
CNAG_01438R,CNAG_01438,187
CNAG_07464R,CNAG_07464,47
CNAG_01858R,CNAG_01858,439
CNAG_04586R,CNAG_04586,940
CNAG_05176R,CNAG_05176,425
CNAG_01014R,CNAG_01014,187
CNAG_01454R,CNAG_01454,368
CNAG_06327R,CNAG_06327,93
CNAG_03788R,CNAG_03788,600
CNAG_00871R,CNAG_00871,481
CNAG_00559R,CNAG_00559,10719
CNAG_07370R,CNAG_07370,438
CNAG_07940R,CNAG_07940,1
CNAG_02589R,CNAG_02589,389
CNAG_01645R,CNAG_01645,699
CNAG_01242R,CNAG_01242,480
CNAG_02788R,CNAG_02788,10
CNAG_07435R,CNAG_07435,101
CNAG_07924R,CNAG_07924,297
CNAG_01071R,CNAG_01071,292
CNAG_00883R,CNAG_00883,317
CNAG_03741R,CNAG_03741,411
CNAG_03745R,CNAG_03745,452
CNAG_00192R,CNAG_00192,534
CNAG_00670R,CNAG_00670,336
CNAG_06871R,CNAG_06871,483
CNAG_04457R,CNAG_04457,379
CNAG_04588R,CNAG_04588,125
CNAG_03894R,CNAG_03894,370
CNAG_04012R,CNAG_04012,382
CNAG_01487R,CNAG_01487,424
CNAG_05170R,CNAG_05170,284
CNAG_02364R,CNAG_02364,323
CNAG_04093R,CNAG_04093,497
CNAG_02322R,CNAG_02322,319
CNAG_05255R,CNAG_05255,402
CNAG_03059R,CNAG_03059,1
CNAG_03018R,CNAG_03018,304
CNAG_07901R,CNAG_07901,214
CNAG_03086R,CNAG_03086,420
CNAG_04916R,CNAG_04916,1
CNAG_06097R,CNAG_06097,605
CNAG_03115R,CNAG_03115,1
CNAG_06136R,CNAG_06136,284
CNAG_03177R,CNAG_03177,272
CNAG_03183R,CNAG_03183,135
CNAG_04359R,CNAG_04359,1
CNAG_04774R,CNAG_04774,356
CNAG_04768R,CNAG_04768,329
CNAG_02066R,CNAG_02066,1
CNAG_06276R,CNAG_06276,252
CNAG_05222R,CNAG_05222,31
CNAG_03409R,CNAG_03409,312
CNAG_05622R,CNAG_05622,454
