Gene Flank,Gene,Count
CNAG_05662L,CNAG_05662,319
CNAG_05515L,CNAG_05515,404
CNAG_05641L,CNAG_05641,332
CNAG_05387L,CNAG_05387,392
CNAG_05590L,CNAG_05590,759
CNAG_07869L,CNAG_07869,435
CNAG_05340L,CNAG_05340,85
CNAG_05638L,CNAG_05638,376
CNAG_05639L,CNAG_05639,318
CNAG_06346L,CNAG_06346,385
CNAG_06347L,CNAG_06347,427
CNAG_06517L,CNAG_06517,569
CNAG_07939L,CNAG_07939,319
CNAG_06493L,CNAG_06493,281
CNAG_06201L,CNAG_06201,328
CNAG_06104L,CNAG_06104,298
CNAG_06081L,CNAG_06081,420
CNAG_07902L,CNAG_07902,334
CNAG_06241L,CNAG_06241,238
CNAG_06242L,CNAG_06242,238
CNAG_06186L,CNAG_06186,362
CNAG_07911L,CNAG_07911,341
CNAG_01551L,CNAG_01551,243
CNAG_01683L,CNAG_01683,359
CNAG_01983L,CNAG_01983,386
CNAG_01902L,CNAG_01902,2
CNAG_01680L,CNAG_01680,289
CNAG_01621L,CNAG_01621,316
CNAG_01988L,CNAG_01988,275
CNAG_01989L,CNAG_01989,348
CNAG_01939L,CNAG_01939,309
CNAG_01993L,CNAG_01993,286
CNAG_01992L,CNAG_01992,335
CNAG_01965L,CNAG_01965,279
CNAG_01562L,CNAG_01562,299
CNAG_01925L,CNAG_01925,324
CNAG_04756L,CNAG_04756,324
CNAG_04807L,CNAG_04807,274
CNAG_04837L,CNAG_04837,319
CNAG_04836L,CNAG_04836,306
CNAG_04737L,CNAG_04737,420
CNAG_04875L,CNAG_04875,570
CNAG_04874L,CNAG_04874,840
CNAG_04868L,CNAG_04868,86
CNAG_04752L,CNAG_04752,236
CNAG_04753L,CNAG_04753,2815
CNAG_04909L,CNAG_04909,350
CNAG_04908L,CNAG_04908,442
CNAG_04659L,CNAG_04659,260
CNAG_04623L,CNAG_04623,363
CNAG_04518L,CNAG_04518,400
CNAG_04517L,CNAG_04517,411
CNAG_07770L,CNAG_07770,265
CNAG_04436L,CNAG_04436,124
CNAG_04271L,CNAG_04271,291
CNAG_04270L,CNAG_04270,64
CNAG_03346L,CNAG_03346,413
CNAG_03433L,CNAG_03433,337
CNAG_03333L,CNAG_03333,472
CNAG_07742L,CNAG_07742,1009
CNAG_03438L,CNAG_03438,259
CNAG_03223L,CNAG_03223,237
CNAG_03142L,CNAG_03142,243
CNAG_03143L,CNAG_03143,267
CNAG_03545L,CNAG_03545,365
CNAG_03161L,CNAG_03161,103
CNAG_03566L,CNAG_03566,325
CNAG_05835L,CNAG_05835,544
CNAG_05864L,CNAG_05864,310
CNAG_06567L,CNAG_06567,337
CNAG_05742L,CNAG_05742,144
CNAG_05743L,CNAG_05743,105
CNAG_05867L,CNAG_05867,236
CNAG_05685L,CNAG_05685,987
CNAG_05684L,CNAG_05684,464
CNAG_05785L,CNAG_05785,309
CNAG_05843L,CNAG_05843,9
CNAG_06554L,CNAG_06554,404
CNAG_02189L,CNAG_02189,255
CNAG_02188L,CNAG_02188,357
CNAG_02182L,CNAG_02182,262
CNAG_07631L,CNAG_07631,380
CNAG_02371L,CNAG_02371,338
CNAG_07633L,CNAG_07633,261
CNAG_01069L,CNAG_01069,379
CNAG_00896L,CNAG_00896,943
CNAG_06719L,CNAG_06719,111
CNAG_03669L,CNAG_03669,105
CNAG_00031L,CNAG_00031,372
CNAG_07332L,CNAG_07332,264
CNAG_00285L,CNAG_00285,329
CNAG_00828L,CNAG_00828,317
CNAG_00830L,CNAG_00830,358
CNAG_00841L,CNAG_00841,336
CNAG_02774L,CNAG_02774,374
CNAG_06531L,CNAG_06531,626
CNAG_03279L,CNAG_03279,326
CNAG_03336L,CNAG_03336,621
CNAG_06339L,CNAG_06339,426
CNAG_03768L,CNAG_03768,402
CNAG_04534L,CNAG_04534,404
CNAG_01973L,CNAG_01973,8
CNAG_07867L,CNAG_07867,388
CNAG_05333L,CNAG_05333,490
CNAG_06425L,CNAG_06425,302
CNAG_03849L,CNAG_03849,753
CNAG_02603L,CNAG_02603,312
CNAG_02555L,CNAG_02555,402
CNAG_03431L,CNAG_03431,157
CNAG_05049L,CNAG_05049,127
CNAG_05380L,CNAG_05380,287
CNAG_03914L,CNAG_03914,340
CNAG_02476L,CNAG_02476,336
CNAG_07583L,CNAG_07583,384
CNAG_02466L,CNAG_02466,300
CNAG_05112L,CNAG_05112,325
CNAG_03366L,CNAG_03366,467
CNAG_03977L,CNAG_03977,154
CNAG_04090L,CNAG_04090,476
CNAG_00791L,CNAG_00791,303
CNAG_06751L,CNAG_06751,264
CNAG_05375L,CNAG_05375,3172
CNAG_02516L,CNAG_02516,271
CNAG_04804L,CNAG_04804,175
CNAG_00627L,CNAG_00627,469
CNAG_07725L,CNAG_07725,439
CNAG_06203L,CNAG_06203,352
CNAG_00193L,CNAG_00193,1
CNAG_00514L,CNAG_00514,1
CNAG_01883L,CNAG_01883,261
CNAG_03401L,CNAG_03401,256
CNAG_02435L,CNAG_02435,343
CNAG_05153L,CNAG_05153,18
CNAG_01708L,CNAG_01708,340
CNAG_03700L,CNAG_03700,477
CNAG_07320L,CNAG_07320,98
CNAG_05215L,CNAG_05215,248
CNAG_01438L,CNAG_01438,246
CNAG_07464L,CNAG_07464,81
CNAG_01858L,CNAG_01858,482
CNAG_04586L,CNAG_04586,724
CNAG_05093L,CNAG_05093,395
CNAG_05176L,CNAG_05176,396
CNAG_01014L,CNAG_01014,184
CNAG_00998L,CNAG_00998,286
CNAG_00039L,CNAG_00039,298
CNAG_07329L,CNAG_07329,35
CNAG_01454L,CNAG_01454,408
CNAG_02700L,CNAG_02700,78
CNAG_06327L,CNAG_06327,58
CNAG_03788L,CNAG_03788,582
CNAG_00871L,CNAG_00871,467
CNAG_00559L,CNAG_00559,9779
CNAG_07370L,CNAG_07370,438
CNAG_00732L,CNAG_00732,313
CNAG_04630L,CNAG_04630,401
CNAG_07940L,CNAG_07940,418
CNAG_02589L,CNAG_02589,422
CNAG_05067L,CNAG_05067,355
CNAG_01645L,CNAG_01645,817
CNAG_06134L,CNAG_06134,1
CNAG_01242L,CNAG_01242,437
CNAG_02788L,CNAG_02788,14
CNAG_07435L,CNAG_07435,50
CNAG_03998L,CNAG_03998,172
CNAG_07924L,CNAG_07924,412
CNAG_01071L,CNAG_01071,307
CNAG_00883L,CNAG_00883,333
CNAG_03741L,CNAG_03741,387
CNAG_03745L,CNAG_03745,388
CNAG_00192L,CNAG_00192,424
CNAG_00670L,CNAG_00670,313
CNAG_06871L,CNAG_06871,661
CNAG_04457L,CNAG_04457,416
CNAG_02723L,CNAG_02723,331
CNAG_04588L,CNAG_04588,189
CNAG_01977L,CNAG_01977,294
CNAG_03894L,CNAG_03894,365
CNAG_04012L,CNAG_04012,371
CNAG_03561L,CNAG_03561,277
CNAG_05170L,CNAG_05170,238
CNAG_04041L,CNAG_04041,92
CNAG_02364L,CNAG_02364,346
CNAG_04093L,CNAG_04093,540
CNAG_02322L,CNAG_02322,346
CNAG_04184L,CNAG_04184,336
CNAG_05255L,CNAG_05255,326
CNAG_05642L,CNAG_05642,190
CNAG_03059L,CNAG_03059,312
CNAG_03018L,CNAG_03018,290
CNAG_07901L,CNAG_07901,247
CNAG_03086L,CNAG_03086,493
CNAG_04916L,CNAG_04916,271
CNAG_06097L,CNAG_06097,533
CNAG_03115L,CNAG_03115,278
CNAG_03132L,CNAG_03132,386
CNAG_04841L,CNAG_04841,376
CNAG_06136L,CNAG_06136,297
CNAG_03177L,CNAG_03177,628
CNAG_03183L,CNAG_03183,177
CNAG_06188L,CNAG_06188,286
CNAG_02877L,CNAG_02877,327
CNAG_04359L,CNAG_04359,864
CNAG_04774L,CNAG_04774,502
CNAG_04768L,CNAG_04768,392
CNAG_02066L,CNAG_02066,410
CNAG_07922L,CNAG_07922,384
CNAG_06276L,CNAG_06276,324
CNAG_05222L,CNAG_05222,62
CNAG_03409L,CNAG_03409,351
CNAG_05622L,CNAG_05622,725
CNAG_04637L,CNAG_04637,301
CNAG_07680L,CNAG_07680,120
CNAG_02215L,CNAG_02215,34
CNAG_00564L,CNAG_00564,765
CNAG_02387L,CNAG_02387,367
CNAG_04086L,CNAG_04086,593
CNAG_05697L,CNAG_05697,612
CNAG_02697L,CNAG_02697,299
CNAG_06205L,CNAG_06205,302
CNAG_05372L,CNAG_05372,278
CNAG_04507L,CNAG_04507,314
CNAG_04506L,CNAG_04506,430
CNAG_00068L,CNAG_00068,4195
CNAG_05138L,CNAG_05138,222
CNAG_00733L,CNAG_00733,471
CNAG_03910L,CNAG_03910,373
CNAG_04059L,CNAG_04059,1450
CNAG_07491L,CNAG_07491,423
CNAG_05181L,CNAG_05181,399
CNAG_03915L,CNAG_03915,344
CNAG_03772L,CNAG_03772,358
CNAG_00445L,CNAG_00445,841
CNAG_01901L,CNAG_01901,687
CNAG_05313L,CNAG_05313,32
CNAG_05312L,CNAG_05312,349
CNAG_03012L,CNAG_03012,386
CNAG_03011L,CNAG_03011,338
CNAG_06200L,CNAG_06200,628
CNAG_02682L,CNAG_02682,291
CNAG_02683L,CNAG_02683,366
CNAG_00442L,CNAG_00442,680
CNAG_00183L,CNAG_00183,182
CNAG_07548L,CNAG_07548,4167
CNAG_01277L,CNAG_01277,526
CNAG_07512L,CNAG_07512,704
CNAG_01230L,CNAG_01230,79
CNAG_05264L,CNAG_05264,141
CNAG_05263L,CNAG_05263,322
CNAG_01681L,CNAG_01681,334
CNAG_01040L,CNAG_01040,319
CNAG_00179L,CNAG_00179,354
CNAG_00547L,CNAG_00547,363
CNAG_00598L,CNAG_00598,393
CNAG_05229L,CNAG_05229,258
CNAG_01138L,CNAG_01138,434
CNAG_00597L,CNAG_00597,355
CNAG_02797L,CNAG_02797,37
CNAG_02219L,CNAG_02219,486
CNAG_02220L,CNAG_02220,357
CNAG_00674L,CNAG_00674,332
CNAG_03013L,CNAG_03013,86
CNAG_07540L,CNAG_07540,424
CNAG_04981L,CNAG_04981,284
CNAG_04980L,CNAG_04980,45
CNAG_00456L,CNAG_00456,361
CNAG_00455L,CNAG_00455,448
CNAG_02152L,CNAG_02152,387
CNAG_00107L,CNAG_00107,314
CNAG_00106L,CNAG_00106,424
CNAG_01061L,CNAG_01061,421
CNAG_03847L,CNAG_03847,274
CNAG_03848L,CNAG_03848,306
CNAG_01013L,CNAG_01013,245
CNAG_02777L,CNAG_02777,336
CNAG_07523L,CNAG_07523,391
CNAG_04991L,CNAG_04991,240
CNAG_00531L,CNAG_00531,301
CNAG_05159L,CNAG_05159,388
CNAG_05079L,CNAG_05079,518
CNAG_05080L,CNAG_05080,375
CNAG_04869L,CNAG_04869,345
CNAG_00164L,CNAG_00164,380
CNAG_04077L,CNAG_04077,319
CNAG_01082L,CNAG_01082,341
CNAG_04658L,CNAG_04658,314
CNAG_03727L,CNAG_03727,261
CNAG_03676L,CNAG_03676,320
CNAG_03677L,CNAG_03677,459
CNAG_03841L,CNAG_03841,40
CNAG_06761L,CNAG_06761,249
